gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,15,90,16.666666666666664,39,44.827586206896555
MUC16,14,90,15.555555555555555,55,63.2183908045977
CTNNB1,13,90,14.444444444444443,30,34.48275862068966
NF1,7,90,7.777777777777778,30,34.48275862068966
ATM,6,90,6.666666666666667,31,35.63218390804598
FAT3,6,90,6.666666666666667,28,32.18390804597701
KMT2D,6,90,6.666666666666667,66,75.86206896551724
HSPG2,6,90,6.666666666666667,38,43.67816091954023
PRKAR1A,5,90,5.555555555555555,32,36.7816091954023
MEN1,5,90,5.555555555555555,30,34.48275862068966
KMT2B,5,90,5.555555555555555,55,63.2183908045977
CSMD3,5,90,5.555555555555555,50,57.47126436781609
FBN2,5,90,5.555555555555555,62,71.26436781609196
ROBO2,5,90,5.555555555555555,33,37.93103448275862
FAT4,5,90,5.555555555555555,44,50.57471264367817
ADGRG4,4,90,4.444444444444445,0,0.0
PEG3,4,90,4.444444444444445,59,67.81609195402298
ZNRF3,4,90,4.444444444444445,54,62.06896551724138
SMC1A,4,90,4.444444444444445,59,67.81609195402298
CDH4,4,90,4.444444444444445,56,64.36781609195403
GNAS,4,90,4.444444444444445,52,59.77011494252874
PTPRD,4,90,4.444444444444445,41,47.12643678160919
SLIT2,4,90,4.444444444444445,43,49.42528735632184
BCORL1,4,90,4.444444444444445,56,64.36781609195403
SMC3,4,90,4.444444444444445,35,40.229885057471265
FLG,4,90,4.444444444444445,27,31.03448275862069
RELN,4,90,4.444444444444445,55,63.2183908045977
DAXX,4,90,4.444444444444445,30,34.48275862068966
ASPM,4,90,4.444444444444445,25,28.735632183908045
RET,3,90,3.3333333333333335,35,40.229885057471265
RPL22,3,90,3.3333333333333335,41,47.12643678160919
ALK,3,90,3.3333333333333335,31,35.63218390804598
PAK3,3,90,3.3333333333333335,56,64.36781609195403
NSD1,3,90,3.3333333333333335,63,72.41379310344827
TET1,3,90,3.3333333333333335,36,41.37931034482759
VAV1,3,90,3.3333333333333335,56,64.36781609195403
SMO,3,90,3.3333333333333335,55,63.2183908045977
SMARCA4,3,90,3.3333333333333335,57,65.51724137931035
SETBP1,3,90,3.3333333333333335,38,43.67816091954023
ATRX,3,90,3.3333333333333335,57,65.51724137931035
PREX2,3,90,3.3333333333333335,49,56.32183908045977
DPYD,3,90,3.3333333333333335,34,39.08045977011494
ABCB1,3,90,3.3333333333333335,56,64.36781609195403
PER3,3,90,3.3333333333333335,42,48.275862068965516
ALOX5,3,90,3.3333333333333335,34,39.08045977011494
LRP1B,3,90,3.3333333333333335,33,37.93103448275862
JAK3,3,90,3.3333333333333335,56,64.36781609195403
PI4KA,3,90,3.3333333333333335,49,56.32183908045977
FANCM,3,90,3.3333333333333335,38,43.67816091954023
FMN2,3,90,3.3333333333333335,28,32.18390804597701
SETD5,3,90,3.3333333333333335,31,35.63218390804598
CHD7,3,90,3.3333333333333335,48,55.172413793103445
IRS4,3,90,3.3333333333333335,56,64.36781609195403
KMT2C,3,90,3.3333333333333335,55,63.2183908045977
KMT2A,3,90,3.3333333333333335,31,35.63218390804598
NRK,3,90,3.3333333333333335,56,64.36781609195403
ATP2B3,3,90,3.3333333333333335,60,68.96551724137932
PLEC,3,90,3.3333333333333335,53,60.91954022988506
SEC31A,3,90,3.3333333333333335,45,51.724137931034484
UBR5,3,90,3.3333333333333335,49,56.32183908045977
WNK2,3,90,3.3333333333333335,34,39.08045977011494
EPHB4,3,90,3.3333333333333335,56,64.36781609195403
APC,3,90,3.3333333333333335,60,68.96551724137932
CUX1,3,90,3.3333333333333335,55,63.2183908045977
CTNND2,3,90,3.3333333333333335,64,73.5632183908046
FLT4,3,90,3.3333333333333335,62,71.26436781609196
EZHIP,3,90,3.3333333333333335,0,0.0
ERBB4,3,90,3.3333333333333335,28,32.18390804597701
FLNA,3,90,3.3333333333333335,60,68.96551724137932
PARP1,3,90,3.3333333333333335,25,28.735632183908045
PIK3C2G,3,90,3.3333333333333335,64,73.5632183908046
GRM3,3,90,3.3333333333333335,55,63.2183908045977
NOTCH3,3,90,3.3333333333333335,58,66.66666666666666
ATF7IP,3,90,3.3333333333333335,64,73.5632183908046
ASMTL,3,90,3.3333333333333335,59,67.81609195402298
PRUNE2,3,90,3.3333333333333335,34,39.08045977011494
PTPRS,3,90,3.3333333333333335,57,65.51724137931035
FAT1,3,90,3.3333333333333335,46,52.87356321839081
RAD50,3,90,3.3333333333333335,61,70.11494252873564
PTPRT,3,90,3.3333333333333335,52,59.77011494252874
ZRSR2,2,90,2.2222222222222223,57,65.51724137931035
XPC,2,90,2.2222222222222223,31,35.63218390804598
CARD11,2,90,2.2222222222222223,55,63.2183908045977
CAMTA1,2,90,2.2222222222222223,42,48.275862068965516
NACA,2,90,2.2222222222222223,69,79.3103448275862
ZFHX3,2,90,2.2222222222222223,55,63.2183908045977
NCOA1,2,90,2.2222222222222223,32,36.7816091954023
NCOA2,2,90,2.2222222222222223,49,56.32183908045977
ZEB1,2,90,2.2222222222222223,32,36.7816091954023
MGA,2,90,2.2222222222222223,33,37.93103448275862
MSH2,2,90,2.2222222222222223,32,36.7816091954023
ZMYM2,2,90,2.2222222222222223,44,50.57471264367817
TOP1,2,90,2.2222222222222223,52,59.77011494252874
NTRK3,2,90,2.2222222222222223,31,35.63218390804598
TLX3,2,90,2.2222222222222223,62,71.26436781609196
POLE,2,90,2.2222222222222223,66,75.86206896551724
PMS2,2,90,2.2222222222222223,56,64.36781609195403
SF3B1,2,90,2.2222222222222223,28,32.18390804597701
PML,2,90,2.2222222222222223,31,35.63218390804598
PDGFRB,2,90,2.2222222222222223,63,72.41379310344827
PDE4DIP,2,90,2.2222222222222223,29,33.33333333333333
MIDEAS,2,90,2.2222222222222223,0,0.0
BMPR1A,2,90,2.2222222222222223,36,41.37931034482759
STK11,2,90,2.2222222222222223,56,64.36781609195403
PATZ1,2,90,2.2222222222222223,48,55.172413793103445
RUNX1T1,2,90,2.2222222222222223,49,56.32183908045977
ATR,2,90,2.2222222222222223,36,41.37931034482759
SNCAIP,2,90,2.2222222222222223,63,72.41379310344827
SEPTIN6,2,90,2.2222222222222223,0,0.0
PASK,2,90,2.2222222222222223,34,39.08045977011494
BCR,2,90,2.2222222222222223,47,54.02298850574713
RASGEF1A,2,90,2.2222222222222223,34,39.08045977011494
PLCG1,2,90,2.2222222222222223,52,59.77011494252874
ACSL3,2,90,2.2222222222222223,29,33.33333333333333
AFF3,2,90,2.2222222222222223,28,32.18390804597701
RECQL4,2,90,2.2222222222222223,52,59.77011494252874
ROS1,2,90,2.2222222222222223,34,39.08045977011494
TRRAP,2,90,2.2222222222222223,56,64.36781609195403
USP9X,2,90,2.2222222222222223,58,66.66666666666666
HOXA3,2,90,2.2222222222222223,53,60.91954022988506
KDM2B,2,90,2.2222222222222223,66,75.86206896551724
TGFBR2,2,90,2.2222222222222223,31,35.63218390804598
TCF7L2,2,90,2.2222222222222223,36,41.37931034482759
TNC,2,90,2.2222222222222223,37,42.5287356321839
CNTNAP2,2,90,2.2222222222222223,55,63.2183908045977
SOX10,2,90,2.2222222222222223,50,57.47126436781609
APEX1,2,90,2.2222222222222223,41,47.12643678160919
CHD2,2,90,2.2222222222222223,32,36.7816091954023
CHEK2,2,90,2.2222222222222223,49,56.32183908045977
ALDH1L2,2,90,2.2222222222222223,66,75.86206896551724
ANKRD26,2,90,2.2222222222222223,36,41.37931034482759
TOP2A,2,90,2.2222222222222223,30,34.48275862068966
DOT1L,2,90,2.2222222222222223,57,65.51724137931035
CDH2,2,90,2.2222222222222223,38,43.67816091954023
MAP3K1,2,90,2.2222222222222223,62,71.26436781609196
SP140,2,90,2.2222222222222223,31,35.63218390804598
CPS1,2,90,2.2222222222222223,28,32.18390804597701
IRF2,2,90,2.2222222222222223,46,52.87356321839081
EPHB1,2,90,2.2222222222222223,36,41.37931034482759
CRTC3,2,90,2.2222222222222223,31,35.63218390804598
IKZF1,2,90,2.2222222222222223,51,58.620689655172406
MKI67,2,90,2.2222222222222223,36,41.37931034482759
MGAM,2,90,2.2222222222222223,55,63.2183908045977
NFE2,2,90,2.2222222222222223,67,77.01149425287356
ROBO1,2,90,2.2222222222222223,34,39.08045977011494
CSPG4,2,90,2.2222222222222223,33,37.93103448275862
TET3,2,90,2.2222222222222223,31,35.63218390804598
ANKRD11,2,90,2.2222222222222223,55,63.2183908045977
KAT6A,2,90,2.2222222222222223,49,56.32183908045977
KEAP1,2,90,2.2222222222222223,58,66.66666666666666
ABCC4,2,90,2.2222222222222223,44,50.57471264367817
ALPK1,2,90,2.2222222222222223,45,51.724137931034484
LPA,2,90,2.2222222222222223,33,37.93103448275862
DSP,2,90,2.2222222222222223,32,36.7816091954023
MDM2,2,90,2.2222222222222223,69,79.3103448275862
MLH1,2,90,2.2222222222222223,30,34.48275862068966
MGMT,2,90,2.2222222222222223,37,42.5287356321839
ERCC1,2,90,2.2222222222222223,59,67.81609195402298
CDC73,2,90,2.2222222222222223,27,31.03448275862069
EGFR,2,90,2.2222222222222223,51,58.620689655172406
KEL,2,90,2.2222222222222223,55,63.2183908045977
PIK3CG,2,90,2.2222222222222223,55,63.2183908045977
HSP90AB1,2,90,2.2222222222222223,32,36.7816091954023
HDAC1,2,90,2.2222222222222223,33,37.93103448275862
MAP3K14,2,90,2.2222222222222223,27,31.03448275862069
DCC,2,90,2.2222222222222223,40,45.97701149425287
MEF2C,2,90,2.2222222222222223,59,67.81609195402298
FGF3,2,90,2.2222222222222223,27,31.03448275862069
DCAF12L2,2,90,2.2222222222222223,56,64.36781609195403
CEP43,2,90,2.2222222222222223,0,0.0
ARID4B,2,90,2.2222222222222223,27,31.03448275862069
ARID4A,2,90,2.2222222222222223,36,41.37931034482759
GNB1,2,90,2.2222222222222223,39,44.827586206896555
H1-4,2,90,2.2222222222222223,0,0.0
EBF1,2,90,2.2222222222222223,61,70.11494252873564
GATA4,2,90,2.2222222222222223,51,58.620689655172406
FGF23,2,90,2.2222222222222223,65,74.71264367816092
DROSHA,2,90,2.2222222222222223,64,73.5632183908046
PTPN2,2,90,2.2222222222222223,40,45.97701149425287
PIK3C3,2,90,2.2222222222222223,39,44.827586206896555
FADD,2,90,2.2222222222222223,27,31.03448275862069
RTEL1,2,90,2.2222222222222223,55,63.2183908045977
PRDM14,2,90,2.2222222222222223,49,56.32183908045977
NOTCH4,2,90,2.2222222222222223,31,35.63218390804598
PAK5,2,90,2.2222222222222223,0,0.0
UPF1,2,90,2.2222222222222223,56,64.36781609195403
TYK2,2,90,2.2222222222222223,58,66.66666666666666
FAM135B,2,90,2.2222222222222223,52,59.77011494252874
FAM47C,2,90,2.2222222222222223,57,65.51724137931035
PTCH1,2,90,2.2222222222222223,34,39.08045977011494
WWP1,2,90,2.2222222222222223,49,56.32183908045977
ETV1,2,90,2.2222222222222223,54,62.06896551724138
ACTG1,2,90,2.2222222222222223,32,36.7816091954023
RAD17,2,90,2.2222222222222223,60,68.96551724137932
RANBP2,2,90,2.2222222222222223,29,33.33333333333333
RBM10,2,90,2.2222222222222223,58,66.66666666666666
RB1,2,90,2.2222222222222223,45,51.724137931034484
ANK1,2,90,2.2222222222222223,49,56.32183908045977
ARHGAP35,2,90,2.2222222222222223,60,68.96551724137932
TLE4,2,90,2.2222222222222223,34,39.08045977011494
TNFRSF11A,2,90,2.2222222222222223,40,45.97701149425287
ZNF292,1,90,1.1111111111111112,32,36.7816091954023
SAMD9L,1,90,1.1111111111111112,55,63.2183908045977
ASXL2,1,90,1.1111111111111112,32,36.7816091954023
ATF1,1,90,1.1111111111111112,67,77.01149425287356
BAP1,1,90,1.1111111111111112,31,35.63218390804598
SFRP2,1,90,1.1111111111111112,43,49.42528735632184
SLIT3,1,90,1.1111111111111112,62,71.26436781609196
PCLO,1,90,1.1111111111111112,55,63.2183908045977
PDCD11,1,90,1.1111111111111112,35,40.229885057471265
PHF1,1,90,1.1111111111111112,30,34.48275862068966
PRPF8,1,90,1.1111111111111112,41,47.12643678160919
PRSS8,1,90,1.1111111111111112,51,58.620689655172406
BAZ1A,1,90,1.1111111111111112,40,45.97701149425287
BCL11B,1,90,1.1111111111111112,37,42.5287356321839
BCL3,1,90,1.1111111111111112,58,66.66666666666666
BCOR,1,90,1.1111111111111112,58,66.66666666666666
PUM1,1,90,1.1111111111111112,35,40.229885057471265
FBLN2,1,90,1.1111111111111112,31,35.63218390804598
SPRED1,1,90,1.1111111111111112,31,35.63218390804598
STK19,1,90,1.1111111111111112,31,35.63218390804598
TAP1,1,90,1.1111111111111112,31,35.63218390804598
ADGRA2,1,90,1.1111111111111112,0,0.0
ERCC4,1,90,1.1111111111111112,52,59.77011494252874
ERCC5,1,90,1.1111111111111112,44,50.57471264367817
ERG,1,90,1.1111111111111112,44,50.57471264367817
ESR1,1,90,1.1111111111111112,35,40.229885057471265
ETV5,1,90,1.1111111111111112,35,40.229885057471265
EXT1,1,90,1.1111111111111112,50,57.47126436781609
APLNR,1,90,1.1111111111111112,28,32.18390804597701
ARHGEF28,1,90,1.1111111111111112,59,67.81609195402298
ARID3A,1,90,1.1111111111111112,56,64.36781609195403
ARID3B,1,90,1.1111111111111112,33,37.93103448275862
PTPN11,1,90,1.1111111111111112,67,77.01149425287356
EP400,1,90,1.1111111111111112,67,77.01149425287356
INPP4A,1,90,1.1111111111111112,29,33.33333333333333
MAPKAP1,1,90,1.1111111111111112,37,42.5287356321839
MTAP,1,90,1.1111111111111112,42,48.275862068965516
NKX3-1,1,90,1.1111111111111112,48,55.172413793103445
FBXO11,1,90,1.1111111111111112,31,35.63218390804598
FBXW7,1,90,1.1111111111111112,42,48.275862068965516
FCRL4,1,90,1.1111111111111112,25,28.735632183908045
FES,1,90,1.1111111111111112,32,36.7816091954023
FGFR2,1,90,1.1111111111111112,36,41.37931034482759
FGFR4,1,90,1.1111111111111112,63,72.41379310344827
PLK2,1,90,1.1111111111111112,61,70.11494252873564
RECQL,1,90,1.1111111111111112,65,74.71264367816092
RPS6KA4,1,90,1.1111111111111112,29,33.33333333333333
