gene,mutation_count,sample_count,mutation_percentage
TP53,15,90,16.666666666666664
MUC16,14,90,15.555555555555555
CTNNB1,13,90,14.444444444444443
NF1,7,90,7.777777777777778
ATM,6,90,6.666666666666667
FAT3,6,90,6.666666666666667
KMT2D,6,90,6.666666666666667
HSPG2,6,90,6.666666666666667
PRKAR1A,5,90,5.555555555555555
MEN1,5,90,5.555555555555555
KMT2B,5,90,5.555555555555555
CSMD3,5,90,5.555555555555555
FBN2,5,90,5.555555555555555
ROBO2,5,90,5.555555555555555
FAT4,5,90,5.555555555555555
ADGRG4,4,90,4.444444444444445
PEG3,4,90,4.444444444444445
ZNRF3,4,90,4.444444444444445
SMC1A,4,90,4.444444444444445
CDH4,4,90,4.444444444444445
GNAS,4,90,4.444444444444445
PTPRD,4,90,4.444444444444445
SLIT2,4,90,4.444444444444445
BCORL1,4,90,4.444444444444445
SMC3,4,90,4.444444444444445
FLG,4,90,4.444444444444445
RELN,4,90,4.444444444444445
DAXX,4,90,4.444444444444445
ASPM,4,90,4.444444444444445
RET,3,90,3.3333333333333335
RPL22,3,90,3.3333333333333335
ALK,3,90,3.3333333333333335
PAK3,3,90,3.3333333333333335
NSD1,3,90,3.3333333333333335
TET1,3,90,3.3333333333333335
VAV1,3,90,3.3333333333333335
SMO,3,90,3.3333333333333335
SMARCA4,3,90,3.3333333333333335
SETBP1,3,90,3.3333333333333335
ATRX,3,90,3.3333333333333335
PREX2,3,90,3.3333333333333335
DPYD,3,90,3.3333333333333335
ABCB1,3,90,3.3333333333333335
PER3,3,90,3.3333333333333335
ALOX5,3,90,3.3333333333333335
LRP1B,3,90,3.3333333333333335
JAK3,3,90,3.3333333333333335
PI4KA,3,90,3.3333333333333335
FANCM,3,90,3.3333333333333335
FMN2,3,90,3.3333333333333335
SETD5,3,90,3.3333333333333335
CHD7,3,90,3.3333333333333335
IRS4,3,90,3.3333333333333335
KMT2C,3,90,3.3333333333333335
KMT2A,3,90,3.3333333333333335
NRK,3,90,3.3333333333333335
ATP2B3,3,90,3.3333333333333335
PLEC,3,90,3.3333333333333335
SEC31A,3,90,3.3333333333333335
UBR5,3,90,3.3333333333333335
WNK2,3,90,3.3333333333333335
EPHB4,3,90,3.3333333333333335
APC,3,90,3.3333333333333335
CUX1,3,90,3.3333333333333335
CTNND2,3,90,3.3333333333333335
FLT4,3,90,3.3333333333333335
EZHIP,3,90,3.3333333333333335
ERBB4,3,90,3.3333333333333335
FLNA,3,90,3.3333333333333335
PARP1,3,90,3.3333333333333335
PIK3C2G,3,90,3.3333333333333335
GRM3,3,90,3.3333333333333335
NOTCH3,3,90,3.3333333333333335
ATF7IP,3,90,3.3333333333333335
ASMTL,3,90,3.3333333333333335
PRUNE2,3,90,3.3333333333333335
PTPRS,3,90,3.3333333333333335
FAT1,3,90,3.3333333333333335
RAD50,3,90,3.3333333333333335
PTPRT,3,90,3.3333333333333335
ZRSR2,2,90,2.2222222222222223
XPC,2,90,2.2222222222222223
CARD11,2,90,2.2222222222222223
CAMTA1,2,90,2.2222222222222223
NACA,2,90,2.2222222222222223
ZFHX3,2,90,2.2222222222222223
NCOA1,2,90,2.2222222222222223
NCOA2,2,90,2.2222222222222223
ZEB1,2,90,2.2222222222222223
MGA,2,90,2.2222222222222223
MSH2,2,90,2.2222222222222223
ZMYM2,2,90,2.2222222222222223
TOP1,2,90,2.2222222222222223
NTRK3,2,90,2.2222222222222223
TLX3,2,90,2.2222222222222223
POLE,2,90,2.2222222222222223
PMS2,2,90,2.2222222222222223
SF3B1,2,90,2.2222222222222223
PML,2,90,2.2222222222222223
PDGFRB,2,90,2.2222222222222223
PDE4DIP,2,90,2.2222222222222223
MIDEAS,2,90,2.2222222222222223
BMPR1A,2,90,2.2222222222222223
STK11,2,90,2.2222222222222223
PATZ1,2,90,2.2222222222222223
RUNX1T1,2,90,2.2222222222222223
ATR,2,90,2.2222222222222223
SNCAIP,2,90,2.2222222222222223
SEPTIN6,2,90,2.2222222222222223
PASK,2,90,2.2222222222222223
BCR,2,90,2.2222222222222223
RASGEF1A,2,90,2.2222222222222223
PLCG1,2,90,2.2222222222222223
ACSL3,2,90,2.2222222222222223
AFF3,2,90,2.2222222222222223
RECQL4,2,90,2.2222222222222223
ROS1,2,90,2.2222222222222223
TRRAP,2,90,2.2222222222222223
USP9X,2,90,2.2222222222222223
HOXA3,2,90,2.2222222222222223
KDM2B,2,90,2.2222222222222223
TGFBR2,2,90,2.2222222222222223
TCF7L2,2,90,2.2222222222222223
TNC,2,90,2.2222222222222223
CNTNAP2,2,90,2.2222222222222223
SOX10,2,90,2.2222222222222223
APEX1,2,90,2.2222222222222223
CHD2,2,90,2.2222222222222223
CHEK2,2,90,2.2222222222222223
ALDH1L2,2,90,2.2222222222222223
ANKRD26,2,90,2.2222222222222223
TOP2A,2,90,2.2222222222222223
DOT1L,2,90,2.2222222222222223
CDH2,2,90,2.2222222222222223
MAP3K1,2,90,2.2222222222222223
SP140,2,90,2.2222222222222223
CPS1,2,90,2.2222222222222223
IRF2,2,90,2.2222222222222223
EPHB1,2,90,2.2222222222222223
CRTC3,2,90,2.2222222222222223
IKZF1,2,90,2.2222222222222223
MKI67,2,90,2.2222222222222223
MGAM,2,90,2.2222222222222223
NFE2,2,90,2.2222222222222223
ROBO1,2,90,2.2222222222222223
CSPG4,2,90,2.2222222222222223
TET3,2,90,2.2222222222222223
ANKRD11,2,90,2.2222222222222223
KAT6A,2,90,2.2222222222222223
KEAP1,2,90,2.2222222222222223
ABCC4,2,90,2.2222222222222223
ALPK1,2,90,2.2222222222222223
LPA,2,90,2.2222222222222223
DSP,2,90,2.2222222222222223
MDM2,2,90,2.2222222222222223
MLH1,2,90,2.2222222222222223
MGMT,2,90,2.2222222222222223
ERCC1,2,90,2.2222222222222223
CDC73,2,90,2.2222222222222223
EGFR,2,90,2.2222222222222223
KEL,2,90,2.2222222222222223
PIK3CG,2,90,2.2222222222222223
HSP90AB1,2,90,2.2222222222222223
HDAC1,2,90,2.2222222222222223
MAP3K14,2,90,2.2222222222222223
DCC,2,90,2.2222222222222223
MEF2C,2,90,2.2222222222222223
FGF3,2,90,2.2222222222222223
DCAF12L2,2,90,2.2222222222222223
CEP43,2,90,2.2222222222222223
ARID4B,2,90,2.2222222222222223
ARID4A,2,90,2.2222222222222223
GNB1,2,90,2.2222222222222223
H1-4,2,90,2.2222222222222223
