gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,201,408,49.26470588235294,250,61.88118811881188
MUC16,127,408,31.127450980392158,197,48.76237623762376
KMT2D,114,408,27.941176470588236,154,38.11881188118812
KDM6A,107,408,26.225490196078432,157,38.86138613861386
ARID1A,104,408,25.49019607843137,161,39.851485148514854
PIK3CA,86,408,21.07843137254902,229,56.683168316831676
KMT2C,76,408,18.627450980392158,184,45.54455445544555
RB1,72,408,17.647058823529413,220,54.45544554455446
FAT4,69,408,16.911764705882355,188,46.53465346534654
FLG,67,408,16.42156862745098,216,53.46534653465347
CSMD3,63,408,15.441176470588236,269,66.58415841584159
STAG2,61,408,14.950980392156863,143,35.396039603960396
EP300,60,408,14.705882352941178,230,56.930693069306926
FGFR3,57,408,13.970588235294118,206,50.99009900990099
ELF3,56,408,13.725490196078432,192,47.524752475247524
BIRC6,56,408,13.725490196078432,162,40.099009900990104
FAT3,56,408,13.725490196078432,189,46.78217821782179
ATM,55,408,13.480392156862745,195,48.26732673267327
ERBB2,54,408,13.23529411764706,190,47.02970297029702
LRP1B,54,408,13.23529411764706,195,48.26732673267327
CREBBP,51,408,12.5,214,52.97029702970298
KMT2A,49,408,12.009803921568627,196,48.51485148514851
RNF213,48,408,11.76470588235294,210,51.98019801980198
PCLO,46,408,11.27450980392157,184,45.54455445544555
FAT1,46,408,11.27450980392157,212,52.475247524752476
AKAP9,45,408,11.029411764705882,187,46.28712871287129
MKI67,44,408,10.784313725490197,199,49.257425742574256
ERBB3,43,408,10.53921568627451,154,38.11881188118812
MYH9,42,408,10.294117647058822,227,56.188118811881196
CDKN1A,41,408,10.049019607843137,186,46.03960396039604
PLEC,41,408,10.049019607843137,263,65.0990099009901
ERCC2,40,408,9.803921568627452,214,52.97029702970298
RELN,39,408,9.558823529411764,186,46.03960396039604
LRRK2,39,408,9.558823529411764,162,40.099009900990104
BRCA2,38,408,9.313725490196079,201,49.75247524752475
COL6A3,37,408,9.068627450980392,217,53.71287128712871
FBXW7,37,408,9.068627450980392,203,50.24752475247525
FAT2,36,408,8.823529411764707,218,53.960396039603964
HSPG2,36,408,8.823529411764707,159,39.35643564356436
SPEN,35,408,8.57843137254902,158,39.10891089108911
TRRAP,35,408,8.57843137254902,183,45.2970297029703
ZFHX3,35,408,8.57843137254902,211,52.22772277227723
TSC1,34,408,8.333333333333332,225,55.693069306930695
PRKDC,34,408,8.333333333333332,247,61.13861386138614
CHD7,34,408,8.333333333333332,249,61.633663366336634
ASXL2,34,408,8.333333333333332,170,42.07920792079208
UBR5,33,408,8.088235294117647,267,66.0891089108911
POLQ,33,408,8.088235294117647,211,52.22772277227723
NF1,33,408,8.088235294117647,198,49.00990099009901
NCOR1,33,408,8.088235294117647,250,61.88118811881188
ZFP36L1,33,408,8.088235294117647,198,49.00990099009901
ARID2,32,408,7.8431372549019605,154,38.11881188118812
COL6A6,31,408,7.598039215686274,216,53.46534653465347
PREX2,31,408,7.598039215686274,245,60.64356435643564
FBN2,31,408,7.598039215686274,221,54.70297029702971
DCC,31,408,7.598039215686274,235,58.168316831683164
PTPRD,30,408,7.352941176470589,277,68.56435643564357
FMN2,30,408,7.352941176470589,192,47.524752475247524
SZT2,30,408,7.352941176470589,143,35.396039603960396
DSP,30,408,7.352941176470589,206,50.99009900990099
ANKRD11,30,408,7.352941176470589,203,50.24752475247525
ATR,29,408,7.107843137254902,221,54.70297029702971
CDK12,29,408,7.107843137254902,190,47.02970297029702
ARID1B,28,408,6.862745098039216,221,54.70297029702971
RANBP2,28,408,6.862745098039216,146,36.13861386138614
ROBO2,27,408,6.61764705882353,211,52.22772277227723
CTNNA2,27,408,6.61764705882353,160,39.603960396039604
ASPM,27,408,6.61764705882353,191,47.277227722772274
CHD4,27,408,6.61764705882353,182,45.04950495049505
CNTNAP2,27,408,6.61764705882353,189,46.78217821782179
PDE4DIP,27,408,6.61764705882353,204,50.495049504950494
RXRA,27,408,6.61764705882353,225,55.693069306930695
SMARCA2,26,408,6.372549019607843,260,64.35643564356435
TP53BP1,26,408,6.372549019607843,189,46.78217821782179
NFE2L2,26,408,6.372549019607843,166,41.089108910891085
TET1,26,408,6.372549019607843,187,46.28712871287129
ZNF292,26,408,6.372549019607843,203,50.24752475247525
CTNND2,26,408,6.372549019607843,239,59.15841584158416
MGA,26,408,6.372549019607843,193,47.77227722772277
EP400,26,408,6.372549019607843,187,46.28712871287129
ADAMTS9,26,408,6.372549019607843,216,53.46534653465347
SMARCA4,25,408,6.127450980392156,197,48.76237623762376
TPR,25,408,6.127450980392156,197,48.76237623762376
NIN,25,408,6.127450980392156,191,47.277227722772274
POLE,25,408,6.127450980392156,185,45.79207920792079
REV3L,25,408,6.127450980392156,216,53.46534653465347
APC,25,408,6.127450980392156,225,55.693069306930695
PDZD2,25,408,6.127450980392156,230,56.930693069306926
EPHA5,25,408,6.127450980392156,171,42.32673267326732
PEG3,25,408,6.127450980392156,215,53.21782178217822
ANK1,25,408,6.127450980392156,258,63.86138613861386
CDKN2A,25,408,6.127450980392156,296,73.26732673267327
DOT1L,25,408,6.127450980392156,199,49.257425742574256
ADGRG4,25,408,6.127450980392156,0,0.0
NSD1,25,408,6.127450980392156,228,56.43564356435643
STAG1,24,408,5.88235294117647,218,53.960396039603964
CAMTA1,24,408,5.88235294117647,164,40.5940594059406
PTPRT,24,408,5.88235294117647,257,63.613861386138616
HSP90AA1,24,408,5.88235294117647,195,48.26732673267327
