gene,mutation_count,sample_count,mutation_percentage
TP53,201,408,49.26470588235294
MUC16,127,408,31.127450980392158
KMT2D,114,408,27.941176470588236
KDM6A,107,408,26.225490196078432
ARID1A,104,408,25.49019607843137
PIK3CA,86,408,21.07843137254902
KMT2C,76,408,18.627450980392158
RB1,72,408,17.647058823529413
FAT4,69,408,16.911764705882355
FLG,67,408,16.42156862745098
CSMD3,63,408,15.441176470588236
STAG2,61,408,14.950980392156863
EP300,60,408,14.705882352941178
FGFR3,57,408,13.970588235294118
ELF3,56,408,13.725490196078432
BIRC6,56,408,13.725490196078432
FAT3,56,408,13.725490196078432
ATM,55,408,13.480392156862745
ERBB2,54,408,13.23529411764706
LRP1B,54,408,13.23529411764706
CREBBP,51,408,12.5
KMT2A,49,408,12.009803921568627
RNF213,48,408,11.76470588235294
PCLO,46,408,11.27450980392157
FAT1,46,408,11.27450980392157
AKAP9,45,408,11.029411764705882
MKI67,44,408,10.784313725490197
ERBB3,43,408,10.53921568627451
MYH9,42,408,10.294117647058822
CDKN1A,41,408,10.049019607843137
PLEC,41,408,10.049019607843137
ERCC2,40,408,9.803921568627452
RELN,39,408,9.558823529411764
LRRK2,39,408,9.558823529411764
BRCA2,38,408,9.313725490196079
COL6A3,37,408,9.068627450980392
FBXW7,37,408,9.068627450980392
FAT2,36,408,8.823529411764707
HSPG2,36,408,8.823529411764707
SPEN,35,408,8.57843137254902
TRRAP,35,408,8.57843137254902
ZFHX3,35,408,8.57843137254902
TSC1,34,408,8.333333333333332
PRKDC,34,408,8.333333333333332
CHD7,34,408,8.333333333333332
ASXL2,34,408,8.333333333333332
UBR5,33,408,8.088235294117647
POLQ,33,408,8.088235294117647
NF1,33,408,8.088235294117647
NCOR1,33,408,8.088235294117647
ZFP36L1,33,408,8.088235294117647
ARID2,32,408,7.8431372549019605
COL6A6,31,408,7.598039215686274
PREX2,31,408,7.598039215686274
FBN2,31,408,7.598039215686274
DCC,31,408,7.598039215686274
PTPRD,30,408,7.352941176470589
FMN2,30,408,7.352941176470589
SZT2,30,408,7.352941176470589
DSP,30,408,7.352941176470589
ANKRD11,30,408,7.352941176470589
ATR,29,408,7.107843137254902
CDK12,29,408,7.107843137254902
ARID1B,28,408,6.862745098039216
RANBP2,28,408,6.862745098039216
ROBO2,27,408,6.61764705882353
CTNNA2,27,408,6.61764705882353
ASPM,27,408,6.61764705882353
CHD4,27,408,6.61764705882353
CNTNAP2,27,408,6.61764705882353
PDE4DIP,27,408,6.61764705882353
RXRA,27,408,6.61764705882353
SMARCA2,26,408,6.372549019607843
TP53BP1,26,408,6.372549019607843
NFE2L2,26,408,6.372549019607843
TET1,26,408,6.372549019607843
ZNF292,26,408,6.372549019607843
CTNND2,26,408,6.372549019607843
MGA,26,408,6.372549019607843
EP400,26,408,6.372549019607843
ADAMTS9,26,408,6.372549019607843
SMARCA4,25,408,6.127450980392156
TPR,25,408,6.127450980392156
NIN,25,408,6.127450980392156
POLE,25,408,6.127450980392156
REV3L,25,408,6.127450980392156
APC,25,408,6.127450980392156
PDZD2,25,408,6.127450980392156
EPHA5,25,408,6.127450980392156
PEG3,25,408,6.127450980392156
ANK1,25,408,6.127450980392156
CDKN2A,25,408,6.127450980392156
DOT1L,25,408,6.127450980392156
ADGRG4,25,408,6.127450980392156
NSD1,25,408,6.127450980392156
STAG1,24,408,5.88235294117647
CAMTA1,24,408,5.88235294117647
PTPRT,24,408,5.88235294117647
HSP90AA1,24,408,5.88235294117647
ARHGAP35,24,408,5.88235294117647
KDM3B,24,408,5.88235294117647
ASXL1,24,408,5.88235294117647
TAF1L,24,408,5.88235294117647
MED12,24,408,5.88235294117647
ZNF521,24,408,5.88235294117647
MUC4,24,408,5.88235294117647
SETD2,24,408,5.88235294117647
MYH11,24,408,5.88235294117647
CLIP1,23,408,5.637254901960785
FAM135B,23,408,5.637254901960785
EPHA3,23,408,5.637254901960785
PIK3C2B,23,408,5.637254901960785
EPHA2,23,408,5.637254901960785
MST1R,23,408,5.637254901960785
MAGI2,23,408,5.637254901960785
NKTR,23,408,5.637254901960785
SMG1,23,408,5.637254901960785
KMT2B,23,408,5.637254901960785
CHD2,23,408,5.637254901960785
CACNA1D,22,408,5.392156862745098
AFDN,22,408,5.392156862745098
ATRX,22,408,5.392156862745098
MECOM,22,408,5.392156862745098
MDC1,22,408,5.392156862745098
FANCA,22,408,5.392156862745098
SF3B1,22,408,5.392156862745098
SOS1,22,408,5.392156862745098
LPA,22,408,5.392156862745098
FLNA,22,408,5.392156862745098
AFF3,22,408,5.392156862745098
MET,22,408,5.392156862745098
PTPRB,21,408,5.147058823529411
LRP6,21,408,5.147058823529411
TNC,21,408,5.147058823529411
KNL1,21,408,5.147058823529411
ACTB,21,408,5.147058823529411
NCOA1,21,408,5.147058823529411
RICTOR,21,408,5.147058823529411
PBRM1,21,408,5.147058823529411
FANCM,21,408,5.147058823529411
MYO18A,21,408,5.147058823529411
ROS1,20,408,4.901960784313726
PPARG,20,408,4.901960784313726
PSIP1,20,408,4.901960784313726
PTPN13,20,408,4.901960784313726
PTPRC,20,408,4.901960784313726
CDH11,20,408,4.901960784313726
CDH4,20,408,4.901960784313726
KAT6A,20,408,4.901960784313726
CLTC,20,408,4.901960784313726
RBM10,20,408,4.901960784313726
BRIP1,20,408,4.901960784313726
NFATC2,20,408,4.901960784313726
PDGFRA,20,408,4.901960784313726
HRAS,20,408,4.901960784313726
MGAM,20,408,4.901960784313726
SLX4,20,408,4.901960784313726
DICER1,19,408,4.6568627450980395
PARP4,19,408,4.6568627450980395
RAD21,19,408,4.6568627450980395
PTPRS,19,408,4.6568627450980395
UPF1,19,408,4.6568627450980395
BRCA1,19,408,4.6568627450980395
SAMD9,19,408,4.6568627450980395
NUP98,19,408,4.6568627450980395
NBEA,19,408,4.6568627450980395
AXIN2,19,408,4.6568627450980395
KLF5,19,408,4.6568627450980395
CDH10,19,408,4.6568627450980395
ZNF208,19,408,4.6568627450980395
N4BP2,19,408,4.6568627450980395
NUMA1,19,408,4.6568627450980395
NUP214,19,408,4.6568627450980395
TP63,19,408,4.6568627450980395
BCL9,19,408,4.6568627450980395
USP9X,19,408,4.6568627450980395
RHOA,18,408,4.411764705882353
TSC2,18,408,4.411764705882353
GRIN2A,18,408,4.411764705882353
KDM5A,18,408,4.411764705882353
ZNF626,18,408,4.411764705882353
CNTRL,18,408,4.411764705882353
FANCD2,18,408,4.411764705882353
