gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,332,969,34.26212590299277,627,66.2090813093981
PIK3CA,331,969,34.15892672858617,358,37.80359028511088
CDH1,131,969,13.519091847265221,676,71.38331573389651
GATA3,127,969,13.106295149638802,377,39.809926082365365
MUC16,127,969,13.106295149638802,399,42.13305174234424
KMT2C,88,969,9.081527347781218,419,44.24498416050686
MAP3K1,85,969,8.771929824561402,431,45.51214361140444
FLG,64,969,6.604747162022703,703,74.23442449841605
PTEN,52,969,5.366357069143446,367,38.75395987328405
NCOR1,51,969,5.263157894736842,610,64.41393875395988
FAT3,45,969,4.643962848297214,501,52.9039070749736
CSMD3,44,969,4.540763673890609,622,65.68109820485745
NF1,42,969,4.3343653250774,508,53.643083421330516
RUNX1,41,969,4.231166150670795,375,39.5987328405491
PCLO,40,969,4.12796697626419,370,39.070749736008445
LRP1B,40,969,4.12796697626419,328,34.63569165786694
ARID1A,39,969,4.024767801857585,457,48.25765575501584
MAP2K4,39,969,4.024767801857585,620,65.46990496304119
SPEN,39,969,4.024767801857585,458,48.36325237592397
KMT2D,36,969,3.7151702786377707,326,34.42449841605069
ASPM,36,969,3.7151702786377707,725,76.55755015839493
PRKDC,35,969,3.611971104231166,543,57.3389651531151
TBX3,35,969,3.611971104231166,347,36.642027455121436
FAT1,35,969,3.611971104231166,403,42.555438225976765
BIRC6,34,969,3.508771929824561,298,31.46779303062302
PRUNE2,34,969,3.508771929824561,376,39.704329461457235
MYH9,33,969,3.4055727554179565,545,57.55015839493136
FMN2,33,969,3.4055727554179565,718,75.81837381203802
RELN,33,969,3.4055727554179565,380,40.12671594508976
MED12,32,969,3.3023735810113517,316,33.36853220696938
CHD4,32,969,3.3023735810113517,378,39.915522703273496
PIK3R1,32,969,3.3023735810113517,424,44.77296726504752
KMT2A,31,969,3.199174406604747,557,58.81731784582893
AKAP9,30,969,3.0959752321981426,369,38.965153115100314
PTPRD,30,969,3.0959752321981426,471,49.736008447729674
ADGRG4,29,969,2.9927760577915374,0,0.0
FOXA1,29,969,2.9927760577915374,402,42.44984160506864
AKT1,28,969,2.8895768833849327,421,44.45617740232313
USP9X,28,969,2.8895768833849327,329,34.74128827877508
TAF1,27,969,2.786377708978328,315,33.262935586061246
PDZD2,27,969,2.786377708978328,407,42.977824709609294
ATM,27,969,2.786377708978328,550,58.07814149947201
PREX2,27,969,2.786377708978328,571,60.295670538542765
RNF213,27,969,2.786377708978328,504,53.220696937697994
NOTCH2,27,969,2.786377708978328,662,69.90496304118268
COL6A3,27,969,2.786377708978328,332,35.05807814149947
FAT4,26,969,2.683178534571723,372,39.281942977824706
RB1,26,969,2.683178534571723,527,55.649419218585
ATRX,26,969,2.683178534571723,319,33.68532206969377
CBFB,26,969,2.683178534571723,675,71.27771911298838
CHD7,26,969,2.683178534571723,558,58.92291446673706
