gene,mutation_count,sample_count,mutation_percentage
TP53,332,969,34.26212590299277
PIK3CA,331,969,34.15892672858617
CDH1,131,969,13.519091847265221
GATA3,127,969,13.106295149638802
MUC16,127,969,13.106295149638802
KMT2C,88,969,9.081527347781218
MAP3K1,85,969,8.771929824561402
FLG,64,969,6.604747162022703
PTEN,52,969,5.366357069143446
NCOR1,51,969,5.263157894736842
FAT3,45,969,4.643962848297214
CSMD3,44,969,4.540763673890609
NF1,42,969,4.3343653250774
RUNX1,41,969,4.231166150670795
PCLO,40,969,4.12796697626419
LRP1B,40,969,4.12796697626419
ARID1A,39,969,4.024767801857585
MAP2K4,39,969,4.024767801857585
SPEN,39,969,4.024767801857585
KMT2D,36,969,3.7151702786377707
ASPM,36,969,3.7151702786377707
PRKDC,35,969,3.611971104231166
TBX3,35,969,3.611971104231166
FAT1,35,969,3.611971104231166
BIRC6,34,969,3.508771929824561
PRUNE2,34,969,3.508771929824561
MYH9,33,969,3.4055727554179565
FMN2,33,969,3.4055727554179565
RELN,33,969,3.4055727554179565
MED12,32,969,3.3023735810113517
CHD4,32,969,3.3023735810113517
PIK3R1,32,969,3.3023735810113517
KMT2A,31,969,3.199174406604747
AKAP9,30,969,3.0959752321981426
PTPRD,30,969,3.0959752321981426
ADGRG4,29,969,2.9927760577915374
FOXA1,29,969,2.9927760577915374
AKT1,28,969,2.8895768833849327
USP9X,28,969,2.8895768833849327
TAF1,27,969,2.786377708978328
PDZD2,27,969,2.786377708978328
ATM,27,969,2.786377708978328
PREX2,27,969,2.786377708978328
RNF213,27,969,2.786377708978328
NOTCH2,27,969,2.786377708978328
COL6A3,27,969,2.786377708978328
FAT4,26,969,2.683178534571723
RB1,26,969,2.683178534571723
ATRX,26,969,2.683178534571723
CBFB,26,969,2.683178534571723
CHD7,26,969,2.683178534571723
MGAM,26,969,2.683178534571723
PTPRB,25,969,2.5799793601651184
FLNA,25,969,2.5799793601651184
BRCA1,25,969,2.5799793601651184
UBR5,25,969,2.5799793601651184
ERBB2,24,969,2.476780185758514
TPR,24,969,2.476780185758514
GRIN2A,24,969,2.476780185758514
BRCA2,24,969,2.476780185758514
NIPBL,23,969,2.3735810113519094
ARID1B,23,969,2.3735810113519094
MTOR,23,969,2.3735810113519094
ZNF292,23,969,2.3735810113519094
FAT2,23,969,2.3735810113519094
CREBBP,23,969,2.3735810113519094
CTCF,23,969,2.3735810113519094
TRRAP,22,969,2.2703818369453046
ERBB3,22,969,2.2703818369453046
ZFHX3,22,969,2.2703818369453046
MGA,22,969,2.2703818369453046
HSPG2,22,969,2.2703818369453046
TAF1L,22,969,2.2703818369453046
MUC4,22,969,2.2703818369453046
SMG1,22,969,2.2703818369453046
MKI67,21,969,2.1671826625387
CPS1,21,969,2.1671826625387
SETD2,21,969,2.1671826625387
FAM47C,21,969,2.1671826625387
ANK1,21,969,2.1671826625387
PLEC,20,969,2.063983488132095
LRRK2,20,969,2.063983488132095
ROS1,20,969,2.063983488132095
ARHGAP35,20,969,2.063983488132095
KDM6A,20,969,2.063983488132095
ZNF208,20,969,2.063983488132095
ATP2B3,19,969,1.9607843137254901
KAT6B,19,969,1.9607843137254901
H3C2,19,969,1.9607843137254901
PEG3,19,969,1.9607843137254901
REV3L,19,969,1.9607843137254901
AFDN,18,969,1.8575851393188854
CAD,18,969,1.8575851393188854
DCC,18,969,1.8575851393188854
DSP,18,969,1.8575851393188854
CASP8,18,969,1.8575851393188854
COL6A6,18,969,1.8575851393188854
ANKRD11,18,969,1.8575851393188854
GRM3,18,969,1.8575851393188854
MED23,18,969,1.8575851393188854
MYH11,18,969,1.8575851393188854
NBEA,18,969,1.8575851393188854
APC,18,969,1.8575851393188854
RANBP2,18,969,1.8575851393188854
AFF3,18,969,1.8575851393188854
ABCB1,17,969,1.7543859649122806
EP300,17,969,1.7543859649122806
TET1,17,969,1.7543859649122806
TNC,17,969,1.7543859649122806
AMER1,17,969,1.7543859649122806
MYO18A,17,969,1.7543859649122806
PIK3C2B,17,969,1.7543859649122806
FAM135B,17,969,1.7543859649122806
EP400,17,969,1.7543859649122806
PDE4DIP,17,969,1.7543859649122806
NIN,17,969,1.7543859649122806
CARD11,17,969,1.7543859649122806
STAG2,17,969,1.7543859649122806
IRS4,17,969,1.7543859649122806
ZMYM3,17,969,1.7543859649122806
ARID4B,17,969,1.7543859649122806
ANKRD26,17,969,1.7543859649122806
SMARCA4,17,969,1.7543859649122806
NRK,17,969,1.7543859649122806
BCORL1,17,969,1.7543859649122806
TRIP11,16,969,1.6511867905056758
ASXL2,16,969,1.6511867905056758
ARID2,16,969,1.6511867905056758
SAMD9,16,969,1.6511867905056758
ROBO1,16,969,1.6511867905056758
CNTNAP2,16,969,1.6511867905056758
STAT4,16,969,1.6511867905056758
CTNNA2,16,969,1.6511867905056758
STAG1,16,969,1.6511867905056758
BCL9,16,969,1.6511867905056758
FBXW7,16,969,1.6511867905056758
CDK12,16,969,1.6511867905056758
CRNKL1,16,969,1.6511867905056758
SF3B1,16,969,1.6511867905056758
CACNA1D,16,969,1.6511867905056758
TP53BP1,16,969,1.6511867905056758
ATXN2,16,969,1.6511867905056758
CASR,16,969,1.6511867905056758
BACH2,16,969,1.6511867905056758
SETDB1,16,969,1.6511867905056758
ATR,16,969,1.6511867905056758
SLIT2,16,969,1.6511867905056758
NSD1,16,969,1.6511867905056758
SAMD9L,15,969,1.5479876160990713
ALK,15,969,1.5479876160990713
TEK,15,969,1.5479876160990713
RUNX1T1,15,969,1.5479876160990713
PARP1,15,969,1.5479876160990713
MAP3K13,15,969,1.5479876160990713
EGFR,15,969,1.5479876160990713
ERBB4,15,969,1.5479876160990713
EPHB1,15,969,1.5479876160990713
CCNB3,15,969,1.5479876160990713
BLM,15,969,1.5479876160990713
XPO1,15,969,1.5479876160990713
SZT2,15,969,1.5479876160990713
POLQ,15,969,1.5479876160990713
LPA,15,969,1.5479876160990713
BCOR,14,969,1.4447884416924663
MAGI2,14,969,1.4447884416924663
MAGED1,14,969,1.4447884416924663
FGFR2,14,969,1.4447884416924663
RICTOR,14,969,1.4447884416924663
CTNND2,14,969,1.4447884416924663
BRIP1,14,969,1.4447884416924663
GNAS,14,969,1.4447884416924663
EPHA5,14,969,1.4447884416924663
RGS7,14,969,1.4447884416924663
IKBKE,14,969,1.4447884416924663
NUP98,14,969,1.4447884416924663
CDH10,14,969,1.4447884416924663
ARHGAP5,13,969,1.3415892672858616
CHD2,13,969,1.3415892672858616
MYO5A,13,969,1.3415892672858616
KDM4C,13,969,1.3415892672858616
CUX1,13,969,1.3415892672858616
FBN2,13,969,1.3415892672858616
MECOM,13,969,1.3415892672858616
WRN,13,969,1.3415892672858616
UBA1,13,969,1.3415892672858616
CNTRL,13,969,1.3415892672858616
PRPF8,13,969,1.3415892672858616
PRKCB,13,969,1.3415892672858616
KMT2B,13,969,1.3415892672858616
CLIP1,13,969,1.3415892672858616
TCF4,13,969,1.3415892672858616
EIF4A2,13,969,1.3415892672858616
DNMT1,13,969,1.3415892672858616
AFF1,13,969,1.3415892672858616
SNCAIP,13,969,1.3415892672858616
