gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
PIK3CA,81,287,28.222996515679444,215,77.89855072463769
MUC16,61,287,21.254355400696863,117,42.391304347826086
KMT2C,55,287,19.16376306620209,96,34.78260869565217
KMT2D,47,287,16.376306620209057,66,23.91304347826087
EP300,37,287,12.89198606271777,109,39.492753623188406
LRP1B,37,287,12.89198606271777,121,43.84057971014493
FLG,36,287,12.543554006968641,159,57.608695652173914
FBXW7,34,287,11.846689895470384,125,45.289855072463766
FAT1,27,287,9.40766550522648,130,47.10144927536232
PRKDC,26,287,9.059233449477352,96,34.78260869565217
CREBBP,26,287,9.059233449477352,91,32.971014492753625
PCLO,26,287,9.059233449477352,80,28.985507246376812
FLNA,25,287,8.710801393728223,119,43.11594202898551
FAT4,25,287,8.710801393728223,113,40.94202898550724
ZFHX3,23,287,8.013937282229964,89,32.2463768115942
CSMD3,23,287,8.013937282229964,125,45.289855072463766
MKI67,23,287,8.013937282229964,102,36.95652173913043
PLEC,23,287,8.013937282229964,130,47.10144927536232
TP53,21,287,7.317073170731707,117,42.391304347826086
NOTCH1,21,287,7.317073170731707,108,39.130434782608695
SMG1,21,287,7.317073170731707,82,29.71014492753623
CHD7,21,287,7.317073170731707,104,37.68115942028986
PTEN,21,287,7.317073170731707,100,36.231884057971016
NSD1,21,287,7.317073170731707,97,35.14492753623188
HSPG2,21,287,7.317073170731707,108,39.130434782608695
ASPM,21,287,7.317073170731707,151,54.710144927536234
SPEN,21,287,7.317073170731707,111,40.21739130434783
MED12,20,287,6.968641114982578,91,32.971014492753625
FAT2,19,287,6.620209059233449,90,32.608695652173914
ATRX,19,287,6.620209059233449,90,32.608695652173914
NIPBL,19,287,6.620209059233449,126,45.65217391304348
ARID1A,19,287,6.620209059233449,104,37.68115942028986
FAM47C,19,287,6.620209059233449,102,36.95652173913043
LRRK2,18,287,6.2717770034843205,65,23.55072463768116
COL6A3,18,287,6.2717770034843205,125,45.289855072463766
TRRAP,18,287,6.2717770034843205,78,28.26086956521739
EP400,18,287,6.2717770034843205,68,24.637681159420293
ADGRG4,18,287,6.2717770034843205,0,0.0
TSC2,17,287,5.923344947735192,95,34.42028985507246
DSP,17,287,5.923344947735192,106,38.405797101449274
PDZD2,17,287,5.923344947735192,127,46.01449275362319
PTPN13,17,287,5.923344947735192,120,43.47826086956522
RB1,17,287,5.923344947735192,133,48.188405797101446
CDK12,17,287,5.923344947735192,76,27.536231884057973
LRP5,17,287,5.923344947735192,103,37.31884057971014
TAF1,17,287,5.923344947735192,93,33.69565217391305
NCOR1,17,287,5.923344947735192,116,42.028985507246375
NFE2L2,17,287,5.923344947735192,80,28.985507246376812
NF1,17,287,5.923344947735192,75,27.173913043478258
RELN,16,287,5.574912891986063,79,28.6231884057971
BIRC6,16,287,5.574912891986063,88,31.88405797101449
CNTNAP2,16,287,5.574912891986063,96,34.78260869565217
ERBB2,16,287,5.574912891986063,82,29.71014492753623
BCOR,16,287,5.574912891986063,101,36.594202898550726
PRUNE2,16,287,5.574912891986063,103,37.31884057971014
FAT3,16,287,5.574912891986063,137,49.63768115942029
HLA-A,16,287,5.574912891986063,108,39.130434782608695
RNF213,16,287,5.574912891986063,104,37.68115942028986
PTPRD,15,287,5.2264808362369335,116,42.028985507246375
LATS1,15,287,5.2264808362369335,112,40.57971014492754
SETD2,15,287,5.2264808362369335,145,52.53623188405797
SMARCA4,15,287,5.2264808362369335,116,42.028985507246375
ERBB3,15,287,5.2264808362369335,64,23.18840579710145
KRAS,15,287,5.2264808362369335,94,34.05797101449276
DCC,15,287,5.2264808362369335,112,40.57971014492754
MGA,15,287,5.2264808362369335,107,38.768115942028984
NOTCH3,15,287,5.2264808362369335,107,38.768115942028984
MYH9,15,287,5.2264808362369335,101,36.594202898550726
CASP8,14,287,4.878048780487805,104,37.68115942028986
STK11,14,287,4.878048780487805,133,48.188405797101446
CSPG4,14,287,4.878048780487805,111,40.21739130434783
FMN2,14,287,4.878048780487805,155,56.15942028985508
FLT1,14,287,4.878048780487805,119,43.11594202898551
BCORL1,14,287,4.878048780487805,103,37.31884057971014
MGAM,14,287,4.878048780487805,89,32.2463768115942
CIC,14,287,4.878048780487805,111,40.21739130434783
PTPRT,14,287,4.878048780487805,132,47.82608695652174
BRCA1,14,287,4.878048780487805,77,27.898550724637683
CNTRL,14,287,4.878048780487805,100,36.231884057971016
PUM1,14,287,4.878048780487805,102,36.95652173913043
DICER1,14,287,4.878048780487805,96,34.78260869565217
PRPF8,14,287,4.878048780487805,116,42.028985507246375
ARID1B,14,287,4.878048780487805,111,40.21739130434783
FBN2,14,287,4.878048780487805,90,32.608695652173914
EPHA2,14,287,4.878048780487805,108,39.130434782608695
RANBP2,14,287,4.878048780487805,69,25.0
AFF3,14,287,4.878048780487805,67,24.27536231884058
