gene,mutation_count,sample_count,mutation_percentage
PIK3CA,81,287,28.222996515679444
MUC16,61,287,21.254355400696863
KMT2C,55,287,19.16376306620209
KMT2D,47,287,16.376306620209057
EP300,37,287,12.89198606271777
LRP1B,37,287,12.89198606271777
FLG,36,287,12.543554006968641
FBXW7,34,287,11.846689895470384
FAT1,27,287,9.40766550522648
PRKDC,26,287,9.059233449477352
CREBBP,26,287,9.059233449477352
PCLO,26,287,9.059233449477352
FLNA,25,287,8.710801393728223
FAT4,25,287,8.710801393728223
ZFHX3,23,287,8.013937282229964
CSMD3,23,287,8.013937282229964
MKI67,23,287,8.013937282229964
PLEC,23,287,8.013937282229964
TP53,21,287,7.317073170731707
NOTCH1,21,287,7.317073170731707
SMG1,21,287,7.317073170731707
CHD7,21,287,7.317073170731707
PTEN,21,287,7.317073170731707
NSD1,21,287,7.317073170731707
HSPG2,21,287,7.317073170731707
ASPM,21,287,7.317073170731707
SPEN,21,287,7.317073170731707
MED12,20,287,6.968641114982578
FAT2,19,287,6.620209059233449
ATRX,19,287,6.620209059233449
NIPBL,19,287,6.620209059233449
ARID1A,19,287,6.620209059233449
FAM47C,19,287,6.620209059233449
LRRK2,18,287,6.2717770034843205
COL6A3,18,287,6.2717770034843205
TRRAP,18,287,6.2717770034843205
EP400,18,287,6.2717770034843205
ADGRG4,18,287,6.2717770034843205
TSC2,17,287,5.923344947735192
DSP,17,287,5.923344947735192
PDZD2,17,287,5.923344947735192
PTPN13,17,287,5.923344947735192
RB1,17,287,5.923344947735192
CDK12,17,287,5.923344947735192
LRP5,17,287,5.923344947735192
TAF1,17,287,5.923344947735192
NCOR1,17,287,5.923344947735192
NFE2L2,17,287,5.923344947735192
NF1,17,287,5.923344947735192
RELN,16,287,5.574912891986063
BIRC6,16,287,5.574912891986063
CNTNAP2,16,287,5.574912891986063
ERBB2,16,287,5.574912891986063
BCOR,16,287,5.574912891986063
PRUNE2,16,287,5.574912891986063
FAT3,16,287,5.574912891986063
