gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
PBRM1,11,45,24.444444444444443,30,83.33333333333334
BAP1,8,45,17.77777777777778,30,83.33333333333334
ARID1A,8,45,17.77777777777778,29,80.55555555555556
EPHA2,7,45,15.555555555555555,29,80.55555555555556
IDH1,6,45,13.333333333333334,8,22.22222222222222
LRP1B,5,45,11.11111111111111,9,25.0
FGFR2,5,45,11.11111111111111,15,41.66666666666667
KRAS,4,45,8.88888888888889,12,33.33333333333333
KMT2C,4,45,8.88888888888889,11,30.555555555555557
PCLO,4,45,8.88888888888889,10,27.77777777777778
TP53,4,45,8.88888888888889,16,44.44444444444444
ELF3,4,45,8.88888888888889,23,63.888888888888886
CHD7,4,45,8.88888888888889,15,41.66666666666667
MUC16,4,45,8.88888888888889,10,27.77777777777778
IDH2,3,45,6.666666666666667,12,33.33333333333333
CTNNA2,3,45,6.666666666666667,7,19.444444444444446
CSMD3,3,45,6.666666666666667,18,50.0
MAGED1,3,45,6.666666666666667,18,50.0
TOP2A,3,45,6.666666666666667,10,27.77777777777778
RIOK2,3,45,6.666666666666667,14,38.88888888888889
TGFBR2,3,45,6.666666666666667,29,80.55555555555556
BIRC6,3,45,6.666666666666667,7,19.444444444444446
PTCH1,3,45,6.666666666666667,19,52.77777777777778
ALB,3,45,6.666666666666667,14,38.88888888888889
PIK3CA,3,45,6.666666666666667,13,36.11111111111111
COL6A3,3,45,6.666666666666667,8,22.22222222222222
FMN2,2,45,4.444444444444445,23,63.888888888888886
DDB2,2,45,4.444444444444445,13,36.11111111111111
DCC,2,45,4.444444444444445,19,52.77777777777778
NF1,2,45,4.444444444444445,11,30.555555555555557
NSD3,2,45,4.444444444444445,0,0.0
NTRK3,2,45,4.444444444444445,12,33.33333333333333
USP9X,2,45,4.444444444444445,18,50.0
PDE4DIP,2,45,4.444444444444445,22,61.111111111111114
MIDEAS,2,45,4.444444444444445,0,0.0
COL6A6,2,45,4.444444444444445,14,38.88888888888889
ZFHX3,2,45,4.444444444444445,13,36.11111111111111
IRS1,2,45,4.444444444444445,9,25.0
PIK3R1,2,45,4.444444444444445,15,41.66666666666667
RPS6KA3,2,45,4.444444444444445,17,47.22222222222222
CADM2,2,45,4.444444444444445,27,75.0
CAMTA1,2,45,4.444444444444445,30,83.33333333333334
BRCA2,2,45,4.444444444444445,20,55.55555555555556
BCOR,2,45,4.444444444444445,17,47.22222222222222
CDKN2A,2,45,4.444444444444445,24,66.66666666666666
CAD,2,45,4.444444444444445,7,19.444444444444446
MDM4,2,45,4.444444444444445,23,63.888888888888886
RNF213,2,45,4.444444444444445,10,27.77777777777778
KMT2D,2,45,4.444444444444445,12,33.33333333333333
RAD50,2,45,4.444444444444445,15,41.66666666666667
KEAP1,2,45,4.444444444444445,10,27.77777777777778
TYK2,2,45,4.444444444444445,10,27.77777777777778
TP53BP1,2,45,4.444444444444445,13,36.11111111111111
SF3B1,2,45,4.444444444444445,9,25.0
PSIP1,2,45,4.444444444444445,20,55.55555555555556
SMG1,2,45,4.444444444444445,11,30.555555555555557
ALOX12B,2,45,4.444444444444445,14,38.88888888888889
CCNB3,2,45,4.444444444444445,18,50.0
FLT3,2,45,4.444444444444445,21,58.333333333333336
FLNA,2,45,4.444444444444445,17,47.22222222222222
SPRED1,2,45,4.444444444444445,13,36.11111111111111
SLX4,2,45,4.444444444444445,13,36.11111111111111
ELL2,2,45,4.444444444444445,14,38.88888888888889
ERBB2,2,45,4.444444444444445,10,27.77777777777778
NCOR1,2,45,4.444444444444445,14,38.88888888888889
MUC6,2,45,4.444444444444445,12,33.33333333333333
BCL3,2,45,4.444444444444445,11,30.555555555555557
BCL9,2,45,4.444444444444445,22,61.111111111111114
DHX9,2,45,4.444444444444445,23,63.888888888888886
FBN2,2,45,4.444444444444445,14,38.88888888888889
