gene,mutation_count,sample_count,mutation_percentage
PBRM1,11,45,24.444444444444443
BAP1,8,45,17.77777777777778
ARID1A,8,45,17.77777777777778
EPHA2,7,45,15.555555555555555
IDH1,6,45,13.333333333333334
LRP1B,5,45,11.11111111111111
FGFR2,5,45,11.11111111111111
KRAS,4,45,8.88888888888889
KMT2C,4,45,8.88888888888889
PCLO,4,45,8.88888888888889
TP53,4,45,8.88888888888889
ELF3,4,45,8.88888888888889
CHD7,4,45,8.88888888888889
MUC16,4,45,8.88888888888889
IDH2,3,45,6.666666666666667
CTNNA2,3,45,6.666666666666667
CSMD3,3,45,6.666666666666667
MAGED1,3,45,6.666666666666667
TOP2A,3,45,6.666666666666667
RIOK2,3,45,6.666666666666667
TGFBR2,3,45,6.666666666666667
BIRC6,3,45,6.666666666666667
PTCH1,3,45,6.666666666666667
ALB,3,45,6.666666666666667
PIK3CA,3,45,6.666666666666667
COL6A3,3,45,6.666666666666667
FMN2,2,45,4.444444444444445
DDB2,2,45,4.444444444444445
DCC,2,45,4.444444444444445
NF1,2,45,4.444444444444445
NSD3,2,45,4.444444444444445
NTRK3,2,45,4.444444444444445
USP9X,2,45,4.444444444444445
PDE4DIP,2,45,4.444444444444445
MIDEAS,2,45,4.444444444444445
COL6A6,2,45,4.444444444444445
ZFHX3,2,45,4.444444444444445
IRS1,2,45,4.444444444444445
PIK3R1,2,45,4.444444444444445
RPS6KA3,2,45,4.444444444444445
CADM2,2,45,4.444444444444445
CAMTA1,2,45,4.444444444444445
BRCA2,2,45,4.444444444444445
BCOR,2,45,4.444444444444445
CDKN2A,2,45,4.444444444444445
CAD,2,45,4.444444444444445
MDM4,2,45,4.444444444444445
RNF213,2,45,4.444444444444445
KMT2D,2,45,4.444444444444445
RAD50,2,45,4.444444444444445
KEAP1,2,45,4.444444444444445
TYK2,2,45,4.444444444444445
TP53BP1,2,45,4.444444444444445
SF3B1,2,45,4.444444444444445
PSIP1,2,45,4.444444444444445
SMG1,2,45,4.444444444444445
ALOX12B,2,45,4.444444444444445
CCNB3,2,45,4.444444444444445
FLT3,2,45,4.444444444444445
FLNA,2,45,4.444444444444445
SPRED1,2,45,4.444444444444445
SLX4,2,45,4.444444444444445
ELL2,2,45,4.444444444444445
ERBB2,2,45,4.444444444444445
NCOR1,2,45,4.444444444444445
MUC6,2,45,4.444444444444445
BCL3,2,45,4.444444444444445
BCL9,2,45,4.444444444444445
DHX9,2,45,4.444444444444445
FBN2,2,45,4.444444444444445
AFDN,2,45,4.444444444444445
ARAF,2,45,4.444444444444445
ARHGAP5,2,45,4.444444444444445
ARID1B,2,45,4.444444444444445
FLG,2,45,4.444444444444445
UBTF,2,45,4.444444444444445
ANK1,2,45,4.444444444444445
ZNF208,2,45,4.444444444444445
B2M,2,45,4.444444444444445
PTPRO,1,45,2.2222222222222223
ITK,1,45,2.2222222222222223
ISX,1,45,2.2222222222222223
MKI67,1,45,2.2222222222222223
PRKDC,1,45,2.2222222222222223
AGO2,1,45,2.2222222222222223
CDC42,1,45,2.2222222222222223
PDS5B,1,45,2.2222222222222223
SETD2,1,45,2.2222222222222223
IGF2BP2,1,45,2.2222222222222223
KMT2B,1,45,2.2222222222222223
IL2,1,45,2.2222222222222223
APC,1,45,2.2222222222222223
LPP,1,45,2.2222222222222223
EP400,1,45,2.2222222222222223
LEF1,1,45,2.2222222222222223
RNF43,1,45,2.2222222222222223
LATS2,1,45,2.2222222222222223
ETS1,1,45,2.2222222222222223
ROBO2,1,45,2.2222222222222223
LARP4B,1,45,2.2222222222222223
HSD3B1,1,45,2.2222222222222223
AR,1,45,2.2222222222222223
ROS1,1,45,2.2222222222222223
KMT2A,1,45,2.2222222222222223
RPL22,1,45,2.2222222222222223
KIT,1,45,2.2222222222222223
KDR,1,45,2.2222222222222223
HIRA,1,45,2.2222222222222223
ROBO1,1,45,2.2222222222222223
SALL4,1,45,2.2222222222222223
KBTBD4,1,45,2.2222222222222223
KTN1,1,45,2.2222222222222223
AFF4,1,45,2.2222222222222223
STAG1,1,45,2.2222222222222223
STAG2,1,45,2.2222222222222223
PRKCD,1,45,2.2222222222222223
STAT5B,1,45,2.2222222222222223
FIP1L1,1,45,2.2222222222222223
CDH2,1,45,2.2222222222222223
STK11,1,45,2.2222222222222223
CTR9,1,45,2.2222222222222223
FLT1,1,45,2.2222222222222223
CKS1B,1,45,2.2222222222222223
CSF1,1,45,2.2222222222222223
TAF15,1,45,2.2222222222222223
DAZAP1,1,45,2.2222222222222223
FAT4,1,45,2.2222222222222223
FAT1,1,45,2.2222222222222223
TBX3,1,45,2.2222222222222223
TCF7L2,1,45,2.2222222222222223
ACVR2A,1,45,2.2222222222222223
SCG5,1,45,2.2222222222222223
SH3GL1,1,45,2.2222222222222223
HNRNPA2B1,1,45,2.2222222222222223
SLC34A2,1,45,2.2222222222222223
HLA-A,1,45,2.2222222222222223
NOTCH3,1,45,2.2222222222222223
SMARCD1,1,45,2.2222222222222223
TET3,1,45,2.2222222222222223
MAP3K14,1,45,2.2222222222222223
FUS,1,45,2.2222222222222223
GRIN2A,1,45,2.2222222222222223
GPHN,1,45,2.2222222222222223
INHBA,1,45,2.2222222222222223
ZNF703,1,45,2.2222222222222223
ABCB1,1,45,2.2222222222222223
ADARB2,1,45,2.2222222222222223
SOX2,1,45,2.2222222222222223
SPEN,1,45,2.2222222222222223
DNMT1,1,45,2.2222222222222223
GRM3,1,45,2.2222222222222223
NSD1,1,45,2.2222222222222223
NRAS,1,45,2.2222222222222223
PPP6C,1,45,2.2222222222222223
PRCC,1,45,2.2222222222222223
PRDM1,1,45,2.2222222222222223
PRDM16,1,45,2.2222222222222223
NOTCH1,1,45,2.2222222222222223
NONO,1,45,2.2222222222222223
PRDM2,1,45,2.2222222222222223
RET,1,45,2.2222222222222223
PREX2,1,45,2.2222222222222223
NFE2L2,1,45,2.2222222222222223
NFATC2,1,45,2.2222222222222223
NF2,1,45,2.2222222222222223
BMP6,1,45,2.2222222222222223
RIT1,1,45,2.2222222222222223
CASZ1,1,45,2.2222222222222223
PRKCB,1,45,2.2222222222222223
H2BC5,1,45,2.2222222222222223
NIN,1,45,2.2222222222222223
PIK3CB,1,45,2.2222222222222223
ACSL3,1,45,2.2222222222222223
PIK3R2,1,45,2.2222222222222223
JARID2,1,45,2.2222222222222223
PDGFRB,1,45,2.2222222222222223
PLEC,1,45,2.2222222222222223
PAX8,1,45,2.2222222222222223
PMS1,1,45,2.2222222222222223
IFNGR1,1,45,2.2222222222222223
NSD2,1,45,2.2222222222222223
PATZ1,1,45,2.2222222222222223
PAFAH1B2,1,45,2.2222222222222223
POLE,1,45,2.2222222222222223
NOTCH4,1,45,2.2222222222222223
H3C8,1,45,2.2222222222222223
NUP98,1,45,2.2222222222222223
TTL,1,45,2.2222222222222223
NTRK1,1,45,2.2222222222222223
PLK2,1,45,2.2222222222222223
PAX3,1,45,2.2222222222222223
MITF,1,45,2.2222222222222223
A1CF,1,45,2.2222222222222223
GPS2,1,45,2.2222222222222223
MED12,1,45,2.2222222222222223
GNA12,1,45,2.2222222222222223
FGF6,1,45,2.2222222222222223
ARID4A,1,45,2.2222222222222223
ARID4B,1,45,2.2222222222222223
ARID5A,1,45,2.2222222222222223
NACA,1,45,2.2222222222222223
MAP2K4,1,45,2.2222222222222223
MAP2K1,1,45,2.2222222222222223
RARA,1,45,2.2222222222222223
RECQL4,1,45,2.2222222222222223
ZNF721,1,45,2.2222222222222223
REL,1,45,2.2222222222222223
FAM47C,1,45,2.2222222222222223
CEP43,1,45,2.2222222222222223
RFWD3,1,45,2.2222222222222223
MAP3K1,1,45,2.2222222222222223
PTEN,1,45,2.2222222222222223
N4BP2,1,45,2.2222222222222223
MYH9,1,45,2.2222222222222223
TLE4,1,45,2.2222222222222223
MYCL,1,45,2.2222222222222223
SMC3,1,45,2.2222222222222223
DTX1,1,45,2.2222222222222223
MUC4,1,45,2.2222222222222223
WWP1,1,45,2.2222222222222223
GREM1,1,45,2.2222222222222223
STK40,1,45,2.2222222222222223
TAP1,1,45,2.2222222222222223
MSN,1,45,2.2222222222222223
PTPRD,1,45,2.2222222222222223
PTPRK,1,45,2.2222222222222223
UPF1,1,45,2.2222222222222223
H1-4,1,45,2.2222222222222223
MLLT10,1,45,2.2222222222222223
RAD17,1,45,2.2222222222222223
PTPRC,1,45,2.2222222222222223
STAT2,1,45,2.2222222222222223
SND1,1,45,2.2222222222222223
USP6,1,45,2.2222222222222223
CRTC1,1,45,2.2222222222222223
HDAC4,1,45,2.2222222222222223
ZNF626,1,45,2.2222222222222223
VAV1,1,45,2.2222222222222223
ADAMTS9,1,45,2.2222222222222223
CREB3L1,1,45,2.2222222222222223
TPR,1,45,2.2222222222222223
COX6C,1,45,2.2222222222222223
LRRK2,1,45,2.2222222222222223
CNTRL,1,45,2.2222222222222223
MAP3K21,1,45,2.2222222222222223
MAP4K4,1,45,2.2222222222222223
CLTCL1,1,45,2.2222222222222223
WNK2,1,45,2.2222222222222223
MBD6,1,45,2.2222222222222223
MEF2D,1,45,2.2222222222222223
CSPG4,1,45,2.2222222222222223
LRP6,1,45,2.2222222222222223
DNM2,1,45,2.2222222222222223
DICER1,1,45,2.2222222222222223
LPA,1,45,2.2222222222222223
NVL,1,45,2.2222222222222223
TRIM33,1,45,2.2222222222222223
TRIP11,1,45,2.2222222222222223
AXIN1,1,45,2.2222222222222223
DCTN1,1,45,2.2222222222222223
AXIN2,1,45,2.2222222222222223
CTCF,1,45,2.2222222222222223
DAXX,1,45,2.2222222222222223
TSC1,1,45,2.2222222222222223
ALPK1,1,45,2.2222222222222223
TSHR,1,45,2.2222222222222223
CXCR4,1,45,2.2222222222222223
CUX1,1,45,2.2222222222222223
INPP5D,1,45,2.2222222222222223
CTNND1,1,45,2.2222222222222223
UBR5,1,45,2.2222222222222223
ITPKB,1,45,2.2222222222222223
DCAF12L2,1,45,2.2222222222222223
ANKRD11,1,45,2.2222222222222223
RASA1,1,45,2.2222222222222223
NIPBL,1,45,2.2222222222222223
REV3L,1,45,2.2222222222222223
SLIT2,1,45,2.2222222222222223
CARD11,1,45,2.2222222222222223
CANT1,1,45,2.2222222222222223
