gene,mutation_count,sample_count,mutation_percentage
APC,306,426,71.83098591549296
TP53,236,426,55.39906103286385
KRAS,183,426,42.95774647887324
MUC16,144,426,33.80281690140845
PIK3CA,125,426,29.342723004694836
FAT4,116,426,27.230046948356808
CSMD3,92,426,21.5962441314554
FAT3,91,426,21.36150234741784
LRP1B,89,426,20.89201877934272
PCLO,85,426,19.953051643192488
FBXW7,74,426,17.370892018779344
KMT2D,69,426,16.19718309859155
COL6A3,68,426,15.96244131455399
FLG,65,426,15.258215962441316
RNF43,63,426,14.788732394366196
BRAF,62,426,14.553990610328638
PTPRT,62,426,14.553990610328638
SOX9,62,426,14.553990610328638
ARID1A,61,426,14.319248826291082
AMER1,60,426,14.084507042253522
ZFHX3,59,426,13.849765258215962
NBEA,57,426,13.380281690140844
ATM,56,426,13.145539906103288
PDZD2,56,426,13.145539906103288
KMT2C,55,426,12.910798122065728
ROBO2,55,426,12.910798122065728
RNF213,55,426,12.910798122065728
KMT2B,54,426,12.676056338028168
PRKDC,54,426,12.676056338028168
FAT2,54,426,12.676056338028168
TCF7L2,53,426,12.44131455399061
ROBO1,53,426,12.44131455399061
TNC,53,426,12.44131455399061
LRRK2,52,426,12.206572769953052
COL6A6,52,426,12.206572769953052
FAT1,52,426,12.206572769953052
ANKRD11,52,426,12.206572769953052
ERBB4,51,426,11.971830985915492
ACVR2A,50,426,11.737089201877934
GRIN2A,50,426,11.737089201877934
PLEC,50,426,11.737089201877934
CHD7,49,426,11.502347417840376
SMAD4,49,426,11.502347417840376
TRRAP,49,426,11.502347417840376
ASPM,49,426,11.502347417840376
PTPRS,48,426,11.267605633802818
RELN,48,426,11.267605633802818
NIPBL,48,426,11.267605633802818
CREBBP,47,426,11.032863849765258
CDH10,46,426,10.7981220657277
AKAP9,45,426,10.56338028169014
CNTNAP2,45,426,10.56338028169014
KMT2A,44,426,10.328638497652582
TAF1L,44,426,10.328638497652582
ROS1,43,426,10.093896713615024
CTNNA2,43,426,10.093896713615024
EP400,43,426,10.093896713615024
BIRC6,43,426,10.093896713615024
PEG3,43,426,10.093896713615024
EPHA5,42,426,9.859154929577464
PREX2,42,426,9.859154929577464
MYH9,42,426,9.859154929577464
CARD11,42,426,9.859154929577464
MTOR,42,426,9.859154929577464
SPEN,41,426,9.624413145539906
CHD4,41,426,9.624413145539906
BCL9L,41,426,9.624413145539906
ALK,41,426,9.624413145539906
MKI67,41,426,9.624413145539906
FBN2,41,426,9.624413145539906
ANK1,40,426,9.389671361502346
BCORL1,40,426,9.389671361502346
FAM47C,40,426,9.389671361502346
CDH11,40,426,9.389671361502346
FMN2,40,426,9.389671361502346
SLIT3,40,426,9.389671361502346
ZNF292,39,426,9.15492957746479
MGAM,39,426,9.15492957746479
DCC,39,426,9.15492957746479
FLNA,39,426,9.15492957746479
MBD6,39,426,9.15492957746479
ZBTB20,38,426,8.92018779342723
MED12,38,426,8.92018779342723
CDH4,38,426,8.92018779342723
NCOR2,38,426,8.92018779342723
REV3L,38,426,8.92018779342723
ADGRG4,37,426,8.685446009389672
NOTCH1,37,426,8.685446009389672
BCL9,37,426,8.685446009389672
MYH11,37,426,8.685446009389672
NCOR1,37,426,8.685446009389672
HSPG2,37,426,8.685446009389672
PTPN13,36,426,8.450704225352112
PTPRK,36,426,8.450704225352112
PRUNE2,36,426,8.450704225352112
MGA,36,426,8.450704225352112
USP9X,36,426,8.450704225352112
CACNA1D,36,426,8.450704225352112
