gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
BTG2,17,47,36.17021276595745,17,36.17021276595745
KMT2D,13,47,27.659574468085108,13,27.659574468085108
PIM1,12,47,25.53191489361702,12,25.53191489361702
H1-4,12,47,25.53191489361702,0,0.0
B2M,11,47,23.404255319148938,15,31.914893617021278
BTG1,10,47,21.27659574468085,13,27.659574468085108
CARD11,10,47,21.27659574468085,18,38.297872340425535
LRP1B,10,47,21.27659574468085,13,27.659574468085108
FAT4,10,47,21.27659574468085,5,10.638297872340425
MUC16,9,47,19.148936170212767,4,8.51063829787234
PCLO,9,47,19.148936170212767,15,31.914893617021278
NFKBIE,8,47,17.02127659574468,12,25.53191489361702
TMSB4X,8,47,17.02127659574468,13,27.659574468085108
H1-2,8,47,17.02127659574468,0,0.0
KLHL6,8,47,17.02127659574468,18,38.297872340425535
P2RY8,8,47,17.02127659574468,13,27.659574468085108
SOCS1,8,47,17.02127659574468,10,21.27659574468085
MAGI2,7,47,14.893617021276595,15,31.914893617021278
H2AC6,7,47,14.893617021276595,0,0.0
CREBBP,6,47,12.76595744680851,7,14.893617021276595
SGK1,6,47,12.76595744680851,16,34.04255319148936
STAT3,6,47,12.76595744680851,8,17.02127659574468
DUSP2,6,47,12.76595744680851,6,12.76595744680851
ITPKB,6,47,12.76595744680851,13,27.659574468085108
IRF4,6,47,12.76595744680851,13,27.659574468085108
CSMD3,6,47,12.76595744680851,13,27.659574468085108
TET2,5,47,10.638297872340425,5,10.638297872340425
ZNF208,5,47,10.638297872340425,5,10.638297872340425
NFKBIA,5,47,10.638297872340425,5,10.638297872340425
DDX3X,5,47,10.638297872340425,10,21.27659574468085
HSPG2,5,47,10.638297872340425,7,14.893617021276595
FAT3,5,47,10.638297872340425,14,29.78723404255319
LTB,5,47,10.638297872340425,14,29.78723404255319
CIITA,5,47,10.638297872340425,10,21.27659574468085
TNFAIP3,5,47,10.638297872340425,17,36.17021276595745
TP53,5,47,10.638297872340425,14,29.78723404255319
IRF8,5,47,10.638297872340425,11,23.404255319148938
ARID1A,5,47,10.638297872340425,6,12.76595744680851
H2AC17,5,47,10.638297872340425,0,0.0
FAT1,5,47,10.638297872340425,9,19.148936170212767
H1-3,5,47,10.638297872340425,0,0.0
CD79B,4,47,8.51063829787234,9,19.148936170212767
PAX5,4,47,8.51063829787234,8,17.02127659574468
MPEG1,4,47,8.51063829787234,12,25.53191489361702
COL3A1,4,47,8.51063829787234,8,17.02127659574468
POU2F2,4,47,8.51063829787234,8,17.02127659574468
ROBO1,4,47,8.51063829787234,16,34.04255319148936
EGR1,4,47,8.51063829787234,8,17.02127659574468
ACTG1,4,47,8.51063829787234,6,12.76595744680851
KDR,4,47,8.51063829787234,4,8.51063829787234
DTX1,4,47,8.51063829787234,11,23.404255319148938
CD70,4,47,8.51063829787234,7,14.893617021276595
TMEM30A,4,47,8.51063829787234,15,31.914893617021278
GRIN2A,4,47,8.51063829787234,8,17.02127659574468
STAT6,4,47,8.51063829787234,14,29.78723404255319
TNFRSF14,4,47,8.51063829787234,11,23.404255319148938
KLF2,4,47,8.51063829787234,3,6.382978723404255
HLA-B,4,47,8.51063829787234,14,29.78723404255319
MEF2B,4,47,8.51063829787234,5,10.638297872340425
MYC,4,47,8.51063829787234,14,29.78723404255319
NBEA,4,47,8.51063829787234,11,23.404255319148938
REV3L,4,47,8.51063829787234,16,34.04255319148936
PRKD1,4,47,8.51063829787234,4,8.51063829787234
FAS,4,47,8.51063829787234,12,25.53191489361702
H2BC5,3,47,6.382978723404255,0,0.0
ERBB4,3,47,6.382978723404255,9,19.148936170212767
HLA-A,3,47,6.382978723404255,14,29.78723404255319
FAM135B,3,47,6.382978723404255,16,34.04255319148936
PTPN6,3,47,6.382978723404255,11,23.404255319148938
AMER1,3,47,6.382978723404255,10,21.27659574468085
PRKDC,3,47,6.382978723404255,13,27.659574468085108
H1-5,3,47,6.382978723404255,0,0.0
IRS4,3,47,6.382978723404255,9,19.148936170212767
UBE2A,3,47,6.382978723404255,10,21.27659574468085
INPP4B,3,47,6.382978723404255,6,12.76595744680851
CNTRL,3,47,6.382978723404255,9,19.148936170212767
ACTB,3,47,6.382978723404255,18,38.297872340425535
CDH4,3,47,6.382978723404255,6,12.76595744680851
NOTCH2,3,47,6.382978723404255,13,27.659574468085108
MYD88,3,47,6.382978723404255,17,36.17021276595745
NFKB2,3,47,6.382978723404255,9,19.148936170212767
TBL1XR1,3,47,6.382978723404255,19,40.42553191489361
BRAF,3,47,6.382978723404255,15,31.914893617021278
BIRC6,3,47,6.382978723404255,10,21.27659574468085
UBR5,3,47,6.382978723404255,13,27.659574468085108
CXCR4,3,47,6.382978723404255,11,23.404255319148938
ANKRD11,3,47,6.382978723404255,11,23.404255319148938
FOXA2,3,47,6.382978723404255,7,14.893617021276595
COL6A3,3,47,6.382978723404255,8,17.02127659574468
ZBTB20,3,47,6.382978723404255,18,38.297872340425535
CD58,3,47,6.382978723404255,14,29.78723404255319
FKBP9,3,47,6.382978723404255,17,36.17021276595745
H2BC4,3,47,6.382978723404255,0,0.0
