gene,mutation_count,sample_count,mutation_percentage
BTG2,17,47,36.17021276595745
KMT2D,13,47,27.659574468085108
PIM1,12,47,25.53191489361702
H1-4,12,47,25.53191489361702
B2M,11,47,23.404255319148938
BTG1,10,47,21.27659574468085
CARD11,10,47,21.27659574468085
LRP1B,10,47,21.27659574468085
FAT4,10,47,21.27659574468085
MUC16,9,47,19.148936170212767
PCLO,9,47,19.148936170212767
NFKBIE,8,47,17.02127659574468
TMSB4X,8,47,17.02127659574468
H1-2,8,47,17.02127659574468
KLHL6,8,47,17.02127659574468
P2RY8,8,47,17.02127659574468
SOCS1,8,47,17.02127659574468
MAGI2,7,47,14.893617021276595
H2AC6,7,47,14.893617021276595
CREBBP,6,47,12.76595744680851
SGK1,6,47,12.76595744680851
STAT3,6,47,12.76595744680851
DUSP2,6,47,12.76595744680851
ITPKB,6,47,12.76595744680851
IRF4,6,47,12.76595744680851
CSMD3,6,47,12.76595744680851
TET2,5,47,10.638297872340425
ZNF208,5,47,10.638297872340425
NFKBIA,5,47,10.638297872340425
DDX3X,5,47,10.638297872340425
HSPG2,5,47,10.638297872340425
FAT3,5,47,10.638297872340425
LTB,5,47,10.638297872340425
CIITA,5,47,10.638297872340425
TNFAIP3,5,47,10.638297872340425
TP53,5,47,10.638297872340425
IRF8,5,47,10.638297872340425
ARID1A,5,47,10.638297872340425
H2AC17,5,47,10.638297872340425
FAT1,5,47,10.638297872340425
H1-3,5,47,10.638297872340425
CD79B,4,47,8.51063829787234
PAX5,4,47,8.51063829787234
MPEG1,4,47,8.51063829787234
COL3A1,4,47,8.51063829787234
POU2F2,4,47,8.51063829787234
ROBO1,4,47,8.51063829787234
EGR1,4,47,8.51063829787234
ACTG1,4,47,8.51063829787234
KDR,4,47,8.51063829787234
DTX1,4,47,8.51063829787234
CD70,4,47,8.51063829787234
TMEM30A,4,47,8.51063829787234
GRIN2A,4,47,8.51063829787234
STAT6,4,47,8.51063829787234
TNFRSF14,4,47,8.51063829787234
KLF2,4,47,8.51063829787234
HLA-B,4,47,8.51063829787234
MEF2B,4,47,8.51063829787234
MYC,4,47,8.51063829787234
NBEA,4,47,8.51063829787234
REV3L,4,47,8.51063829787234
PRKD1,4,47,8.51063829787234
FAS,4,47,8.51063829787234
H2BC5,3,47,6.382978723404255
ERBB4,3,47,6.382978723404255
HLA-A,3,47,6.382978723404255
FAM135B,3,47,6.382978723404255
PTPN6,3,47,6.382978723404255
AMER1,3,47,6.382978723404255
PRKDC,3,47,6.382978723404255
H1-5,3,47,6.382978723404255
IRS4,3,47,6.382978723404255
UBE2A,3,47,6.382978723404255
INPP4B,3,47,6.382978723404255
CNTRL,3,47,6.382978723404255
ACTB,3,47,6.382978723404255
