gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,155,184,84.23913043478261,108,59.34065934065934
MUC16,55,184,29.891304347826086,105,57.692307692307686
LRP1B,41,184,22.282608695652172,111,60.98901098901099
CSMD3,37,184,20.108695652173914,139,76.37362637362637
PCLO,31,184,16.847826086956523,125,68.68131868131869
FLG,30,184,16.304347826086957,98,53.84615384615385
KMT2D,24,184,13.043478260869565,78,42.857142857142854
FAT3,23,184,12.5,103,56.59340659340659
FMN2,20,184,10.869565217391305,104,57.14285714285714
NOTCH1,18,184,9.782608695652174,111,60.98901098901099
PREX2,17,184,9.239130434782608,123,67.58241758241759
LRRK2,17,184,9.239130434782608,81,44.505494505494504
ARID1A,17,184,9.239130434782608,93,51.098901098901095
NFE2L2,17,184,9.239130434782608,82,45.05494505494506
DCC,16,184,8.695652173913043,139,76.37362637362637
PIK3CA,16,184,8.695652173913043,130,71.42857142857143
PEG3,15,184,8.152173913043478,104,57.14285714285714
FAT4,15,184,8.152173913043478,116,63.73626373626373
KMT2C,15,184,8.152173913043478,121,66.48351648351648
RELN,15,184,8.152173913043478,124,68.13186813186813
FBN2,14,184,7.608695652173914,108,59.34065934065934
ZNF208,14,184,7.608695652173914,98,53.84615384615385
CDH11,14,184,7.608695652173914,100,54.94505494505495
PTPRD,14,184,7.608695652173914,140,76.92307692307693
NOTCH3,13,184,7.065217391304348,95,52.197802197802204
PRKDC,13,184,7.065217391304348,118,64.83516483516483
SMARCA4,13,184,7.065217391304348,103,56.59340659340659
NBEA,13,184,7.065217391304348,116,63.73626373626373
ERBB4,13,184,7.065217391304348,86,47.25274725274725
TRRAP,13,184,7.065217391304348,126,69.23076923076923
ZNF750,12,184,6.521739130434782,94,51.64835164835166
HSPG2,12,184,6.521739130434782,89,48.9010989010989
PDZD2,12,184,6.521739130434782,125,68.68131868131869
NRG1,12,184,6.521739130434782,132,72.52747252747253
PLEC,12,184,6.521739130434782,138,75.82417582417582
CDKN2A,12,184,6.521739130434782,147,80.76923076923077
PTPRT,12,184,6.521739130434782,124,68.13186813186813
SMAD4,12,184,6.521739130434782,141,77.47252747252747
EP300,11,184,5.978260869565218,104,57.14285714285714
FAM135B,11,184,5.978260869565218,140,76.92307692307693
POLE,11,184,5.978260869565218,85,46.7032967032967
ROBO2,11,184,5.978260869565218,131,71.97802197802197
MUC6,11,184,5.978260869565218,102,56.043956043956044
COL6A3,11,184,5.978260869565218,82,45.05494505494506
APC,11,184,5.978260869565218,110,60.43956043956044
CDH10,11,184,5.978260869565218,130,71.42857142857143
ZNF521,11,184,5.978260869565218,120,65.93406593406593
FAM47C,11,184,5.978260869565218,96,52.74725274725275
MDGA2,10,184,5.434782608695652,101,55.494505494505496
FAT2,10,184,5.434782608695652,102,56.043956043956044
KMT2B,10,184,5.434782608695652,97,53.2967032967033
MGA,10,184,5.434782608695652,94,51.64835164835166
TGFBR2,10,184,5.434782608695652,132,72.52747252747253
REV3L,10,184,5.434782608695652,80,43.956043956043956
ZNF292,10,184,5.434782608695652,76,41.75824175824176
DCAF12L2,10,184,5.434782608695652,86,47.25274725274725
SAMD9L,10,184,5.434782608695652,132,72.52747252747253
ERBB2,10,184,5.434782608695652,91,50.0
SETBP1,9,184,4.891304347826087,138,75.82417582417582
FBXW7,9,184,4.891304347826087,119,65.38461538461539
MAP3K1,9,184,4.891304347826087,121,66.48351648351648
POLQ,9,184,4.891304347826087,112,61.53846153846154
ARHGAP5,9,184,4.891304347826087,104,57.14285714285714
FANCM,9,184,4.891304347826087,101,55.494505494505496
AKAP9,9,184,4.891304347826087,132,72.52747252747253
BIRC6,9,184,4.891304347826087,84,46.15384615384615
SLIT2,9,184,4.891304347826087,122,67.03296703296702
ATR,9,184,4.891304347826087,118,64.83516483516483
ZFHX3,8,184,4.3478260869565215,108,59.34065934065934
AFF3,8,184,4.3478260869565215,79,43.40659340659341
FAT1,8,184,4.3478260869565215,118,64.83516483516483
KDM6A,8,184,4.3478260869565215,100,54.94505494505495
GNAS,8,184,4.3478260869565215,123,67.58241758241759
MGAM,8,184,4.3478260869565215,116,63.73626373626373
CREBBP,8,184,4.3478260869565215,95,52.197802197802204
CTNNA2,8,184,4.3478260869565215,83,45.604395604395606
PRKCB,8,184,4.3478260869565215,94,51.64835164835166
CPS1,8,184,4.3478260869565215,81,44.505494505494504
KMT2A,8,184,4.3478260869565215,100,54.94505494505495
ITK,8,184,4.3478260869565215,98,53.84615384615385
RNF213,8,184,4.3478260869565215,90,49.45054945054945
FOLH1,8,184,4.3478260869565215,90,49.45054945054945
ARID1B,8,184,4.3478260869565215,88,48.35164835164835
ASXL1,8,184,4.3478260869565215,126,69.23076923076923
TSC2,8,184,4.3478260869565215,98,53.84615384615385
NIPBL,8,184,4.3478260869565215,126,69.23076923076923
TAF1L,8,184,4.3478260869565215,128,70.32967032967034
EPHA5,8,184,4.3478260869565215,109,59.89010989010989
MKI67,8,184,4.3478260869565215,84,46.15384615384615
PTCH1,8,184,4.3478260869565215,106,58.24175824175825
LPA,8,184,4.3478260869565215,87,47.8021978021978
CHD7,8,184,4.3478260869565215,121,66.48351648351648
BRCA2,7,184,3.804347826086957,114,62.637362637362635
ATM,7,184,3.804347826086957,103,56.59340659340659
ANK1,7,184,3.804347826086957,122,67.03296703296702
EPHB1,7,184,3.804347826086957,116,63.73626373626373
MDC1,7,184,3.804347826086957,91,50.0
MAGI2,7,184,3.804347826086957,122,67.03296703296702
FLT3,7,184,3.804347826086957,114,62.637362637362635
NSD1,7,184,3.804347826086957,104,57.14285714285714
NCOR2,7,184,3.804347826086957,85,46.7032967032967
