gene,mutation_count,sample_count,mutation_percentage
TP53,155,184,84.23913043478261
MUC16,55,184,29.891304347826086
LRP1B,41,184,22.282608695652172
CSMD3,37,184,20.108695652173914
PCLO,31,184,16.847826086956523
FLG,30,184,16.304347826086957
KMT2D,24,184,13.043478260869565
FAT3,23,184,12.5
FMN2,20,184,10.869565217391305
NOTCH1,18,184,9.782608695652174
PREX2,17,184,9.239130434782608
LRRK2,17,184,9.239130434782608
ARID1A,17,184,9.239130434782608
NFE2L2,17,184,9.239130434782608
DCC,16,184,8.695652173913043
PIK3CA,16,184,8.695652173913043
PEG3,15,184,8.152173913043478
FAT4,15,184,8.152173913043478
KMT2C,15,184,8.152173913043478
RELN,15,184,8.152173913043478
FBN2,14,184,7.608695652173914
ZNF208,14,184,7.608695652173914
CDH11,14,184,7.608695652173914
PTPRD,14,184,7.608695652173914
NOTCH3,13,184,7.065217391304348
PRKDC,13,184,7.065217391304348
SMARCA4,13,184,7.065217391304348
NBEA,13,184,7.065217391304348
ERBB4,13,184,7.065217391304348
TRRAP,13,184,7.065217391304348
ZNF750,12,184,6.521739130434782
HSPG2,12,184,6.521739130434782
PDZD2,12,184,6.521739130434782
NRG1,12,184,6.521739130434782
PLEC,12,184,6.521739130434782
CDKN2A,12,184,6.521739130434782
PTPRT,12,184,6.521739130434782
SMAD4,12,184,6.521739130434782
EP300,11,184,5.978260869565218
FAM135B,11,184,5.978260869565218
POLE,11,184,5.978260869565218
ROBO2,11,184,5.978260869565218
MUC6,11,184,5.978260869565218
COL6A3,11,184,5.978260869565218
APC,11,184,5.978260869565218
CDH10,11,184,5.978260869565218
ZNF521,11,184,5.978260869565218
FAM47C,11,184,5.978260869565218
MDGA2,10,184,5.434782608695652
FAT2,10,184,5.434782608695652
KMT2B,10,184,5.434782608695652
MGA,10,184,5.434782608695652
TGFBR2,10,184,5.434782608695652
REV3L,10,184,5.434782608695652
ZNF292,10,184,5.434782608695652
DCAF12L2,10,184,5.434782608695652
SAMD9L,10,184,5.434782608695652
ERBB2,10,184,5.434782608695652
SETBP1,9,184,4.891304347826087
FBXW7,9,184,4.891304347826087
MAP3K1,9,184,4.891304347826087
POLQ,9,184,4.891304347826087
ARHGAP5,9,184,4.891304347826087
FANCM,9,184,4.891304347826087
AKAP9,9,184,4.891304347826087
BIRC6,9,184,4.891304347826087
SLIT2,9,184,4.891304347826087
ATR,9,184,4.891304347826087
ZFHX3,8,184,4.3478260869565215
AFF3,8,184,4.3478260869565215
FAT1,8,184,4.3478260869565215
KDM6A,8,184,4.3478260869565215
GNAS,8,184,4.3478260869565215
MGAM,8,184,4.3478260869565215
CREBBP,8,184,4.3478260869565215
CTNNA2,8,184,4.3478260869565215
PRKCB,8,184,4.3478260869565215
CPS1,8,184,4.3478260869565215
KMT2A,8,184,4.3478260869565215
ITK,8,184,4.3478260869565215
RNF213,8,184,4.3478260869565215
FOLH1,8,184,4.3478260869565215
ARID1B,8,184,4.3478260869565215
ASXL1,8,184,4.3478260869565215
TSC2,8,184,4.3478260869565215
NIPBL,8,184,4.3478260869565215
TAF1L,8,184,4.3478260869565215
EPHA5,8,184,4.3478260869565215
MKI67,8,184,4.3478260869565215
PTCH1,8,184,4.3478260869565215
LPA,8,184,4.3478260869565215
CHD7,8,184,4.3478260869565215
BRCA2,7,184,3.804347826086957
ATM,7,184,3.804347826086957
ANK1,7,184,3.804347826086957
EPHB1,7,184,3.804347826086957
MDC1,7,184,3.804347826086957
MAGI2,7,184,3.804347826086957
FLT3,7,184,3.804347826086957
NSD1,7,184,3.804347826086957
NCOR2,7,184,3.804347826086957
TNRC18,7,184,3.804347826086957
CSPG4,7,184,3.804347826086957
PI4KA,7,184,3.804347826086957
PRKD2,7,184,3.804347826086957
TRIP11,7,184,3.804347826086957
MUC4,7,184,3.804347826086957
RUNX1T1,7,184,3.804347826086957
ROBO1,7,184,3.804347826086957
CNTNAP2,7,184,3.804347826086957
CTNND1,7,184,3.804347826086957
SZT2,6,184,3.260869565217391
KEAP1,6,184,3.260869565217391
PTPN13,6,184,3.260869565217391
RANBP2,6,184,3.260869565217391
ROS1,6,184,3.260869565217391
RNF43,6,184,3.260869565217391
GRM3,6,184,3.260869565217391
KAT6A,6,184,3.260869565217391
GRIN2A,6,184,3.260869565217391
LRP5,6,184,3.260869565217391
MAML2,6,184,3.260869565217391
MTOR,6,184,3.260869565217391
NIN,6,184,3.260869565217391
LZTR1,6,184,3.260869565217391
EPAS1,6,184,3.260869565217391
EGFR,6,184,3.260869565217391
CTNND2,6,184,3.260869565217391
NF1,6,184,3.260869565217391
RICTOR,6,184,3.260869565217391
HDAC4,6,184,3.260869565217391
COL6A6,6,184,3.260869565217391
ANKRD11,6,184,3.260869565217391
COL3A1,6,184,3.260869565217391
PTPRS,6,184,3.260869565217391
RECQL,6,184,3.260869565217391
FLT1,6,184,3.260869565217391
ZNF721,6,184,3.260869565217391
CASZ1,6,184,3.260869565217391
PRUNE2,6,184,3.260869565217391
ASPM,6,184,3.260869565217391
GABRA6,6,184,3.260869565217391
TNC,6,184,3.260869565217391
CBFA2T3,6,184,3.260869565217391
BCL9,6,184,3.260869565217391
RET,6,184,3.260869565217391
PLCG1,6,184,3.260869565217391
ABCB1,6,184,3.260869565217391
PRKD1,6,184,3.260869565217391
CDH2,6,184,3.260869565217391
CIC,6,184,3.260869565217391
TET3,6,184,3.260869565217391
CRNKL1,6,184,3.260869565217391
PGR,5,184,2.717391304347826
TEK,5,184,2.717391304347826
NOTCH4,5,184,2.717391304347826
INHBA,5,184,2.717391304347826
INSR,5,184,2.717391304347826
BCL9L,5,184,2.717391304347826
SLX4,5,184,2.717391304347826
ADAMTS9,5,184,2.717391304347826
MEF2C,5,184,2.717391304347826
KSR2,5,184,2.717391304347826
H1-5,5,184,2.717391304347826
USP6,5,184,2.717391304347826
UBR5,5,184,2.717391304347826
ZMYM3,5,184,2.717391304347826
ZNF429,5,184,2.717391304347826
ZEB1,5,184,2.717391304347826
CAMTA1,5,184,2.717391304347826
ZNF479,5,184,2.717391304347826
CBL,5,184,2.717391304347826
CAD,5,184,2.717391304347826
ETAA1,5,184,2.717391304347826
WNK2,5,184,2.717391304347826
WRN,5,184,2.717391304347826
WT1,5,184,2.717391304347826
EPHA2,5,184,2.717391304347826
TCF4,5,184,2.717391304347826
SLIT3,5,184,2.717391304347826
ZNF680,5,184,2.717391304347826
ZBTB7B,5,184,2.717391304347826
DSP,5,184,2.717391304347826
DHX9,5,184,2.717391304347826
KDM3B,5,184,2.717391304347826
RASA1,5,184,2.717391304347826
PTPN14,5,184,2.717391304347826
ARID4B,5,184,2.717391304347826
ATF7IP,5,184,2.717391304347826
ASXL2,5,184,2.717391304347826
CSF3R,5,184,2.717391304347826
RB1,5,184,2.717391304347826
PTEN,5,184,2.717391304347826
NFATC2,5,184,2.717391304347826
NTRK3,5,184,2.717391304347826
CDH4,5,184,2.717391304347826
CYLD,5,184,2.717391304347826
ADGRG4,5,184,2.717391304347826
ANKRD26,5,184,2.717391304347826
PML,5,184,2.717391304347826
PMS2,5,184,2.717391304347826
PRPF8,5,184,2.717391304347826
SHTN1,5,184,2.717391304347826
PIK3C2B,5,184,2.717391304347826
CDK12,5,184,2.717391304347826
SMG1,5,184,2.717391304347826
EML4,5,184,2.717391304347826
EPHA3,5,184,2.717391304347826
MSH6,5,184,2.717391304347826
KIAA1549,5,184,2.717391304347826
MYB,5,184,2.717391304347826
MECOM,5,184,2.717391304347826
NOTCH2,5,184,2.717391304347826
NACA,5,184,2.717391304347826
MYH11,5,184,2.717391304347826
NCOA2,5,184,2.717391304347826
IRF4,5,184,2.717391304347826
