gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
PTEN,119,371,32.075471698113205,328,91.87675070028011
TP53,117,371,31.536388140161726,89,24.92997198879552
EGFR,84,371,22.641509433962266,325,91.03641456582633
MUC16,60,371,16.172506738544474,160,44.81792717086835
FLG,49,371,13.20754716981132,60,16.80672268907563
NF1,40,371,10.781671159029651,88,24.649859943977592
RB1,35,371,9.433962264150944,148,41.45658263305322
PIK3R1,35,371,9.433962264150944,57,15.966386554621847
PIK3CA,35,371,9.433962264150944,83,23.249299719887954
ATRX,35,371,9.433962264150944,93,26.05042016806723
PCLO,29,371,7.816711590296496,305,85.43417366946778
COL6A3,24,371,6.46900269541779,46,12.885154061624648
IDH1,23,371,6.199460916442049,41,11.484593837535014
RELN,22,371,5.929919137466308,305,85.43417366946778
PIK3C2B,21,371,5.660377358490567,108,30.252100840336134
PIK3CG,20,371,5.3908355795148255,306,85.71428571428571
GRIN2A,19,371,5.121293800539084,71,19.88795518207283
DSP,18,371,4.8517520215633425,76,21.288515406162464
PDGFRA,17,371,4.5822102425876015,95,26.610644257703083
FAT2,17,371,4.5822102425876015,62,17.366946778711483
CSMD3,16,371,4.31266846361186,76,21.288515406162464
GRM3,16,371,4.31266846361186,308,86.27450980392157
GABRA6,15,371,4.0431266846361185,63,17.647058823529413
PTPRT,15,371,4.0431266846361185,149,41.73669467787115
LZTR1,15,371,4.0431266846361185,135,37.81512605042017
FGD5,15,371,4.0431266846361185,63,17.647058823529413
FBN2,15,371,4.0431266846361185,55,15.406162464985995
TAF1L,15,371,4.0431266846361185,173,48.4593837535014
MSH6,15,371,4.0431266846361185,46,12.885154061624648
KSR2,15,371,4.0431266846361185,59,16.5266106442577
ANK1,14,371,3.7735849056603774,66,18.487394957983195
STAG2,14,371,3.7735849056603774,91,25.49019607843137
TRRAP,14,371,3.7735849056603774,306,85.71428571428571
CNTNAP2,14,371,3.7735849056603774,314,87.95518207282913
PLCG2,14,371,3.7735849056603774,88,24.649859943977592
FLNA,13,371,3.5040431266846364,96,26.89075630252101
SLIT2,13,371,3.5040431266846364,66,18.487394957983195
SLIT3,12,371,3.234501347708895,63,17.647058823529413
KDR,12,371,3.234501347708895,76,21.288515406162464
HSPG2,12,371,3.234501347708895,83,23.249299719887954
KEL,12,371,3.234501347708895,306,85.71428571428571
LRP1B,12,371,3.234501347708895,71,19.88795518207283
KMT2C,12,371,3.234501347708895,312,87.39495798319328
CASR,12,371,3.234501347708895,80,22.408963585434176
MYH11,12,371,3.234501347708895,72,20.168067226890756
PRCC,11,371,2.964959568733154,64,17.92717086834734
FAT4,11,371,2.964959568733154,64,17.92717086834734
SALL4,11,371,2.964959568733154,151,42.296918767507
ZNF208,11,371,2.964959568733154,153,42.857142857142854
IRS4,11,371,2.964959568733154,88,24.649859943977592
SAMD9,11,371,2.964959568733154,309,86.5546218487395
BCOR,11,371,2.964959568733154,91,25.49019607843137
MKI67,10,371,2.6954177897574128,329,92.15686274509804
EP400,10,371,2.6954177897574128,64,17.92717086834734
ADGRG4,10,371,2.6954177897574128,0,0.0
ATR,10,371,2.6954177897574128,78,21.84873949579832
FBLN2,10,371,2.6954177897574128,61,17.086834733893557
TFE3,10,371,2.6954177897574128,91,25.49019607843137
COL2A1,10,371,2.6954177897574128,68,19.047619047619047
DCC,10,371,2.6954177897574128,82,22.969187675070028
NOTCH2,9,371,2.4258760107816713,64,17.92717086834734
TP63,9,371,2.4258760107816713,91,25.49019607843137
FLT3,9,371,2.4258760107816713,134,37.53501400560224
FAM47C,9,371,2.4258760107816713,92,25.770308123249297
PTPN11,9,371,2.4258760107816713,58,16.246498599439775
PTPRB,9,371,2.4258760107816713,73,20.448179271708682
CAD,9,371,2.4258760107816713,47,13.165266106442578
INPP5D,9,371,2.4258760107816713,50,14.005602240896359
TAF1,9,371,2.4258760107816713,94,26.330532212885156
CD209,9,371,2.4258760107816713,153,42.857142857142854
MECOM,9,371,2.4258760107816713,80,22.408963585434176
TLL2,9,371,2.4258760107816713,327,91.59663865546219
VAV1,9,371,2.4258760107816713,153,42.857142857142854
PTPN3,9,371,2.4258760107816713,96,26.89075630252101
CARD11,9,371,2.4258760107816713,293,82.07282913165265
PEG3,9,371,2.4258760107816713,155,43.417366946778714
FOXA1,9,371,2.4258760107816713,130,36.41456582633053
SAMD9L,9,371,2.4258760107816713,309,86.5546218487395
IGF1R,8,371,2.15633423180593,98,27.450980392156865
SETD2,8,371,2.15633423180593,65,18.207282913165265
CPS1,8,371,2.15633423180593,43,12.044817927170868
USP9X,8,371,2.15633423180593,91,25.49019607843137
BRAF,8,371,2.15633423180593,307,85.99439775910365
BMP5,8,371,2.15633423180593,67,18.76750700280112
ASXL1,8,371,2.15633423180593,149,41.73669467787115
FLT4,8,371,2.15633423180593,68,19.047619047619047
KMT2B,8,371,2.15633423180593,148,41.45658263305322
SMC1A,8,371,2.15633423180593,91,25.49019607843137
CIITA,8,371,2.15633423180593,71,19.88795518207283
IKZF1,8,371,2.15633423180593,287,80.3921568627451
ERG,8,371,2.15633423180593,70,19.607843137254903
CD22,8,371,2.15633423180593,148,41.45658263305322
CACNA1D,8,371,2.15633423180593,62,17.366946778711483
PIK3C2G,8,371,2.15633423180593,72,20.168067226890756
