gene,mutation_count,sample_count,mutation_percentage
PTEN,119,371,32.075471698113205
TP53,117,371,31.536388140161726
EGFR,84,371,22.641509433962266
MUC16,60,371,16.172506738544474
FLG,49,371,13.20754716981132
NF1,40,371,10.781671159029651
RB1,35,371,9.433962264150944
PIK3R1,35,371,9.433962264150944
PIK3CA,35,371,9.433962264150944
ATRX,35,371,9.433962264150944
PCLO,29,371,7.816711590296496
COL6A3,24,371,6.46900269541779
IDH1,23,371,6.199460916442049
RELN,22,371,5.929919137466308
PIK3C2B,21,371,5.660377358490567
PIK3CG,20,371,5.3908355795148255
GRIN2A,19,371,5.121293800539084
DSP,18,371,4.8517520215633425
PDGFRA,17,371,4.5822102425876015
FAT2,17,371,4.5822102425876015
CSMD3,16,371,4.31266846361186
GRM3,16,371,4.31266846361186
GABRA6,15,371,4.0431266846361185
PTPRT,15,371,4.0431266846361185
LZTR1,15,371,4.0431266846361185
FGD5,15,371,4.0431266846361185
FBN2,15,371,4.0431266846361185
TAF1L,15,371,4.0431266846361185
MSH6,15,371,4.0431266846361185
KSR2,15,371,4.0431266846361185
ANK1,14,371,3.7735849056603774
STAG2,14,371,3.7735849056603774
TRRAP,14,371,3.7735849056603774
CNTNAP2,14,371,3.7735849056603774
PLCG2,14,371,3.7735849056603774
FLNA,13,371,3.5040431266846364
SLIT2,13,371,3.5040431266846364
SLIT3,12,371,3.234501347708895
KDR,12,371,3.234501347708895
HSPG2,12,371,3.234501347708895
KEL,12,371,3.234501347708895
LRP1B,12,371,3.234501347708895
KMT2C,12,371,3.234501347708895
CASR,12,371,3.234501347708895
MYH11,12,371,3.234501347708895
PRCC,11,371,2.964959568733154
FAT4,11,371,2.964959568733154
SALL4,11,371,2.964959568733154
ZNF208,11,371,2.964959568733154
IRS4,11,371,2.964959568733154
SAMD9,11,371,2.964959568733154
BCOR,11,371,2.964959568733154
MKI67,10,371,2.6954177897574128
EP400,10,371,2.6954177897574128
ADGRG4,10,371,2.6954177897574128
ATR,10,371,2.6954177897574128
FBLN2,10,371,2.6954177897574128
TFE3,10,371,2.6954177897574128
COL2A1,10,371,2.6954177897574128
DCC,10,371,2.6954177897574128
NOTCH2,9,371,2.4258760107816713
TP63,9,371,2.4258760107816713
FLT3,9,371,2.4258760107816713
FAM47C,9,371,2.4258760107816713
PTPN11,9,371,2.4258760107816713
PTPRB,9,371,2.4258760107816713
CAD,9,371,2.4258760107816713
INPP5D,9,371,2.4258760107816713
TAF1,9,371,2.4258760107816713
CD209,9,371,2.4258760107816713
MECOM,9,371,2.4258760107816713
TLL2,9,371,2.4258760107816713
VAV1,9,371,2.4258760107816713
PTPN3,9,371,2.4258760107816713
CARD11,9,371,2.4258760107816713
PEG3,9,371,2.4258760107816713
FOXA1,9,371,2.4258760107816713
SAMD9L,9,371,2.4258760107816713
IGF1R,8,371,2.15633423180593
SETD2,8,371,2.15633423180593
CPS1,8,371,2.15633423180593
USP9X,8,371,2.15633423180593
BRAF,8,371,2.15633423180593
BMP5,8,371,2.15633423180593
ASXL1,8,371,2.15633423180593
FLT4,8,371,2.15633423180593
KMT2B,8,371,2.15633423180593
SMC1A,8,371,2.15633423180593
CIITA,8,371,2.15633423180593
IKZF1,8,371,2.15633423180593
ERG,8,371,2.15633423180593
CD22,8,371,2.15633423180593
CACNA1D,8,371,2.15633423180593
PIK3C2G,8,371,2.15633423180593
KIT,8,371,2.15633423180593
PTPRS,8,371,2.15633423180593
ROBO1,8,371,2.15633423180593
MAP3K1,8,371,2.15633423180593
ABCB1,8,371,2.15633423180593
PLEC,8,371,2.15633423180593
DCAF12L2,8,371,2.15633423180593
SZT2,8,371,2.15633423180593
NCOR1,8,371,2.15633423180593
MED12,8,371,2.15633423180593
CAMTA1,7,371,1.8867924528301887
PRPF40B,7,371,1.8867924528301887
CREBBP,7,371,1.8867924528301887
MGAM,7,371,1.8867924528301887
ATP2B3,7,371,1.8867924528301887
PDE4DIP,7,371,1.8867924528301887
PAX3,7,371,1.8867924528301887
NFATC2,7,371,1.8867924528301887
DICER1,7,371,1.8867924528301887
NOTCH3,7,371,1.8867924528301887
LRP5,7,371,1.8867924528301887
SETBP1,7,371,1.8867924528301887
RPL5,7,371,1.8867924528301887
MIB1,7,371,1.8867924528301887
LRRK2,7,371,1.8867924528301887
FANCM,7,371,1.8867924528301887
GLI1,7,371,1.8867924528301887
CASZ1,7,371,1.8867924528301887
STAT5B,7,371,1.8867924528301887
TNC,7,371,1.8867924528301887
ZMYM3,7,371,1.8867924528301887
BCL11A,7,371,1.8867924528301887
WNK2,7,371,1.8867924528301887
ZFHX3,7,371,1.8867924528301887
NRK,7,371,1.8867924528301887
FAT1,7,371,1.8867924528301887
PRUNE2,7,371,1.8867924528301887
EPHB1,7,371,1.8867924528301887
ABCC4,7,371,1.8867924528301887
SMARCA2,7,371,1.8867924528301887
EPHA5,7,371,1.8867924528301887
RNF213,7,371,1.8867924528301887
UPF1,7,371,1.8867924528301887
ARHGEF28,7,371,1.8867924528301887
LRIG3,7,371,1.8867924528301887
