gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,357,509,70.13752455795678,180,36.144578313253014
FAT1,116,509,22.789783889980352,244,48.99598393574297
MUC16,107,509,21.021611001964637,177,35.54216867469879
CDKN2A,103,509,20.23575638506876,359,72.08835341365462
CSMD3,101,509,19.842829076620824,364,73.09236947791165
NOTCH1,94,509,18.467583497053045,243,48.795180722891565
LRP1B,93,509,18.271119842829076,204,40.963855421686745
PIK3CA,86,509,16.895874263261295,364,73.09236947791165
PCLO,81,509,15.913555992141454,184,36.94779116465863
KMT2D,71,509,13.948919449901767,133,26.706827309236946
FLG,67,509,13.163064833005894,157,31.52610441767068
NSD1,56,509,11.00196463654224,224,44.97991967871486
FAM135B,55,509,10.805500982318271,369,74.09638554216868
FAT4,53,509,10.412573673870334,199,39.959839357429715
CASP8,53,509,10.412573673870334,170,34.13654618473896
RELN,51,509,10.019646365422396,197,39.558232931726906
PLEC,49,509,9.62671905697446,368,73.89558232931726
FAT3,46,509,9.037328094302556,272,54.61847389558233
FMN2,41,509,8.055009823182711,172,34.53815261044177
EP300,38,509,7.465618860510806,183,36.74698795180723
FAT2,37,509,7.269155206286837,224,44.97991967871486
KMT2C,36,509,7.072691552062868,215,43.17269076305221
FBXW7,36,509,7.072691552062868,218,43.77510040160642
PEG3,36,509,7.072691552062868,180,36.144578313253014
CTNND2,36,509,7.072691552062868,258,51.80722891566265
RNF213,35,509,6.8762278978389,153,30.72289156626506
LRRK2,34,509,6.679764243614931,142,28.514056224899598
CDH10,34,509,6.679764243614931,249,50.0
ASPM,33,509,6.4833005893909625,167,33.53413654618474
CREBBP,33,509,6.4833005893909625,174,34.93975903614458
COL6A6,32,509,6.286836935166994,305,61.24497991967871
CTNNA2,32,509,6.286836935166994,137,27.510040160642568
AKAP9,31,509,6.090373280943026,197,39.558232931726906
ZNF208,31,509,6.090373280943026,161,32.329317269076306
MGAM,31,509,6.090373280943026,201,40.36144578313253
GRM3,31,509,6.090373280943026,186,37.34939759036144
PRKDC,30,509,5.893909626719057,319,64.05622489959839
ROS1,30,509,5.893909626719057,144,28.915662650602407
MYH9,30,509,5.893909626719057,184,36.94779116465863
AJUBA,30,509,5.893909626719057,222,44.57831325301205
COL6A3,30,509,5.893909626719057,185,37.148594377510044
PRUNE2,30,509,5.893909626719057,233,46.787148594377506
NFE2L2,30,509,5.893909626719057,158,31.72690763052209
GRIN2A,29,509,5.697445972495088,173,34.738955823293175
RUNX1T1,29,509,5.697445972495088,344,69.07630522088354
HRAS,29,509,5.697445972495088,219,43.97590361445783
SLIT2,29,509,5.697445972495088,238,47.791164658634536
TRRAP,28,509,5.50098231827112,196,39.3574297188755
DCC,28,509,5.50098231827112,294,59.036144578313255
NIPBL,28,509,5.50098231827112,242,48.59437751004016
EPHA5,28,509,5.50098231827112,195,39.1566265060241
PTPRD,27,509,5.304518664047151,348,69.87951807228916
DSP,27,509,5.304518664047151,182,36.54618473895582
ADGRG4,27,509,5.304518664047151,0,0.0
CDH11,27,509,5.304518664047151,193,38.75502008032129
SPEN,27,509,5.304518664047151,146,29.31726907630522
KMT2A,27,509,5.304518664047151,287,57.63052208835341
TAF1L,26,509,5.1080550098231825,296,59.43775100401606
BIRC6,26,509,5.1080550098231825,130,26.104417670682732
FBN2,26,509,5.1080550098231825,226,45.38152610441767
PTPRB,26,509,5.1080550098231825,137,27.510040160642568
POLQ,25,509,4.911591355599214,295,59.23694779116466
ATRX,25,509,4.911591355599214,172,34.53815261044177
PDZD2,25,509,4.911591355599214,244,48.99598393574297
ERBB4,25,509,4.911591355599214,182,36.54618473895582
CNTNAP2,25,509,4.911591355599214,209,41.967871485943775
CHD7,24,509,4.715127701375246,325,65.26104417670683
UBR5,24,509,4.715127701375246,355,71.285140562249
EPHA3,24,509,4.715127701375246,334,67.06827309236948
REV3L,24,509,4.715127701375246,140,28.11244979919679
USP9X,24,509,4.715127701375246,183,36.74698795180723
ZNF521,24,509,4.715127701375246,242,48.59437751004016
ZNF292,24,509,4.715127701375246,137,27.510040160642568
MKI67,23,509,4.518664047151278,157,31.52610441767068
EPHA2,23,509,4.518664047151278,145,29.116465863453815
