gene,mutation_count,sample_count,mutation_percentage
TP53,357,509,70.13752455795678
FAT1,116,509,22.789783889980352
MUC16,107,509,21.021611001964637
CDKN2A,103,509,20.23575638506876
CSMD3,101,509,19.842829076620824
NOTCH1,94,509,18.467583497053045
LRP1B,93,509,18.271119842829076
PIK3CA,86,509,16.895874263261295
PCLO,81,509,15.913555992141454
KMT2D,71,509,13.948919449901767
FLG,67,509,13.163064833005894
NSD1,56,509,11.00196463654224
FAM135B,55,509,10.805500982318271
FAT4,53,509,10.412573673870334
CASP8,53,509,10.412573673870334
RELN,51,509,10.019646365422396
PLEC,49,509,9.62671905697446
FAT3,46,509,9.037328094302556
FMN2,41,509,8.055009823182711
EP300,38,509,7.465618860510806
FAT2,37,509,7.269155206286837
KMT2C,36,509,7.072691552062868
FBXW7,36,509,7.072691552062868
PEG3,36,509,7.072691552062868
CTNND2,36,509,7.072691552062868
RNF213,35,509,6.8762278978389
LRRK2,34,509,6.679764243614931
CDH10,34,509,6.679764243614931
ASPM,33,509,6.4833005893909625
CREBBP,33,509,6.4833005893909625
COL6A6,32,509,6.286836935166994
CTNNA2,32,509,6.286836935166994
AKAP9,31,509,6.090373280943026
ZNF208,31,509,6.090373280943026
MGAM,31,509,6.090373280943026
GRM3,31,509,6.090373280943026
PRKDC,30,509,5.893909626719057
ROS1,30,509,5.893909626719057
MYH9,30,509,5.893909626719057
AJUBA,30,509,5.893909626719057
COL6A3,30,509,5.893909626719057
PRUNE2,30,509,5.893909626719057
NFE2L2,30,509,5.893909626719057
GRIN2A,29,509,5.697445972495088
RUNX1T1,29,509,5.697445972495088
HRAS,29,509,5.697445972495088
SLIT2,29,509,5.697445972495088
TRRAP,28,509,5.50098231827112
DCC,28,509,5.50098231827112
NIPBL,28,509,5.50098231827112
EPHA5,28,509,5.50098231827112
PTPRD,27,509,5.304518664047151
DSP,27,509,5.304518664047151
ADGRG4,27,509,5.304518664047151
CDH11,27,509,5.304518664047151
SPEN,27,509,5.304518664047151
KMT2A,27,509,5.304518664047151
TAF1L,26,509,5.1080550098231825
BIRC6,26,509,5.1080550098231825
FBN2,26,509,5.1080550098231825
PTPRB,26,509,5.1080550098231825
POLQ,25,509,4.911591355599214
ATRX,25,509,4.911591355599214
PDZD2,25,509,4.911591355599214
ERBB4,25,509,4.911591355599214
CNTNAP2,25,509,4.911591355599214
CHD7,24,509,4.715127701375246
UBR5,24,509,4.715127701375246
EPHA3,24,509,4.715127701375246
REV3L,24,509,4.715127701375246
USP9X,24,509,4.715127701375246
ZNF521,24,509,4.715127701375246
ZNF292,24,509,4.715127701375246
MKI67,23,509,4.518664047151278
EPHA2,23,509,4.518664047151278
TGFBR2,23,509,4.518664047151278
AFF3,23,509,4.518664047151278
FAM47C,23,509,4.518664047151278
PRKD1,22,509,4.322200392927308
ATR,22,509,4.322200392927308
APC,22,509,4.322200392927308
SMARCA4,22,509,4.322200392927308
ZNF479,22,509,4.322200392927308
EPHA7,22,509,4.322200392927308
ARID1A,22,509,4.322200392927308
ANKRD11,22,509,4.322200392927308
NOTCH2,22,509,4.322200392927308
PREX2,22,509,4.322200392927308
CAMTA1,22,509,4.322200392927308
HLA-B,21,509,4.12573673870334
PIK3CG,21,509,4.12573673870334
FLNA,21,509,4.12573673870334
ZFHX3,21,509,4.12573673870334
BRCA2,21,509,4.12573673870334
HLA-A,21,509,4.12573673870334
PTPRT,21,509,4.12573673870334
NBEA,21,509,4.12573673870334
MDGA2,21,509,4.12573673870334
PTPRC,21,509,4.12573673870334
KMT2B,20,509,3.9292730844793713
CUX1,20,509,3.9292730844793713
ZNF750,20,509,3.9292730844793713
KEAP1,20,509,3.9292730844793713
CACNA1D,19,509,3.732809430255403
NUMA1,19,509,3.732809430255403
ARID2,19,509,3.732809430255403
NOTCH3,19,509,3.732809430255403
DPYD,19,509,3.732809430255403
MAGI2,19,509,3.732809430255403
BCORL1,19,509,3.732809430255403
RANBP2,18,509,3.536345776031434
ASXL1,18,509,3.536345776031434
EP400,18,509,3.536345776031434
CCNB3,18,509,3.536345776031434
ABCB1,18,509,3.536345776031434
HSPG2,18,509,3.536345776031434
NIN,18,509,3.536345776031434
MECOM,17,509,3.3398821218074657
LRP6,17,509,3.3398821218074657
KDM6A,17,509,3.3398821218074657
DNMT3A,17,509,3.3398821218074657
ERBB3,17,509,3.3398821218074657
NFATC2,17,509,3.3398821218074657
EGFR,17,509,3.3398821218074657
MED12,17,509,3.3398821218074657
ATP2B3,17,509,3.3398821218074657
NCOR2,17,509,3.3398821218074657
CTCF,17,509,3.3398821218074657
COL3A1,17,509,3.3398821218074657
SMG1,17,509,3.3398821218074657
RB1,16,509,3.143418467583497
MYO5A,16,509,3.143418467583497
ALK,16,509,3.143418467583497
ROBO2,16,509,3.143418467583497
DNM2,16,509,3.143418467583497
TP53BP1,16,509,3.143418467583497
FCRL4,16,509,3.143418467583497
CPS1,16,509,3.143418467583497
IRS4,16,509,3.143418467583497
RASA1,16,509,3.143418467583497
MUC4,16,509,3.143418467583497
NCOR1,16,509,3.143418467583497
NTRK3,16,509,3.143418467583497
TRIP11,16,509,3.143418467583497
PTCH1,16,509,3.143418467583497
PTPN14,16,509,3.143418467583497
EPHB1,16,509,3.143418467583497
FLT4,16,509,3.143418467583497
KIAA1549,16,509,3.143418467583497
ARHGAP35,15,509,2.9469548133595285
ANK1,15,509,2.9469548133595285
RGS7,15,509,2.9469548133595285
NACA,15,509,2.9469548133595285
ATM,15,509,2.9469548133595285
TP63,15,509,2.9469548133595285
MGA,15,509,2.9469548133595285
GPC5,15,509,2.9469548133595285
NUTM1,15,509,2.9469548133595285
DOT1L,15,509,2.9469548133595285
ADAMTS9,15,509,2.9469548133595285
MDC1,15,509,2.9469548133595285
PAK5,15,509,2.9469548133595285
CUL3,15,509,2.9469548133595285
ARID1B,15,509,2.9469548133595285
SZT2,15,509,2.9469548133595285
LIFR,15,509,2.9469548133595285
AFDN,15,509,2.9469548133595285
NF1,14,509,2.75049115913556
CYLD,14,509,2.75049115913556
LPA,14,509,2.75049115913556
IGF1R,14,509,2.75049115913556
DICER1,14,509,2.75049115913556
BCL9,14,509,2.75049115913556
SAMD9L,14,509,2.75049115913556
TNC,14,509,2.75049115913556
RET,14,509,2.75049115913556
KSR2,14,509,2.75049115913556
CHD4,14,509,2.75049115913556
CARD11,14,509,2.75049115913556
CADM2,14,509,2.75049115913556
PTEN,13,509,2.5540275049115913
KNL1,13,509,2.5540275049115913
MEF2C,13,509,2.5540275049115913
GATA3,13,509,2.5540275049115913
AMER1,13,509,2.5540275049115913
ANKRD26,13,509,2.5540275049115913
BRCA1,13,509,2.5540275049115913
SFRP4,13,509,2.5540275049115913
PIK3C2G,13,509,2.5540275049115913
A1CF,13,509,2.5540275049115913
