gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,20,66,30.303030303030305,49,75.38461538461539
PTEN,6,66,9.090909090909092,50,76.92307692307693
MUC16,4,66,6.0606060606060606,20,30.76923076923077
HSPG2,2,66,3.0303030303030303,53,81.53846153846153
AFF3,2,66,3.0303030303030303,47,72.3076923076923
BIRC6,2,66,3.0303030303030303,47,72.3076923076923
NCAPH,2,66,3.0303030303030303,47,72.3076923076923
ZNF521,2,66,3.0303030303030303,24,36.92307692307693
NTRK3,2,66,3.0303030303030303,23,35.38461538461539
RB1,2,66,3.0303030303030303,45,69.23076923076923
PRDM2,2,66,3.0303030303030303,53,81.53846153846153
TRRAP,2,66,3.0303030303030303,25,38.46153846153847
CDKN1A,2,66,3.0303030303030303,52,80.0
TP63,2,66,3.0303030303030303,14,21.53846153846154
UBR5,2,66,3.0303030303030303,28,43.07692307692308
MGA,2,66,3.0303030303030303,23,35.38461538461539
TSC2,2,66,3.0303030303030303,25,38.46153846153847
USP9X,2,66,3.0303030303030303,47,72.3076923076923
CHD4,2,66,3.0303030303030303,21,32.30769230769231
TSC1,2,66,3.0303030303030303,20,30.76923076923077
HDAC7,2,66,3.0303030303030303,21,32.30769230769231
ATM,2,66,3.0303030303030303,24,36.92307692307693
GRM3,2,66,3.0303030303030303,25,38.46153846153847
FAT3,2,66,3.0303030303030303,23,35.38461538461539
FAT4,2,66,3.0303030303030303,23,35.38461538461539
FAT1,2,66,3.0303030303030303,25,38.46153846153847
NACA,2,66,3.0303030303030303,21,32.30769230769231
KMT2D,2,66,3.0303030303030303,21,32.30769230769231
KNL1,2,66,3.0303030303030303,0,0.0
ERBB3,2,66,3.0303030303030303,21,32.30769230769231
MTOR,2,66,3.0303030303030303,53,81.53846153846153
ADHFE1,1,66,1.5151515151515151,27,41.53846153846154
ACTB,1,66,1.5151515151515151,24,36.92307692307693
CDH2,1,66,1.5151515151515151,24,36.92307692307693
DUSP9,1,66,1.5151515151515151,46,70.76923076923077
ATRX,1,66,1.5151515151515151,48,73.84615384615385
ROBO1,1,66,1.5151515151515151,16,24.615384615384617
TET3,1,66,1.5151515151515151,47,72.3076923076923
AKT1S1,1,66,1.5151515151515151,21,32.30769230769231
