gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
VHL,170,374,45.45454545454545,317,88.79551820728291
PBRM1,155,374,41.44385026737968,316,88.51540616246498
SETD2,46,374,12.299465240641712,316,88.51540616246498
BAP1,41,374,10.962566844919785,315,88.23529411764706
MUC16,37,374,9.893048128342247,36,10.084033613445378
MTOR,29,374,7.754010695187167,77,21.568627450980394
KDM5C,21,374,5.614973262032086,52,14.565826330532214
CSMD3,19,374,5.080213903743315,82,22.969187675070028
FBN2,18,374,4.81283422459893,219,61.34453781512605
KMT2C,18,374,4.81283422459893,117,32.773109243697476
ATM,17,374,4.545454545454546,41,11.484593837535014
SPEN,15,374,4.010695187165775,76,21.288515406162464
PTEN,14,374,3.7433155080213902,69,19.327731092436977
FLG,14,374,3.7433155080213902,58,16.246498599439775
LRP1B,14,374,3.7433155080213902,65,18.207282913165265
PCLO,14,374,3.7433155080213902,112,31.372549019607842
ARID1A,13,374,3.4759358288770055,75,21.008403361344538
COL6A3,13,374,3.4759358288770055,81,22.689075630252102
KMT2D,12,374,3.2085561497326207,87,24.369747899159663
SMARCA4,12,374,3.2085561497326207,36,10.084033613445378
ROS1,12,374,3.2085561497326207,96,26.89075630252101
COL6A6,12,374,3.2085561497326207,119,33.33333333333333
TP53,11,374,2.941176470588235,46,12.885154061624648
FAT3,11,374,2.941176470588235,38,10.644257703081232
FAT1,11,374,2.941176470588235,62,17.366946778711483
BRCA2,11,374,2.941176470588235,70,19.607843137254903
BIRC6,11,374,2.941176470588235,62,17.366946778711483
NSD1,11,374,2.941176470588235,230,64.42577030812325
PEG3,10,374,2.6737967914438503,36,10.084033613445378
STAG2,10,374,2.6737967914438503,54,15.126050420168067
AKAP9,10,374,2.6737967914438503,114,31.932773109243694
PDZD2,10,374,2.6737967914438503,115,32.212885154061624
NOTCH2,9,374,2.406417112299465,65,18.207282913165265
RANBP2,9,374,2.406417112299465,61,17.086834733893557
EP300,9,374,2.406417112299465,54,15.126050420168067
CHD7,9,374,2.406417112299465,88,24.649859943977592
ERBB4,9,374,2.406417112299465,78,21.84873949579832
FAT4,9,374,2.406417112299465,60,16.80672268907563
ATRX,9,374,2.406417112299465,50,14.005602240896359
AFDN,9,374,2.406417112299465,0,0.0
ADGRG4,8,374,2.13903743315508,0,0.0
NCOR1,8,374,2.13903743315508,45,12.605042016806722
PRPF8,8,374,2.13903743315508,46,12.885154061624648
SAMD9,8,374,2.13903743315508,114,31.932773109243694
PRKDC,8,374,2.13903743315508,89,24.92997198879552
RELN,8,374,2.13903743315508,113,31.652661064425768
SLIT2,8,374,2.13903743315508,55,15.406162464985995
PRUNE2,8,374,2.13903743315508,107,29.971988795518207
BCORL1,8,374,2.13903743315508,54,15.126050420168067
TNC,8,374,2.13903743315508,110,30.81232492997199
NF2,7,374,1.8716577540106951,54,15.126050420168067
CHD4,7,374,1.8716577540106951,90,25.210084033613445
TSC2,7,374,1.8716577540106951,81,22.689075630252102
CACNA1D,7,374,1.8716577540106951,311,87.11484593837535
CUL3,7,374,1.8716577540106951,80,22.408963585434176
MGAM,7,374,1.8716577540106951,114,31.932773109243694
MKI67,7,374,1.8716577540106951,67,18.76750700280112
KAT6A,7,374,1.8716577540106951,93,26.05042016806723
KMT2A,7,374,1.8716577540106951,39,10.92436974789916
DSP,7,374,1.8716577540106951,68,19.047619047619047
ZMYM2,7,374,1.8716577540106951,68,19.047619047619047
POLR2A,7,374,1.8716577540106951,46,12.885154061624648
PTPRT,7,374,1.8716577540106951,74,20.72829131652661
POLE,7,374,1.8716577540106951,86,24.089635854341736
LRRK2,7,374,1.8716577540106951,88,24.649859943977592
NIPBL,7,374,1.8716577540106951,117,32.773109243697476
TPR,7,374,1.8716577540106951,55,15.406162464985995
PTPRB,7,374,1.8716577540106951,86,24.089635854341736
NF1,7,374,1.8716577540106951,38,10.644257703081232
TAF1,7,374,1.8716577540106951,50,14.005602240896359
ATR,7,374,1.8716577540106951,106,29.69187675070028
ABCC4,7,374,1.8716577540106951,72,20.168067226890756
EPHA5,7,374,1.8716577540106951,53,14.84593837535014
ARHGAP35,7,374,1.8716577540106951,37,10.364145658263306
SMC3,6,374,1.6042780748663104,67,18.76750700280112
GRIN2A,6,374,1.6042780748663104,80,22.408963585434176
HSP90AA1,6,374,1.6042780748663104,165,46.21848739495798
TYK2,6,374,1.6042780748663104,36,10.084033613445378
DOT1L,6,374,1.6042780748663104,40,11.204481792717088
MAX,6,374,1.6042780748663104,163,45.65826330532213
PI4KA,6,374,1.6042780748663104,53,14.84593837535014
RBM39,6,374,1.6042780748663104,73,20.448179271708682
FAT2,6,374,1.6042780748663104,224,62.745098039215684
ARID1B,6,374,1.6042780748663104,98,27.450980392156865
APC,6,374,1.6042780748663104,195,54.621848739495796
ARHGAP5,6,374,1.6042780748663104,154,43.13725490196079
AFF3,6,374,1.6042780748663104,61,17.086834733893557
TET2,6,374,1.6042780748663104,59,16.5266106442577
RNF213,6,374,1.6042780748663104,48,13.445378151260504
ASXL2,6,374,1.6042780748663104,62,17.366946778711483
TP63,6,374,1.6042780748663104,100,28.011204481792717
ZFHX3,6,374,1.6042780748663104,76,21.288515406162464
PHLPP2,6,374,1.6042780748663104,76,21.288515406162464
MAGI2,6,374,1.6042780748663104,116,32.49299719887955
CDK12,6,374,1.6042780748663104,37,10.364145658263306
CLTC,6,374,1.6042780748663104,41,11.484593837535014
ATF7IP,6,374,1.6042780748663104,89,24.92997198879552
MGA,6,374,1.6042780748663104,45,12.605042016806722
PLEC,6,374,1.6042780748663104,79,22.128851540616246
DIS3,6,374,1.6042780748663104,71,19.88795518207283
CTNNA1,6,374,1.6042780748663104,225,63.02521008403361
CUX1,6,374,1.6042780748663104,114,31.932773109243694
STAG1,6,374,1.6042780748663104,113,31.652661064425768
TAF1L,5,374,1.3368983957219251,108,30.252100840336134
CPS1,5,374,1.3368983957219251,78,21.84873949579832
NUP98,5,374,1.3368983957219251,36,10.084033613445378
CDH10,5,374,1.3368983957219251,115,32.212885154061624
NCOR2,5,374,1.3368983957219251,86,24.089635854341736
NSD3,5,374,1.3368983957219251,0,0.0
ABL2,5,374,1.3368983957219251,57,15.966386554621847
REV3L,5,374,1.3368983957219251,99,27.73109243697479
MAP4K4,5,374,1.3368983957219251,61,17.086834733893557
PIK3CA,5,374,1.3368983957219251,100,28.011204481792717
PDGFRA,5,374,1.3368983957219251,52,14.565826330532214
TSC1,5,374,1.3368983957219251,115,32.212885154061624
ANKRD26,5,374,1.3368983957219251,53,14.84593837535014
MYO18A,5,374,1.3368983957219251,38,10.644257703081232
BCL9L,5,374,1.3368983957219251,39,10.92436974789916
HIF1A,5,374,1.3368983957219251,163,45.65826330532213
TEK,5,374,1.3368983957219251,109,30.532212885154063
ACTG1,5,374,1.3368983957219251,47,13.165266106442578
ALK,5,374,1.3368983957219251,62,17.366946778711483
ALB,5,374,1.3368983957219251,53,14.84593837535014
CCAR1,5,374,1.3368983957219251,64,17.92717086834734
RBFOX1,5,374,1.3368983957219251,84,23.52941176470588
MET,5,374,1.3368983957219251,115,32.212885154061624
RICTOR,5,374,1.3368983957219251,116,32.49299719887955
IGF1R,5,374,1.3368983957219251,44,12.324929971988796
TP53BP1,5,374,1.3368983957219251,45,12.605042016806722
SLX4,5,374,1.3368983957219251,81,22.689075630252102
KDR,5,374,1.3368983957219251,51,14.285714285714285
SUZ12,5,374,1.3368983957219251,38,10.644257703081232
TEC,5,374,1.3368983957219251,54,15.126050420168067
SOS1,5,374,1.3368983957219251,64,17.92717086834734
RAD50,5,374,1.3368983957219251,221,61.904761904761905
UBR5,5,374,1.3368983957219251,81,22.689075630252102
CARD11,5,374,1.3368983957219251,111,31.092436974789916
LATS2,5,374,1.3368983957219251,68,19.047619047619047
ACSM3,5,374,1.3368983957219251,80,22.408963585434176
CTNNA2,5,374,1.3368983957219251,61,17.086834733893557
DAXX,5,374,1.3368983957219251,70,19.607843137254903
DNMT3A,5,374,1.3368983957219251,62,17.366946778711483
