gene,mutation_count,sample_count,mutation_percentage
VHL,170,374,45.45454545454545
PBRM1,155,374,41.44385026737968
SETD2,46,374,12.299465240641712
BAP1,41,374,10.962566844919785
MUC16,37,374,9.893048128342247
MTOR,29,374,7.754010695187167
KDM5C,21,374,5.614973262032086
CSMD3,19,374,5.080213903743315
FBN2,18,374,4.81283422459893
KMT2C,18,374,4.81283422459893
ATM,17,374,4.545454545454546
SPEN,15,374,4.010695187165775
PTEN,14,374,3.7433155080213902
FLG,14,374,3.7433155080213902
LRP1B,14,374,3.7433155080213902
PCLO,14,374,3.7433155080213902
ARID1A,13,374,3.4759358288770055
COL6A3,13,374,3.4759358288770055
KMT2D,12,374,3.2085561497326207
SMARCA4,12,374,3.2085561497326207
ROS1,12,374,3.2085561497326207
COL6A6,12,374,3.2085561497326207
TP53,11,374,2.941176470588235
FAT3,11,374,2.941176470588235
FAT1,11,374,2.941176470588235
BRCA2,11,374,2.941176470588235
BIRC6,11,374,2.941176470588235
NSD1,11,374,2.941176470588235
PEG3,10,374,2.6737967914438503
STAG2,10,374,2.6737967914438503
AKAP9,10,374,2.6737967914438503
PDZD2,10,374,2.6737967914438503
NOTCH2,9,374,2.406417112299465
RANBP2,9,374,2.406417112299465
EP300,9,374,2.406417112299465
CHD7,9,374,2.406417112299465
ERBB4,9,374,2.406417112299465
FAT4,9,374,2.406417112299465
ATRX,9,374,2.406417112299465
AFDN,9,374,2.406417112299465
ADGRG4,8,374,2.13903743315508
NCOR1,8,374,2.13903743315508
PRPF8,8,374,2.13903743315508
SAMD9,8,374,2.13903743315508
PRKDC,8,374,2.13903743315508
RELN,8,374,2.13903743315508
SLIT2,8,374,2.13903743315508
PRUNE2,8,374,2.13903743315508
BCORL1,8,374,2.13903743315508
TNC,8,374,2.13903743315508
NF2,7,374,1.8716577540106951
CHD4,7,374,1.8716577540106951
TSC2,7,374,1.8716577540106951
CACNA1D,7,374,1.8716577540106951
CUL3,7,374,1.8716577540106951
MGAM,7,374,1.8716577540106951
MKI67,7,374,1.8716577540106951
KAT6A,7,374,1.8716577540106951
KMT2A,7,374,1.8716577540106951
DSP,7,374,1.8716577540106951
ZMYM2,7,374,1.8716577540106951
POLR2A,7,374,1.8716577540106951
PTPRT,7,374,1.8716577540106951
POLE,7,374,1.8716577540106951
LRRK2,7,374,1.8716577540106951
NIPBL,7,374,1.8716577540106951
TPR,7,374,1.8716577540106951
PTPRB,7,374,1.8716577540106951
NF1,7,374,1.8716577540106951
TAF1,7,374,1.8716577540106951
ATR,7,374,1.8716577540106951
ABCC4,7,374,1.8716577540106951
EPHA5,7,374,1.8716577540106951
ARHGAP35,7,374,1.8716577540106951
SMC3,6,374,1.6042780748663104
GRIN2A,6,374,1.6042780748663104
HSP90AA1,6,374,1.6042780748663104
TYK2,6,374,1.6042780748663104
DOT1L,6,374,1.6042780748663104
MAX,6,374,1.6042780748663104
PI4KA,6,374,1.6042780748663104
RBM39,6,374,1.6042780748663104
FAT2,6,374,1.6042780748663104
ARID1B,6,374,1.6042780748663104
APC,6,374,1.6042780748663104
ARHGAP5,6,374,1.6042780748663104
AFF3,6,374,1.6042780748663104
TET2,6,374,1.6042780748663104
RNF213,6,374,1.6042780748663104
ASXL2,6,374,1.6042780748663104
TP63,6,374,1.6042780748663104
ZFHX3,6,374,1.6042780748663104
PHLPP2,6,374,1.6042780748663104
MAGI2,6,374,1.6042780748663104
CDK12,6,374,1.6042780748663104
CLTC,6,374,1.6042780748663104
ATF7IP,6,374,1.6042780748663104
MGA,6,374,1.6042780748663104
PLEC,6,374,1.6042780748663104
DIS3,6,374,1.6042780748663104
CTNNA1,6,374,1.6042780748663104
CUX1,6,374,1.6042780748663104
STAG1,6,374,1.6042780748663104
TAF1L,5,374,1.3368983957219251
CPS1,5,374,1.3368983957219251
NUP98,5,374,1.3368983957219251
