gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
MUC16,27,278,9.712230215827338,25,9.25925925925926
MET,20,278,7.194244604316546,168,62.22222222222222
KMT2C,19,278,6.83453237410072,163,60.370370370370374
KMT2D,17,278,6.115107913669065,105,38.88888888888889
FAT1,16,278,5.755395683453238,36,13.333333333333334
SETD2,15,278,5.39568345323741,91,33.7037037037037
BAP1,13,278,4.676258992805756,94,34.81481481481482
ARID1A,13,278,4.676258992805756,48,17.77777777777778
PCLO,12,278,4.316546762589928,164,60.74074074074074
BIRC6,11,278,3.9568345323741005,47,17.40740740740741
PBRM1,11,278,3.9568345323741005,94,34.81481481481482
CREBBP,10,278,3.597122302158273,148,54.81481481481482
EP300,10,278,3.597122302158273,61,22.59259259259259
KDM6A,10,278,3.597122302158273,121,44.81481481481481
CUL3,10,278,3.597122302158273,55,20.37037037037037
NF2,9,278,3.237410071942446,62,22.962962962962962
SMARCA4,9,278,3.237410071942446,25,9.25925925925926
SPEN,9,278,3.237410071942446,50,18.51851851851852
LRP1B,8,278,2.877697841726619,53,19.62962962962963
NCOR1,8,278,2.877697841726619,175,64.81481481481481
LRP6,8,278,2.877697841726619,107,39.62962962962963
TSC2,8,278,2.877697841726619,148,54.81481481481482
STAG2,8,278,2.877697841726619,121,44.81481481481481
CLTC,8,278,2.877697841726619,190,70.37037037037037
TP53BP1,8,278,2.877697841726619,37,13.703703703703704
ARHGEF28,8,278,2.877697841726619,36,13.333333333333334
SMG1,8,278,2.877697841726619,146,54.074074074074076
NIPBL,8,278,2.877697841726619,39,14.444444444444443
ZFHX3,8,278,2.877697841726619,149,55.18518518518518
PRKDC,8,278,2.877697841726619,26,9.62962962962963
RANBP2,8,278,2.877697841726619,47,17.40740740740741
FAT4,7,278,2.5179856115107913,35,12.962962962962962
DSP,7,278,2.5179856115107913,28,10.37037037037037
TET1,7,278,2.5179856115107913,21,7.777777777777778
RNF213,7,278,2.5179856115107913,191,70.74074074074073
SF3B1,7,278,2.5179856115107913,54,20.0
ATXN2,7,278,2.5179856115107913,107,39.62962962962963
DOT1L,7,278,2.5179856115107913,25,9.25925925925926
