gene,mutation_count,sample_count,mutation_percentage
MUC16,27,278,9.712230215827338
MET,20,278,7.194244604316546
KMT2C,19,278,6.83453237410072
KMT2D,17,278,6.115107913669065
FAT1,16,278,5.755395683453238
SETD2,15,278,5.39568345323741
BAP1,13,278,4.676258992805756
ARID1A,13,278,4.676258992805756
PCLO,12,278,4.316546762589928
BIRC6,11,278,3.9568345323741005
PBRM1,11,278,3.9568345323741005
CREBBP,10,278,3.597122302158273
EP300,10,278,3.597122302158273
KDM6A,10,278,3.597122302158273
CUL3,10,278,3.597122302158273
NF2,9,278,3.237410071942446
SMARCA4,9,278,3.237410071942446
SPEN,9,278,3.237410071942446
LRP1B,8,278,2.877697841726619
NCOR1,8,278,2.877697841726619
LRP6,8,278,2.877697841726619
TSC2,8,278,2.877697841726619
STAG2,8,278,2.877697841726619
CLTC,8,278,2.877697841726619
TP53BP1,8,278,2.877697841726619
ARHGEF28,8,278,2.877697841726619
SMG1,8,278,2.877697841726619
NIPBL,8,278,2.877697841726619
ZFHX3,8,278,2.877697841726619
PRKDC,8,278,2.877697841726619
RANBP2,8,278,2.877697841726619
FAT4,7,278,2.5179856115107913
DSP,7,278,2.5179856115107913
TET1,7,278,2.5179856115107913
RNF213,7,278,2.5179856115107913
SF3B1,7,278,2.5179856115107913
ATXN2,7,278,2.5179856115107913
DOT1L,7,278,2.5179856115107913
PTEN,7,278,2.5179856115107913
DDX5,7,278,2.5179856115107913
NBEA,7,278,2.5179856115107913
FGFR3,6,278,2.158273381294964
KAT6A,6,278,2.158273381294964
PLEC,6,278,2.158273381294964
CSMD3,6,278,2.158273381294964
MGAM,6,278,2.158273381294964
CTNNA1,6,278,2.158273381294964
SMARCB1,6,278,2.158273381294964
CUX1,6,278,2.158273381294964
DCC,6,278,2.158273381294964
ACTB,6,278,2.158273381294964
AFDN,6,278,2.158273381294964
MTOR,6,278,2.158273381294964
ANK1,6,278,2.158273381294964
TP53,6,278,2.158273381294964
DNMT3A,6,278,2.158273381294964
NFE2L2,6,278,2.158273381294964
LRIG3,6,278,2.158273381294964
BRCA2,6,278,2.158273381294964
FLG,6,278,2.158273381294964
SZT2,6,278,2.158273381294964
PTPRD,6,278,2.158273381294964
KDM3B,6,278,2.158273381294964
NSD1,6,278,2.158273381294964
NUP214,6,278,2.158273381294964
KNL1,6,278,2.158273381294964
KMT2A,6,278,2.158273381294964
FANCM,6,278,2.158273381294964
TNRC18,6,278,2.158273381294964
MYO18A,6,278,2.158273381294964
PARP4,6,278,2.158273381294964
ZNF721,5,278,1.7985611510791366
ARID2,5,278,1.7985611510791366
BCL9L,5,278,1.7985611510791366
PTPN14,5,278,1.7985611510791366
KIAA1549,5,278,1.7985611510791366
MSH3,5,278,1.7985611510791366
KRAS,5,278,1.7985611510791366
GPHN,5,278,1.7985611510791366
PDZD2,5,278,1.7985611510791366
FLT4,5,278,1.7985611510791366
NR2F2,5,278,1.7985611510791366
MGA,5,278,1.7985611510791366
HSPG2,5,278,1.7985611510791366
ANKRD11,5,278,1.7985611510791366
PTPRB,5,278,1.7985611510791366
GRIN2A,5,278,1.7985611510791366
COL6A3,5,278,1.7985611510791366
DHX9,5,278,1.7985611510791366
ARID5B,5,278,1.7985611510791366
LRRK2,5,278,1.7985611510791366
N4BP2,5,278,1.7985611510791366
NCOA1,5,278,1.7985611510791366
NCOA2,5,278,1.7985611510791366
ERBB2,5,278,1.7985611510791366
NIN,5,278,1.7985611510791366
NF1,5,278,1.7985611510791366
NOTCH3,5,278,1.7985611510791366
TSC1,5,278,1.7985611510791366
BRAF,5,278,1.7985611510791366
CACNA1D,5,278,1.7985611510791366
MAGI2,5,278,1.7985611510791366
CNOT3,5,278,1.7985611510791366
MKI67,5,278,1.7985611510791366
SETDB1,5,278,1.7985611510791366
ACVR2A,5,278,1.7985611510791366
ABL1,5,278,1.7985611510791366
ATP1A1,4,278,1.4388489208633095
ATM,4,278,1.4388489208633095
SAMD9,4,278,1.4388489208633095
ARHGEF12,4,278,1.4388489208633095
POLQ,4,278,1.4388489208633095
SNCAIP,4,278,1.4388489208633095
POLD1,4,278,1.4388489208633095
ZNF292,4,278,1.4388489208633095
AXIN1,4,278,1.4388489208633095
ATR,4,278,1.4388489208633095
SNX29,4,278,1.4388489208633095
MYCN,4,278,1.4388489208633095
MYO5A,4,278,1.4388489208633095
CAD,4,278,1.4388489208633095
EP400,4,278,1.4388489208633095
ARID4B,4,278,1.4388489208633095
SETD1A,4,278,1.4388489208633095
ARHGAP26,4,278,1.4388489208633095
APC,4,278,1.4388489208633095
MRTFA,4,278,1.4388489208633095
SGK1,4,278,1.4388489208633095
PIK3C2B,4,278,1.4388489208633095
MUC4,4,278,1.4388489208633095
SFPQ,4,278,1.4388489208633095
RELN,4,278,1.4388489208633095
BRD4,4,278,1.4388489208633095
DDX41,4,278,1.4388489208633095
DAZAP1,4,278,1.4388489208633095
LATS1,4,278,1.4388489208633095
ERBB4,4,278,1.4388489208633095
NFKB2,4,278,1.4388489208633095
NOTCH2,4,278,1.4388489208633095
AKAP9,4,278,1.4388489208633095
AFF1,4,278,1.4388489208633095
PC,4,278,1.4388489208633095
INPPL1,4,278,1.4388489208633095
PTPRT,4,278,1.4388489208633095
PALB2,4,278,1.4388489208633095
ZFP36L1,4,278,1.4388489208633095
HSP90AA1,4,278,1.4388489208633095
ZNF395,4,278,1.4388489208633095
ATF7IP,4,278,1.4388489208633095
COL6A6,4,278,1.4388489208633095
PRUNE2,4,278,1.4388489208633095
NUMA1,4,278,1.4388489208633095
CSPG4,4,278,1.4388489208633095
BCR,4,278,1.4388489208633095
UBTF,4,278,1.4388489208633095
SIN3A,4,278,1.4388489208633095
UBR5,4,278,1.4388489208633095
FUBP1,4,278,1.4388489208633095
VHL,4,278,1.4388489208633095
MAP3K6,4,278,1.4388489208633095
FBXO11,4,278,1.4388489208633095
LMNA,4,278,1.4388489208633095
PIK3C2G,4,278,1.4388489208633095
BRCA1,4,278,1.4388489208633095
SETBP1,4,278,1.4388489208633095
MAP2K4,4,278,1.4388489208633095
TAF15,4,278,1.4388489208633095
MAML2,4,278,1.4388489208633095
TERT,4,278,1.4388489208633095
EIF4A2,4,278,1.4388489208633095
MDC1,4,278,1.4388489208633095
ERC1,4,278,1.4388489208633095
TRIM33,4,278,1.4388489208633095
DROSHA,4,278,1.4388489208633095
PIK3R1,3,278,1.079136690647482
ATP2B3,3,278,1.079136690647482
REV3L,3,278,1.079136690647482
PIK3CA,3,278,1.079136690647482
PDE4DIP,3,278,1.079136690647482
PRDM16,3,278,1.079136690647482
POLR2A,3,278,1.079136690647482
NACA,3,278,1.079136690647482
MYH9,3,278,1.079136690647482
MYH11,3,278,1.079136690647482
SALL4,3,278,1.079136690647482
RPL22,3,278,1.079136690647482
RXRA,3,278,1.079136690647482
GEN1,3,278,1.079136690647482
CD209,3,278,1.079136690647482
SESN1,3,278,1.079136690647482
PNRC1,3,278,1.079136690647482
