gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
NPM1,11,144,7.638888888888889,5,3.64963503649635
MUC16,8,144,5.555555555555555,9,6.569343065693431
TP53,8,144,5.555555555555555,16,11.678832116788321
DNMT3A,8,144,5.555555555555555,2,1.4598540145985401
IDH2,7,144,4.861111111111112,4,2.9197080291970803
RUNX1,7,144,4.861111111111112,10,7.2992700729927
BCORL1,6,144,4.166666666666666,8,5.839416058394161
KRAS,6,144,4.166666666666666,5,3.64963503649635
FLT3,6,144,4.166666666666666,8,5.839416058394161
ASXL1,6,144,4.166666666666666,3,2.18978102189781
FAT2,5,144,3.4722222222222223,16,11.678832116788321
KIT,5,144,3.4722222222222223,7,5.109489051094891
PRPF8,5,144,3.4722222222222223,16,11.678832116788321
ATP2B3,4,144,2.7777777777777777,8,5.839416058394161
IDH1,4,144,2.7777777777777777,2,1.4598540145985401
CAD,3,144,2.083333333333333,2,1.4598540145985401
MED12,3,144,2.083333333333333,8,5.839416058394161
PTPN11,3,144,2.083333333333333,1,0.7299270072992701
ADGRG4,3,144,2.083333333333333,0,0.0
TNC,3,144,2.083333333333333,3,2.18978102189781
NF1,3,144,2.083333333333333,15,10.948905109489052
ELF4,3,144,2.083333333333333,8,5.839416058394161
LRP1B,3,144,2.083333333333333,1,0.7299270072992701
KDM6A,3,144,2.083333333333333,9,6.569343065693431
SPEN,3,144,2.083333333333333,6,4.37956204379562
CSMD3,3,144,2.083333333333333,22,16.05839416058394
INSR,3,144,2.083333333333333,10,7.2992700729927
MAGI2,3,144,2.083333333333333,16,11.678832116788321
KMT2D,3,144,2.083333333333333,2,1.4598540145985401
PHF6,3,144,2.083333333333333,8,5.839416058394161
CEBPA,3,144,2.083333333333333,8,5.839416058394161
SETD2,3,144,2.083333333333333,7,5.109489051094891
SMC1A,3,144,2.083333333333333,8,5.839416058394161
EZH1,2,144,1.3888888888888888,12,8.75912408759124
KDM5C,2,144,1.3888888888888888,8,5.839416058394161
KAT6A,2,144,1.3888888888888888,21,15.328467153284672
BRD4,2,144,1.3888888888888888,9,6.569343065693431
SRSF2,2,144,1.3888888888888888,9,6.569343065693431
MTOR,2,144,1.3888888888888888,7,5.109489051094891
WT1,2,144,1.3888888888888888,7,5.109489051094891
MUC4,2,144,1.3888888888888888,5,3.64963503649635
GATA2,2,144,1.3888888888888888,5,3.64963503649635
MYB,2,144,1.3888888888888888,3,2.18978102189781
MYC,2,144,1.3888888888888888,22,16.05839416058394
MYCL,2,144,1.3888888888888888,5,3.64963503649635
PIK3C2B,2,144,1.3888888888888888,3,2.18978102189781
MSH6,2,144,1.3888888888888888,2,1.4598540145985401
TRRAP,2,144,1.3888888888888888,20,14.5985401459854
DCTN1,2,144,1.3888888888888888,2,1.4598540145985401
RUNX1T1,2,144,1.3888888888888888,22,16.05839416058394
PCLO,2,144,1.3888888888888888,17,12.408759124087592
LPA,2,144,1.3888888888888888,1,0.7299270072992701
PRUNE2,2,144,1.3888888888888888,5,3.64963503649635
EP400,2,144,1.3888888888888888,3,2.18978102189781
CALR,2,144,1.3888888888888888,9,6.569343065693431
DNMT1,2,144,1.3888888888888888,9,6.569343065693431
PSPC1,2,144,1.3888888888888888,7,5.109489051094891
REV3L,2,144,1.3888888888888888,1,0.7299270072992701
GRM3,2,144,1.3888888888888888,20,14.5985401459854
BRSK1,2,144,1.3888888888888888,9,6.569343065693431
USP6,2,144,1.3888888888888888,15,10.948905109489052
CHD4,2,144,1.3888888888888888,3,2.18978102189781
ROBO2,2,144,1.3888888888888888,8,5.839416058394161
EGR1,2,144,1.3888888888888888,17,12.408759124087592
EPHA3,2,144,1.3888888888888888,7,5.109489051094891
PIK3CB,2,144,1.3888888888888888,4,2.9197080291970803
UBA1,2,144,1.3888888888888888,8,5.839416058394161
ASXL2,2,144,1.3888888888888888,2,1.4598540145985401
UBTF,2,144,1.3888888888888888,10,7.2992700729927
ERBB3,2,144,1.3888888888888888,1,0.7299270072992701
PRKD1,2,144,1.3888888888888888,2,1.4598540145985401
NTRK3,2,144,1.3888888888888888,4,2.9197080291970803
ARID1A,2,144,1.3888888888888888,6,4.37956204379562
EFTUD2,2,144,1.3888888888888888,10,7.2992700729927
ARHGEF10L,2,144,1.3888888888888888,7,5.109489051094891
FAT1,2,144,1.3888888888888888,6,4.37956204379562
ALK,2,144,1.3888888888888888,2,1.4598540145985401
COL2A1,2,144,1.3888888888888888,2,1.4598540145985401
COL6A3,2,144,1.3888888888888888,2,1.4598540145985401
DIS3,2,144,1.3888888888888888,7,5.109489051094891
FAT4,2,144,1.3888888888888888,6,4.37956204379562
POU5F1,2,144,1.3888888888888888,1,0.7299270072992701
THRAP3,2,144,1.3888888888888888,5,3.64963503649635
MDC1,2,144,1.3888888888888888,1,0.7299270072992701
RAD50,2,144,1.3888888888888888,17,12.408759124087592
AFF1,2,144,1.3888888888888888,7,5.109489051094891
SLX4,2,144,1.3888888888888888,2,1.4598540145985401
SZT2,2,144,1.3888888888888888,5,3.64963503649635
CASR,2,144,1.3888888888888888,5,3.64963503649635
TNRC18,2,144,1.3888888888888888,19,13.86861313868613
MYH11,2,144,1.3888888888888888,2,1.4598540145985401
ACVR1B,2,144,1.3888888888888888,1,0.7299270072992701
NFE2L2,2,144,1.3888888888888888,1,0.7299270072992701
IKZF3,1,144,0.6944444444444444,12,8.75912408759124
FANCA,1,144,0.6944444444444444,7,5.109489051094891
HOXA9,1,144,0.6944444444444444,20,14.5985401459854
SETD5,1,144,0.6944444444444444,5,3.64963503649635
NUP93,1,144,0.6944444444444444,5,3.64963503649635
TCL1A,1,144,0.6944444444444444,2,1.4598540145985401
PRKN,1,144,0.6944444444444444,0,0.0
FAT3,1,144,0.6944444444444444,7,5.109489051094891
ERCC1,1,144,0.6944444444444444,9,6.569343065693431
TENT5C,1,144,0.6944444444444444,0,0.0
PTPRO,1,144,0.6944444444444444,9,6.569343065693431
ZNF274,1,144,0.6944444444444444,10,7.2992700729927
RELN,1,144,0.6944444444444444,19,13.86861313868613
ROBO1,1,144,0.6944444444444444,8,5.839416058394161
SLC34A2,1,144,0.6944444444444444,6,4.37956204379562
ELP2,1,144,0.6944444444444444,4,2.9197080291970803
SMG1,1,144,0.6944444444444444,2,1.4598540145985401
PRKCI,1,144,0.6944444444444444,4,2.9197080291970803
TET2,1,144,0.6944444444444444,7,5.109489051094891
SMAD3,1,144,0.6944444444444444,4,2.9197080291970803
TET1,1,144,0.6944444444444444,4,2.9197080291970803
SETD3,1,144,0.6944444444444444,2,1.4598540145985401
GAS7,1,144,0.6944444444444444,14,10.218978102189782
BAALC,1,144,0.6944444444444444,22,16.05839416058394
BTLA,1,144,0.6944444444444444,5,3.64963503649635
MRE11,1,144,0.6944444444444444,0,0.0
FOXR1,1,144,0.6944444444444444,11,8.02919708029197
GLI1,1,144,0.6944444444444444,1,0.7299270072992701
CCNB3,1,144,0.6944444444444444,8,5.839416058394161
STAT3,1,144,0.6944444444444444,12,8.75912408759124
ANKRD26,1,144,0.6944444444444444,3,2.18978102189781
ALOX5,1,144,0.6944444444444444,3,2.18978102189781
ALDH1L2,1,144,0.6944444444444444,1,0.7299270072992701
CDH2,1,144,0.6944444444444444,4,2.9197080291970803
STAT6,1,144,0.6944444444444444,1,0.7299270072992701
GPHN,1,144,0.6944444444444444,2,1.4598540145985401
INPP4B,1,144,0.6944444444444444,6,4.37956204379562
AXL,1,144,0.6944444444444444,9,6.569343065693431
MST1R,1,144,0.6944444444444444,7,5.109489051094891
FBXO11,1,144,0.6944444444444444,2,1.4598540145985401
MAP3K14,1,144,0.6944444444444444,10,7.2992700729927
STAT4,1,144,0.6944444444444444,1,0.7299270072992701
TAF1,1,144,0.6944444444444444,8,5.839416058394161
TET3,1,144,0.6944444444444444,2,1.4598540145985401
SOS1,1,144,0.6944444444444444,2,1.4598540145985401
AGGF1,1,144,0.6944444444444444,9,6.569343065693431
FGFR2,1,144,0.6944444444444444,4,2.9197080291970803
SYK,1,144,0.6944444444444444,5,3.64963503649635
FLT1,1,144,0.6944444444444444,7,5.109489051094891
HIP1,1,144,0.6944444444444444,16,11.678832116788321
CILK1,1,144,0.6944444444444444,0,0.0
HEY1,1,144,0.6944444444444444,22,16.05839416058394
STRN,1,144,0.6944444444444444,2,1.4598540145985401
FLNA,1,144,0.6944444444444444,8,5.839416058394161
DKK4,1,144,0.6944444444444444,21,15.328467153284672
H3-4,1,144,0.6944444444444444,0,0.0
RIT1,1,144,0.6944444444444444,2,1.4598540145985401
NRAS,1,144,0.6944444444444444,3,2.18978102189781
PTPN13,1,144,0.6944444444444444,7,5.109489051094891
PTPN6,1,144,0.6944444444444444,3,2.18978102189781
SESN1,1,144,0.6944444444444444,1,0.7299270072992701
SESN2,1,144,0.6944444444444444,6,4.37956204379562
NFKB2,1,144,0.6944444444444444,4,2.9197080291970803
PTPRT,1,144,0.6944444444444444,4,2.9197080291970803
FAM47C,1,144,0.6944444444444444,8,5.839416058394161
GPS2,1,144,0.6944444444444444,16,11.678832116788321
GNB1,1,144,0.6944444444444444,7,5.109489051094891
UPF1,1,144,0.6944444444444444,10,7.2992700729927
MYO5A,1,144,0.6944444444444444,4,2.9197080291970803
MYH9,1,144,0.6944444444444444,11,8.02919708029197
MYD88,1,144,0.6944444444444444,7,5.109489051094891
RAP1B,1,144,0.6944444444444444,3,2.18978102189781
RAP1GDS1,1,144,0.6944444444444444,6,4.37956204379562
MUC6,1,144,0.6944444444444444,6,4.37956204379562
ADGRA2,1,144,0.6944444444444444,0,0.0
RAD21,1,144,0.6944444444444444,22,16.05839416058394
INPP4A,1,144,0.6944444444444444,1,0.7299270072992701
PMS2,1,144,0.6944444444444444,19,13.86861313868613
IGF2,1,144,0.6944444444444444,6,4.37956204379562
POLE,1,144,0.6944444444444444,3,2.18978102189781
POLG,1,144,0.6944444444444444,4,2.9197080291970803
POLQ,1,144,0.6944444444444444,5,3.64963503649635
PDGFRB,1,144,0.6944444444444444,17,12.408759124087592
PDGFRA,1,144,0.6944444444444444,7,5.109489051094891
NCOA3,1,144,0.6944444444444444,4,2.9197080291970803
H3C1,1,144,0.6944444444444444,0,0.0
NOTCH4,1,144,0.6944444444444444,1,0.7299270072992701
PBRM1,1,144,0.6944444444444444,7,5.109489051094891
PALB2,1,144,0.6944444444444444,2,1.4598540145985401
PRDM1,1,144,0.6944444444444444,1,0.7299270072992701
PRDM16,1,144,0.6944444444444444,7,5.109489051094891
PRF1,1,144,0.6944444444444444,4,2.9197080291970803
PRKCB,1,144,0.6944444444444444,2,1.4598540145985401
NUP98,1,144,0.6944444444444444,7,5.109489051094891
NUP214,1,144,0.6944444444444444,5,3.64963503649635
NUMA1,1,144,0.6944444444444444,7,5.109489051094891
PDE4DIP,1,144,0.6944444444444444,2,1.4598540145985401
KNL1,1,144,0.6944444444444444,0,0.0
KSR2,1,144,0.6944444444444444,2,1.4598540145985401
KMT2A,1,144,0.6944444444444444,15,10.948905109489052
AGO2,1,144,0.6944444444444444,22,16.05839416058394
MAP3K7,1,144,0.6944444444444444,1,0.7299270072992701
SETDB1,1,144,0.6944444444444444,2,1.4598540145985401
KEAP1,1,144,0.6944444444444444,9,6.569343065693431
KDR,1,144,0.6944444444444444,7,5.109489051094891
KDM5A,1,144,0.6944444444444444,4,2.9197080291970803
RBM15,1,144,0.6944444444444444,2,1.4598540145985401
TEK,1,144,0.6944444444444444,3,2.18978102189781
SH2B3,1,144,0.6944444444444444,1,0.7299270072992701
JAK3,1,144,0.6944444444444444,9,6.569343065693431
STAT5A,1,144,0.6944444444444444,12,8.75912408759124
NFE2,1,144,0.6944444444444444,1,0.7299270072992701
PDS5B,1,144,0.6944444444444444,7,5.109489051094891
ITGAV,1,144,0.6944444444444444,1,0.7299270072992701
ISX,1,144,0.6944444444444444,11,8.02919708029197
SHTN1,1,144,0.6944444444444444,0,0.0
IL7R,1,144,0.6944444444444444,2,1.4598540145985401
KAT6B,1,144,0.6944444444444444,4,2.9197080291970803
APLNR,1,144,0.6944444444444444,6,4.37956204379562
FGF10,1,144,0.6944444444444444,3,2.18978102189781
RFWD3,1,144,0.6944444444444444,8,5.839416058394161
ERF,1,144,0.6944444444444444,9,6.569343065693431
BACH2,1,144,0.6944444444444444,1,0.7299270072992701
MECOM,1,144,0.6944444444444444,5,3.64963503649635
CARS1,1,144,0.6944444444444444,0,0.0
MAX,1,144,0.6944444444444444,2,1.4598540145985401
RPL5,1,144,0.6944444444444444,4,2.9197080291970803
KBTBD4,1,144,0.6944444444444444,5,3.64963503649635
CYP19A1,1,144,0.6944444444444444,4,2.9197080291970803
CSDE1,1,144,0.6944444444444444,3,2.18978102189781
SALL4,1,144,0.6944444444444444,2,1.4598540145985401
LPP,1,144,0.6944444444444444,4,2.9197080291970803
CD22,1,144,0.6944444444444444,9,6.569343065693431
HIRA,1,144,0.6944444444444444,11,8.02919708029197
LCK,1,144,0.6944444444444444,5,3.64963503649635
HSD3B1,1,144,0.6944444444444444,2,1.4598540145985401
LATS1,1,144,0.6944444444444444,1,0.7299270072992701
IRF2,1,144,0.6944444444444444,6,4.37956204379562
CTR9,1,144,0.6944444444444444,6,4.37956204379562
CREB3L1,1,144,0.6944444444444444,5,3.64963503649635
COL3A1,1,144,0.6944444444444444,1,0.7299270072992701
PTPN14,1,144,0.6944444444444444,3,2.18978102189781
MAP4K4,1,144,0.6944444444444444,1,0.7299270072992701
HDAC4,1,144,0.6944444444444444,2,1.4598540145985401
CNOT3,1,144,0.6944444444444444,9,6.569343065693431
WNK2,1,144,0.6944444444444444,5,3.64963503649635
WRN,1,144,0.6944444444444444,22,16.05839416058394
TRIM33,1,144,0.6944444444444444,3,2.18978102189781
BAX,1,144,0.6944444444444444,10,7.2992700729927
MS4A1,1,144,0.6944444444444444,7,5.109489051094891
CIC,1,144,0.6944444444444444,9,6.569343065693431
STAT2,1,144,0.6944444444444444,1,0.7299270072992701
RNF6,1,144,0.6944444444444444,7,5.109489051094891
BCL11A,1,144,0.6944444444444444,2,1.4598540145985401
MYO18A,1,144,0.6944444444444444,12,8.75912408759124
YWHAE,1,144,0.6944444444444444,17,12.408759124087592
MIB1,1,144,0.6944444444444444,4,2.9197080291970803
DAXX,1,144,0.6944444444444444,1,0.7299270072992701
PEG3,1,144,0.6944444444444444,9,6.569343065693431
INPP5D,1,144,0.6944444444444444,2,1.4598540145985401
TSC1,1,144,0.6944444444444444,4,2.9197080291970803
KDM3B,1,144,0.6944444444444444,17,12.408759124087592
ATIC,1,144,0.6944444444444444,2,1.4598540145985401
UBR5,1,144,0.6944444444444444,22,16.05839416058394
ATM,1,144,0.6944444444444444,9,6.569343065693431
CREB3L2,1,144,0.6944444444444444,22,16.05839416058394
CTNNA2,1,144,0.6944444444444444,2,1.4598540145985401
ATRX,1,144,0.6944444444444444,8,5.839416058394161
CTNNA1,1,144,0.6944444444444444,17,12.408759124087592
CSF3R,1,144,0.6944444444444444,5,3.64963503649635
NPRL2,1,144,0.6944444444444444,7,5.109489051094891
VAV1,1,144,0.6944444444444444,10,7.2992700729927
ZNF780A,1,144,0.6944444444444444,9,6.569343065693431
CRLF2,1,144,0.6944444444444444,9,6.569343065693431
MAGED1,1,144,0.6944444444444444,8,5.839416058394161
ATP1A1,1,144,0.6944444444444444,3,2.18978102189781
BMPR1A,1,144,0.6944444444444444,5,3.64963503649635
CCND2,1,144,0.6944444444444444,4,2.9197080291970803
ZFP36L1,1,144,0.6944444444444444,2,1.4598540145985401
HLA-B,1,144,0.6944444444444444,1,0.7299270072992701
CBLC,1,144,0.6944444444444444,9,6.569343065693431
ZNF395,1,144,0.6944444444444444,22,16.05839416058394
CBL,1,144,0.6944444444444444,11,8.02919708029197
TAF1L,1,144,0.6944444444444444,3,2.18978102189781
ZBTB16,1,144,0.6944444444444444,9,6.569343065693431
SEC31A,1,144,0.6944444444444444,7,5.109489051094891
CASP3,1,144,0.6944444444444444,6,4.37956204379562
BTG1,1,144,0.6944444444444444,3,2.18978102189781
CAMTA1,1,144,0.6944444444444444,7,5.109489051094891
DOT1L,1,144,0.6944444444444444,11,8.02919708029197
SAMD9,1,144,0.6944444444444444,20,14.5985401459854
ATF7IP,1,144,0.6944444444444444,8,5.839416058394161
FGD1,1,144,0.6944444444444444,8,5.839416058394161
ANKRD11,1,144,0.6944444444444444,7,5.109489051094891
CDX2,1,144,0.6944444444444444,8,5.839416058394161
