gene,mutation_count,sample_count,mutation_percentage
NPM1,11,144,7.638888888888889
MUC16,8,144,5.555555555555555
TP53,8,144,5.555555555555555
DNMT3A,8,144,5.555555555555555
IDH2,7,144,4.861111111111112
RUNX1,7,144,4.861111111111112
BCORL1,6,144,4.166666666666666
KRAS,6,144,4.166666666666666
FLT3,6,144,4.166666666666666
ASXL1,6,144,4.166666666666666
FAT2,5,144,3.4722222222222223
KIT,5,144,3.4722222222222223
PRPF8,5,144,3.4722222222222223
ATP2B3,4,144,2.7777777777777777
IDH1,4,144,2.7777777777777777
CAD,3,144,2.083333333333333
MED12,3,144,2.083333333333333
PTPN11,3,144,2.083333333333333
ADGRG4,3,144,2.083333333333333
TNC,3,144,2.083333333333333
NF1,3,144,2.083333333333333
ELF4,3,144,2.083333333333333
LRP1B,3,144,2.083333333333333
KDM6A,3,144,2.083333333333333
SPEN,3,144,2.083333333333333
CSMD3,3,144,2.083333333333333
INSR,3,144,2.083333333333333
MAGI2,3,144,2.083333333333333
KMT2D,3,144,2.083333333333333
PHF6,3,144,2.083333333333333
CEBPA,3,144,2.083333333333333
SETD2,3,144,2.083333333333333
SMC1A,3,144,2.083333333333333
EZH1,2,144,1.3888888888888888
KDM5C,2,144,1.3888888888888888
KAT6A,2,144,1.3888888888888888
BRD4,2,144,1.3888888888888888
SRSF2,2,144,1.3888888888888888
MTOR,2,144,1.3888888888888888
WT1,2,144,1.3888888888888888
MUC4,2,144,1.3888888888888888
GATA2,2,144,1.3888888888888888
MYB,2,144,1.3888888888888888
MYC,2,144,1.3888888888888888
MYCL,2,144,1.3888888888888888
PIK3C2B,2,144,1.3888888888888888
MSH6,2,144,1.3888888888888888
TRRAP,2,144,1.3888888888888888
DCTN1,2,144,1.3888888888888888
RUNX1T1,2,144,1.3888888888888888
PCLO,2,144,1.3888888888888888
LPA,2,144,1.3888888888888888
PRUNE2,2,144,1.3888888888888888
EP400,2,144,1.3888888888888888
CALR,2,144,1.3888888888888888
DNMT1,2,144,1.3888888888888888
PSPC1,2,144,1.3888888888888888
REV3L,2,144,1.3888888888888888
GRM3,2,144,1.3888888888888888
BRSK1,2,144,1.3888888888888888
USP6,2,144,1.3888888888888888
CHD4,2,144,1.3888888888888888
ROBO2,2,144,1.3888888888888888
EGR1,2,144,1.3888888888888888
EPHA3,2,144,1.3888888888888888
PIK3CB,2,144,1.3888888888888888
UBA1,2,144,1.3888888888888888
ASXL2,2,144,1.3888888888888888
UBTF,2,144,1.3888888888888888
ERBB3,2,144,1.3888888888888888
PRKD1,2,144,1.3888888888888888
NTRK3,2,144,1.3888888888888888
ARID1A,2,144,1.3888888888888888
EFTUD2,2,144,1.3888888888888888
ARHGEF10L,2,144,1.3888888888888888
FAT1,2,144,1.3888888888888888
ALK,2,144,1.3888888888888888
COL2A1,2,144,1.3888888888888888
COL6A3,2,144,1.3888888888888888
DIS3,2,144,1.3888888888888888
FAT4,2,144,1.3888888888888888
POU5F1,2,144,1.3888888888888888
THRAP3,2,144,1.3888888888888888
MDC1,2,144,1.3888888888888888
RAD50,2,144,1.3888888888888888
AFF1,2,144,1.3888888888888888
SLX4,2,144,1.3888888888888888
SZT2,2,144,1.3888888888888888
CASR,2,144,1.3888888888888888
TNRC18,2,144,1.3888888888888888
MYH11,2,144,1.3888888888888888
ACVR1B,2,144,1.3888888888888888
NFE2L2,2,144,1.3888888888888888
IKZF3,1,144,0.6944444444444444
FANCA,1,144,0.6944444444444444
