gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
IDH1,393,512,76.7578125,34,6.70611439842209
TP53,239,512,46.6796875,40,7.889546351084813
ATRX,185,512,36.1328125,131,25.83826429980276
CIC,111,512,21.6796875,269,53.05719921104537
FUBP1,45,512,8.7890625,198,39.053254437869825
MUC16,44,512,8.59375,134,26.429980276134124
PIK3CA,44,512,8.59375,43,8.481262327416173
NOTCH1,39,512,7.6171875,87,17.159763313609467
EGFR,32,512,6.25,129,25.443786982248522
NF1,29,512,5.6640625,40,7.889546351084813
PTEN,25,512,4.8828125,116,22.879684418145956
SMARCA4,24,512,4.6875,135,26.627218934911244
PCLO,21,512,4.1015625,143,28.205128205128204
IDH2,21,512,4.1015625,67,13.214990138067062
PIK3R1,21,512,4.1015625,41,8.086785009861932
ZBTB20,20,512,3.90625,48,9.467455621301776
ARID1A,18,512,3.515625,204,40.23668639053255
NIPBL,18,512,3.515625,44,8.678500986193294
BCOR,17,512,3.3203125,127,25.04930966469428
FLG,16,512,3.125,45,8.875739644970414
FAT2,15,512,2.9296875,61,12.03155818540434
ZNF292,14,512,2.734375,66,13.017751479289942
TCF12,14,512,2.734375,77,15.187376725838265
CSMD3,13,512,2.5390625,103,20.315581854043394
HSPG2,12,512,2.34375,205,40.433925049309664
KMT2D,12,512,2.34375,79,15.581854043392504
DCAF12L2,12,512,2.34375,119,23.471400394477318
ARID2,12,512,2.34375,84,16.56804733727811
FAT1,11,512,2.1484375,139,27.416173570019726
LRP1B,11,512,2.1484375,46,9.072978303747535
DNMT3A,11,512,2.1484375,39,7.6923076923076925
FAT4,11,512,2.1484375,113,22.287968441814595
FGD5,10,512,1.953125,50,9.861932938856016
MED12,10,512,1.953125,118,23.274161735700197
ADGRG4,10,512,1.953125,0,0.0
SETD2,10,512,1.953125,61,12.03155818540434
TRRAP,9,512,1.7578125,165,32.544378698224854
ROS1,9,512,1.7578125,80,15.779092702169626
KEL,9,512,1.7578125,179,35.30571992110454
KMT2C,9,512,1.7578125,177,34.9112426035503
COL6A3,9,512,1.7578125,70,13.806706114398423
PTPN11,9,512,1.7578125,73,14.398422090729785
RANBP2,9,512,1.7578125,27,5.325443786982249
BRCA2,8,512,1.5625,137,27.021696252465482
ADAMTS9,8,512,1.5625,54,10.650887573964498
PBRM1,8,512,1.5625,59,11.637080867850099
KAT6B,8,512,1.5625,106,20.907297830374755
MKI67,8,512,1.5625,150,29.585798816568047
SZT2,8,512,1.5625,196,38.65877712031558
GRIN2A,8,512,1.5625,35,6.903353057199212
PRPF8,8,512,1.5625,43,8.481262327416173
SF3B1,8,512,1.5625,33,6.508875739644971
ANKRD11,8,512,1.5625,51,10.059171597633137
DSP,8,512,1.5625,54,10.650887573964498
ARID1B,8,512,1.5625,85,16.765285996055226
FLT4,8,512,1.5625,69,13.609467455621301
AKAP9,7,512,1.3671875,155,30.57199211045365
USP9X,7,512,1.3671875,123,24.2603550295858
SLIT2,7,512,1.3671875,76,14.990138067061142
ASPM,7,512,1.3671875,49,9.664694280078894
MGA,7,512,1.3671875,69,13.609467455621301
TAF1L,7,512,1.3671875,116,22.879684418145956
PTPRC,7,512,1.3671875,48,9.467455621301776
NOTCH2,7,512,1.3671875,203,40.03944773175542
RELN,7,512,1.3671875,171,33.72781065088758
TAF1,7,512,1.3671875,118,23.274161735700197
CLIP1,7,512,1.3671875,75,14.792899408284024
MECOM,7,512,1.3671875,41,8.086785009861932
MTOR,7,512,1.3671875,210,41.42011834319527
LRP6,7,512,1.3671875,76,14.990138067061142
CDH17,7,512,1.3671875,89,17.554240631163708
RB1,7,512,1.3671875,145,28.59960552268245
MYH11,7,512,1.3671875,35,6.903353057199212
PLCG2,7,512,1.3671875,46,9.072978303747535
RET,7,512,1.3671875,103,20.315581854043394
UBR5,7,512,1.3671875,97,19.13214990138067
FAT3,7,512,1.3671875,82,16.173570019723865
LATS2,7,512,1.3671875,128,25.2465483234714
PTPRD,7,512,1.3671875,174,34.319526627218934
FAM47C,6,512,1.171875,123,24.2603550295858
EPHA3,6,512,1.171875,40,7.889546351084813
TLL2,6,512,1.171875,114,22.485207100591715
ROBO2,6,512,1.171875,48,9.467455621301776
PRKDC,6,512,1.171875,55,10.848126232741617
CARD11,6,512,1.171875,130,25.64102564102564
ZMYM3,6,512,1.171875,118,23.274161735700197
ZMYM2,6,512,1.171875,128,25.2465483234714
ZFHX3,6,512,1.171875,42,8.284023668639055
USP6,6,512,1.171875,39,7.6923076923076925
AMER1,6,512,1.171875,122,24.06311637080868
BCORL1,6,512,1.171875,118,23.274161735700197
HDAC4,6,512,1.171875,75,14.792899408284024
CD22,6,512,1.171875,243,47.928994082840234
CHD4,6,512,1.171875,88,17.357001972386588
FBN2,6,512,1.171875,53,10.453648915187378
PDGFRA,6,512,1.171875,91,17.94871794871795
PTPRB,6,512,1.171875,78,15.384615384615385
IGF1R,6,512,1.171875,71,14.003944773175542
EPHA5,6,512,1.171875,100,19.723865877712033
MUC4,6,512,1.171875,58,11.439842209072978
FLNA,6,512,1.171875,125,24.65483234714004
POLQ,6,512,1.171875,44,8.678500986193294
CACNA1D,6,512,1.171875,60,11.834319526627219
NOTCH3,6,512,1.171875,125,24.65483234714004
NCOR1,6,512,1.171875,35,6.903353057199212
KMT2A,6,512,1.171875,108,21.301775147928996
SMC1A,5,512,0.9765625,120,23.668639053254438
STAG2,5,512,0.9765625,119,23.471400394477318
A1CF,5,512,0.9765625,105,20.710059171597635
H3-3A,5,512,0.9765625,0,0.0
USP7,5,512,0.9765625,34,6.70611439842209
PTPN14,5,512,0.9765625,52,10.256410256410255
SAMD9,5,512,0.9765625,159,31.360946745562128
PTPN13,5,512,0.9765625,103,20.315581854043394
MYO5A,5,512,0.9765625,71,14.003944773175542
NBEA,5,512,0.9765625,139,27.416173570019726
NFATC2,5,512,0.9765625,51,10.059171597633137
INPP4B,5,512,0.9765625,123,24.2603550295858
NUTM1,5,512,0.9765625,64,12.6232741617357
RAD50,5,512,0.9765625,55,10.848126232741617
PLCG1,5,512,0.9765625,49,9.664694280078894
PREX2,5,512,0.9765625,62,12.22879684418146
PRUNE2,5,512,0.9765625,73,14.398422090729785
POLR2A,5,512,0.9765625,39,7.6923076923076925
PI4KA,5,512,0.9765625,78,15.384615384615385
RBFOX1,5,512,0.9765625,35,6.903353057199212
DNMT3B,5,512,0.9765625,46,9.072978303747535
MET,5,512,0.9765625,175,34.51676528599605
CDK12,5,512,0.9765625,40,7.889546351084813
NACA,5,512,0.9765625,77,15.187376725838265
GABRA6,5,512,0.9765625,72,14.201183431952662
HIRA,5,512,0.9765625,78,15.384615384615385
CTR9,5,512,0.9765625,120,23.668639053254438
EP400,5,512,0.9765625,81,15.976331360946746
SLX4,5,512,0.9765625,37,7.297830374753452
UPF1,5,512,0.9765625,123,24.2603550295858
MDC1,5,512,0.9765625,40,7.889546351084813
CNTNAP2,5,512,0.9765625,182,35.8974358974359
COL1A1,5,512,0.9765625,41,8.086785009861932
COL2A1,5,512,0.9765625,79,15.581854043392504
HDAC2,5,512,0.9765625,80,15.779092702169626
KDR,5,512,0.9765625,86,16.962524654832347
KIAA1549,5,512,0.9765625,180,35.50295857988166
KNL1,5,512,0.9765625,0,0.0
CREBBP,5,512,0.9765625,39,7.6923076923076925
ETAA1,5,512,0.9765625,34,6.70611439842209
FANCM,5,512,0.9765625,83,16.370808678500985
CAD,5,512,0.9765625,36,7.100591715976331
KSR2,5,512,0.9765625,74,14.595660749506903
CDH4,5,512,0.9765625,57,11.242603550295858
