gene,mutation_count,sample_count,mutation_percentage
IDH1,393,512,76.7578125
TP53,239,512,46.6796875
ATRX,185,512,36.1328125
CIC,111,512,21.6796875
FUBP1,45,512,8.7890625
MUC16,44,512,8.59375
PIK3CA,44,512,8.59375
NOTCH1,39,512,7.6171875
EGFR,32,512,6.25
NF1,29,512,5.6640625
PTEN,25,512,4.8828125
SMARCA4,24,512,4.6875
PCLO,21,512,4.1015625
IDH2,21,512,4.1015625
PIK3R1,21,512,4.1015625
ZBTB20,20,512,3.90625
ARID1A,18,512,3.515625
NIPBL,18,512,3.515625
BCOR,17,512,3.3203125
FLG,16,512,3.125
FAT2,15,512,2.9296875
ZNF292,14,512,2.734375
TCF12,14,512,2.734375
CSMD3,13,512,2.5390625
HSPG2,12,512,2.34375
KMT2D,12,512,2.34375
DCAF12L2,12,512,2.34375
ARID2,12,512,2.34375
FAT1,11,512,2.1484375
LRP1B,11,512,2.1484375
DNMT3A,11,512,2.1484375
FAT4,11,512,2.1484375
FGD5,10,512,1.953125
MED12,10,512,1.953125
ADGRG4,10,512,1.953125
SETD2,10,512,1.953125
TRRAP,9,512,1.7578125
ROS1,9,512,1.7578125
KEL,9,512,1.7578125
KMT2C,9,512,1.7578125
COL6A3,9,512,1.7578125
PTPN11,9,512,1.7578125
RANBP2,9,512,1.7578125
BRCA2,8,512,1.5625
ADAMTS9,8,512,1.5625
PBRM1,8,512,1.5625
KAT6B,8,512,1.5625
MKI67,8,512,1.5625
SZT2,8,512,1.5625
GRIN2A,8,512,1.5625
PRPF8,8,512,1.5625
SF3B1,8,512,1.5625
ANKRD11,8,512,1.5625
DSP,8,512,1.5625
ARID1B,8,512,1.5625
FLT4,8,512,1.5625
AKAP9,7,512,1.3671875
USP9X,7,512,1.3671875
SLIT2,7,512,1.3671875
ASPM,7,512,1.3671875
MGA,7,512,1.3671875
TAF1L,7,512,1.3671875
PTPRC,7,512,1.3671875
NOTCH2,7,512,1.3671875
RELN,7,512,1.3671875
TAF1,7,512,1.3671875
CLIP1,7,512,1.3671875
MECOM,7,512,1.3671875
MTOR,7,512,1.3671875
LRP6,7,512,1.3671875
CDH17,7,512,1.3671875
RB1,7,512,1.3671875
MYH11,7,512,1.3671875
PLCG2,7,512,1.3671875
RET,7,512,1.3671875
UBR5,7,512,1.3671875
FAT3,7,512,1.3671875
LATS2,7,512,1.3671875
PTPRD,7,512,1.3671875
FAM47C,6,512,1.171875
EPHA3,6,512,1.171875
TLL2,6,512,1.171875
ROBO2,6,512,1.171875
PRKDC,6,512,1.171875
CARD11,6,512,1.171875
ZMYM3,6,512,1.171875
ZMYM2,6,512,1.171875
ZFHX3,6,512,1.171875
USP6,6,512,1.171875
AMER1,6,512,1.171875
BCORL1,6,512,1.171875
HDAC4,6,512,1.171875
CD22,6,512,1.171875
CHD4,6,512,1.171875
FBN2,6,512,1.171875
PDGFRA,6,512,1.171875
PTPRB,6,512,1.171875
IGF1R,6,512,1.171875
EPHA5,6,512,1.171875
MUC4,6,512,1.171875
FLNA,6,512,1.171875
POLQ,6,512,1.171875
CACNA1D,6,512,1.171875
NOTCH3,6,512,1.171875
NCOR1,6,512,1.171875
KMT2A,6,512,1.171875
SMC1A,5,512,0.9765625
STAG2,5,512,0.9765625
A1CF,5,512,0.9765625
H3-3A,5,512,0.9765625
USP7,5,512,0.9765625
PTPN14,5,512,0.9765625
SAMD9,5,512,0.9765625
PTPN13,5,512,0.9765625
MYO5A,5,512,0.9765625
NBEA,5,512,0.9765625
NFATC2,5,512,0.9765625
INPP4B,5,512,0.9765625
NUTM1,5,512,0.9765625
RAD50,5,512,0.9765625
PLCG1,5,512,0.9765625
PREX2,5,512,0.9765625
PRUNE2,5,512,0.9765625
POLR2A,5,512,0.9765625
PI4KA,5,512,0.9765625
RBFOX1,5,512,0.9765625
DNMT3B,5,512,0.9765625
MET,5,512,0.9765625
CDK12,5,512,0.9765625
NACA,5,512,0.9765625
GABRA6,5,512,0.9765625
HIRA,5,512,0.9765625
CTR9,5,512,0.9765625
EP400,5,512,0.9765625
SLX4,5,512,0.9765625
UPF1,5,512,0.9765625
MDC1,5,512,0.9765625
CNTNAP2,5,512,0.9765625
COL1A1,5,512,0.9765625
COL2A1,5,512,0.9765625
HDAC2,5,512,0.9765625
KDR,5,512,0.9765625
KIAA1549,5,512,0.9765625
KNL1,5,512,0.9765625
CREBBP,5,512,0.9765625
ETAA1,5,512,0.9765625
FANCM,5,512,0.9765625
CAD,5,512,0.9765625
KSR2,5,512,0.9765625
CDH4,5,512,0.9765625
DCC,5,512,0.9765625
FANCD2,5,512,0.9765625
FES,5,512,0.9765625
ABCB1,5,512,0.9765625
TPR,5,512,0.9765625
ARHGEF12,5,512,0.9765625
TCF7L2,5,512,0.9765625
ARHGAP5,5,512,0.9765625
TNC,4,512,0.78125
ARHGAP26,4,512,0.78125
AFF4,4,512,0.78125
WNK2,4,512,0.78125
EPHA7,4,512,0.78125
VAV1,4,512,0.78125
ATM,4,512,0.78125
ATP2B3,4,512,0.78125
ZNF479,4,512,0.78125
ZNF521,4,512,0.78125
USP44,4,512,0.78125
PTK7,4,512,0.78125
SPEN,4,512,0.78125
ERBB4,4,512,0.78125
BCL11A,4,512,0.78125
FAM135B,4,512,0.78125
EIF1AX,4,512,0.78125
CPS1,4,512,0.78125
INPPL1,4,512,0.78125
GPC3,4,512,0.78125
BTK,4,512,0.78125
RUNX1T1,4,512,0.78125
GATA6,4,512,0.78125
CUX1,4,512,0.78125
GATA3,4,512,0.78125
KMT2B,4,512,0.78125
ATF7IP,4,512,0.78125
MED23,4,512,0.78125
SMG1,4,512,0.78125
SMARCA1,4,512,0.78125
FOLH1,4,512,0.78125
FBXW7,4,512,0.78125
FBLN2,4,512,0.78125
MGAM,4,512,0.78125
DDX4,4,512,0.78125
ARID4B,4,512,0.78125
BCR,4,512,0.78125
PDCD11,4,512,0.78125
PPM1D,4,512,0.78125
MCM7,4,512,0.78125
REST,4,512,0.78125
NKX2-1,4,512,0.78125
IRS1,4,512,0.78125
CHRDL1,4,512,0.78125
IKBKE,4,512,0.78125
ABCC4,4,512,0.78125
ZNF217,4,512,0.78125
KAT6A,4,512,0.78125
TYK2,4,512,0.78125
XIAP,4,512,0.78125
TRAF5,4,512,0.78125
NRG1,4,512,0.78125
MDGA2,4,512,0.78125
PDZD2,4,512,0.78125
GRM3,4,512,0.78125
PRPF40B,4,512,0.78125
TP53BP1,4,512,0.78125
MKNK1,4,512,0.78125
IRS4,4,512,0.78125
PRF1,4,512,0.78125
POLE,4,512,0.78125
PML,4,512,0.78125
IRF8,4,512,0.78125
NCOR2,4,512,0.78125
CHST11,4,512,0.78125
CLTCL1,4,512,0.78125
NUMA1,4,512,0.78125
CDH1,4,512,0.78125
NSD3,4,512,0.78125
NR2F2,4,512,0.78125
MYO18A,4,512,0.78125
NEGR1,4,512,0.78125
MACC1,4,512,0.78125
AGO2,4,512,0.78125
MYH9,4,512,0.78125
MAX,4,512,0.78125
LATS1,4,512,0.78125
MDM2,4,512,0.78125
COP1,4,512,0.78125
CCNB3,4,512,0.78125
CASR,4,512,0.78125
ECT2L,4,512,0.78125
TSC2,4,512,0.78125
TRIP11,4,512,0.78125
TET2,4,512,0.78125
MAP3K1,4,512,0.78125
KIT,4,512,0.78125
ELF4,3,512,0.5859375
SETD3,3,512,0.5859375
ZNF429,3,512,0.5859375
SPOP,3,512,0.5859375
XPC,3,512,0.5859375
BCL9,3,512,0.5859375
BCL11B,3,512,0.5859375
SERPINB3,3,512,0.5859375
CTNNA2,3,512,0.5859375
PLXNC1,3,512,0.5859375
SMARCB1,3,512,0.5859375
SND1,3,512,0.5859375
SMARCE1,3,512,0.5859375
RASA1,3,512,0.5859375
RPS6KA3,3,512,0.5859375
SETD5,3,512,0.5859375
DDX5,3,512,0.5859375
ZNF331,3,512,0.5859375
ERG,3,512,0.5859375
APEX1,3,512,0.5859375
ASXL1,3,512,0.5859375
SUFU,3,512,0.5859375
TSHR,3,512,0.5859375
ETV6,3,512,0.5859375
SMAD3,3,512,0.5859375
ATR,3,512,0.5859375
AXIN2,3,512,0.5859375
ADARB2,3,512,0.5859375
TLE4,3,512,0.5859375
WDR90,3,512,0.5859375
ANKRD26,3,512,0.5859375
TP63,3,512,0.5859375
ACSL6,3,512,0.5859375
AFDN,3,512,0.5859375
TONSL,3,512,0.5859375
AR,3,512,0.5859375
ARHGAP35,3,512,0.5859375
ABL2,3,512,0.5859375
TNRC18,3,512,0.5859375
CRTC1,3,512,0.5859375
ADGRA2,3,512,0.5859375
AGO1,3,512,0.5859375
ARID5A,3,512,0.5859375
NRK,3,512,0.5859375
PPARG,3,512,0.5859375
RIPK1,3,512,0.5859375
PHLPP2,3,512,0.5859375
BRAF,3,512,0.5859375
PRDM1,3,512,0.5859375
PRDM16,3,512,0.5859375
PRDM2,3,512,0.5859375
BIRC6,3,512,0.5859375
BRD3,3,512,0.5859375
BACH2,3,512,0.5859375
BRCA1,3,512,0.5859375
DTX1,3,512,0.5859375
SIN3A,3,512,0.5859375
DHX9,3,512,0.5859375
DDX41,3,512,0.5859375
EFTUD2,3,512,0.5859375
CTNNB1,3,512,0.5859375
FLCN,3,512,0.5859375
CTNND2,3,512,0.5859375
RXRA,3,512,0.5859375
ING1,3,512,0.5859375
SOX17,3,512,0.5859375
RUNX1,3,512,0.5859375
RECQL4,3,512,0.5859375
RAP1GDS1,3,512,0.5859375
FUS,3,512,0.5859375
EPHB4,3,512,0.5859375
PTPRO,3,512,0.5859375
ROBO1,3,512,0.5859375
VAV2,3,512,0.5859375
PRKD2,3,512,0.5859375
ZNF750,3,512,0.5859375
PPP2R2A,3,512,0.5859375
SLFN11,3,512,0.5859375
FLT3,3,512,0.5859375
RPS6KB1,3,512,0.5859375
SAMD9L,3,512,0.5859375
REV3L,3,512,0.5859375
CTNND1,3,512,0.5859375
ERC1,3,512,0.5859375
DNM2,3,512,0.5859375
ERCC2,3,512,0.5859375
ERCC4,3,512,0.5859375
PGR,3,512,0.5859375
PIK3CD,3,512,0.5859375
MARK2,3,512,0.5859375
CCAR1,3,512,0.5859375
CSPG4,3,512,0.5859375
RASA2,3,512,0.5859375
CASP8,3,512,0.5859375
U2AF2,3,512,0.5859375
CBLC,3,512,0.5859375
IRF4,3,512,0.5859375
PMS2,3,512,0.5859375
POT1,3,512,0.5859375
FGF5,3,512,0.5859375
POLD1,3,512,0.5859375
FBXO31,3,512,0.5859375
COL3A1,3,512,0.5859375
JARID2,3,512,0.5859375
NONO,3,512,0.5859375
FLT1,3,512,0.5859375
RAC2,3,512,0.5859375
PRDM14,3,512,0.5859375
AURKA,3,512,0.5859375
CHD7,3,512,0.5859375
MIB2,3,512,0.5859375
FZR1,3,512,0.5859375
PTPRS,3,512,0.5859375
KCNJ5,3,512,0.5859375
PAK5,3,512,0.5859375
FMN2,3,512,0.5859375
PEG3,3,512,0.5859375
PCM1,3,512,0.5859375
NRAS,3,512,0.5859375
PER1,3,512,0.5859375
MS4A1,3,512,0.5859375
PLEC,3,512,0.5859375
IL21R,3,512,0.5859375
CBLB,3,512,0.5859375
CBFA2T3,3,512,0.5859375
SMC3,3,512,0.5859375
NCOA4,3,512,0.5859375
CCND1,3,512,0.5859375
CCR7,3,512,0.5859375
CDC73,3,512,0.5859375
NUP98,3,512,0.5859375
CLTC,3,512,0.5859375
LRIG3,3,512,0.5859375
LEF1,3,512,0.5859375
CNTRL,3,512,0.5859375
MEN1,3,512,0.5859375
MLLT3,3,512,0.5859375
MUC6,3,512,0.5859375
MSH3,3,512,0.5859375
LGR5,3,512,0.5859375
MAGI2,3,512,0.5859375
MBD4,3,512,0.5859375
MBD6,3,512,0.5859375
NOTCH4,3,512,0.5859375
H1-4,3,512,0.5859375
MALT1,3,512,0.5859375
LZTR1,3,512,0.5859375
CDKN2A,3,512,0.5859375
NUP93,3,512,0.5859375
CDKN2C,3,512,0.5859375
H1-2,3,512,0.5859375
DUSP22,3,512,0.5859375
EIF4E,3,512,0.5859375
TEK,3,512,0.5859375
ARID5B,3,512,0.5859375
IQGAP1,3,512,0.5859375
HNF1B,3,512,0.5859375
KDM2B,3,512,0.5859375
MLLT6,3,512,0.5859375
TFE3,3,512,0.5859375
TFRC,3,512,0.5859375
ATRIP,3,512,0.5859375
TET1,3,512,0.5859375
THRAP3,3,512,0.5859375
TEC,3,512,0.5859375
ANK1,3,512,0.5859375
APC,3,512,0.5859375
ALDH1L2,2,512,0.390625
ACTB,2,512,0.390625
ZNF703,2,512,0.390625
ERBB2,2,512,0.390625
EPS15,2,512,0.390625
EPAS1,2,512,0.390625
ASXL2,2,512,0.390625
STAT1,2,512,0.390625
SRP72,2,512,0.390625
SLIT3,2,512,0.390625
SFRP2,2,512,0.390625
TBL1XR1,2,512,0.390625
STIL,2,512,0.390625
STAT5B,2,512,0.390625
SMAD2,2,512,0.390625
SLC45A3,2,512,0.390625
NCOA2,2,512,0.390625
NBN,2,512,0.390625
N4BP2,2,512,0.390625
DNMT1,2,512,0.390625
CDKN1B,2,512,0.390625
KDM4C,2,512,0.390625
ITPKB,2,512,0.390625
IFNAR1,2,512,0.390625
HSD17B2,2,512,0.390625
XRCC2,2,512,0.390625
TRAF2,2,512,0.390625
RAD52,2,512,0.390625
EZH1,2,512,0.390625
E2F3,2,512,0.390625
TYRO3,2,512,0.390625
CCT6B,2,512,0.390625
MN1,2,512,0.390625
PRKCI,2,512,0.390625
MLLT1,2,512,0.390625
MLH1,2,512,0.390625
MDM4,2,512,0.390625
CCNQ,2,512,0.390625
KLF3,2,512,0.390625
CHD2,2,512,0.390625
CEP89,2,512,0.390625
INSR,2,512,0.390625
IL10,2,512,0.390625
MAPK1,2,512,0.390625
MAP3K13,2,512,0.390625
PIK3CG,2,512,0.390625
PARP1,2,512,0.390625
MST1R,2,512,0.390625
MAML2,2,512,0.390625
H3-5,2,512,0.390625
H2AC6,2,512,0.390625
FGF6,2,512,0.390625
FGF14,2,512,0.390625
