gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,108,369,29.268292682926827,234,65.18105849582173
CTNNB1,94,369,25.474254742547426,93,25.90529247910863
MUC16,76,369,20.59620596205962,130,36.211699164345404
PCLO,50,369,13.550135501355012,138,38.440111420612816
ALB,48,369,13.008130081300814,168,46.796657381615596
CSMD3,40,369,10.840108401084011,240,66.85236768802228
LRP1B,37,369,10.02710027100271,114,31.75487465181058
FLG,36,369,9.75609756097561,267,74.3732590529248
ARID1A,30,369,8.130081300813007,159,44.28969359331476
FAT3,28,369,7.588075880758807,104,28.969359331476323
AXIN1,27,369,7.317073170731707,151,42.061281337047355
FAT2,27,369,7.317073170731707,156,43.45403899721448
FBN2,24,369,6.504065040650407,156,43.45403899721448
PRKDC,23,369,6.233062330623306,196,54.59610027855153
NBEA,22,369,5.9620596205962055,163,45.40389972144847
KMT2D,22,369,5.9620596205962055,88,24.512534818941504
PRUNE2,21,369,5.691056910569105,129,35.93314763231198
ARID2,21,369,5.691056910569105,93,25.90529247910863
BAP1,20,369,5.420054200542006,104,28.969359331476323
PREX2,20,369,5.420054200542006,216,60.16713091922006
BIRC6,19,369,5.149051490514905,81,22.56267409470752
RB1,19,369,5.149051490514905,191,53.2033426183844
POLQ,19,369,5.149051490514905,83,23.119777158774372
RPS6KA3,18,369,4.878048780487805,148,41.22562674094708
ZNF208,18,369,4.878048780487805,102,28.412256267409468
FAT4,18,369,4.878048780487805,165,45.96100278551532
MGA,17,369,4.607046070460704,105,29.247910863509752
COL6A6,17,369,4.607046070460704,84,23.398328690807798
KMT2B,17,369,4.607046070460704,112,31.197771587743734
FMN2,17,369,4.607046070460704,267,74.3732590529248
PTPRB,16,369,4.336043360433604,84,23.398328690807798
KEAP1,16,369,4.336043360433604,131,36.49025069637883
APC,16,369,4.336043360433604,160,44.56824512534819
COL6A3,15,369,4.0650406504065035,103,28.690807799442897
KMT2A,15,369,4.0650406504065035,112,31.197771587743734
ROBO1,15,369,4.0650406504065035,98,27.298050139275766
RELN,14,369,3.7940379403794036,141,39.27576601671309
REV3L,14,369,3.7940379403794036,167,46.51810584958218
KMT2C,14,369,3.7940379403794036,147,40.947075208913645
LRRK2,14,369,3.7940379403794036,87,24.233983286908078
FAT1,14,369,3.7940379403794036,180,50.13927576601671
SETD2,14,369,3.7940379403794036,100,27.85515320334262
NTRK3,14,369,3.7940379403794036,119,33.147632311977716
ANK1,14,369,3.7940379403794036,228,63.50974930362116
SLIT2,14,369,3.7940379403794036,122,33.98328690807799
ATR,14,369,3.7940379403794036,96,26.740947075208915
NF1,13,369,3.523035230352303,126,35.097493036211695
NCOR2,13,369,3.523035230352303,105,29.247910863509752
ADGRG4,13,369,3.523035230352303,0,0.0
KIT,13,369,3.523035230352303,131,36.49025069637883
ACVR2A,13,369,3.523035230352303,103,28.690807799442897
ROBO2,13,369,3.523035230352303,98,27.298050139275766
CTNNA2,13,369,3.523035230352303,82,22.841225626740947
WNK2,13,369,3.523035230352303,137,38.16155988857939
MUC4,13,369,3.523035230352303,107,29.805013927576603
ATM,13,369,3.523035230352303,114,31.75487465181058
PTPRT,13,369,3.523035230352303,126,35.097493036211695
PIK3CA,13,369,3.523035230352303,106,29.526462395543174
MYO18A,13,369,3.523035230352303,130,36.211699164345404
PTPN13,13,369,3.523035230352303,175,48.74651810584958
IL6ST,12,369,3.2520325203252036,138,38.440111420612816
FANCM,12,369,3.2520325203252036,125,34.81894150417828
MAGI2,12,369,3.2520325203252036,142,39.55431754874652
FLT4,12,369,3.2520325203252036,167,46.51810584958218
MKI67,12,369,3.2520325203252036,138,38.440111420612816
IGF1R,12,369,3.2520325203252036,129,35.93314763231198
DSP,12,369,3.2520325203252036,159,44.28969359331476
ADAMTS9,12,369,3.2520325203252036,102,28.412256267409468
SLIT3,12,369,3.2520325203252036,167,46.51810584958218
ANKRD11,12,369,3.2520325203252036,176,49.02506963788301
DHX9,12,369,3.2520325203252036,268,74.65181058495823
NOTCH3,12,369,3.2520325203252036,121,33.70473537604457
TSC2,12,369,3.2520325203252036,150,41.78272980501393
EPHA3,12,369,3.2520325203252036,89,24.79108635097493
RANBP2,11,369,2.9810298102981028,85,23.676880222841227
BRD7,11,369,2.9810298102981028,160,44.56824512534819
NUP214,11,369,2.9810298102981028,135,37.60445682451253
MGAM,11,369,2.9810298102981028,143,39.83286908077994
SPEN,11,369,2.9810298102981028,164,45.682451253481894
RNF213,11,369,2.9810298102981028,163,45.40389972144847
CDH11,11,369,2.9810298102981028,168,46.796657381615596
ARID1B,11,369,2.9810298102981028,177,49.30362116991643
ERBB4,11,369,2.9810298102981028,97,27.019498607242337
CNTNAP2,11,369,2.9810298102981028,151,42.061281337047355
ZFHX3,11,369,2.9810298102981028,170,47.353760445682454
DCC,11,369,2.9810298102981028,121,33.70473537604457
MUC6,11,369,2.9810298102981028,93,25.90529247910863
KIAA1549,11,369,2.9810298102981028,144,40.11142061281337
PDZD2,10,369,2.710027100271003,161,44.84679665738162
TAF1,10,369,2.710027100271003,136,37.88300835654596
RASA1,10,369,2.710027100271003,152,42.33983286908078
SAMD9,10,369,2.710027100271003,143,39.83286908077994
MECOM,10,369,2.710027100271003,106,29.526462395543174
PTEN,10,369,2.710027100271003,132,36.768802228412255
GPHN,10,369,2.710027100271003,151,42.061281337047355
ANKRD26,10,369,2.710027100271003,100,27.85515320334262
SF3B1,10,369,2.710027100271003,87,24.233983286908078
COL3A1,10,369,2.710027100271003,87,24.233983286908078
CDKN2A,10,369,2.710027100271003,166,46.239554317548745
CAMTA1,10,369,2.710027100271003,182,50.69637883008357
GRIN2A,10,369,2.710027100271003,142,39.55431754874652
CARD11,10,369,2.710027100271003,135,37.60445682451253
SMARCA4,10,369,2.710027100271003,128,35.65459610027855
ZNF521,10,369,2.710027100271003,99,27.57660167130919
TRRAP,10,369,2.710027100271003,143,39.83286908077994
CTNND2,10,369,2.710027100271003,166,46.239554317548745
MACC1,10,369,2.710027100271003,129,35.93314763231198
NIPBL,10,369,2.710027100271003,159,44.28969359331476
NOTCH4,10,369,2.710027100271003,154,42.89693593314763
RECQL4,10,369,2.710027100271003,234,65.18105849582173
PGR,10,369,2.710027100271003,110,30.64066852367688
ARHGEF10L,9,369,2.4390243902439024,162,45.12534818941504
MYH11,9,369,2.4390243902439024,144,40.11142061281337
MTOR,9,369,2.4390243902439024,168,46.796657381615596
JAK1,9,369,2.4390243902439024,135,37.60445682451253
ASPM,9,369,2.4390243902439024,270,75.20891364902506
CSPG4,9,369,2.4390243902439024,116,32.31197771587744
CDH1,9,369,2.4390243902439024,170,47.353760445682454
PTPRD,9,369,2.4390243902439024,145,40.389972144846794
PDGFRA,9,369,2.4390243902439024,133,37.04735376044568
KDR,9,369,2.4390243902439024,128,35.65459610027855
CPS1,9,369,2.4390243902439024,103,28.690807799442897
NSD1,9,369,2.4390243902439024,168,46.796657381615596
IRS4,9,369,2.4390243902439024,130,36.211699164345404
NTRK2,9,369,2.4390243902439024,130,36.211699164345404
MST1R,9,369,2.4390243902439024,99,27.57660167130919
JARID2,9,369,2.4390243902439024,160,44.56824512534819
NCOA3,9,369,2.4390243902439024,128,35.65459610027855
PAK5,9,369,2.4390243902439024,0,0.0
ARID5B,9,369,2.4390243902439024,117,32.590529247910865
CLTC,9,369,2.4390243902439024,147,40.947075208913645
COL2A1,9,369,2.4390243902439024,88,24.512534818941504
EP300,9,369,2.4390243902439024,127,35.37604456824512
ABCB1,9,369,2.4390243902439024,149,41.5041782729805
ZNF292,8,369,2.168021680216802,162,45.12534818941504
