gene,mutation_count,sample_count,mutation_percentage
TP53,108,369,29.268292682926827
CTNNB1,94,369,25.474254742547426
MUC16,76,369,20.59620596205962
PCLO,50,369,13.550135501355012
ALB,48,369,13.008130081300814
CSMD3,40,369,10.840108401084011
LRP1B,37,369,10.02710027100271
FLG,36,369,9.75609756097561
ARID1A,30,369,8.130081300813007
FAT3,28,369,7.588075880758807
AXIN1,27,369,7.317073170731707
FAT2,27,369,7.317073170731707
FBN2,24,369,6.504065040650407
PRKDC,23,369,6.233062330623306
NBEA,22,369,5.9620596205962055
KMT2D,22,369,5.9620596205962055
PRUNE2,21,369,5.691056910569105
ARID2,21,369,5.691056910569105
BAP1,20,369,5.420054200542006
PREX2,20,369,5.420054200542006
BIRC6,19,369,5.149051490514905
RB1,19,369,5.149051490514905
POLQ,19,369,5.149051490514905
RPS6KA3,18,369,4.878048780487805
ZNF208,18,369,4.878048780487805
FAT4,18,369,4.878048780487805
MGA,17,369,4.607046070460704
COL6A6,17,369,4.607046070460704
KMT2B,17,369,4.607046070460704
FMN2,17,369,4.607046070460704
PTPRB,16,369,4.336043360433604
KEAP1,16,369,4.336043360433604
APC,16,369,4.336043360433604
COL6A3,15,369,4.0650406504065035
KMT2A,15,369,4.0650406504065035
ROBO1,15,369,4.0650406504065035
RELN,14,369,3.7940379403794036
REV3L,14,369,3.7940379403794036
KMT2C,14,369,3.7940379403794036
LRRK2,14,369,3.7940379403794036
FAT1,14,369,3.7940379403794036
SETD2,14,369,3.7940379403794036
NTRK3,14,369,3.7940379403794036
ANK1,14,369,3.7940379403794036
SLIT2,14,369,3.7940379403794036
ATR,14,369,3.7940379403794036
NF1,13,369,3.523035230352303
NCOR2,13,369,3.523035230352303
ADGRG4,13,369,3.523035230352303
KIT,13,369,3.523035230352303
ACVR2A,13,369,3.523035230352303
ROBO2,13,369,3.523035230352303
CTNNA2,13,369,3.523035230352303
WNK2,13,369,3.523035230352303
MUC4,13,369,3.523035230352303
ATM,13,369,3.523035230352303
PTPRT,13,369,3.523035230352303
PIK3CA,13,369,3.523035230352303
MYO18A,13,369,3.523035230352303
PTPN13,13,369,3.523035230352303
IL6ST,12,369,3.2520325203252036
FANCM,12,369,3.2520325203252036
MAGI2,12,369,3.2520325203252036
FLT4,12,369,3.2520325203252036
MKI67,12,369,3.2520325203252036
IGF1R,12,369,3.2520325203252036
DSP,12,369,3.2520325203252036
ADAMTS9,12,369,3.2520325203252036
SLIT3,12,369,3.2520325203252036
ANKRD11,12,369,3.2520325203252036
DHX9,12,369,3.2520325203252036
NOTCH3,12,369,3.2520325203252036
TSC2,12,369,3.2520325203252036
EPHA3,12,369,3.2520325203252036
RANBP2,11,369,2.9810298102981028
BRD7,11,369,2.9810298102981028
NUP214,11,369,2.9810298102981028
MGAM,11,369,2.9810298102981028
SPEN,11,369,2.9810298102981028
RNF213,11,369,2.9810298102981028
CDH11,11,369,2.9810298102981028
ARID1B,11,369,2.9810298102981028
ERBB4,11,369,2.9810298102981028
CNTNAP2,11,369,2.9810298102981028
ZFHX3,11,369,2.9810298102981028
DCC,11,369,2.9810298102981028
MUC6,11,369,2.9810298102981028
KIAA1549,11,369,2.9810298102981028
PDZD2,10,369,2.710027100271003
TAF1,10,369,2.710027100271003
RASA1,10,369,2.710027100271003
SAMD9,10,369,2.710027100271003
MECOM,10,369,2.710027100271003
PTEN,10,369,2.710027100271003
GPHN,10,369,2.710027100271003
ANKRD26,10,369,2.710027100271003
SF3B1,10,369,2.710027100271003
COL3A1,10,369,2.710027100271003
CDKN2A,10,369,2.710027100271003
CAMTA1,10,369,2.710027100271003
GRIN2A,10,369,2.710027100271003
CARD11,10,369,2.710027100271003
SMARCA4,10,369,2.710027100271003
ZNF521,10,369,2.710027100271003
TRRAP,10,369,2.710027100271003
CTNND2,10,369,2.710027100271003
MACC1,10,369,2.710027100271003
NIPBL,10,369,2.710027100271003
NOTCH4,10,369,2.710027100271003
RECQL4,10,369,2.710027100271003
PGR,10,369,2.710027100271003
ARHGEF10L,9,369,2.4390243902439024
MYH11,9,369,2.4390243902439024
MTOR,9,369,2.4390243902439024
JAK1,9,369,2.4390243902439024
ASPM,9,369,2.4390243902439024
CSPG4,9,369,2.4390243902439024
CDH1,9,369,2.4390243902439024
PTPRD,9,369,2.4390243902439024
PDGFRA,9,369,2.4390243902439024
KDR,9,369,2.4390243902439024
CPS1,9,369,2.4390243902439024
NSD1,9,369,2.4390243902439024
IRS4,9,369,2.4390243902439024
NTRK2,9,369,2.4390243902439024
MST1R,9,369,2.4390243902439024
JARID2,9,369,2.4390243902439024
NCOA3,9,369,2.4390243902439024
PAK5,9,369,2.4390243902439024
ARID5B,9,369,2.4390243902439024
CLTC,9,369,2.4390243902439024
COL2A1,9,369,2.4390243902439024
EP300,9,369,2.4390243902439024
ABCB1,9,369,2.4390243902439024
ZNF292,8,369,2.168021680216802
ALK,8,369,2.168021680216802
AXIN2,8,369,2.168021680216802
CHD7,8,369,2.168021680216802
AFDN,8,369,2.168021680216802
SLFN11,8,369,2.168021680216802
CUX1,8,369,2.168021680216802
EGFR,8,369,2.168021680216802
MLH3,8,369,2.168021680216802
CHD4,8,369,2.168021680216802
RUNX1T1,8,369,2.168021680216802
MDC1,8,369,2.168021680216802
TET1,8,369,2.168021680216802
ROS1,8,369,2.168021680216802
PTPRC,8,369,2.168021680216802
PRPF8,8,369,2.168021680216802
ITPKB,8,369,2.168021680216802
HGF,8,369,2.168021680216802
KDM3B,8,369,2.168021680216802
PDE4DIP,8,369,2.168021680216802
PLEC,8,369,2.168021680216802
NCOR1,8,369,2.168021680216802
HSPG2,8,369,2.168021680216802
NOTCH2,8,369,2.168021680216802
FURIN,8,369,2.168021680216802
KAT6B,8,369,2.168021680216802
NFE2L2,8,369,2.168021680216802
N4BP2,8,369,2.168021680216802
PDS5B,8,369,2.168021680216802
TSC1,7,369,1.8970189701897018
PIK3C2G,7,369,1.8970189701897018
UBR5,7,369,1.8970189701897018
TEK,7,369,1.8970189701897018
ADGRA2,7,369,1.8970189701897018
H1-2,7,369,1.8970189701897018
RGS7,7,369,1.8970189701897018
CIC,7,369,1.8970189701897018
CREBBP,7,369,1.8970189701897018
CPEB3,7,369,1.8970189701897018
ERC1,7,369,1.8970189701897018
ATF7IP,7,369,1.8970189701897018
PRKD2,7,369,1.8970189701897018
FANCD2,7,369,1.8970189701897018
STAG2,7,369,1.8970189701897018
SPECC1,7,369,1.8970189701897018
PTPN14,7,369,1.8970189701897018
PDCD11,7,369,1.8970189701897018
CDKN1A,7,369,1.8970189701897018
IQGAP1,7,369,1.8970189701897018
ATRX,7,369,1.8970189701897018
PIK3C2B,7,369,1.8970189701897018
SZT2,7,369,1.8970189701897018
ARHGEF12,7,369,1.8970189701897018
PRDM2,7,369,1.8970189701897018
FGFR2,7,369,1.8970189701897018
POLD1,7,369,1.8970189701897018
PRDM16,7,369,1.8970189701897018
PBX1,7,369,1.8970189701897018
HDAC4,7,369,1.8970189701897018
CACNA1D,7,369,1.8970189701897018
PI4KA,7,369,1.8970189701897018
LPA,7,369,1.8970189701897018
IDH1,7,369,1.8970189701897018
HNF1A,7,369,1.8970189701897018
PBRM1,7,369,1.8970189701897018
NUMA1,7,369,1.8970189701897018
IKZF1,7,369,1.8970189701897018
NSD2,7,369,1.8970189701897018
GABRA6,7,369,1.8970189701897018
PLCG1,7,369,1.8970189701897018
DOT1L,7,369,1.8970189701897018
GRM3,7,369,1.8970189701897018
BRSK1,7,369,1.8970189701897018
TLE4,7,369,1.8970189701897018
AMER1,7,369,1.8970189701897018
PEG3,7,369,1.8970189701897018
ARHGAP35,7,369,1.8970189701897018
MCM7,7,369,1.8970189701897018
NCOA2,7,369,1.8970189701897018
BCL11A,7,369,1.8970189701897018
BCL11B,7,369,1.8970189701897018
ASXL1,7,369,1.8970189701897018
KTN1,7,369,1.8970189701897018
ADARB2,7,369,1.8970189701897018
FLT1,7,369,1.8970189701897018
DICER1,7,369,1.8970189701897018
CSDE1,7,369,1.8970189701897018
EBF1,7,369,1.8970189701897018
TAF1L,7,369,1.8970189701897018
COP1,7,369,1.8970189701897018
TNRC18,7,369,1.8970189701897018
EPHA7,7,369,1.8970189701897018
STIL,6,369,1.6260162601626018
KDM4C,6,369,1.6260162601626018
TCF4,6,369,1.6260162601626018
FBLN2,6,369,1.6260162601626018
SOS1,6,369,1.6260162601626018
MIDEAS,6,369,1.6260162601626018
ERCC4,6,369,1.6260162601626018
COL1A1,6,369,1.6260162601626018
SP140,6,369,1.6260162601626018
ERBB3,6,369,1.6260162601626018
AKAP9,6,369,1.6260162601626018
ZNF429,6,369,1.6260162601626018
ZMYM2,6,369,1.6260162601626018
ARHGEF28,6,369,1.6260162601626018
PC,6,369,1.6260162601626018
SLX4,6,369,1.6260162601626018
CDH17,6,369,1.6260162601626018
SALL4,6,369,1.6260162601626018
PTPRS,6,369,1.6260162601626018
