gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,254,509,49.90176817288802,304,60.67864271457086
MUC16,223,509,43.811394891944985,286,57.08582834331337
CSMD3,212,509,41.650294695481335,324,64.67065868263472
LRP1B,183,509,35.952848722986246,196,39.12175648702595
KRAS,140,509,27.5049115913556,267,53.293413173652695
FLG,132,509,25.93320235756385,377,75.249500998004
FAT3,125,509,24.557956777996072,225,44.91017964071856
PCLO,110,509,21.611001964636543,263,52.49500998003992
ADGRG4,96,509,18.860510805500983,0,0.0
FAT4,94,509,18.467583497053045,206,41.11776447105788
CDH10,93,509,18.271119842829076,327,65.26946107784431
KEAP1,91,509,17.87819253438114,285,56.886227544910184
RELN,91,509,17.87819253438114,269,53.69261477045908
PTPRD,89,509,17.4852652259332,340,67.86427145708582
FBN2,84,509,16.50294695481336,284,56.68662674650699
FAM135B,84,509,16.50294695481336,326,65.06986027944112
PEG3,79,509,15.520628683693516,251,50.0998003992016
CNTNAP2,75,509,14.734774066797643,276,55.08982035928144
EGFR,74,509,14.538310412573674,299,59.68063872255489
ASPM,74,509,14.538310412573674,369,73.65269461077844
EPHA5,72,509,14.145383104125736,203,40.5189620758483
COL6A3,71,509,13.948919449901767,184,36.72654690618762
PRUNE2,69,509,13.555992141453832,281,56.087824351297414
STK11,68,509,13.359528487229863,292,58.28343313373253
FAM47C,67,509,13.163064833005894,171,34.13173652694611
CTNNA2,66,509,12.966601178781925,182,36.327345309381236
CPS1,66,509,12.966601178781925,171,34.13173652694611
FMN2,64,509,12.573673870333987,364,72.65469061876247
COL3A1,63,509,12.37721021611002,170,33.93213572854291
CTNND2,63,509,12.37721021611002,333,66.46706586826348
PTPRT,62,509,12.180746561886052,279,55.688622754491014
SETBP1,61,509,11.984282907662083,300,59.88023952095808
ZNF521,60,509,11.787819253438114,273,54.49101796407185
FAT2,58,509,11.394891944990176,277,55.28942115768463
NF1,56,509,11.00196463654224,251,50.0998003992016
PLEC,56,509,11.00196463654224,318,63.47305389221557
MGAM,55,509,10.805500982318271,262,52.29540918163673
TAF1L,55,509,10.805500982318271,293,58.48303393213573
GRIN2A,55,509,10.805500982318271,246,49.101796407185624
ROBO2,54,509,10.609037328094303,244,48.70259481037924
SLIT2,53,509,10.412573673870334,204,40.7185628742515
LPA,53,509,10.412573673870334,292,58.28343313373253
ANK1,52,509,10.216110019646365,299,59.68063872255489
ZNF208,52,509,10.216110019646365,274,54.690618762475054
NTRK3,51,509,10.019646365422396,269,53.69261477045908
FAT1,51,509,10.019646365422396,226,45.10978043912176
KMT2C,50,509,9.823182711198427,276,55.08982035928144
NOTCH4,48,509,9.430255402750491,246,49.101796407185624
EPHA3,48,509,9.430255402750491,235,46.9061876247505
DCAF12L2,47,509,9.233791748526523,174,34.73053892215569
ERBB4,47,509,9.233791748526523,176,35.12974051896208
ZNF479,46,509,9.037328094302556,300,59.88023952095808
TRRAP,46,509,9.037328094302556,267,53.293413173652695
BIRC6,44,509,8.644400785854616,185,36.92614770459082
HGF,44,509,8.644400785854616,262,52.29540918163673
FLNA,44,509,8.644400785854616,194,38.72255489021956
PTPRB,44,509,8.644400785854616,238,47.50499001996008
KDR,44,509,8.644400785854616,203,40.5189620758483
SLIT3,44,509,8.644400785854616,284,56.68662674650699
SMARCA4,44,509,8.644400785854616,285,56.886227544910184
KMT2D,43,509,8.447937131630647,235,46.9061876247505
PIK3CG,43,509,8.447937131630647,273,54.49101796407185
EPHB1,42,509,8.25147347740668,235,46.9061876247505
MGA,42,509,8.25147347740668,300,59.88023952095808
MED12,41,509,8.055009823182711,149,29.740518962075846
ABCB1,41,509,8.055009823182711,264,52.69461077844312
PAK5,40,509,7.858546168958743,0,0.0
PTPRC,40,509,7.858546168958743,370,73.85229540918164
ATM,40,509,7.858546168958743,235,46.9061876247505
PDGFRA,40,509,7.858546168958743,201,40.119760479041915
MDGA2,40,509,7.858546168958743,268,53.49301397205589
PRKDC,39,509,7.662082514734774,292,58.28343313373253
BRAF,39,509,7.662082514734774,261,52.09580838323353
COL6A6,38,509,7.465618860510806,234,46.706586826347305
NBEA,37,509,7.269155206286837,327,65.26946107784431
SAMD9L,37,509,7.269155206286837,264,52.69461077844312
POLQ,37,509,7.269155206286837,233,46.506986027944116
MKI67,37,509,7.269155206286837,228,45.50898203592814
CDH11,36,509,7.072691552062868,245,48.902195608782435
CCNB3,36,509,7.072691552062868,156,31.137724550898206
IRS4,36,509,7.072691552062868,159,31.736526946107784
ATRX,36,509,7.072691552062868,149,29.740518962075846
MYH11,36,509,7.072691552062868,244,48.70259481037924
EP400,35,509,6.8762278978389,251,50.0998003992016
CARD11,35,509,6.8762278978389,303,60.47904191616767
ZEB1,35,509,6.8762278978389,219,43.712574850299404
CAMTA1,35,509,6.8762278978389,239,47.70459081836327
SETD2,35,509,6.8762278978389,267,53.293413173652695
CDH2,35,509,6.8762278978389,277,55.28942115768463
CHD7,35,509,6.8762278978389,297,59.2814371257485
RBM10,35,509,6.8762278978389,166,33.13373253493014
AKAP9,35,509,6.8762278978389,262,52.29540918163673
AMER1,35,509,6.8762278978389,149,29.740518962075846
BCORL1,34,509,6.679764243614931,175,34.930139720558884
ALK,34,509,6.679764243614931,185,36.92614770459082
RANBP2,34,509,6.679764243614931,177,35.32934131736527
RNF213,34,509,6.679764243614931,286,57.08582834331337
SMG1,34,509,6.679764243614931,240,47.90419161676647
KMT2A,34,509,6.679764243614931,230,45.90818363273453
HSPG2,33,509,6.4833005893909625,234,46.706586826347305
POLE,33,509,6.4833005893909625,251,50.0998003992016
DCC,33,509,6.4833005893909625,306,61.07784431137725
ARID1A,32,509,6.286836935166994,237,47.30538922155689
ATP2B3,32,509,6.286836935166994,190,37.924151696606785
PREX2,32,509,6.286836935166994,303,60.47904191616767
GABRA6,32,509,6.286836935166994,274,54.690618762475054
PRKCB,32,509,6.286836935166994,242,48.30339321357285
IL7R,31,509,6.090373280943026,324,64.67065868263472
ZFHX3,31,509,6.090373280943026,250,49.9001996007984
RBFOX1,31,509,6.090373280943026,251,50.0998003992016
RUNX1T1,31,509,6.090373280943026,312,62.27544910179641
RGS7,31,509,6.090373280943026,364,72.65469061876247
TLL2,30,509,5.893909626719057,217,43.31337325349301
ARID2,30,509,5.893909626719057,239,47.70459081836327
FOLH1,30,509,5.893909626719057,198,39.52095808383233
FANCM,30,509,5.893909626719057,268,53.49301397205589
FLT1,30,509,5.893909626719057,324,64.67065868263472
KEL,30,509,5.893909626719057,264,52.69461077844312
SAMD9,30,509,5.893909626719057,264,52.69461077844312
MAGI2,30,509,5.893909626719057,267,53.293413173652695
UBR5,29,509,5.697445972495088,317,63.27345309381237
COL2A1,29,509,5.697445972495088,237,47.30538922155689
