gene,mutation_count,sample_count,mutation_percentage
TP53,254,509,49.90176817288802
MUC16,223,509,43.811394891944985
CSMD3,212,509,41.650294695481335
LRP1B,183,509,35.952848722986246
KRAS,140,509,27.5049115913556
FLG,132,509,25.93320235756385
FAT3,125,509,24.557956777996072
PCLO,110,509,21.611001964636543
ADGRG4,96,509,18.860510805500983
FAT4,94,509,18.467583497053045
CDH10,93,509,18.271119842829076
KEAP1,91,509,17.87819253438114
RELN,91,509,17.87819253438114
PTPRD,89,509,17.4852652259332
FBN2,84,509,16.50294695481336
FAM135B,84,509,16.50294695481336
PEG3,79,509,15.520628683693516
CNTNAP2,75,509,14.734774066797643
EGFR,74,509,14.538310412573674
ASPM,74,509,14.538310412573674
EPHA5,72,509,14.145383104125736
COL6A3,71,509,13.948919449901767
PRUNE2,69,509,13.555992141453832
STK11,68,509,13.359528487229863
FAM47C,67,509,13.163064833005894
CTNNA2,66,509,12.966601178781925
CPS1,66,509,12.966601178781925
FMN2,64,509,12.573673870333987
COL3A1,63,509,12.37721021611002
CTNND2,63,509,12.37721021611002
PTPRT,62,509,12.180746561886052
SETBP1,61,509,11.984282907662083
ZNF521,60,509,11.787819253438114
FAT2,58,509,11.394891944990176
NF1,56,509,11.00196463654224
PLEC,56,509,11.00196463654224
MGAM,55,509,10.805500982318271
TAF1L,55,509,10.805500982318271
GRIN2A,55,509,10.805500982318271
ROBO2,54,509,10.609037328094303
SLIT2,53,509,10.412573673870334
LPA,53,509,10.412573673870334
ANK1,52,509,10.216110019646365
ZNF208,52,509,10.216110019646365
NTRK3,51,509,10.019646365422396
FAT1,51,509,10.019646365422396
KMT2C,50,509,9.823182711198427
NOTCH4,48,509,9.430255402750491
EPHA3,48,509,9.430255402750491
DCAF12L2,47,509,9.233791748526523
ERBB4,47,509,9.233791748526523
ZNF479,46,509,9.037328094302556
TRRAP,46,509,9.037328094302556
BIRC6,44,509,8.644400785854616
HGF,44,509,8.644400785854616
FLNA,44,509,8.644400785854616
PTPRB,44,509,8.644400785854616
KDR,44,509,8.644400785854616
SLIT3,44,509,8.644400785854616
SMARCA4,44,509,8.644400785854616
KMT2D,43,509,8.447937131630647
PIK3CG,43,509,8.447937131630647
EPHB1,42,509,8.25147347740668
MGA,42,509,8.25147347740668
MED12,41,509,8.055009823182711
ABCB1,41,509,8.055009823182711
PAK5,40,509,7.858546168958743
PTPRC,40,509,7.858546168958743
ATM,40,509,7.858546168958743
PDGFRA,40,509,7.858546168958743
MDGA2,40,509,7.858546168958743
PRKDC,39,509,7.662082514734774
BRAF,39,509,7.662082514734774
COL6A6,38,509,7.465618860510806
NBEA,37,509,7.269155206286837
SAMD9L,37,509,7.269155206286837
POLQ,37,509,7.269155206286837
MKI67,37,509,7.269155206286837
CDH11,36,509,7.072691552062868
CCNB3,36,509,7.072691552062868
IRS4,36,509,7.072691552062868
ATRX,36,509,7.072691552062868
MYH11,36,509,7.072691552062868
EP400,35,509,6.8762278978389
CARD11,35,509,6.8762278978389
ZEB1,35,509,6.8762278978389
CAMTA1,35,509,6.8762278978389
SETD2,35,509,6.8762278978389
CDH2,35,509,6.8762278978389
CHD7,35,509,6.8762278978389
RBM10,35,509,6.8762278978389
AKAP9,35,509,6.8762278978389
AMER1,35,509,6.8762278978389
BCORL1,34,509,6.679764243614931
ALK,34,509,6.679764243614931
RANBP2,34,509,6.679764243614931
RNF213,34,509,6.679764243614931
SMG1,34,509,6.679764243614931
KMT2A,34,509,6.679764243614931
HSPG2,33,509,6.4833005893909625
POLE,33,509,6.4833005893909625
DCC,33,509,6.4833005893909625
ARID1A,32,509,6.286836935166994
ATP2B3,32,509,6.286836935166994
PREX2,32,509,6.286836935166994
GABRA6,32,509,6.286836935166994
PRKCB,32,509,6.286836935166994
IL7R,31,509,6.090373280943026
ZFHX3,31,509,6.090373280943026
RBFOX1,31,509,6.090373280943026
RUNX1T1,31,509,6.090373280943026
RGS7,31,509,6.090373280943026
TLL2,30,509,5.893909626719057
ARID2,30,509,5.893909626719057
FOLH1,30,509,5.893909626719057
FANCM,30,509,5.893909626719057
FLT1,30,509,5.893909626719057
KEL,30,509,5.893909626719057
SAMD9,30,509,5.893909626719057
MAGI2,30,509,5.893909626719057
UBR5,29,509,5.697445972495088
COL2A1,29,509,5.697445972495088
TPR,29,509,5.697445972495088
NCOR2,29,509,5.697445972495088
LGR5,29,509,5.697445972495088
EPHA7,29,509,5.697445972495088
MTOR,29,509,5.697445972495088
INHBA,28,509,5.50098231827112
CASR,28,509,5.50098231827112
PDZD2,28,509,5.50098231827112
PIK3CA,27,509,5.304518664047151
BCL11A,27,509,5.304518664047151
CMTR2,27,509,5.304518664047151
DSP,27,509,5.304518664047151
SPEN,27,509,5.304518664047151
CREBBP,27,509,5.304518664047151
CDKN2A,27,509,5.304518664047151
CDH4,26,509,5.1080550098231825
USP9X,26,509,5.1080550098231825
ARID1B,26,509,5.1080550098231825
NRG1,26,509,5.1080550098231825
BRCA2,26,509,5.1080550098231825
PTPRK,26,509,5.1080550098231825
APC,26,509,5.1080550098231825
RB1,26,509,5.1080550098231825
LRRK2,26,509,5.1080550098231825
ROBO1,26,509,5.1080550098231825
PRKD1,26,509,5.1080550098231825
CSPG4,26,509,5.1080550098231825
INPP4B,25,509,4.911591355599214
SERPINB3,25,509,4.911591355599214
FGD5,25,509,4.911591355599214
IL21R,25,509,4.911591355599214
PRSS1,25,509,4.911591355599214
ZNF292,25,509,4.911591355599214
ALPK1,25,509,4.911591355599214
KDM5C,24,509,4.715127701375246
SP140,24,509,4.715127701375246
NOTCH1,24,509,4.715127701375246
SMARCA1,24,509,4.715127701375246
HOXA3,24,509,4.715127701375246
BCOR,24,509,4.715127701375246
NIPBL,24,509,4.715127701375246
CAD,23,509,4.518664047151278
SZT2,23,509,4.518664047151278
BACH2,23,509,4.518664047151278
SALL4,23,509,4.518664047151278
NTRK2,23,509,4.518664047151278
NUP214,23,509,4.518664047151278
NRK,23,509,4.518664047151278
PIK3C2B,23,509,4.518664047151278
CNBD1,23,509,4.518664047151278
ROS1,23,509,4.518664047151278
GRM3,23,509,4.518664047151278
NOTCH2,22,509,4.322200392927308
FLT3,22,509,4.322200392927308
IRS1,22,509,4.322200392927308
GNAS,22,509,4.322200392927308
PTPN13,22,509,4.322200392927308
TSHR,22,509,4.322200392927308
BRCA1,22,509,4.322200392927308
ZMYM3,22,509,4.322200392927308
PRDM14,21,509,4.12573673870334
MET,21,509,4.12573673870334
BRSK1,21,509,4.12573673870334
BRIP1,21,509,4.12573673870334
ARHGEF12,21,509,4.12573673870334
ABL2,21,509,4.12573673870334
SERPINB4,21,509,4.12573673870334
MYO18A,21,509,4.12573673870334
TNC,21,509,4.12573673870334
ADAMTS9,21,509,4.12573673870334
TET1,21,509,4.12573673870334
DDR2,21,509,4.12573673870334
GLI1,21,509,4.12573673870334
CD22,21,509,4.12573673870334
RET,21,509,4.12573673870334
NCOA1,21,509,4.12573673870334
RICTOR,20,509,3.9292730844793713
ARHGAP35,20,509,3.9292730844793713
ATR,20,509,3.9292730844793713
STAG2,20,509,3.9292730844793713
FLT4,20,509,3.9292730844793713
PIK3C2G,20,509,3.9292730844793713
PLCG2,20,509,3.9292730844793713
ANKRD26,20,509,3.9292730844793713
DNMT3A,20,509,3.9292730844793713
USP6,20,509,3.9292730844793713
CSF1R,20,509,3.9292730844793713
MDC1,20,509,3.9292730844793713
PDCD11,20,509,3.9292730844793713
POU3F4,20,509,3.9292730844793713
PI4KA,20,509,3.9292730844793713
NSD1,20,509,3.9292730844793713
NIN,20,509,3.9292730844793713
KDM3B,20,509,3.9292730844793713
PDE4DIP,20,509,3.9292730844793713
SMAD4,19,509,3.732809430255403
ABCC4,19,509,3.732809430255403
KDM4C,19,509,3.732809430255403
PTPRO,19,509,3.732809430255403
PDGFRB,19,509,3.732809430255403
CHD4,19,509,3.732809430255403
WRN,19,509,3.732809430255403
ATF7IP,19,509,3.732809430255403
NCOR1,19,509,3.732809430255403
MUC6,19,509,3.732809430255403
PTPN14,19,509,3.732809430255403
P2RY8,19,509,3.732809430255403
PRKN,19,509,3.732809430255403
SF3B1,19,509,3.732809430255403
COP1,19,509,3.732809430255403
TAF1,19,509,3.732809430255403
PTCH1,19,509,3.732809430255403
ARHGAP5,19,509,3.732809430255403
DPYD,19,509,3.732809430255403
SRGAP3,19,509,3.732809430255403
BCL11B,19,509,3.732809430255403
CHRDL1,18,509,3.536345776031434
DHX9,18,509,3.536345776031434
NCOA2,18,509,3.536345776031434
WT1,18,509,3.536345776031434
CACNA1D,18,509,3.536345776031434
ITK,18,509,3.536345776031434
ASXL1,18,509,3.536345776031434
KIAA1549,18,509,3.536345776031434
MUC4,18,509,3.536345776031434
NFATC2,18,509,3.536345776031434
MN1,18,509,3.536345776031434
PGR,18,509,3.536345776031434
