gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,409,490,83.46938775510205,346,72.9957805907173
MUC16,239,490,48.775510204081634,280,59.07172995780591
CSMD3,232,490,47.3469387755102,334,70.46413502109705
LRP1B,180,490,36.734693877551024,268,56.540084388185655
FAM135B,134,490,27.346938775510203,341,71.94092827004219
CDH10,113,490,23.06122448979592,383,80.80168776371308
KMT2D,110,490,22.448979591836736,204,43.037974683544306
PCLO,101,490,20.612244897959183,277,58.438818565400844
RELN,98,490,20.0,283,59.70464135021098
FAT3,96,490,19.591836734693878,250,52.742616033755276
FLG,92,490,18.775510204081634,271,57.17299578059072
CNTNAP2,81,490,16.53061224489796,294,62.0253164556962
FAT4,81,490,16.53061224489796,320,67.51054852320675
FMN2,80,490,16.3265306122449,276,58.22784810126582
CTNNA2,76,490,15.510204081632653,243,51.26582278481012
LRRK2,73,490,14.897959183673471,213,44.936708860759495
CDKN2A,72,490,14.69387755102041,406,85.65400843881856
PEG3,71,490,14.489795918367346,296,62.447257383966246
NFE2L2,70,490,14.285714285714285,208,43.88185654008439
FAT1,69,490,14.081632653061224,341,71.94092827004219
CTNND2,65,490,13.26530612244898,386,81.43459915611815
COL6A3,63,490,12.857142857142856,220,46.41350210970464
CPS1,62,490,12.653061224489795,213,44.936708860759495
KMT2C,61,490,12.448979591836734,288,60.75949367088608
PLEC,60,490,12.244897959183673,338,71.30801687763713
ZNF208,60,490,12.244897959183673,270,56.9620253164557
PIK3CA,58,490,11.83673469387755,433,91.35021097046413
NF1,58,490,11.83673469387755,270,56.9620253164557
DCC,57,490,11.63265306122449,288,60.75949367088608
FAM47C,56,490,11.428571428571429,201,42.405063291139236
BIRC6,56,490,11.428571428571429,257,54.219409282700425
PTEN,55,490,11.224489795918368,296,62.447257383966246
KEAP1,54,490,11.020408163265307,280,59.07172995780591
GRIN2A,54,490,11.020408163265307,248,52.320675105485236
MGAM,54,490,11.020408163265307,285,60.12658227848101
PREX2,53,490,10.816326530612246,309,65.18987341772153
TAF1L,53,490,10.816326530612246,374,78.90295358649789
COL6A6,53,490,10.816326530612246,372,78.48101265822784
ASPM,52,490,10.612244897959183,270,56.9620253164557
ADGRG4,52,490,10.612244897959183,0,0.0
PIK3CG,51,490,10.408163265306122,278,58.64978902953587
ZFHX3,51,490,10.408163265306122,269,56.75105485232067
PDZD2,49,490,10.0,382,80.59071729957806
EPHA5,49,490,10.0,293,61.81434599156118
FBN2,49,490,10.0,379,79.957805907173
ERBB4,48,490,9.795918367346939,223,47.04641350210971
EPHA3,47,490,9.591836734693878,399,84.17721518987342
ZNF479,47,490,9.591836734693878,290,61.18143459915611
CHD7,47,490,9.591836734693878,307,64.76793248945147
MDGA2,46,490,9.387755102040817,310,65.40084388185655
PTPRB,46,490,9.387755102040817,207,43.67088607594937
ABCB1,46,490,9.387755102040817,283,59.70464135021098
TPR,45,490,9.183673469387756,270,56.9620253164557
ZNF521,44,490,8.979591836734693,282,59.49367088607595
GRM3,44,490,8.979591836734693,287,60.54852320675106
ROS1,44,490,8.979591836734693,217,45.78059071729958
PTPRD,41,490,8.36734693877551,394,83.12236286919831
POLQ,41,490,8.36734693877551,367,77.42616033755274
PRUNE2,41,490,8.36734693877551,319,67.29957805907173
AKAP9,40,490,8.16326530612245,286,60.337552742616026
TRRAP,40,490,8.16326530612245,282,59.49367088607595
MKI67,40,490,8.16326530612245,285,60.12658227848101
RGS7,39,490,7.959183673469387,279,58.86075949367089
KDR,39,490,7.959183673469387,301,63.50210970464135
PTPRO,39,490,7.959183673469387,268,56.540084388185655
EPHB1,38,490,7.755102040816326,379,79.957805907173
NOTCH1,38,490,7.755102040816326,324,68.35443037974683
RUNX1T1,38,490,7.755102040816326,309,65.18987341772153
HGF,37,490,7.551020408163265,276,58.22784810126582
MUC4,37,490,7.551020408163265,431,90.92827004219409
BRCA2,37,490,7.551020408163265,353,74.47257383966245
ZEB1,37,490,7.551020408163265,277,58.438818565400844
RNF213,37,490,7.551020408163265,282,59.49367088607595
PRKDC,37,490,7.551020408163265,313,66.03375527426161
SLIT2,37,490,7.551020408163265,331,69.83122362869199
PTPRT,37,490,7.551020408163265,299,63.0801687763713
GPC5,37,490,7.551020408163265,350,73.83966244725738
SLIT3,36,490,7.346938775510205,369,77.84810126582279
COL3A1,36,490,7.346938775510205,204,43.037974683544306
NBEA,36,490,7.346938775510205,354,74.68354430379746
CREBBP,36,490,7.346938775510205,256,54.008438818565395
ANK1,36,490,7.346938775510205,337,71.09704641350211
NRK,35,490,7.142857142857142,194,40.92827004219409
PTPRC,35,490,7.142857142857142,268,56.540084388185655
RANBP2,34,490,6.938775510204081,210,44.303797468354425
RASA1,34,490,6.938775510204081,381,80.37974683544303
RB1,34,490,6.938775510204081,361,76.16033755274262
LPA,34,490,6.938775510204081,221,46.62447257383967
FLNA,34,490,6.938775510204081,208,43.88185654008439
MYH9,33,490,6.73469387755102,321,67.72151898734177
PDE4DIP,33,490,6.73469387755102,279,58.86075949367089
FAT2,33,490,6.73469387755102,374,78.90295358649789
NTRK3,33,490,6.73469387755102,260,54.85232067510548
ARID1B,33,490,6.73469387755102,221,46.62447257383967
ARHGAP35,33,490,6.73469387755102,290,61.18143459915611
ARID1A,33,490,6.73469387755102,264,55.69620253164557
MAGI2,32,490,6.530612244897959,277,58.438818565400844
ATM,32,490,6.530612244897959,259,54.641350210970465
KIAA1549,32,490,6.530612244897959,283,59.70464135021098
CAMTA1,31,490,6.326530612244897,269,56.75105485232067
KMT2A,31,490,6.326530612244897,258,54.43037974683544
IL7R,31,490,6.326530612244897,378,79.74683544303798
HSPG2,31,490,6.326530612244897,267,56.32911392405063
FOLH1,31,490,6.326530612244897,225,47.46835443037975
UBR5,30,490,6.122448979591836,321,67.72151898734177
MYH11,30,490,6.122448979591836,243,51.26582278481012
DSP,30,490,6.122448979591836,254,53.58649789029536
CDH11,30,490,6.122448979591836,261,55.06329113924051
SZT2,29,490,5.918367346938775,242,51.0548523206751
ZBTB20,29,490,5.918367346938775,364,76.79324894514767
AFF3,29,490,5.918367346938775,220,46.41350210970464
NSD1,29,490,5.918367346938775,368,77.63713080168776
ATRX,28,490,5.714285714285714,190,40.08438818565401
FBXW7,28,490,5.714285714285714,332,70.042194092827
EPHA7,28,490,5.714285714285714,220,46.41350210970464
PRKD1,27,490,5.510204081632653,308,64.9789029535865
FLT1,27,490,5.510204081632653,355,74.89451476793249
USP9X,27,490,5.510204081632653,198,41.77215189873418
CASR,27,490,5.510204081632653,368,77.63713080168776
APC,26,490,5.3061224489795915,380,80.16877637130801
POLE,26,490,5.3061224489795915,201,42.405063291139236
LATS1,26,490,5.3061224489795915,217,45.78059071729958
SAMD9L,26,490,5.3061224489795915,284,59.91561181434599
PDGFRA,26,490,5.3061224489795915,301,63.50210970464135
NCOR2,26,490,5.3061224489795915,199,41.983122362869196
PIK3C2B,26,490,5.3061224489795915,267,56.32911392405063
CAD,25,490,5.1020408163265305,253,53.37552742616034
SETBP1,25,490,5.1020408163265305,285,60.12658227848101
EP400,25,490,5.1020408163265305,203,42.82700421940928
ASXL1,25,490,5.1020408163265305,301,63.50210970464135
SMG1,25,490,5.1020408163265305,240,50.63291139240506
COL2A1,25,490,5.1020408163265305,204,43.037974683544306
ADAMTS9,25,490,5.1020408163265305,417,87.9746835443038
TET1,25,490,5.1020408163265305,269,56.75105485232067
LRP5,25,490,5.1020408163265305,225,47.46835443037975
MED12,25,490,5.1020408163265305,189,39.87341772151899
