gene,mutation_count,sample_count,mutation_percentage
TP53,409,490,83.46938775510205
MUC16,239,490,48.775510204081634
CSMD3,232,490,47.3469387755102
LRP1B,180,490,36.734693877551024
FAM135B,134,490,27.346938775510203
CDH10,113,490,23.06122448979592
KMT2D,110,490,22.448979591836736
PCLO,101,490,20.612244897959183
RELN,98,490,20.0
FAT3,96,490,19.591836734693878
FLG,92,490,18.775510204081634
CNTNAP2,81,490,16.53061224489796
FAT4,81,490,16.53061224489796
FMN2,80,490,16.3265306122449
CTNNA2,76,490,15.510204081632653
LRRK2,73,490,14.897959183673471
CDKN2A,72,490,14.69387755102041
PEG3,71,490,14.489795918367346
NFE2L2,70,490,14.285714285714285
FAT1,69,490,14.081632653061224
CTNND2,65,490,13.26530612244898
COL6A3,63,490,12.857142857142856
CPS1,62,490,12.653061224489795
KMT2C,61,490,12.448979591836734
PLEC,60,490,12.244897959183673
ZNF208,60,490,12.244897959183673
PIK3CA,58,490,11.83673469387755
NF1,58,490,11.83673469387755
DCC,57,490,11.63265306122449
FAM47C,56,490,11.428571428571429
BIRC6,56,490,11.428571428571429
PTEN,55,490,11.224489795918368
KEAP1,54,490,11.020408163265307
GRIN2A,54,490,11.020408163265307
MGAM,54,490,11.020408163265307
PREX2,53,490,10.816326530612246
TAF1L,53,490,10.816326530612246
COL6A6,53,490,10.816326530612246
ASPM,52,490,10.612244897959183
ADGRG4,52,490,10.612244897959183
PIK3CG,51,490,10.408163265306122
ZFHX3,51,490,10.408163265306122
PDZD2,49,490,10.0
EPHA5,49,490,10.0
FBN2,49,490,10.0
ERBB4,48,490,9.795918367346939
EPHA3,47,490,9.591836734693878
ZNF479,47,490,9.591836734693878
CHD7,47,490,9.591836734693878
MDGA2,46,490,9.387755102040817
PTPRB,46,490,9.387755102040817
ABCB1,46,490,9.387755102040817
TPR,45,490,9.183673469387756
ZNF521,44,490,8.979591836734693
GRM3,44,490,8.979591836734693
ROS1,44,490,8.979591836734693
PTPRD,41,490,8.36734693877551
POLQ,41,490,8.36734693877551
PRUNE2,41,490,8.36734693877551
AKAP9,40,490,8.16326530612245
TRRAP,40,490,8.16326530612245
MKI67,40,490,8.16326530612245
RGS7,39,490,7.959183673469387
KDR,39,490,7.959183673469387
PTPRO,39,490,7.959183673469387
EPHB1,38,490,7.755102040816326
NOTCH1,38,490,7.755102040816326
RUNX1T1,38,490,7.755102040816326
HGF,37,490,7.551020408163265
MUC4,37,490,7.551020408163265
BRCA2,37,490,7.551020408163265
ZEB1,37,490,7.551020408163265
RNF213,37,490,7.551020408163265
PRKDC,37,490,7.551020408163265
SLIT2,37,490,7.551020408163265
PTPRT,37,490,7.551020408163265
GPC5,37,490,7.551020408163265
SLIT3,36,490,7.346938775510205
COL3A1,36,490,7.346938775510205
NBEA,36,490,7.346938775510205
CREBBP,36,490,7.346938775510205
ANK1,36,490,7.346938775510205
NRK,35,490,7.142857142857142
PTPRC,35,490,7.142857142857142
RANBP2,34,490,6.938775510204081
RASA1,34,490,6.938775510204081
RB1,34,490,6.938775510204081
LPA,34,490,6.938775510204081
FLNA,34,490,6.938775510204081
MYH9,33,490,6.73469387755102
PDE4DIP,33,490,6.73469387755102
FAT2,33,490,6.73469387755102
NTRK3,33,490,6.73469387755102
ARID1B,33,490,6.73469387755102
ARHGAP35,33,490,6.73469387755102
ARID1A,33,490,6.73469387755102
MAGI2,32,490,6.530612244897959
ATM,32,490,6.530612244897959
KIAA1549,32,490,6.530612244897959
CAMTA1,31,490,6.326530612244897
KMT2A,31,490,6.326530612244897
IL7R,31,490,6.326530612244897
HSPG2,31,490,6.326530612244897
FOLH1,31,490,6.326530612244897
UBR5,30,490,6.122448979591836
MYH11,30,490,6.122448979591836
DSP,30,490,6.122448979591836
CDH11,30,490,6.122448979591836
SZT2,29,490,5.918367346938775
ZBTB20,29,490,5.918367346938775
AFF3,29,490,5.918367346938775
NSD1,29,490,5.918367346938775
ATRX,28,490,5.714285714285714
FBXW7,28,490,5.714285714285714
EPHA7,28,490,5.714285714285714
PRKD1,27,490,5.510204081632653
FLT1,27,490,5.510204081632653
USP9X,27,490,5.510204081632653
CASR,27,490,5.510204081632653
APC,26,490,5.3061224489795915
POLE,26,490,5.3061224489795915
LATS1,26,490,5.3061224489795915
SAMD9L,26,490,5.3061224489795915
PDGFRA,26,490,5.3061224489795915
NCOR2,26,490,5.3061224489795915
PIK3C2B,26,490,5.3061224489795915
CAD,25,490,5.1020408163265305
SETBP1,25,490,5.1020408163265305
EP400,25,490,5.1020408163265305
ASXL1,25,490,5.1020408163265305
SMG1,25,490,5.1020408163265305
COL2A1,25,490,5.1020408163265305
ADAMTS9,25,490,5.1020408163265305
TET1,25,490,5.1020408163265305
LRP5,25,490,5.1020408163265305
MED12,25,490,5.1020408163265305
AFDN,25,490,5.1020408163265305
ATR,24,490,4.8979591836734695
RET,24,490,4.8979591836734695
MPEG1,24,490,4.8979591836734695
PRKCB,24,490,4.8979591836734695
ANKRD11,24,490,4.8979591836734695
NOTCH4,24,490,4.8979591836734695
HDAC4,24,490,4.8979591836734695
CUX1,24,490,4.8979591836734695
INSR,24,490,4.8979591836734695
NCOA2,24,490,4.8979591836734695
NCOR1,24,490,4.8979591836734695
ARID2,24,490,4.8979591836734695
REV3L,24,490,4.8979591836734695
KIT,24,490,4.8979591836734695
NOTCH3,23,490,4.6938775510204085
AMER1,23,490,4.6938775510204085
MLLT10,23,490,4.6938775510204085
ROBO1,23,490,4.6938775510204085
ZNF292,23,490,4.6938775510204085
BRCA1,23,490,4.6938775510204085
CUL3,23,490,4.6938775510204085
EP300,23,490,4.6938775510204085
NIPBL,23,490,4.6938775510204085
KNL1,22,490,4.489795918367347
ASXL2,22,490,4.489795918367347
TAF1,22,490,4.489795918367347
KDM6A,22,490,4.489795918367347
ATF7IP,22,490,4.489795918367347
MTOR,22,490,4.489795918367347
MUC6,22,490,4.489795918367347
NOTCH2,22,490,4.489795918367347
PIK3CB,22,490,4.489795918367347
CCNB3,22,490,4.489795918367347
FLT3,22,490,4.489795918367347
GABRA6,22,490,4.489795918367347
SPEN,22,490,4.489795918367347
SETD1A,22,490,4.489795918367347
NUTM1,21,490,4.285714285714286
PRKN,21,490,4.285714285714286
TNC,21,490,4.285714285714286
ROBO2,21,490,4.285714285714286
FCRL4,21,490,4.285714285714286
DROSHA,21,490,4.285714285714286
ALK,20,490,4.081632653061225
ADARB2,20,490,4.081632653061225
TNRC18,20,490,4.081632653061225
A1CF,20,490,4.081632653061225
GLI1,20,490,4.081632653061225
KMT2B,20,490,4.081632653061225
ANKRD26,20,490,4.081632653061225
NSD3,20,490,4.081632653061225
CSPG4,20,490,4.081632653061225
DCAF12L2,20,490,4.081632653061225
SLX4,20,490,4.081632653061225
SP140,20,490,4.081632653061225
PLXNC1,20,490,4.081632653061225
KDM5A,20,490,4.081632653061225
PIK3C2G,20,490,4.081632653061225
MGA,20,490,4.081632653061225
BTK,20,490,4.081632653061225
IRS4,20,490,4.081632653061225
SAMD9,19,490,3.877551020408163
MAML2,19,490,3.877551020408163
MECOM,19,490,3.877551020408163
INHBA,19,490,3.877551020408163
MB21D2,19,490,3.877551020408163
CDK12,19,490,3.877551020408163
FANCM,19,490,3.877551020408163
NCOA1,19,490,3.877551020408163
CIITA,19,490,3.877551020408163
LCP1,19,490,3.877551020408163
ATP2B3,19,490,3.877551020408163
ALPK1,19,490,3.877551020408163
CADM2,19,490,3.877551020408163
PAX3,19,490,3.877551020408163
PARP4,19,490,3.877551020408163
BCORL1,19,490,3.877551020408163
BCL9L,19,490,3.877551020408163
FLT4,19,490,3.877551020408163
TET2,19,490,3.877551020408163
SMARCA4,18,490,3.6734693877551026
SETD2,18,490,3.6734693877551026
SOS1,18,490,3.6734693877551026
PRDM16,18,490,3.6734693877551026
PRDM1,18,490,3.6734693877551026
BCL11A,18,490,3.6734693877551026
APLNR,18,490,3.6734693877551026
CBLB,18,490,3.6734693877551026
PASK,18,490,3.6734693877551026
COP1,18,490,3.6734693877551026
