gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
BAP1,22,80,27.500000000000004,50,62.5
NF2,19,80,23.75,63,78.75
TP53,11,80,13.750000000000002,30,37.5
LATS2,8,80,10.0,37,46.25
SETD2,8,80,10.0,48,60.0
FAT4,6,80,7.5,36,45.0
PTCH1,4,80,5.0,25,31.25
KMT2A,4,80,5.0,23,28.749999999999996
FLG,3,80,3.75,27,33.75
SRGAP3,3,80,3.75,26,32.5
ARID2,3,80,3.75,21,26.25
NCOR1,3,80,3.75,30,37.5
SETDB1,3,80,3.75,27,33.75
PBRM1,3,80,3.75,50,62.5
MUC16,3,80,3.75,21,26.25
FBN2,3,80,3.75,26,32.5
POLR2A,2,80,2.5,30,37.5
MGA,2,80,2.5,28,35.0
USP8,2,80,2.5,25,31.25
USP9X,2,80,2.5,32,40.0
EPHA5,2,80,2.5,36,45.0
SZT2,2,80,2.5,18,22.5
PDZD2,2,80,2.5,29,36.25
PCLO,2,80,2.5,23,28.749999999999996
FANCA,2,80,2.5,34,42.5
LDB1,2,80,2.5,28,35.0
RUNX1,2,80,2.5,17,21.25
ANKRD11,2,80,2.5,34,42.5
SPECC1,2,80,2.5,28,35.0
GLI1,2,80,2.5,20,25.0
TOP2A,2,80,2.5,21,26.25
MYBL1,2,80,2.5,18,22.5
TRAF7,2,80,2.5,22,27.500000000000004
DOT1L,2,80,2.5,24,30.0
BIRC6,2,80,2.5,15,18.75
LATS1,2,80,2.5,38,47.5
PAX5,2,80,2.5,29,36.25
HSPG2,2,80,2.5,28,35.0
FGFR3,2,80,2.5,33,41.25
TERT,2,80,2.5,31,38.75
INPPL1,2,80,2.5,18,22.5
ARID5B,2,80,2.5,19,23.75
CSMD3,2,80,2.5,23,28.749999999999996
CHD2,2,80,2.5,23,28.749999999999996
DNMT3A,2,80,2.5,15,18.75
EPHB4,2,80,2.5,23,28.749999999999996
STAG2,2,80,2.5,30,37.5
KIAA1549,2,80,2.5,25,31.25
CNTNAP2,2,80,2.5,24,30.0
LRRK2,2,80,2.5,21,26.25
CREBBP,2,80,2.5,21,26.25
RELN,2,80,2.5,23,28.749999999999996
ASXL1,2,80,2.5,13,16.25
SND1,1,80,1.25,26,32.5
ADAMTS9,1,80,1.25,34,42.5
SMO,1,80,1.25,25,31.25
DDX3X,1,80,1.25,32,40.0
TBX3,1,80,1.25,19,23.75
EXT2,1,80,1.25,14,17.5
DCTN1,1,80,1.25,12,15.0
EZH2,1,80,1.25,22,27.500000000000004
LYN,1,80,1.25,21,26.25
MED12,1,80,1.25,30,37.5
DCC,1,80,1.25,21,26.25
SMARCA4,1,80,1.25,21,26.25
CSPG4,1,80,1.25,24,30.0
HDAC2,1,80,1.25,38,47.5
LRP1B,1,80,1.25,16,20.0
NSD3,1,80,1.25,0,0.0
H4C9,1,80,1.25,0,0.0
MAML2,1,80,1.25,23,28.749999999999996
EPHA7,1,80,1.25,34,42.5
FAT1,1,80,1.25,37,46.25
SLX4,1,80,1.25,21,26.25
EPHA3,1,80,1.25,28,35.0
FAM135B,1,80,1.25,24,30.0
FAT3,1,80,1.25,24,30.0
XBP1,1,80,1.25,62,77.5
ERCC3,1,80,1.25,10,12.5
FANCI,1,80,1.25,23,28.749999999999996
POLE,1,80,1.25,20,25.0
COL6A6,1,80,1.25,24,30.0
UPF1,1,80,1.25,21,26.25
FMN2,1,80,1.25,25,31.25
STIL,1,80,1.25,19,23.75
MAF,1,80,1.25,30,37.5
ERG,1,80,1.25,16,20.0
DDR1,1,80,1.25,16,20.0
AGO1,1,80,1.25,20,25.0
PMS2,1,80,1.25,23,28.749999999999996
SOS1,1,80,1.25,14,17.5
DROSHA,1,80,1.25,29,36.25
MAP2K2,1,80,1.25,23,28.749999999999996
WNT1,1,80,1.25,20,25.0
EP300,1,80,1.25,64,80.0
DDX41,1,80,1.25,27,33.75
MECOM,1,80,1.25,23,28.749999999999996
RBFOX1,1,80,1.25,42,52.5
SNX29,1,80,1.25,22,27.500000000000004
NVL,1,80,1.25,26,32.5
RBM10,1,80,1.25,30,37.5
MERTK,1,80,1.25,10,12.5
EP400,1,80,1.25,21,26.25
MPEG1,1,80,1.25,20,25.0
NOTCH3,1,80,1.25,22,27.500000000000004
PTEN,1,80,1.25,27,33.75
RGS7,1,80,1.25,28,35.0
CUX1,1,80,1.25,23,28.749999999999996
HDAC1,1,80,1.25,22,27.500000000000004
PRKDC,1,80,1.25,20,25.0
RNF213,1,80,1.25,26,32.5
H3-3B,1,80,1.25,0,0.0
ROBO2,1,80,1.25,30,37.5
ROS1,1,80,1.25,39,48.75
SERPINB3,1,80,1.25,18,22.5
H1-2,1,80,1.25,0,0.0
RHOA,1,80,1.25,48,60.0
PTPRD,1,80,1.25,36,45.0
IRF4,1,80,1.25,17,21.25
GABRA6,1,80,1.25,28,35.0
IL21R,1,80,1.25,22,27.500000000000004
PTPRB,1,80,1.25,20,25.0
GATA6,1,80,1.25,15,18.75
ETAA1,1,80,1.25,12,15.0
KDM5C,1,80,1.25,31,38.75
RAD21,1,80,1.25,20,25.0
RAD50,1,80,1.25,24,30.0
JUN,1,80,1.25,18,22.5
KAT6A,1,80,1.25,17,21.25
IRF2,1,80,1.25,37,46.25
KAT6B,1,80,1.25,18,22.5
RANBP2,1,80,1.25,10,12.5
RARA,1,80,1.25,21,26.25
JAZF1,1,80,1.25,25,31.25
SET,1,80,1.25,23,28.749999999999996
COP1,1,80,1.25,0,0.0
ALOX15B,1,80,1.25,30,37.5
FLCN,1,80,1.25,29,36.25
ANKRD26,1,80,1.25,23,28.749999999999996
SF3B1,1,80,1.25,14,17.5
SGK1,1,80,1.25,37,46.25
SETD1A,1,80,1.25,21,26.25
FGFR1,1,80,1.25,19,23.75
LHFPL6,1,80,1.25,0,0.0
FES,1,80,1.25,22,27.500000000000004
CASR,1,80,1.25,25,31.25
PRDM1,1,80,1.25,37,46.25
AXL,1,80,1.25,20,25.0
DNMT3B,1,80,1.25,13,16.25
DUSP22,1,80,1.25,17,21.25
SH2B3,1,80,1.25,20,25.0
KIT,1,80,1.25,32,40.0
SETD5,1,80,1.25,27,33.75
GRIN2A,1,80,1.25,20,25.0
RPN1,1,80,1.25,24,30.0
GNAS,1,80,1.25,16,20.0
KMT2C,1,80,1.25,23,28.749999999999996
SPRTN,1,80,1.25,26,32.5
FOXO1,1,80,1.25,42,52.5
MSH3,1,80,1.25,23,28.749999999999996
BRSK1,1,80,1.25,18,22.5
KRAS,1,80,1.25,21,26.25
VAV2,1,80,1.25,24,30.0
ZBTB7A,1,80,1.25,23,28.749999999999996
IKBKE,1,80,1.25,27,33.75
SDHD,1,80,1.25,27,33.75
LASP1,1,80,1.25,21,26.25
CAD,1,80,1.25,15,18.75
STAT1,1,80,1.25,13,16.25
DUSP16,1,80,1.25,24,30.0
ZNF521,1,80,1.25,17,21.25
SLIT3,1,80,1.25,29,36.25
SLC1A2,1,80,1.25,17,21.25
H3C7,1,80,1.25,0,0.0
ZNF331,1,80,1.25,20,25.0
BCL7A,1,80,1.25,19,23.75
BCL9,1,80,1.25,25,31.25
MAP2K7,1,80,1.25,21,26.25
SEPTIN9,1,80,1.25,0,0.0
BCOR,1,80,1.25,30,37.5
ZFHX3,1,80,1.25,29,36.25
SAMD9L,1,80,1.25,23,28.749999999999996
BRAF,1,80,1.25,25,31.25
PASK,1,80,1.25,17,21.25
TSC2,1,80,1.25,22,27.500000000000004
CCND3,1,80,1.25,17,21.25
CCND1,1,80,1.25,18,22.5
MYB,1,80,1.25,37,46.25
MYC,1,80,1.25,22,27.500000000000004
