gene,mutation_count,sample_count,mutation_percentage
BAP1,22,80,27.500000000000004
NF2,19,80,23.75
TP53,11,80,13.750000000000002
LATS2,8,80,10.0
SETD2,8,80,10.0
FAT4,6,80,7.5
PTCH1,4,80,5.0
KMT2A,4,80,5.0
FLG,3,80,3.75
SRGAP3,3,80,3.75
ARID2,3,80,3.75
NCOR1,3,80,3.75
SETDB1,3,80,3.75
PBRM1,3,80,3.75
MUC16,3,80,3.75
FBN2,3,80,3.75
POLR2A,2,80,2.5
MGA,2,80,2.5
USP8,2,80,2.5
USP9X,2,80,2.5
EPHA5,2,80,2.5
SZT2,2,80,2.5
PDZD2,2,80,2.5
PCLO,2,80,2.5
FANCA,2,80,2.5
LDB1,2,80,2.5
RUNX1,2,80,2.5
ANKRD11,2,80,2.5
SPECC1,2,80,2.5
GLI1,2,80,2.5
TOP2A,2,80,2.5
MYBL1,2,80,2.5
TRAF7,2,80,2.5
DOT1L,2,80,2.5
BIRC6,2,80,2.5
LATS1,2,80,2.5
PAX5,2,80,2.5
HSPG2,2,80,2.5
FGFR3,2,80,2.5
TERT,2,80,2.5
INPPL1,2,80,2.5
ARID5B,2,80,2.5
CSMD3,2,80,2.5
CHD2,2,80,2.5
DNMT3A,2,80,2.5
EPHB4,2,80,2.5
STAG2,2,80,2.5
KIAA1549,2,80,2.5
CNTNAP2,2,80,2.5
LRRK2,2,80,2.5
CREBBP,2,80,2.5
RELN,2,80,2.5
ASXL1,2,80,2.5
SND1,1,80,1.25
ADAMTS9,1,80,1.25
SMO,1,80,1.25
DDX3X,1,80,1.25
TBX3,1,80,1.25
EXT2,1,80,1.25
DCTN1,1,80,1.25
EZH2,1,80,1.25
LYN,1,80,1.25
MED12,1,80,1.25
DCC,1,80,1.25
SMARCA4,1,80,1.25
CSPG4,1,80,1.25
HDAC2,1,80,1.25
LRP1B,1,80,1.25
NSD3,1,80,1.25
H4C9,1,80,1.25
MAML2,1,80,1.25
EPHA7,1,80,1.25
FAT1,1,80,1.25
SLX4,1,80,1.25
EPHA3,1,80,1.25
FAM135B,1,80,1.25
FAT3,1,80,1.25
XBP1,1,80,1.25
ERCC3,1,80,1.25
FANCI,1,80,1.25
POLE,1,80,1.25
COL6A6,1,80,1.25
UPF1,1,80,1.25
FMN2,1,80,1.25
STIL,1,80,1.25
MAF,1,80,1.25
ERG,1,80,1.25
DDR1,1,80,1.25
AGO1,1,80,1.25
PMS2,1,80,1.25
SOS1,1,80,1.25
DROSHA,1,80,1.25
MAP2K2,1,80,1.25
WNT1,1,80,1.25
EP300,1,80,1.25
DDX41,1,80,1.25
MECOM,1,80,1.25
RBFOX1,1,80,1.25
SNX29,1,80,1.25
NVL,1,80,1.25
RBM10,1,80,1.25
MERTK,1,80,1.25
EP400,1,80,1.25
MPEG1,1,80,1.25
NOTCH3,1,80,1.25
PTEN,1,80,1.25
RGS7,1,80,1.25
CUX1,1,80,1.25
HDAC1,1,80,1.25
PRKDC,1,80,1.25
RNF213,1,80,1.25
H3-3B,1,80,1.25
ROBO2,1,80,1.25
ROS1,1,80,1.25
SERPINB3,1,80,1.25
H1-2,1,80,1.25
RHOA,1,80,1.25
PTPRD,1,80,1.25
IRF4,1,80,1.25
GABRA6,1,80,1.25
IL21R,1,80,1.25
PTPRB,1,80,1.25
GATA6,1,80,1.25
ETAA1,1,80,1.25
KDM5C,1,80,1.25
RAD21,1,80,1.25
RAD50,1,80,1.25
JUN,1,80,1.25
KAT6A,1,80,1.25
IRF2,1,80,1.25
KAT6B,1,80,1.25
RANBP2,1,80,1.25
RARA,1,80,1.25
JAZF1,1,80,1.25
SET,1,80,1.25
COP1,1,80,1.25
ALOX15B,1,80,1.25
FLCN,1,80,1.25
ANKRD26,1,80,1.25
SF3B1,1,80,1.25
SGK1,1,80,1.25
SETD1A,1,80,1.25
FGFR1,1,80,1.25
LHFPL6,1,80,1.25
FES,1,80,1.25
CASR,1,80,1.25
PRDM1,1,80,1.25
AXL,1,80,1.25
DNMT3B,1,80,1.25
DUSP22,1,80,1.25
SH2B3,1,80,1.25
KIT,1,80,1.25
SETD5,1,80,1.25
GRIN2A,1,80,1.25
RPN1,1,80,1.25
GNAS,1,80,1.25
KMT2C,1,80,1.25
SPRTN,1,80,1.25
FOXO1,1,80,1.25
MSH3,1,80,1.25
BRSK1,1,80,1.25
KRAS,1,80,1.25
VAV2,1,80,1.25
ZBTB7A,1,80,1.25
IKBKE,1,80,1.25
SDHD,1,80,1.25
LASP1,1,80,1.25
CAD,1,80,1.25
STAT1,1,80,1.25
DUSP16,1,80,1.25
ZNF521,1,80,1.25
SLIT3,1,80,1.25
SLC1A2,1,80,1.25
H3C7,1,80,1.25
ZNF331,1,80,1.25
BCL7A,1,80,1.25
BCL9,1,80,1.25
MAP2K7,1,80,1.25
SEPTIN9,1,80,1.25
BCOR,1,80,1.25
ZFHX3,1,80,1.25
SAMD9L,1,80,1.25
BRAF,1,80,1.25
PASK,1,80,1.25
TSC2,1,80,1.25
CCND3,1,80,1.25
CCND1,1,80,1.25
MYB,1,80,1.25
MYC,1,80,1.25
PHLPP2,1,80,1.25
PTPRS,1,80,1.25
BRIP1,1,80,1.25
MYD88,1,80,1.25
MYH9,1,80,1.25
CANT1,1,80,1.25
MYO5A,1,80,1.25
PRDM14,1,80,1.25
C15orf65,1,80,1.25
REV3L,1,80,1.25
