gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,368,418,88.03827751196172,340,83.9506172839506
CSMD3,39,418,9.330143540669857,320,79.01234567901234
MUC16,36,418,8.61244019138756,311,76.79012345679013
NF1,31,418,7.4162679425837315,351,86.66666666666667
FAT3,29,418,6.937799043062201,234,57.77777777777777
FLG,28,418,6.698564593301436,257,63.456790123456784
LRP1B,22,418,5.263157894736842,242,59.75308641975309
COL6A3,21,418,5.023923444976076,223,55.06172839506173
CDK12,20,418,4.784688995215311,341,84.19753086419753
KMT2C,20,418,4.784688995215311,276,68.14814814814815
BRCA1,19,418,4.545454545454546,333,82.22222222222221
FAT4,19,418,4.545454545454546,300,74.07407407407408
FAT1,18,418,4.30622009569378,319,78.76543209876543
RELN,18,418,4.30622009569378,244,60.24691358024692
RB1,17,418,4.0669856459330145,306,75.55555555555556
FAM135B,17,418,4.0669856459330145,333,82.22222222222221
TOP2A,17,418,4.0669856459330145,338,83.4567901234568
HSPG2,16,418,3.827751196172249,276,68.14814814814815
TRRAP,15,418,3.588516746411483,238,58.76543209876544
SZT2,15,418,3.588516746411483,242,59.75308641975309
LRRK2,15,418,3.588516746411483,209,51.60493827160494
PCLO,15,418,3.588516746411483,234,57.77777777777777
RNF213,15,418,3.588516746411483,290,71.60493827160494
CHD7,14,418,3.349282296650718,253,62.46913580246913
KMT2A,14,418,3.349282296650718,241,59.50617283950618
ZFHX3,14,418,3.349282296650718,340,83.9506172839506
PRUNE2,14,418,3.349282296650718,255,62.96296296296296
CREBBP,14,418,3.349282296650718,299,73.82716049382717
NOTCH4,13,418,3.110047846889952,258,63.70370370370371
SPEN,13,418,3.110047846889952,283,69.87654320987654
CNTNAP2,13,418,3.110047846889952,286,70.61728395061728
BCORL1,13,418,3.110047846889952,292,72.09876543209876
ASPM,12,418,2.8708133971291865,234,57.77777777777777
FAM47C,12,418,2.8708133971291865,304,75.06172839506173
CAMTA1,12,418,2.8708133971291865,283,69.87654320987654
