gene,mutation_count,sample_count,mutation_percentage
TP53,368,418,88.03827751196172
CSMD3,39,418,9.330143540669857
MUC16,36,418,8.61244019138756
NF1,31,418,7.4162679425837315
FAT3,29,418,6.937799043062201
FLG,28,418,6.698564593301436
LRP1B,22,418,5.263157894736842
COL6A3,21,418,5.023923444976076
CDK12,20,418,4.784688995215311
KMT2C,20,418,4.784688995215311
BRCA1,19,418,4.545454545454546
FAT4,19,418,4.545454545454546
FAT1,18,418,4.30622009569378
RELN,18,418,4.30622009569378
RB1,17,418,4.0669856459330145
FAM135B,17,418,4.0669856459330145
TOP2A,17,418,4.0669856459330145
HSPG2,16,418,3.827751196172249
TRRAP,15,418,3.588516746411483
SZT2,15,418,3.588516746411483
LRRK2,15,418,3.588516746411483
PCLO,15,418,3.588516746411483
RNF213,15,418,3.588516746411483
CHD7,14,418,3.349282296650718
KMT2A,14,418,3.349282296650718
ZFHX3,14,418,3.349282296650718
PRUNE2,14,418,3.349282296650718
CREBBP,14,418,3.349282296650718
NOTCH4,13,418,3.110047846889952
SPEN,13,418,3.110047846889952
CNTNAP2,13,418,3.110047846889952
BCORL1,13,418,3.110047846889952
ASPM,12,418,2.8708133971291865
FAM47C,12,418,2.8708133971291865
CAMTA1,12,418,2.8708133971291865
LPA,12,418,2.8708133971291865
AKAP9,12,418,2.8708133971291865
KDR,12,418,2.8708133971291865
COL6A6,12,418,2.8708133971291865
MYH11,12,418,2.8708133971291865
ADGRG4,12,418,2.8708133971291865
ATRX,12,418,2.8708133971291865
CUX1,11,418,2.631578947368421
APC,11,418,2.631578947368421
DCC,11,418,2.631578947368421
FBN2,11,418,2.631578947368421
NIPBL,11,418,2.631578947368421
NCOA3,11,418,2.631578947368421
CDH10,11,418,2.631578947368421
SAMD9L,11,418,2.631578947368421
CHD4,11,418,2.631578947368421
MKI67,10,418,2.3923444976076556
KMT2D,10,418,2.3923444976076556
TAF1L,10,418,2.3923444976076556
PTPRT,10,418,2.3923444976076556
EPHB1,10,418,2.3923444976076556
NBEA,10,418,2.3923444976076556
ARHGAP35,10,418,2.3923444976076556
BRCA2,10,418,2.3923444976076556
PIK3CA,10,418,2.3923444976076556
FAT2,10,418,2.3923444976076556
BIRC6,10,418,2.3923444976076556
PAK5,10,418,2.3923444976076556
IL21R,10,418,2.3923444976076556
IRS4,10,418,2.3923444976076556
UBR5,10,418,2.3923444976076556
CPS1,10,418,2.3923444976076556
CHD2,10,418,2.3923444976076556
MAGI2,10,418,2.3923444976076556
ALK,10,418,2.3923444976076556
PDGFRA,9,418,2.15311004784689
KIT,9,418,2.15311004784689
INSR,9,418,2.15311004784689
TAF1,9,418,2.15311004784689
CAD,9,418,2.15311004784689
ANK1,9,418,2.15311004784689
CLTCL1,9,418,2.15311004784689
FMN2,9,418,2.15311004784689
PEG3,9,418,2.15311004784689
GRIN2A,9,418,2.15311004784689
CNTRL,9,418,2.15311004784689
CASR,9,418,2.15311004784689
MGA,9,418,2.15311004784689
ZNF479,9,418,2.15311004784689
COL3A1,9,418,2.15311004784689
DSP,9,418,2.15311004784689
LATS1,8,418,1.9138755980861244
KAT6A,8,418,1.9138755980861244
SP140,8,418,1.9138755980861244
FLT1,8,418,1.9138755980861244
EP400,8,418,1.9138755980861244
PAK3,8,418,1.9138755980861244
PTPRB,8,418,1.9138755980861244
PIK3CB,8,418,1.9138755980861244
ROBO1,8,418,1.9138755980861244
CCNB3,8,418,1.9138755980861244
NTRK1,8,418,1.9138755980861244
KDM5C,8,418,1.9138755980861244
ZNF521,8,418,1.9138755980861244
ROS1,8,418,1.9138755980861244
ROBO2,8,418,1.9138755980861244
RET,8,418,1.9138755980861244
DNM2,8,418,1.9138755980861244
ATM,8,418,1.9138755980861244
EPHA5,8,418,1.9138755980861244
MIDEAS,8,418,1.9138755980861244
DCTN1,8,418,1.9138755980861244
PIK3C2G,8,418,1.9138755980861244
PDZD2,8,418,1.9138755980861244
GRM3,8,418,1.9138755980861244
ALPK1,8,418,1.9138755980861244
USP7,7,418,1.674641148325359
MED12,7,418,1.674641148325359
