gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
KRAS,106,179,59.217877094972074,58,32.7683615819209
TP53,99,179,55.3072625698324,95,53.672316384180796
SMAD4,36,179,20.11173184357542,128,72.31638418079096
CDKN2A,30,179,16.75977653631285,113,63.84180790960452
MUC16,15,179,8.379888268156424,39,22.033898305084744
RNF43,11,179,6.145251396648044,65,36.72316384180791
RNF213,10,179,5.58659217877095,60,33.89830508474576
LRP1B,9,179,5.027932960893855,31,17.51412429378531
ARID1A,8,179,4.4692737430167595,72,40.67796610169492
FAT2,8,179,4.4692737430167595,38,21.468926553672315
TGFBR2,8,179,4.4692737430167595,51,28.8135593220339
KDM6A,7,179,3.910614525139665,38,21.468926553672315
GNAS,7,179,3.910614525139665,52,29.37853107344633
FLG,7,179,3.910614525139665,67,37.85310734463277
CSMD3,7,179,3.910614525139665,73,41.24293785310734
ATM,7,179,3.910614525139665,32,18.07909604519774
ABCB1,6,179,3.35195530726257,57,32.20338983050847
KMT2D,6,179,3.35195530726257,54,30.508474576271187
KMT2C,6,179,3.35195530726257,56,31.63841807909605
PLEC,6,179,3.35195530726257,70,39.548022598870055
FAT3,6,179,3.35195530726257,31,17.51412429378531
ASPM,6,179,3.35195530726257,65,36.72316384180791
MAP3K21,6,179,3.35195530726257,0,0.0
ADGRG4,5,179,2.793296089385475,0,0.0
PBRM1,5,179,2.793296089385475,53,29.943502824858758
IRS1,5,179,2.793296089385475,28,15.819209039548024
TCF4,5,179,2.793296089385475,128,72.31638418079096
FAM135B,5,179,2.793296089385475,71,40.11299435028249
FMN2,5,179,2.793296089385475,66,37.28813559322034
FBXW7,5,179,2.793296089385475,39,22.033898305084744
FLT4,5,179,2.793296089385475,37,20.903954802259886
ATR,5,179,2.793296089385475,41,23.163841807909606
PEG3,5,179,2.793296089385475,51,28.8135593220339
ZFHX3,5,179,2.793296089385475,38,21.468926553672315
DNMT3A,5,179,2.793296089385475,30,16.94915254237288
FBN2,5,179,2.793296089385475,40,22.598870056497177
FLNA,5,179,2.793296089385475,37,20.903954802259886
RBM10,5,179,2.793296089385475,35,19.774011299435028
ANK1,5,179,2.793296089385475,67,37.85310734463277
PCLO,5,179,2.793296089385475,55,31.07344632768362
ATRX,5,179,2.793296089385475,35,19.774011299435028
NTRK1,4,179,2.2346368715083798,67,37.85310734463277
PIK3CA,4,179,2.2346368715083798,45,25.423728813559322
MEN1,4,179,2.2346368715083798,28,15.819209039548024
NF1,4,179,2.2346368715083798,45,25.423728813559322
VAV1,4,179,2.2346368715083798,41,23.163841807909606
ADGRA2,4,179,2.2346368715083798,0,0.0
BCL11A,4,179,2.2346368715083798,25,14.124293785310735
KAT6A,4,179,2.2346368715083798,67,37.85310734463277
PTPN13,4,179,2.2346368715083798,36,20.33898305084746
RELN,4,179,2.2346368715083798,57,32.20338983050847
KMT2A,4,179,2.2346368715083798,35,19.774011299435028
TERT,4,179,2.2346368715083798,38,21.468926553672315
SPEN,4,179,2.2346368715083798,66,37.28813559322034
EPHB4,4,179,2.2346368715083798,59,33.33333333333333
KSR2,4,179,2.2346368715083798,60,33.89830508474576
PTPRS,4,179,2.2346368715083798,42,23.728813559322035
PRUNE2,4,179,2.2346368715083798,53,29.943502824858758
COL6A6,4,179,2.2346368715083798,42,23.728813559322035
EFTUD2,4,179,2.2346368715083798,40,22.598870056497177
EP300,4,179,2.2346368715083798,60,33.89830508474576
FAT1,4,179,2.2346368715083798,41,23.163841807909606
FAT4,4,179,2.2346368715083798,38,21.468926553672315
ANKRD11,4,179,2.2346368715083798,41,23.163841807909606
BIRC6,4,179,2.2346368715083798,30,16.94915254237288
CDH11,4,179,2.2346368715083798,37,20.903954802259886
COL3A1,4,179,2.2346368715083798,27,15.254237288135593
CTNNB1,4,179,2.2346368715083798,50,28.24858757062147
NRK,4,179,2.2346368715083798,35,19.774011299435028
NCAPH,4,179,2.2346368715083798,23,12.994350282485875
PIK3CG,4,179,2.2346368715083798,55,31.07344632768362
APC,4,179,2.2346368715083798,39,22.033898305084744
CDH4,4,179,2.2346368715083798,53,29.943502824858758
ZNF208,3,179,1.675977653631285,38,21.468926553672315
CREBBP,3,179,1.675977653631285,37,20.903954802259886
FANCD2,3,179,1.675977653631285,49,27.683615819209038
TAF1,3,179,1.675977653631285,34,19.2090395480226
MAGI2,3,179,1.675977653631285,55,31.07344632768362
LRRK2,3,179,1.675977653631285,51,28.8135593220339
IRS4,3,179,1.675977653631285,34,19.2090395480226
COL1A1,3,179,1.675977653631285,45,25.423728813559322
COL2A1,3,179,1.675977653631285,51,28.8135593220339
PASK,3,179,1.675977653631285,29,16.38418079096045
FLT1,3,179,1.675977653631285,46,25.98870056497175
PDCD11,3,179,1.675977653631285,50,28.24858757062147
MTOR,3,179,1.675977653631285,67,37.85310734463277
GRIN2A,3,179,1.675977653631285,32,18.07909604519774
MYH11,3,179,1.675977653631285,31,17.51412429378531
PRSS1,3,179,1.675977653631285,57,32.20338983050847
CHD4,3,179,1.675977653631285,58,32.7683615819209
TGFBR1,3,179,1.675977653631285,54,30.508474576271187
PRKDC,3,179,1.675977653631285,62,35.02824858757062
ARID2,3,179,1.675977653631285,49,27.683615819209038
ROBO1,3,179,1.675977653631285,47,26.55367231638418
PC,3,179,1.675977653631285,30,16.94915254237288
PTPRT,3,179,1.675977653631285,49,27.683615819209038
DNMT3B,3,179,1.675977653631285,44,24.858757062146893
ZXDB,3,179,1.675977653631285,35,19.774011299435028
MAP2K4,3,179,1.675977653631285,94,53.10734463276836
SLIT3,3,179,1.675977653631285,39,22.033898305084744
DPYD,3,179,1.675977653631285,57,32.20338983050847
SQSTM1,3,179,1.675977653631285,37,20.903954802259886
ATP2B3,3,179,1.675977653631285,38,21.468926553672315
DICER1,3,179,1.675977653631285,45,25.423728813559322
SETD5,3,179,1.675977653631285,49,27.683615819209038
FOXF1,3,179,1.675977653631285,40,22.598870056497177
CTNND2,3,179,1.675977653631285,38,21.468926553672315
HOXA3,3,179,1.675977653631285,55,31.07344632768362
IKZF2,3,179,1.675977653631285,30,16.94915254237288
ERBB4,3,179,1.675977653631285,31,17.51412429378531
CIC,3,179,1.675977653631285,50,28.24858757062147
EPHA7,3,179,1.675977653631285,88,49.717514124293785
DOT1L,3,179,1.675977653631285,44,24.858757062146893
KMT2B,3,179,1.675977653631285,49,27.683615819209038
NRG1,3,179,1.675977653631285,75,42.3728813559322
P2RY8,3,179,1.675977653631285,35,19.774011299435028
CTNND1,3,179,1.675977653631285,30,16.94915254237288
ANKRD26,3,179,1.675977653631285,45,25.423728813559322
CDH10,3,179,1.675977653631285,38,21.468926553672315
ADARB2,3,179,1.675977653631285,50,28.24858757062147
ARHGAP5,3,179,1.675977653631285,44,24.858757062146893
ZNF521,3,179,1.675977653631285,104,58.75706214689266
