gene,mutation_count,sample_count,mutation_percentage
KRAS,106,179,59.217877094972074
TP53,99,179,55.3072625698324
SMAD4,36,179,20.11173184357542
CDKN2A,30,179,16.75977653631285
MUC16,15,179,8.379888268156424
RNF43,11,179,6.145251396648044
RNF213,10,179,5.58659217877095
LRP1B,9,179,5.027932960893855
ARID1A,8,179,4.4692737430167595
FAT2,8,179,4.4692737430167595
TGFBR2,8,179,4.4692737430167595
KDM6A,7,179,3.910614525139665
GNAS,7,179,3.910614525139665
FLG,7,179,3.910614525139665
CSMD3,7,179,3.910614525139665
ATM,7,179,3.910614525139665
ABCB1,6,179,3.35195530726257
KMT2D,6,179,3.35195530726257
KMT2C,6,179,3.35195530726257
PLEC,6,179,3.35195530726257
FAT3,6,179,3.35195530726257
ASPM,6,179,3.35195530726257
MAP3K21,6,179,3.35195530726257
ADGRG4,5,179,2.793296089385475
PBRM1,5,179,2.793296089385475
IRS1,5,179,2.793296089385475
TCF4,5,179,2.793296089385475
FAM135B,5,179,2.793296089385475
FMN2,5,179,2.793296089385475
FBXW7,5,179,2.793296089385475
FLT4,5,179,2.793296089385475
ATR,5,179,2.793296089385475
PEG3,5,179,2.793296089385475
ZFHX3,5,179,2.793296089385475
DNMT3A,5,179,2.793296089385475
FBN2,5,179,2.793296089385475
FLNA,5,179,2.793296089385475
RBM10,5,179,2.793296089385475
ANK1,5,179,2.793296089385475
PCLO,5,179,2.793296089385475
ATRX,5,179,2.793296089385475
NTRK1,4,179,2.2346368715083798
PIK3CA,4,179,2.2346368715083798
MEN1,4,179,2.2346368715083798
NF1,4,179,2.2346368715083798
VAV1,4,179,2.2346368715083798
ADGRA2,4,179,2.2346368715083798
BCL11A,4,179,2.2346368715083798
KAT6A,4,179,2.2346368715083798
PTPN13,4,179,2.2346368715083798
RELN,4,179,2.2346368715083798
KMT2A,4,179,2.2346368715083798
TERT,4,179,2.2346368715083798
SPEN,4,179,2.2346368715083798
EPHB4,4,179,2.2346368715083798
KSR2,4,179,2.2346368715083798
PTPRS,4,179,2.2346368715083798
