gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
HRAS,18,179,10.05586592178771,62,38.50931677018634
NF1,17,179,9.497206703910614,45,27.95031055900621
EPAS1,8,179,4.4692737430167595,18,11.180124223602485
MUC16,7,179,3.910614525139665,23,14.285714285714285
ATRX,5,179,2.793296089385475,53,32.91925465838509
RET,5,179,2.793296089385475,10,6.211180124223603
CSDE1,4,179,2.2346368715083798,117,72.67080745341616
CACNA1D,3,179,1.675977653631285,64,39.75155279503105
VHL,3,179,1.675977653631285,64,39.75155279503105
FAT1,2,179,1.1173184357541899,19,11.801242236024844
SLFN11,2,179,1.1173184357541899,39,24.22360248447205
RANBP2,2,179,1.1173184357541899,14,8.695652173913043
LPA,2,179,1.1173184357541899,25,15.527950310559005
NOTCH4,2,179,1.1173184357541899,16,9.937888198757763
STAG2,2,179,1.1173184357541899,56,34.78260869565217
ARNT,2,179,1.1173184357541899,40,24.84472049689441
PRPF8,2,179,1.1173184357541899,65,40.37267080745342
MLLT6,2,179,1.1173184357541899,41,25.465838509316768
SETD2,2,179,1.1173184357541899,62,38.50931677018634
SETBP1,2,179,1.1173184357541899,17,10.559006211180124
AMER1,2,179,1.1173184357541899,52,32.298136645962735
PCLO,2,179,1.1173184357541899,27,16.77018633540373
KAT6A,2,179,1.1173184357541899,29,18.012422360248447
MGAM,2,179,1.1173184357541899,29,18.012422360248447
MDC1,2,179,1.1173184357541899,16,9.937888198757763
PTPN14,2,179,1.1173184357541899,39,24.22360248447205
PRUNE2,2,179,1.1173184357541899,17,10.559006211180124
ZEB1,2,179,1.1173184357541899,12,7.453416149068323
FGFR1,2,179,1.1173184357541899,31,19.25465838509317
HSP90AA1,2,179,1.1173184357541899,29,18.012422360248447
BIRC6,2,179,1.1173184357541899,16,9.937888198757763
SPEN,1,179,0.5586592178770949,102,63.35403726708074
HDAC2,1,179,0.5586592178770949,26,16.149068322981368
STAT3,1,179,0.5586592178770949,38,23.60248447204969
ALDH1L2,1,179,0.5586592178770949,17,10.559006211180124
HNF1B,1,179,0.5586592178770949,41,25.465838509316768
ADGRA2,1,179,0.5586592178770949,0,0.0
PPP6C,1,179,0.5586592178770949,13,8.074534161490684
INPP5D,1,179,0.5586592178770949,16,9.937888198757763
TRAF2,1,179,0.5586592178770949,15,9.316770186335404
PTPN13,1,179,0.5586592178770949,15,9.316770186335404
NSD3,1,179,0.5586592178770949,0,0.0
TEC,1,179,0.5586592178770949,20,12.422360248447205
LMNA,1,179,0.5586592178770949,40,24.84472049689441
PRDM16,1,179,0.5586592178770949,104,64.59627329192547
MLH3,1,179,0.5586592178770949,28,17.391304347826086
FLT1,1,179,0.5586592178770949,17,10.559006211180124
STK40,1,179,0.5586592178770949,102,63.35403726708074
NUMA1,1,179,0.5586592178770949,43,26.70807453416149
TP53BP1,1,179,0.5586592178770949,17,10.559006211180124
LATS2,1,179,0.5586592178770949,17,10.559006211180124
KDM5C,1,179,0.5586592178770949,53,32.91925465838509
CDKN2C,1,179,0.5586592178770949,116,72.04968944099379
LARP4B,1,179,0.5586592178770949,13,8.074534161490684
NUTM1,1,179,0.5586592178770949,15,9.316770186335404
FBLN2,1,179,0.5586592178770949,64,39.75155279503105
MAGED1,1,179,0.5586592178770949,52,32.298136645962735
FAT4,1,179,0.5586592178770949,16,9.937888198757763
LRP6,1,179,0.5586592178770949,13,8.074534161490684
KMT2D,1,179,0.5586592178770949,14,8.695652173913043
OMD,1,179,0.5586592178770949,16,9.937888198757763
CIC,1,179,0.5586592178770949,18,11.180124223602485
KMT2A,1,179,0.5586592178770949,48,29.81366459627329
NUP98,1,179,0.5586592178770949,64,39.75155279503105
IKZF3,1,179,0.5586592178770949,40,24.84472049689441
FMN2,1,179,0.5586592178770949,41,25.465838509316768
PIK3CA,1,179,0.5586592178770949,93,57.7639751552795
PIK3CB,1,179,0.5586592178770949,91,56.52173913043478
POLE,1,179,0.5586592178770949,21,13.043478260869565
DNMT3A,1,179,0.5586592178770949,16,9.937888198757763
COL6A6,1,179,0.5586592178770949,92,57.14285714285714
DKK3,1,179,0.5586592178770949,61,37.88819875776397
EGFR,1,179,0.5586592178770949,27,16.77018633540373
CCT6B,1,179,0.5586592178770949,39,24.22360248447205
PREX2,1,179,0.5586592178770949,26,16.149068322981368
ELF3,1,179,0.5586592178770949,37,22.981366459627328
MARK2,1,179,0.5586592178770949,39,24.22360248447205
PDZD2,1,179,0.5586592178770949,17,10.559006211180124
IDH1,1,179,0.5586592178770949,15,9.316770186335404
EPOR,1,179,0.5586592178770949,22,13.664596273291925
RUNX1T1,1,179,0.5586592178770949,26,16.149068322981368
EPHA3,1,179,0.5586592178770949,61,37.88819875776397
SDHA,1,179,0.5586592178770949,17,10.559006211180124
BCL2L2,1,179,0.5586592178770949,24,14.906832298136646
SALL4,1,179,0.5586592178770949,13,8.074534161490684
PML,1,179,0.5586592178770949,17,10.559006211180124
ERG,1,179,0.5586592178770949,40,24.84472049689441
ARID3C,1,179,0.5586592178770949,14,8.695652173913043
GTSE1,1,179,0.5586592178770949,67,41.61490683229814
NT5C3A,1,179,0.5586592178770949,29,18.012422360248447
ALOX15B,1,179,0.5586592178770949,65,40.37267080745342
RNF213,1,179,0.5586592178770949,23,14.285714285714285
HMGA2,1,179,0.5586592178770949,15,9.316770186335404
CSMD3,1,179,0.5586592178770949,29,18.012422360248447
CTCF,1,179,0.5586592178770949,13,8.074534161490684
JUN,1,179,0.5586592178770949,117,72.67080745341616
FADD,1,179,0.5586592178770949,42,26.08695652173913
RRAS2,1,179,0.5586592178770949,61,37.88819875776397
JAK2,1,179,0.5586592178770949,19,11.801242236024844
CUX1,1,179,0.5586592178770949,30,18.633540372670808
ITGAV,1,179,0.5586592178770949,15,9.316770186335404
POLR2A,1,179,0.5586592178770949,65,40.37267080745342
ETV6,1,179,0.5586592178770949,13,8.074534161490684
ABCC4,1,179,0.5586592178770949,18,11.180124223602485
ALPK1,1,179,0.5586592178770949,15,9.316770186335404
FANCM,1,179,0.5586592178770949,25,15.527950310559005
FANCI,1,179,0.5586592178770949,17,10.559006211180124
FAF1,1,179,0.5586592178770949,116,72.04968944099379
IL6ST,1,179,0.5586592178770949,15,9.316770186335404
ROBO2,1,179,0.5586592178770949,62,38.50931677018634
ATR,1,179,0.5586592178770949,92,57.14285714285714
ATF7IP,1,179,0.5586592178770949,13,8.074534161490684
SETD1A,1,179,0.5586592178770949,14,8.695652173913043
MSN,1,179,0.5586592178770949,52,32.298136645962735
MLLT1,1,179,0.5586592178770949,25,15.527950310559005
VAV1,1,179,0.5586592178770949,25,15.527950310559005
BARD1,1,179,0.5586592178770949,15,9.316770186335404
