gene,mutation_count,sample_count,mutation_percentage
HRAS,18,179,10.05586592178771
NF1,17,179,9.497206703910614
EPAS1,8,179,4.4692737430167595
MUC16,7,179,3.910614525139665
ATRX,5,179,2.793296089385475
RET,5,179,2.793296089385475
CSDE1,4,179,2.2346368715083798
CACNA1D,3,179,1.675977653631285
VHL,3,179,1.675977653631285
FAT1,2,179,1.1173184357541899
SLFN11,2,179,1.1173184357541899
RANBP2,2,179,1.1173184357541899
LPA,2,179,1.1173184357541899
NOTCH4,2,179,1.1173184357541899
STAG2,2,179,1.1173184357541899
ARNT,2,179,1.1173184357541899
PRPF8,2,179,1.1173184357541899
MLLT6,2,179,1.1173184357541899
SETD2,2,179,1.1173184357541899
SETBP1,2,179,1.1173184357541899
AMER1,2,179,1.1173184357541899
PCLO,2,179,1.1173184357541899
KAT6A,2,179,1.1173184357541899
MGAM,2,179,1.1173184357541899
MDC1,2,179,1.1173184357541899
PTPN14,2,179,1.1173184357541899
PRUNE2,2,179,1.1173184357541899
ZEB1,2,179,1.1173184357541899
FGFR1,2,179,1.1173184357541899
HSP90AA1,2,179,1.1173184357541899
BIRC6,2,179,1.1173184357541899
SPEN,1,179,0.5586592178770949
HDAC2,1,179,0.5586592178770949
STAT3,1,179,0.5586592178770949
ALDH1L2,1,179,0.5586592178770949
HNF1B,1,179,0.5586592178770949
ADGRA2,1,179,0.5586592178770949
PPP6C,1,179,0.5586592178770949
INPP5D,1,179,0.5586592178770949
TRAF2,1,179,0.5586592178770949
PTPN13,1,179,0.5586592178770949
NSD3,1,179,0.5586592178770949
TEC,1,179,0.5586592178770949
LMNA,1,179,0.5586592178770949
PRDM16,1,179,0.5586592178770949
MLH3,1,179,0.5586592178770949
FLT1,1,179,0.5586592178770949
STK40,1,179,0.5586592178770949
NUMA1,1,179,0.5586592178770949
TP53BP1,1,179,0.5586592178770949
LATS2,1,179,0.5586592178770949
KDM5C,1,179,0.5586592178770949
CDKN2C,1,179,0.5586592178770949
LARP4B,1,179,0.5586592178770949
NUTM1,1,179,0.5586592178770949
FBLN2,1,179,0.5586592178770949
MAGED1,1,179,0.5586592178770949
FAT4,1,179,0.5586592178770949
LRP6,1,179,0.5586592178770949
KMT2D,1,179,0.5586592178770949
OMD,1,179,0.5586592178770949
CIC,1,179,0.5586592178770949
KMT2A,1,179,0.5586592178770949
NUP98,1,179,0.5586592178770949
IKZF3,1,179,0.5586592178770949
FMN2,1,179,0.5586592178770949
PIK3CA,1,179,0.5586592178770949
PIK3CB,1,179,0.5586592178770949
POLE,1,179,0.5586592178770949
DNMT3A,1,179,0.5586592178770949
COL6A6,1,179,0.5586592178770949
DKK3,1,179,0.5586592178770949
EGFR,1,179,0.5586592178770949
CCT6B,1,179,0.5586592178770949
PREX2,1,179,0.5586592178770949
ELF3,1,179,0.5586592178770949
MARK2,1,179,0.5586592178770949
PDZD2,1,179,0.5586592178770949
IDH1,1,179,0.5586592178770949
EPOR,1,179,0.5586592178770949
RUNX1T1,1,179,0.5586592178770949
EPHA3,1,179,0.5586592178770949
SDHA,1,179,0.5586592178770949
BCL2L2,1,179,0.5586592178770949
SALL4,1,179,0.5586592178770949
PML,1,179,0.5586592178770949
ERG,1,179,0.5586592178770949
ARID3C,1,179,0.5586592178770949
GTSE1,1,179,0.5586592178770949
NT5C3A,1,179,0.5586592178770949
ALOX15B,1,179,0.5586592178770949
RNF213,1,179,0.5586592178770949
HMGA2,1,179,0.5586592178770949
CSMD3,1,179,0.5586592178770949
CTCF,1,179,0.5586592178770949
JUN,1,179,0.5586592178770949
FADD,1,179,0.5586592178770949
RRAS2,1,179,0.5586592178770949
JAK2,1,179,0.5586592178770949
CUX1,1,179,0.5586592178770949
ITGAV,1,179,0.5586592178770949
POLR2A,1,179,0.5586592178770949
ETV6,1,179,0.5586592178770949
ABCC4,1,179,0.5586592178770949
ALPK1,1,179,0.5586592178770949
FANCM,1,179,0.5586592178770949
FANCI,1,179,0.5586592178770949
FAF1,1,179,0.5586592178770949
IL6ST,1,179,0.5586592178770949
ROBO2,1,179,0.5586592178770949
ATR,1,179,0.5586592178770949
ATF7IP,1,179,0.5586592178770949
SETD1A,1,179,0.5586592178770949
MSN,1,179,0.5586592178770949
MLLT1,1,179,0.5586592178770949
VAV1,1,179,0.5586592178770949
BARD1,1,179,0.5586592178770949
USP9X,1,179,0.5586592178770949
PGR,1,179,0.5586592178770949
APC,1,179,0.5586592178770949
BCL11B,1,179,0.5586592178770949
PIK3CD,1,179,0.5586592178770949
ING1,1,179,0.5586592178770949
PRKD1,1,179,0.5586592178770949
GPC5,1,179,0.5586592178770949
TRRAP,1,179,0.5586592178770949
TRIP11,1,179,0.5586592178770949
TFAP4,1,179,0.5586592178770949
BCOR,1,179,0.5586592178770949
TIPARP,1,179,0.5586592178770949
NCOA3,1,179,0.5586592178770949
TAF1L,1,179,0.5586592178770949
AKAP9,1,179,0.5586592178770949
AFF4,1,179,0.5586592178770949
ALDH2,1,179,0.5586592178770949
ROBO1,1,179,0.5586592178770949
AFDN,1,179,0.5586592178770949
ALK,1,179,0.5586592178770949
ARHGEF10L,1,179,0.5586592178770949
WWP1,1,179,0.5586592178770949
FOXA2,1,179,0.5586592178770949
ZFHX3,1,179,0.5586592178770949
ARID2,1,179,0.5586592178770949
NBEA,1,179,0.5586592178770949
WT1,1,179,0.5586592178770949
SZT2,1,179,0.5586592178770949
NBN,1,179,0.5586592178770949
ATF1,1,179,0.5586592178770949
SRP72,1,179,0.5586592178770949
PRKD2,1,179,0.5586592178770949
ARHGEF12,1,179,0.5586592178770949
CASP3,1,179,0.5586592178770949
MALT1,1,179,0.5586592178770949
FGFR4,1,179,0.5586592178770949
GTF2I,1,179,0.5586592178770949
H2BC4,1,179,0.5586592178770949
SESN1,1,179,0.5586592178770949
PCSK7,1,179,0.5586592178770949
INPP4A,1,179,0.5586592178770949
PC,1,179,0.5586592178770949
CARD11,1,179,0.5586592178770949
TAF1,1,179,0.5586592178770949
PAK3,1,179,0.5586592178770949
MGA,1,179,0.5586592178770949
TCF4,1,179,0.5586592178770949
CCR4,1,179,0.5586592178770949
ERCC3,1,179,0.5586592178770949
HSPG2,1,179,0.5586592178770949
LRP1B,1,179,0.5586592178770949
NSD2,1,179,0.5586592178770949
FGFR2,1,179,0.5586592178770949
MED12,1,179,0.5586592178770949
RAD50,1,179,0.5586592178770949
SETDB2,1,179,0.5586592178770949
TLE1,1,179,0.5586592178770949
NFE2L2,1,179,0.5586592178770949
PTPRD,1,179,0.5586592178770949
MTOR,1,179,0.5586592178770949
MYO5A,1,179,0.5586592178770949
BRAF,1,179,0.5586592178770949
BIRC3,1,179,0.5586592178770949
TPR,1,179,0.5586592178770949
RAB35,1,179,0.5586592178770949
COL6A3,1,179,0.5586592178770949
MERTK,1,179,0.5586592178770949
MYH9,1,179,0.5586592178770949
FLG,1,179,0.5586592178770949
FKBP9,1,179,0.5586592178770949
PRKAR1A,1,179,0.5586592178770949
PRKACA,1,179,0.5586592178770949
MAP2K1,1,179,0.5586592178770949
BRCA2,1,179,0.5586592178770949
MST1R,0,179,0.0
BBC3,0,179,0.0
PRKN,0,179,0.0
PRKCI,0,179,0.0
RAD51D,0,179,0.0
RAD52,0,179,0.0
PLCG2,0,179,0.0
RAD54L,0,179,0.0
STAT5A,0,179,0.0
TEK,0,179,0.0
VEGFA,0,179,0.0
MAP3K14,0,179,0.0
XRCC2,0,179,0.0
ABRAXAS1,0,179,0.0
PIK3C2G,0,179,0.0
AGO2,0,179,0.0
PARP1,0,179,0.0
ARID5B,0,179,0.0
NUP93,0,179,0.0
NOTCH3,0,179,0.0
BABAM1,0,179,0.0
PIK3CG,0,179,0.0
H2AC11,0,179,0.0
H2AC16,0,179,0.0
H2AC17,0,179,0.0
H2AC6,0,179,0.0
H2BC11,0,179,0.0
H2BC12,0,179,0.0
H2BC17,0,179,0.0
H2BC5,0,179,0.0
H3-4,0,179,0.0
H3-5,0,179,0.0
H3C1,0,179,0.0
H3C10,0,179,0.0
H3C11,0,179,0.0
H3C12,0,179,0.0
H3C13,0,179,0.0
FGF6,0,179,0.0
H3C3,0,179,0.0
H3C4,0,179,0.0
H3C6,0,179,0.0
H3C7,0,179,0.0
H3C8,0,179,0.0
HDAC7,0,179,0.0
HOXB13,0,179,0.0
ICOSLG,0,179,0.0
IFNGR1,0,179,0.0
IGF1,0,179,0.0
IGF2,0,179,0.0
IL10,0,179,0.0
INHA,0,179,0.0
INSR,0,179,0.0
IRS1,0,179,0.0
H3C14,0,179,0.0
BCL2L11,0,179,0.0
CARM1,0,179,0.0
CCNQ,0,179,0.0
CD22,0,179,0.0
CD276,0,179,0.0
CD70,0,179,0.0
CDC42,0,179,0.0
CENPA,0,179,0.0
COP1,0,179,0.0
CTLA4,0,179,0.0
DCUN1D1,0,179,0.0
DNMT3B,0,179,0.0
DUSP22,0,179,0.0
DUSP4,0,179,0.0
E2F3,0,179,0.0
H1-4,0,179,0.0
H1-3,0,179,0.0
GREM1,0,179,0.0
GPS2,0,179,0.0
GNB1,0,179,0.0
GNA12,0,179,0.0
FYN,0,179,0.0
FGF23,0,179,0.0
EGFL7,0,179,0.0
FGF10,0,179,0.0
FANCL,0,179,0.0
EZH1,0,179,0.0
ERF,0,179,0.0
EPCAM,0,179,0.0
EMSY,0,179,0.0
ELOC,0,179,0.0
EIF4E,0,179,0.0
FGF14,0,179,0.0
IRAK1,0,179,0.0
PRKCD,0,179,0.0
KDM3B,0,179,0.0
NXF1,0,179,0.0
RBM39,0,179,0.0
EGR2,0,179,0.0
CD58,0,179,0.0
DTX1,0,179,0.0
IRF8,0,179,0.0
BMP6,0,179,0.0
RPS3A,0,179,0.0
IRF1,0,179,0.0
MAP2K7,0,179,0.0
SIN3A,0,179,0.0
PER3,0,179,0.0
DHX9,0,179,0.0
DUSP16,0,179,0.0
LDB1,0,179,0.0
DIS3,0,179,0.0
NKTR,0,179,0.0
RRN3,0,179,0.0
TOP2A,0,179,0.0
KMT5A,0,179,0.0
DOT1L,0,179,0.0
FGD1,0,179,0.0
SUSD2,0,179,0.0
ACSM3,0,179,0.0
SDCBP,0,179,0.0
RRAGC,0,179,0.0
PPP3CA,0,179,0.0
TGFBR1,0,179,0.0
HLA-DQA1,0,179,0.0
GNAI2,0,179,0.0
FBN2,0,179,0.0
PCMTD1,0,179,0.0
MYEOV,0,179,0.0
PTMA,0,179,0.0
ZXDB,0,179,0.0
ZNF90,0,179,0.0
SOX17,0,179,0.0
INPPL1,0,179,0.0
POU2F2,0,179,0.0
CNOT9,0,179,0.0
AJUBA,0,179,0.0
PLXNC1,0,179,0.0
ZFP36L1,0,179,0.0
GNA13,0,179,0.0
SP140,0,179,0.0
ZNF814,0,179,0.0
ZNF750,0,179,0.0
NFKBIA,0,179,0.0
PARP4,0,179,0.0
CADM2,0,179,0.0
RPS6KA3,0,179,0.0
KLF5,0,179,0.0
NIPBL,0,179,0.0
H3C2,0,179,0.0
RASA1,0,179,0.0
BRD7,0,179,0.0
EFTUD2,0,179,0.0
CASZ1,0,179,0.0
TGIF1,0,179,0.0
ZNF680,0,179,0.0
HCAR3,0,179,0.0
MED23,0,179,0.0
ZNF93,0,179,0.0
SAMHD1,0,179,0.0
ZNF721,0,179,0.0
CMTR2,0,179,0.0
USP7,0,179,0.0
KMT2B,0,179,0.0
ZNF208,0,179,0.0
EPHA2,0,179,0.0
KLHL6,0,179,0.0
ZBTB20,0,179,0.0
FAM174B,0,179,0.0
RHPN2,0,179,0.0
ZNF626,0,179,0.0
TRIM49C,0,179,0.0
FGF4,0,179,0.0
FGF3,0,179,0.0
FGF19,0,179,0.0
EPHB1,0,179,0.0
CRKL,0,179,0.0
CHEK1,0,179,0.0
CDKN2B,0,179,0.0
CDK8,0,179,0.0
ANKRD11,0,179,0.0
AURKB,0,179,0.0
AURKA,0,179,0.0
ZNF274,0,179,0.0
H4C9,0,179,0.0
CHD7,0,179,0.0
FNDC3B,0,179,0.0
CHRDL1,0,179,0.0
UBE2A,0,179,0.0
MIB2,0,179,0.0
AXL,0,179,0.0
INHBA,0,179,0.0
HDAC1,0,179,0.0
H3-3B,0,179,0.0
H1-2,0,179,0.0
ERRFI1,0,179,0.0
EPHA5,0,179,0.0
DNMT1,0,179,0.0
BCL2L1,0,179,0.0
ALOX12B,0,179,0.0
IGF1R,0,179,0.0
RICTOR,0,179,0.0
RAD51,0,179,0.0
PDCD1,0,179,0.0
MSH3,0,179,0.0
MRE11,0,179,0.0
MCL1,0,179,0.0
IRS2,0,179,0.0
INPP4B,0,179,0.0
IKBKE,0,179,0.0
RPTOR,0,179,0.0
TRAF3,0,179,0.0
RNF6,0,179,0.0
RBM38,0,179,0.0
U2AF2,0,179,0.0
CSPG4,0,179,0.0
RASA2,0,179,0.0
ZCRB1,0,179,0.0
FAT2,0,179,0.0
RIPK1,0,179,0.0
REST,0,179,0.0
NRK,0,179,0.0
NCAPH,0,179,0.0
ZBTB7B,0,179,0.0
RELA,0,179,0.0
DSP,0,179,0.0
UBXN11,0,179,0.0
GPAA1,0,179,0.0
ZNF395,0,179,0.0
PSPC1,0,179,0.0
PI4KA,0,179,0.0
MCM7,0,179,0.0
WNT1,0,179,0.0
FGD5,0,179,0.0
CCAR1,0,179,0.0
ESRRA,0,179,0.0
ATG7,0,179,0.0
MDGA2,0,179,0.0
ZBTB48,0,179,0.0
HLA-C,0,179,0.0
ADAMTS9,0,179,0.0
SMARCA2,0,179,0.0
TRMT12,0,179,0.0
PEG3,0,179,0.0
NVL,0,179,0.0
CCNT1,0,179,0.0
NPRL2,0,179,0.0
ZNF780A,0,179,0.0
RBFOX1,0,179,0.0
HDAC4,0,179,0.0
PTPN3,0,179,0.0
IQGAP1,0,179,0.0
INTS6,0,179,0.0
IKZF2,0,179,0.0
IFNAR1,0,179,0.0
ID1,0,179,0.0
HTATIP2,0,179,0.0
HSD17B2,0,179,0.0
HOXA3,0,179,0.0
HFE,0,179,0.0
SPRED1,0,179,0.0
H3P6,0,179,0.0
H3C15,0,179,0.0
GRB7,0,179,0.0
GEN1,0,179,0.0
GADD45B,0,179,0.0
FZR1,0,179,0.0
FSTL1,0,179,0.0
FOXN4,0,179,0.0
FOLR1,0,179,0.0
H4C6,0,179,0.0
MKNK1,0,179,0.0
MIDEAS,0,179,0.0
MIB1,0,179,0.0
MEF2D,0,179,0.0
MBD6,0,179,0.0
MBD4,0,179,0.0
MAP4K4,0,179,0.0
MAP3K6,0,179,0.0
MAP3K21,0,179,0.0
ITPKB,0,179,0.0
MAGI2,0,179,0.0
LRRK2,0,179,0.0
LRP5,0,179,0.0
LGR5,0,179,0.0
KLF3,0,179,0.0
KLF2,0,179,0.0
KDM5D,0,179,0.0
KDM4C,0,179,0.0
KDM2B,0,179,0.0
MAL2,0,179,0.0
DKK2,0,179,0.0
DKK1,0,179,0.0
DHX15,0,179,0.0
DDX41,0,179,0.0
DDX4,0,179,0.0
DDR1,0,179,0.0
DAZAP1,0,179,0.0
CYP17A1,0,179,0.0
CTDNEP1,0,179,0.0
FOLH1,0,179,0.0
CPS1,0,179,0.0
CKS1B,0,179,0.0
CILK1,0,179,0.0
CHTF8,0,179,0.0
CHN1,0,179,0.0
CDKN1C,0,179,0.0
CDH4,0,179,0.0
CDH2,0,179,0.0
CD36,0,179,0.0
CSF1,0,179,0.0
FLYWCH1,0,179,0.0
FGF9,0,179,0.0
FGF8,0,179,0.0
FGF7,0,179,0.0
FGF5,0,179,0.0
FGF2,0,179,0.0
