gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
SPOP,55,496,11.088709677419354,41,8.41889117043121
TP53,54,496,10.887096774193548,161,33.059548254620125
MUC16,33,496,6.653225806451612,34,6.981519507186857
FOXA1,31,496,6.25,57,11.704312114989733
KMT2D,29,496,5.846774193548387,40,8.213552361396303
LRP1B,24,496,4.838709677419355,100,20.533880903490758
KMT2C,23,496,4.637096774193548,120,24.64065708418891
ATM,20,496,4.032258064516129,79,16.2217659137577
CSMD3,19,496,3.8306451612903225,173,35.52361396303901
FAT3,17,496,3.4274193548387095,51,10.472279260780287
PTEN,16,496,3.225806451612903,163,33.47022587268994
KDM6A,15,496,3.024193548387097,48,9.856262833675565
PIK3CA,12,496,2.4193548387096775,84,17.248459958932237
FAT4,12,496,2.4193548387096775,63,12.93634496919918
APC,12,496,2.4193548387096775,83,17.04312114989733
PCLO,11,496,2.217741935483871,107,21.971252566735114
FLG,11,496,2.217741935483871,41,8.41889117043121
ZMYM3,11,496,2.217741935483871,42,8.624229979466119
CDK12,11,496,2.217741935483871,52,10.677618069815194
ZFHX3,11,496,2.217741935483871,199,40.86242299794661
GRIN2A,11,496,2.217741935483871,65,13.347022587268995
ARID2,10,496,2.0161290322580645,50,10.266940451745379
PTPRC,9,496,1.8145161290322582,39,8.008213552361395
BRCA2,9,496,1.8145161290322582,140,28.74743326488706
NCOR1,9,496,1.8145161290322582,94,19.301848049281315
SPEN,9,496,1.8145161290322582,51,10.472279260780287
AKAP9,9,496,1.8145161290322582,107,21.971252566735114
RNF213,9,496,1.8145161290322582,46,9.44558521560575
CTNNB1,8,496,1.6129032258064515,50,10.266940451745379
PLEC,8,496,1.6129032258064515,148,30.390143737166326
ANK1,8,496,1.6129032258064515,223,45.790554414784395
FAT2,8,496,1.6129032258064515,41,8.41889117043121
FAM135B,8,496,1.6129032258064515,149,30.59548254620123
SMARCA1,8,496,1.6129032258064515,46,9.44558521560575
BRAF,7,496,1.411290322580645,105,21.560574948665298
A1CF,7,496,1.411290322580645,71,14.579055441478438
KMT2A,7,496,1.411290322580645,68,13.963039014373715
HSPG2,7,496,1.411290322580645,52,10.677618069815194
CHD4,7,496,1.411290322580645,88,18.069815195071868
SETD2,7,496,1.411290322580645,60,12.320328542094455
DCC,7,496,1.411290322580645,126,25.87268993839836
TMPRSS2,7,496,1.411290322580645,180,36.96098562628337
TAF1L,7,496,1.411290322580645,61,12.525667351129362
MECOM,7,496,1.411290322580645,95,19.50718685831622
POLQ,7,496,1.411290322580645,71,14.579055441478438
PRKDC,7,496,1.411290322580645,157,32.238193018480494
JAK1,6,496,1.2096774193548387,60,12.320328542094455
RELN,6,496,1.2096774193548387,108,22.176591375770023
NRG1,6,496,1.2096774193548387,256,52.56673511293635
CPS1,6,496,1.2096774193548387,45,9.240246406570842
MGAM,6,496,1.2096774193548387,109,22.381930184804926
ABCB1,6,496,1.2096774193548387,106,21.765913757700204
MED12,6,496,1.2096774193548387,42,8.624229979466119
ZNF521,6,496,1.2096774193548387,103,21.149897330595483
EPHB1,6,496,1.2096774193548387,82,16.83778234086242
ABCC4,6,496,1.2096774193548387,122,25.051334702258725
PIK3CD,6,496,1.2096774193548387,55,11.293634496919918
PIK3CG,6,496,1.2096774193548387,110,22.587268993839835
MKI67,6,496,1.2096774193548387,79,16.2217659137577
NOTCH4,6,496,1.2096774193548387,41,8.41889117043121
ROBO2,6,496,1.2096774193548387,77,15.811088295687886
TPR,6,496,1.2096774193548387,40,8.213552361396303
ZNF208,6,496,1.2096774193548387,30,6.160164271047227
