gene,mutation_count,sample_count,mutation_percentage
SPOP,55,496,11.088709677419354
TP53,54,496,10.887096774193548
MUC16,33,496,6.653225806451612
FOXA1,31,496,6.25
KMT2D,29,496,5.846774193548387
LRP1B,24,496,4.838709677419355
KMT2C,23,496,4.637096774193548
ATM,20,496,4.032258064516129
CSMD3,19,496,3.8306451612903225
FAT3,17,496,3.4274193548387095
PTEN,16,496,3.225806451612903
KDM6A,15,496,3.024193548387097
PIK3CA,12,496,2.4193548387096775
FAT4,12,496,2.4193548387096775
APC,12,496,2.4193548387096775
PCLO,11,496,2.217741935483871
FLG,11,496,2.217741935483871
ZMYM3,11,496,2.217741935483871
CDK12,11,496,2.217741935483871
ZFHX3,11,496,2.217741935483871
GRIN2A,11,496,2.217741935483871
ARID2,10,496,2.0161290322580645
PTPRC,9,496,1.8145161290322582
BRCA2,9,496,1.8145161290322582
NCOR1,9,496,1.8145161290322582
SPEN,9,496,1.8145161290322582
AKAP9,9,496,1.8145161290322582
RNF213,9,496,1.8145161290322582
CTNNB1,8,496,1.6129032258064515
PLEC,8,496,1.6129032258064515
ANK1,8,496,1.6129032258064515
FAT2,8,496,1.6129032258064515
FAM135B,8,496,1.6129032258064515
SMARCA1,8,496,1.6129032258064515
BRAF,7,496,1.411290322580645
A1CF,7,496,1.411290322580645
KMT2A,7,496,1.411290322580645
HSPG2,7,496,1.411290322580645
CHD4,7,496,1.411290322580645
SETD2,7,496,1.411290322580645
DCC,7,496,1.411290322580645
TMPRSS2,7,496,1.411290322580645
TAF1L,7,496,1.411290322580645
MECOM,7,496,1.411290322580645
POLQ,7,496,1.411290322580645
PRKDC,7,496,1.411290322580645
JAK1,6,496,1.2096774193548387
RELN,6,496,1.2096774193548387
NRG1,6,496,1.2096774193548387
CPS1,6,496,1.2096774193548387
MGAM,6,496,1.2096774193548387
ABCB1,6,496,1.2096774193548387
MED12,6,496,1.2096774193548387
ZNF521,6,496,1.2096774193548387
EPHB1,6,496,1.2096774193548387
ABCC4,6,496,1.2096774193548387
PIK3CD,6,496,1.2096774193548387
PIK3CG,6,496,1.2096774193548387
MKI67,6,496,1.2096774193548387
NOTCH4,6,496,1.2096774193548387
ROBO2,6,496,1.2096774193548387
TPR,6,496,1.2096774193548387
ZNF208,6,496,1.2096774193548387
EP300,6,496,1.2096774193548387
CASZ1,6,496,1.2096774193548387
COL6A3,6,496,1.2096774193548387
ARID1A,6,496,1.2096774193548387
FAM47C,6,496,1.2096774193548387
PDZD2,6,496,1.2096774193548387
CNOT3,6,496,1.2096774193548387
ERF,6,496,1.2096774193548387
TP53BP1,6,496,1.2096774193548387
CDKN1B,6,496,1.2096774193548387
BIRC6,5,496,1.0080645161290323
ROBO1,5,496,1.0080645161290323
STAT4,5,496,1.0080645161290323
CAMTA1,5,496,1.0080645161290323
ARHGEF10,5,496,1.0080645161290323
ZNF292,5,496,1.0080645161290323
ARHGAP5,5,496,1.0080645161290323
KDM3B,5,496,1.0080645161290323
ANKRD11,5,496,1.0080645161290323
DOT1L,5,496,1.0080645161290323
AFF3,5,496,1.0080645161290323
AFDN,5,496,1.0080645161290323
ERBB4,5,496,1.0080645161290323
PI4KA,5,496,1.0080645161290323
USP9X,5,496,1.0080645161290323
FAT1,5,496,1.0080645161290323
