gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
APC,124,154,80.51948051948052,65,46.09929078014184
TP53,110,154,71.42857142857143,101,71.63120567375887
KRAS,63,154,40.909090909090914,52,36.87943262411347
MUC16,37,154,24.025974025974026,51,36.17021276595745
FAT4,28,154,18.181818181818183,64,45.39007092198582
LRP1B,27,154,17.532467532467532,42,29.78723404255319
FBXW7,26,154,16.883116883116884,63,44.680851063829785
SMAD4,23,154,14.935064935064934,123,87.2340425531915
PIK3CA,23,154,14.935064935064934,38,26.95035460992908
FLG,20,154,12.987012987012985,45,31.914893617021278
CSMD3,20,154,12.987012987012985,90,63.829787234042556
FAT3,20,154,12.987012987012985,49,34.751773049645394
PTPRT,19,154,12.337662337662337,125,88.65248226950354
TCF7L2,17,154,11.03896103896104,45,31.914893617021278
NRAS,16,154,10.38961038961039,51,36.17021276595745
NBEA,16,154,10.38961038961039,106,75.177304964539
ATM,15,154,9.740259740259742,54,38.297872340425535
ROBO2,14,154,9.090909090909092,35,24.822695035460992
AMER1,14,154,9.090909090909092,47,33.33333333333333
GRIN2A,14,154,9.090909090909092,41,29.078014184397162
PEG3,14,154,9.090909090909092,44,31.20567375886525
ROBO1,14,154,9.090909090909092,36,25.53191489361702
FAT1,13,154,8.441558441558442,64,45.39007092198582
PCLO,13,154,8.441558441558442,72,51.06382978723404
ZNF521,13,154,8.441558441558442,119,84.39716312056737
FAM135B,12,154,7.792207792207792,91,64.53900709219859
ANK1,12,154,7.792207792207792,78,55.319148936170215
COL6A3,12,154,7.792207792207792,41,29.078014184397162
PI4KA,12,154,7.792207792207792,55,39.00709219858156
ERBB4,12,154,7.792207792207792,41,29.078014184397162
BRCA2,12,154,7.792207792207792,106,75.177304964539
FAT2,11,154,7.142857142857142,57,40.42553191489361
FMN2,11,154,7.142857142857142,50,35.46099290780142
CARD11,11,154,7.142857142857142,90,63.829787234042556
LPA,11,154,7.142857142857142,44,31.20567375886525
BCL9,11,154,7.142857142857142,47,33.33333333333333
ARID1A,11,154,7.142857142857142,63,44.680851063829785
RUNX1T1,11,154,7.142857142857142,86,60.99290780141844
SOX9,11,154,7.142857142857142,46,32.62411347517731
RNF213,11,154,7.142857142857142,46,32.62411347517731
MYH11,11,154,7.142857142857142,42,29.78723404255319
PRKDC,11,154,7.142857142857142,82,58.156028368794324
FBN2,11,154,7.142857142857142,61,43.262411347517734
FAM47C,11,154,7.142857142857142,48,34.04255319148936
RELN,11,154,7.142857142857142,73,51.77304964539007
AKAP9,11,154,7.142857142857142,74,52.4822695035461
ADGRG4,11,154,7.142857142857142,0,0.0
EPHA5,11,154,7.142857142857142,56,39.71631205673759
ASPM,10,154,6.493506493506493,49,34.751773049645394
TET1,10,154,6.493506493506493,36,25.53191489361702
BCL9L,10,154,6.493506493506493,51,36.17021276595745
ADARB2,10,154,6.493506493506493,37,26.24113475177305
NF1,10,154,6.493506493506493,51,36.17021276595745
LRRK2,10,154,6.493506493506493,40,28.368794326241137
PDZD2,10,154,6.493506493506493,52,36.87943262411347
BIRC6,10,154,6.493506493506493,40,28.368794326241137
DCAF12L2,10,154,6.493506493506493,47,33.33333333333333
MKI67,10,154,6.493506493506493,43,30.49645390070922
MAP3K21,10,154,6.493506493506493,0,0.0
MGA,10,154,6.493506493506493,71,50.35460992907801
TAF1L,10,154,6.493506493506493,56,39.71631205673759
PREX2,10,154,6.493506493506493,86,60.99290780141844
PTPRC,10,154,6.493506493506493,50,35.46099290780142
EP400,9,154,5.844155844155844,41,29.078014184397162
ZNF292,9,154,5.844155844155844,45,31.914893617021278
PTPN13,9,154,5.844155844155844,61,43.262411347517734
MAGI2,9,154,5.844155844155844,75,53.191489361702125
