gene,mutation_count,sample_count,mutation_percentage
APC,124,154,80.51948051948052
TP53,110,154,71.42857142857143
KRAS,63,154,40.909090909090914
MUC16,37,154,24.025974025974026
FAT4,28,154,18.181818181818183
LRP1B,27,154,17.532467532467532
FBXW7,26,154,16.883116883116884
SMAD4,23,154,14.935064935064934
PIK3CA,23,154,14.935064935064934
FLG,20,154,12.987012987012985
CSMD3,20,154,12.987012987012985
FAT3,20,154,12.987012987012985
PTPRT,19,154,12.337662337662337
TCF7L2,17,154,11.03896103896104
NRAS,16,154,10.38961038961039
NBEA,16,154,10.38961038961039
ATM,15,154,9.740259740259742
ROBO2,14,154,9.090909090909092
AMER1,14,154,9.090909090909092
GRIN2A,14,154,9.090909090909092
PEG3,14,154,9.090909090909092
ROBO1,14,154,9.090909090909092
FAT1,13,154,8.441558441558442
PCLO,13,154,8.441558441558442
ZNF521,13,154,8.441558441558442
FAM135B,12,154,7.792207792207792
ANK1,12,154,7.792207792207792
COL6A3,12,154,7.792207792207792
PI4KA,12,154,7.792207792207792
ERBB4,12,154,7.792207792207792
BRCA2,12,154,7.792207792207792
FAT2,11,154,7.142857142857142
FMN2,11,154,7.142857142857142
CARD11,11,154,7.142857142857142
LPA,11,154,7.142857142857142
BCL9,11,154,7.142857142857142
ARID1A,11,154,7.142857142857142
RUNX1T1,11,154,7.142857142857142
SOX9,11,154,7.142857142857142
RNF213,11,154,7.142857142857142
MYH11,11,154,7.142857142857142
PRKDC,11,154,7.142857142857142
FBN2,11,154,7.142857142857142
FAM47C,11,154,7.142857142857142
RELN,11,154,7.142857142857142
AKAP9,11,154,7.142857142857142
ADGRG4,11,154,7.142857142857142
EPHA5,11,154,7.142857142857142
ASPM,10,154,6.493506493506493
TET1,10,154,6.493506493506493
BCL9L,10,154,6.493506493506493
ADARB2,10,154,6.493506493506493
NF1,10,154,6.493506493506493
LRRK2,10,154,6.493506493506493
PDZD2,10,154,6.493506493506493
BIRC6,10,154,6.493506493506493
DCAF12L2,10,154,6.493506493506493
MKI67,10,154,6.493506493506493
MAP3K21,10,154,6.493506493506493
MGA,10,154,6.493506493506493
TAF1L,10,154,6.493506493506493
PREX2,10,154,6.493506493506493
PTPRC,10,154,6.493506493506493
EP400,9,154,5.844155844155844
ZNF292,9,154,5.844155844155844
PTPN13,9,154,5.844155844155844
MAGI2,9,154,5.844155844155844
DNMT3B,9,154,5.844155844155844
KDR,9,154,5.844155844155844
PIK3R1,9,154,5.844155844155844
SIN3A,9,154,5.844155844155844
PCBP1,9,154,5.844155844155844
SMARCA1,9,154,5.844155844155844
DPYD,9,154,5.844155844155844
