gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,88,235,37.4468085106383,149,64.5021645021645
ATRX,35,235,14.893617021276595,140,60.60606060606061
MUC16,35,235,14.893617021276595,118,51.082251082251084
RB1,25,235,10.638297872340425,163,70.56277056277057
PCLO,19,235,8.085106382978724,99,42.857142857142854
LRP1B,15,235,6.382978723404255,99,42.857142857142854
FLG,11,235,4.680851063829787,104,45.02164502164502
FAT3,10,235,4.25531914893617,114,49.35064935064935
NF1,10,235,4.25531914893617,103,44.58874458874459
FAM47C,9,235,3.829787234042553,134,58.00865800865801
MGAM,9,235,3.829787234042553,107,46.320346320346324
FAT2,9,235,3.829787234042553,93,40.25974025974026
RELN,8,235,3.404255319148936,99,42.857142857142854
ATM,8,235,3.404255319148936,120,51.94805194805194
TNRC18,8,235,3.404255319148936,106,45.887445887445885
CTNNA2,8,235,3.404255319148936,104,45.02164502164502
DCC,8,235,3.404255319148936,114,49.35064935064935
NOTCH3,8,235,3.404255319148936,110,47.61904761904761
KIAA1549,8,235,3.404255319148936,103,44.58874458874459
PEG3,8,235,3.404255319148936,126,54.54545454545454
FAT1,8,235,3.404255319148936,117,50.649350649350644
PTEN,7,235,2.9787234042553195,135,58.44155844155844
PRKDC,7,235,2.9787234042553195,104,45.02164502164502
CSMD3,7,235,2.9787234042553195,115,49.78354978354979
CTNND2,7,235,2.9787234042553195,132,57.14285714285714
MYH9,7,235,2.9787234042553195,120,51.94805194805194
MKI67,7,235,2.9787234042553195,130,56.27705627705628
KMT2D,7,235,2.9787234042553195,97,41.99134199134199
PIK3CA,7,235,2.9787234042553195,86,37.22943722943723
ZFHX3,6,235,2.553191489361702,141,61.038961038961034
FLT4,6,235,2.553191489361702,100,43.290043290043286
FLNA,6,235,2.553191489361702,139,60.17316017316018
ROBO2,6,235,2.553191489361702,89,38.52813852813853
CACNA1D,6,235,2.553191489361702,98,42.42424242424242
KMT2C,6,235,2.553191489361702,102,44.15584415584416
KSR2,6,235,2.553191489361702,111,48.05194805194805
GRM3,6,235,2.553191489361702,99,42.857142857142854
COL6A6,6,235,2.553191489361702,77,33.33333333333333
APC,6,235,2.553191489361702,103,44.58874458874459
TAF1L,6,235,2.553191489361702,126,54.54545454545454
CHD7,6,235,2.553191489361702,100,43.290043290043286
ADGRG4,6,235,2.553191489361702,0,0.0
FGD5,6,235,2.553191489361702,94,40.692640692640694
RNF213,6,235,2.553191489361702,111,48.05194805194805
RBFOX1,6,235,2.553191489361702,110,47.61904761904761
RANBP2,5,235,2.127659574468085,91,39.39393939393939
FBN2,5,235,2.127659574468085,95,41.125541125541126
NBEA,5,235,2.127659574468085,145,62.77056277056276
MYH11,5,235,2.127659574468085,107,46.320346320346324
PTPRB,5,235,2.127659574468085,114,49.35064935064935
HIRA,5,235,2.127659574468085,127,54.97835497835498
EPHA5,5,235,2.127659574468085,91,39.39393939393939
PTPRS,5,235,2.127659574468085,121,52.38095238095239
TRRAP,5,235,2.127659574468085,99,42.857142857142854
SP140,5,235,2.127659574468085,110,47.61904761904761
PASK,5,235,2.127659574468085,118,51.082251082251084
CAMTA1,5,235,2.127659574468085,124,53.67965367965368
