gene,mutation_count,sample_count,mutation_percentage
TP53,88,235,37.4468085106383
ATRX,35,235,14.893617021276595
MUC16,35,235,14.893617021276595
RB1,25,235,10.638297872340425
PCLO,19,235,8.085106382978724
LRP1B,15,235,6.382978723404255
FLG,11,235,4.680851063829787
FAT3,10,235,4.25531914893617
NF1,10,235,4.25531914893617
FAM47C,9,235,3.829787234042553
MGAM,9,235,3.829787234042553
FAT2,9,235,3.829787234042553
RELN,8,235,3.404255319148936
ATM,8,235,3.404255319148936
TNRC18,8,235,3.404255319148936
CTNNA2,8,235,3.404255319148936
DCC,8,235,3.404255319148936
NOTCH3,8,235,3.404255319148936
KIAA1549,8,235,3.404255319148936
PEG3,8,235,3.404255319148936
FAT1,8,235,3.404255319148936
PTEN,7,235,2.9787234042553195
PRKDC,7,235,2.9787234042553195
CSMD3,7,235,2.9787234042553195
CTNND2,7,235,2.9787234042553195
MYH9,7,235,2.9787234042553195
MKI67,7,235,2.9787234042553195
KMT2D,7,235,2.9787234042553195
PIK3CA,7,235,2.9787234042553195
ZFHX3,6,235,2.553191489361702
FLT4,6,235,2.553191489361702
FLNA,6,235,2.553191489361702
ROBO2,6,235,2.553191489361702
CACNA1D,6,235,2.553191489361702
KMT2C,6,235,2.553191489361702
KSR2,6,235,2.553191489361702
GRM3,6,235,2.553191489361702
COL6A6,6,235,2.553191489361702
APC,6,235,2.553191489361702
TAF1L,6,235,2.553191489361702
CHD7,6,235,2.553191489361702
ADGRG4,6,235,2.553191489361702
FGD5,6,235,2.553191489361702
RNF213,6,235,2.553191489361702
RBFOX1,6,235,2.553191489361702
RANBP2,5,235,2.127659574468085
FBN2,5,235,2.127659574468085
NBEA,5,235,2.127659574468085
MYH11,5,235,2.127659574468085
PTPRB,5,235,2.127659574468085
HIRA,5,235,2.127659574468085
EPHA5,5,235,2.127659574468085
PTPRS,5,235,2.127659574468085
TRRAP,5,235,2.127659574468085
SP140,5,235,2.127659574468085
PASK,5,235,2.127659574468085
CAMTA1,5,235,2.127659574468085
KEL,5,235,2.127659574468085
PRDM2,5,235,2.127659574468085
GRIN2A,5,235,2.127659574468085
PREX2,5,235,2.127659574468085
PIK3C2G,5,235,2.127659574468085
PLEC,5,235,2.127659574468085
USP6,5,235,2.127659574468085
WNK2,5,235,2.127659574468085
ATR,5,235,2.127659574468085
SLIT2,5,235,2.127659574468085
NCOR2,5,235,2.127659574468085
SLIT3,5,235,2.127659574468085
KDM5C,5,235,2.127659574468085
COL6A3,5,235,2.127659574468085
CTNND1,5,235,2.127659574468085
MET,5,235,2.127659574468085
ZNF521,5,235,2.127659574468085
FMN2,5,235,2.127659574468085
CASR,5,235,2.127659574468085
FAM135B,5,235,2.127659574468085
TNC,5,235,2.127659574468085
MAGI2,5,235,2.127659574468085
NOTCH4,4,235,1.702127659574468
MDM2,4,235,1.702127659574468
IRS4,4,235,1.702127659574468
PER1,4,235,1.702127659574468
KDR,4,235,1.702127659574468
PIK3CB,4,235,1.702127659574468
BRCA2,4,235,1.702127659574468
VAV1,4,235,1.702127659574468
PBRM1,4,235,1.702127659574468
PATZ1,4,235,1.702127659574468
NSD2,4,235,1.702127659574468
RTEL1,4,235,1.702127659574468
BCL9,4,235,1.702127659574468
TYK2,4,235,1.702127659574468
KIT,4,235,1.702127659574468
KMT2A,4,235,1.702127659574468
SAMD9,4,235,1.702127659574468
BCORL1,4,235,1.702127659574468
POLE,4,235,1.702127659574468
MST1R,4,235,1.702127659574468
TSC2,4,235,1.702127659574468
RHPN2,4,235,1.702127659574468
