gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
MUC16,340,470,72.3404255319149,148,40.32697547683924
PCLO,236,470,50.212765957446805,219,59.67302452316077
BRAF,236,470,50.212765957446805,242,65.9400544959128
LRP1B,205,470,43.61702127659575,134,36.51226158038147
MGAM,186,470,39.57446808510638,240,65.39509536784742
FAT4,179,470,38.08510638297872,143,38.96457765667575
CSMD3,169,470,35.95744680851064,207,56.403269754768395
FAT3,169,470,35.95744680851064,194,52.86103542234333
PTPRT,166,470,35.319148936170215,193,52.58855585831063
FLG,154,470,32.76595744680851,214,58.31062670299727
GRIN2A,149,470,31.70212765957447,127,34.60490463215259
FAM135B,141,470,30.0,216,58.855585831062676
RELN,131,470,27.872340425531917,227,61.85286103542234
NRAS,127,470,27.02127659574468,167,45.50408719346049
DCC,126,470,26.80851063829787,157,42.77929155313351
CNTNAP2,126,470,26.80851063829787,243,66.21253405994551
ADGRG4,122,470,25.957446808510635,0,0.0
DSP,120,470,25.53191489361702,231,62.94277929155313
PREX2,118,470,25.106382978723403,199,54.223433242506815
PEG3,115,470,24.46808510638298,139,37.87465940054496
PTPRB,113,470,24.04255319148936,118,32.15258855585831
CASR,111,470,23.617021276595747,125,34.05994550408719
MECOM,108,470,22.97872340425532,132,35.967302452316076
ROS1,108,470,22.97872340425532,236,64.30517711171662
PRUNE2,107,470,22.76595744680851,204,55.5858310626703
COL6A3,105,470,22.340425531914892,145,39.509536784741144
PTPRD,104,470,22.127659574468083,274,74.65940054495913
FMN2,101,470,21.48936170212766,218,59.40054495912806
SNCAIP,101,470,21.48936170212766,161,43.869209809264305
ANK1,100,470,21.27659574468085,182,49.59128065395095
COL3A1,100,470,21.27659574468085,130,35.42234332425068
SLIT2,98,470,20.851063829787233,139,37.87465940054496
ERBB4,97,470,20.638297872340424,137,37.32970027247956
TP63,94,470,20.0,132,35.967302452316076
PAK5,94,470,20.0,0,0.0
GRM3,93,470,19.78723404255319,221,60.217983651226156
SLIT3,92,470,19.574468085106382,163,44.4141689373297
DPYD,92,470,19.574468085106382,165,44.95912806539509
LPA,89,470,18.93617021276596,241,65.66757493188011
TAF1L,87,470,18.51063829787234,256,69.75476839237056
