gene,mutation_count,sample_count,mutation_percentage
MUC16,340,470,72.3404255319149
PCLO,236,470,50.212765957446805
BRAF,236,470,50.212765957446805
LRP1B,205,470,43.61702127659575
MGAM,186,470,39.57446808510638
FAT4,179,470,38.08510638297872
CSMD3,169,470,35.95744680851064
FAT3,169,470,35.95744680851064
PTPRT,166,470,35.319148936170215
FLG,154,470,32.76595744680851
GRIN2A,149,470,31.70212765957447
FAM135B,141,470,30.0
RELN,131,470,27.872340425531917
NRAS,127,470,27.02127659574468
DCC,126,470,26.80851063829787
CNTNAP2,126,470,26.80851063829787
ADGRG4,122,470,25.957446808510635
DSP,120,470,25.53191489361702
PREX2,118,470,25.106382978723403
PEG3,115,470,24.46808510638298
PTPRB,113,470,24.04255319148936
CASR,111,470,23.617021276595747
MECOM,108,470,22.97872340425532
ROS1,108,470,22.97872340425532
PRUNE2,107,470,22.76595744680851
COL6A3,105,470,22.340425531914892
PTPRD,104,470,22.127659574468083
FMN2,101,470,21.48936170212766
SNCAIP,101,470,21.48936170212766
ANK1,100,470,21.27659574468085
COL3A1,100,470,21.27659574468085
SLIT2,98,470,20.851063829787233
ERBB4,97,470,20.638297872340424
TP63,94,470,20.0
PAK5,94,470,20.0
GRM3,93,470,19.78723404255319
SLIT3,92,470,19.574468085106382
DPYD,92,470,19.574468085106382
LPA,89,470,18.93617021276596
TAF1L,87,470,18.51063829787234
FAM47C,87,470,18.51063829787234
SAMD9L,87,470,18.51063829787234
KMT2D,86,470,18.29787234042553
TRRAP,86,470,18.29787234042553
CTNND2,84,470,17.872340425531917
PTPRK,83,470,17.659574468085108
KEL,83,470,17.659574468085108
COL6A6,82,470,17.4468085106383
ZNF208,81,470,17.23404255319149
NOTCH4,80,470,17.02127659574468
NBEA,80,470,17.02127659574468
PDZD2,79,470,16.80851063829787
MUC4,79,470,16.80851063829787
KDR,78,470,16.595744680851062
NF1,75,470,15.957446808510639
SAMD9,75,470,15.957446808510639
KSR2,74,470,15.74468085106383
ZFHX3,72,470,15.319148936170212
ROBO2,72,470,15.319148936170212
PIK3C2G,71,470,15.106382978723405
EPHA7,71,470,15.106382978723405
FBN2,70,470,14.893617021276595
CDH10,70,470,14.893617021276595
NRK,69,470,14.680851063829786
FAT2,69,470,14.680851063829786
TP53,68,470,14.468085106382977
PLEC,68,470,14.468085106382977
ARID2,67,470,14.255319148936172
IL7R,66,470,14.042553191489363
SP140,65,470,13.829787234042554
NACA,64,470,13.617021276595745
MYH11,64,470,13.617021276595745
RGS7,64,470,13.617021276595745
KMT2C,64,470,13.617021276595745
COL2A1,64,470,13.617021276595745
SETBP1,63,470,13.404255319148936
SZT2,63,470,13.404255319148936
KMT2A,63,470,13.404255319148936
PTPRC,63,470,13.404255319148936
FAT1,62,470,13.191489361702127
CARD11,62,470,13.191489361702127
