gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,199,434,45.852534562211986,193,44.988344988344984
MUC16,166,434,38.24884792626728,179,41.72494172494173
LRP1B,127,434,29.262672811059907,128,29.836829836829835
CSMD3,123,434,28.341013824884794,292,68.06526806526807
ARID1A,117,434,26.95852534562212,160,37.2960372960373
FAT4,110,434,25.34562211981567,186,43.35664335664335
FLG,99,434,22.811059907834103,162,37.76223776223776
PCLO,91,434,20.967741935483872,215,50.116550116550115
FAT3,91,434,20.967741935483872,147,34.26573426573427
PLEC,78,434,17.972350230414747,297,69.23076923076923
ACVR2A,77,434,17.741935483870968,115,26.806526806526808
FAT2,73,434,16.82027649769585,158,36.82983682983683
KMT2D,70,434,16.129032258064516,133,31.002331002331
PIK3CA,68,434,15.668202764976957,190,44.28904428904429
LRRK2,67,434,15.43778801843318,149,34.731934731934736
KMT2C,66,434,15.207373271889402,224,52.21445221445221
PREX2,66,434,15.207373271889402,275,64.1025641025641
TRRAP,63,434,14.516129032258066,224,52.21445221445221
PTPRT,62,434,14.285714285714285,280,65.26806526806527
UBR5,61,434,14.055299539170507,285,66.43356643356644
NIPBL,61,434,14.055299539170507,176,41.02564102564102
NBEA,59,434,13.594470046082948,205,47.785547785547784
COL6A3,57,434,13.13364055299539,119,27.73892773892774
RPL22,56,434,12.903225806451612,157,36.5967365967366
RNF213,56,434,12.903225806451612,163,37.995337995338
MUC6,55,434,12.672811059907835,145,33.7995337995338
RELN,55,434,12.672811059907835,225,52.44755244755245
RNF43,55,434,12.672811059907835,154,35.8974358974359
ERBB4,54,434,12.442396313364055,124,28.904428904428904
APC,54,434,12.442396313364055,184,42.89044289044289
KMT2B,54,434,12.442396313364055,165,38.46153846153847
ZFHX3,53,434,12.211981566820276,173,40.32634032634033
ZBTB20,52,434,11.981566820276496,161,37.52913752913753
SPEN,51,434,11.751152073732719,148,34.4988344988345
PRKDC,51,434,11.751152073732719,269,62.7039627039627
PDZD2,50,434,11.52073732718894,170,39.62703962703963
ROBO2,50,434,11.52073732718894,162,37.76223776223776
AKAP9,49,434,11.29032258064516,223,51.981351981351985
FAT1,48,434,11.059907834101383,211,49.184149184149184
ANKRD11,48,434,11.059907834101383,175,40.79254079254079
DCC,47,434,10.829493087557603,240,55.94405594405595
ATM,47,434,10.829493087557603,158,36.82983682983683
SEC31A,47,434,10.829493087557603,196,45.68764568764569
REV3L,47,434,10.829493087557603,148,34.4988344988345
PTPRD,46,434,10.599078341013826,268,62.47086247086248
