gene,mutation_count,sample_count,mutation_percentage
TP53,199,434,45.852534562211986
MUC16,166,434,38.24884792626728
LRP1B,127,434,29.262672811059907
CSMD3,123,434,28.341013824884794
ARID1A,117,434,26.95852534562212
FAT4,110,434,25.34562211981567
FLG,99,434,22.811059907834103
PCLO,91,434,20.967741935483872
FAT3,91,434,20.967741935483872
PLEC,78,434,17.972350230414747
ACVR2A,77,434,17.741935483870968
FAT2,73,434,16.82027649769585
KMT2D,70,434,16.129032258064516
PIK3CA,68,434,15.668202764976957
LRRK2,67,434,15.43778801843318
KMT2C,66,434,15.207373271889402
PREX2,66,434,15.207373271889402
TRRAP,63,434,14.516129032258066
PTPRT,62,434,14.285714285714285
UBR5,61,434,14.055299539170507
NIPBL,61,434,14.055299539170507
NBEA,59,434,13.594470046082948
COL6A3,57,434,13.13364055299539
RPL22,56,434,12.903225806451612
RNF213,56,434,12.903225806451612
MUC6,55,434,12.672811059907835
RELN,55,434,12.672811059907835
RNF43,55,434,12.672811059907835
ERBB4,54,434,12.442396313364055
APC,54,434,12.442396313364055
KMT2B,54,434,12.442396313364055
ZFHX3,53,434,12.211981566820276
ZBTB20,52,434,11.981566820276496
SPEN,51,434,11.751152073732719
PRKDC,51,434,11.751152073732719
PDZD2,50,434,11.52073732718894
ROBO2,50,434,11.52073732718894
AKAP9,49,434,11.29032258064516
FAT1,48,434,11.059907834101383
ANKRD11,48,434,11.059907834101383
DCC,47,434,10.829493087557603
ATM,47,434,10.829493087557603
SEC31A,47,434,10.829493087557603
REV3L,47,434,10.829493087557603
PTPRD,46,434,10.599078341013826
KMT2A,46,434,10.599078341013826
CNTNAP2,46,434,10.599078341013826
CREBBP,46,434,10.599078341013826
CTNND2,45,434,10.368663594470046
CHD7,45,434,10.368663594470046
BIRC6,44,434,10.138248847926267
ASPM,44,434,10.138248847926267
FAM135B,44,434,10.138248847926267
CDH1,43,434,9.90783410138249
ERBB3,43,434,9.90783410138249
PEG3,43,434,9.90783410138249
MBD6,43,434,9.90783410138249
FMN2,43,434,9.90783410138249
FLNA,42,434,9.67741935483871
TAF1L,42,434,9.67741935483871
FBN2,42,434,9.67741935483871
EP400,42,434,9.67741935483871
BRCA2,42,434,9.67741935483871
SETBP1,42,434,9.67741935483871
ZNF521,41,434,9.44700460829493
MGA,41,434,9.44700460829493
CHD4,41,434,9.44700460829493
EPHA5,41,434,9.44700460829493
HSPG2,40,434,9.216589861751153
CDH10,40,434,9.216589861751153
SLIT2,40,434,9.216589861751153
KRAS,39,434,8.986175115207374
GRIN2A,39,434,8.986175115207374
FBXW7,39,434,8.986175115207374
ANK1,39,434,8.986175115207374
KAT6A,39,434,8.986175115207374
SAMD9L,38,434,8.755760368663594
IRS1,38,434,8.755760368663594
MSH3,38,434,8.755760368663594
NCOR2,38,434,8.755760368663594
POLQ,38,434,8.755760368663594
NF1,38,434,8.755760368663594
RANBP2,38,434,8.755760368663594
ADGRG4,38,434,8.755760368663594
MKI67,38,434,8.755760368663594
PTPRS,38,434,8.755760368663594
SPECC1,37,434,8.525345622119817
JARID2,37,434,8.525345622119817
PRUNE2,37,434,8.525345622119817
ARID2,37,434,8.525345622119817
COL6A6,36,434,8.294930875576037
NOTCH1,36,434,8.294930875576037
NCOR1,36,434,8.294930875576037
ROBO1,36,434,8.294930875576037
BCOR,36,434,8.294930875576037
CDH11,36,434,8.294930875576037
CTNNA2,36,434,8.294930875576037
ZNF292,35,434,8.064516129032258
PTEN,35,434,8.064516129032258
NRG1,35,434,8.064516129032258
CACNA1D,35,434,8.064516129032258
CASZ1,35,434,8.064516129032258
DCAF12L2,35,434,8.064516129032258
LARP4B,34,434,7.834101382488479
CUX1,34,434,7.834101382488479
MAGI2,34,434,7.834101382488479
EPHA2,34,434,7.834101382488479
TNC,34,434,7.834101382488479
IRS4,34,434,7.834101382488479
MYH11,34,434,7.834101382488479
CIC,33,434,7.603686635944701
PTCH1,33,434,7.603686635944701
ATR,33,434,7.603686635944701
NOTCH4,33,434,7.603686635944701
FAM47C,33,434,7.603686635944701
ZNF208,33,434,7.603686635944701
POLE,33,434,7.603686635944701
PTPN13,33,434,7.603686635944701
KDM5A,33,434,7.603686635944701
MTOR,33,434,7.603686635944701
CARD11,33,434,7.603686635944701
CAMTA1,33,434,7.603686635944701
EPHB1,32,434,7.373271889400922
SMAD4,32,434,7.373271889400922
FLT4,32,434,7.373271889400922
