gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
KIT,19,125,15.2,84,67.74193548387096
KRAS,14,125,11.200000000000001,121,97.58064516129032
NRAS,5,125,4.0,53,42.74193548387097
TET1,4,125,3.2,68,54.83870967741935
PCLO,4,125,3.2,104,83.87096774193549
BIRC6,4,125,3.2,51,41.12903225806452
ZNF217,3,125,2.4,47,37.903225806451616
PIK3CA,3,125,2.4,56,45.16129032258064
FAT4,3,125,2.4,93,75.0
NF1,3,125,2.4,55,44.354838709677416
H3C3,3,125,2.4,0,0.0
CCNB3,2,125,1.6,39,31.451612903225808
KDM3B,2,125,1.6,84,67.74193548387096
ANKRD11,2,125,1.6,70,56.451612903225815
PRKDC,2,125,1.6,106,85.48387096774194
NOTCH3,2,125,1.6,69,55.64516129032258
DNMT1,2,125,1.6,71,57.25806451612904
LPA,2,125,1.6,36,29.03225806451613
FLG,2,125,1.6,61,49.193548387096776
CNOT3,2,125,1.6,67,54.03225806451613
LRRK2,2,125,1.6,83,66.93548387096774
REV3L,2,125,1.6,34,27.419354838709676
NIPBL,2,125,1.6,91,73.38709677419355
TCF3,2,125,1.6,70,56.451612903225815
CTNND1,2,125,1.6,97,78.2258064516129
TP63,2,125,1.6,57,45.96774193548387
PLXNC1,2,125,1.6,72,58.06451612903226
RPL5,2,125,1.6,56,45.16129032258064
SPEN,2,125,1.6,45,36.29032258064516
SALL4,2,125,1.6,47,37.903225806451616
KNL1,2,125,1.6,0,0.0
KMT2C,2,125,1.6,93,75.0
FOXA1,2,125,1.6,57,45.96774193548387
FAT3,2,125,1.6,103,83.06451612903226
NSD1,2,125,1.6,82,66.12903225806451
DNM2,2,125,1.6,71,57.25806451612904
LRP1B,2,125,1.6,46,37.096774193548384
MUC16,2,125,1.6,71,57.25806451612904
KMT2B,2,125,1.6,67,54.03225806451613
TAF1,2,125,1.6,38,30.64516129032258
FANCM,2,125,1.6,59,47.58064516129033
CUL4A,2,125,1.6,94,75.80645161290323
EPHB4,2,125,1.6,99,79.83870967741935
CREBBP,2,125,1.6,55,44.354838709677416
RAC1,2,125,1.6,108,87.09677419354838
RNF213,2,125,1.6,56,45.16129032258064
ATIC,2,125,1.6,43,34.67741935483871
ATR,1,125,0.8,49,39.516129032258064
MAGED1,1,125,0.8,39,31.451612903225808
MAGI2,1,125,0.8,103,83.06451612903226
ASXL1,1,125,0.8,47,37.903225806451616
KLF3,1,125,0.8,80,64.51612903225806
ARHGAP35,1,125,0.8,68,54.83870967741935
ANK1,1,125,0.8,103,83.06451612903226
BRIP1,1,125,0.8,56,45.16129032258064
SETD1A,1,125,0.8,54,43.54838709677419
SETD3,1,125,0.8,63,50.806451612903224
SETD5,1,125,0.8,57,45.96774193548387
SMARCA1,1,125,0.8,37,29.838709677419356
SOCS3,1,125,0.8,56,45.16129032258064
APEX1,1,125,0.8,58,46.774193548387096
APH1A,1,125,0.8,61,49.193548387096776
DPYD,1,125,0.8,57,45.96774193548387
ATRIP,1,125,0.8,52,41.935483870967744
CSF1,1,125,0.8,55,44.354838709677416
CYP17A1,1,125,0.8,63,50.806451612903224
ERCC1,1,125,0.8,68,54.83870967741935
MKI67,1,125,0.8,67,54.03225806451613
PTPRO,1,125,0.8,121,97.58064516129032
MERTK,1,125,0.8,43,34.67741935483871
CAD,1,125,0.8,53,42.74193548387097
ARID5A,1,125,0.8,41,33.064516129032256
ARID4A,1,125,0.8,59,47.58064516129033
ARID4B,1,125,0.8,64,51.61290322580645
ADGRA2,1,125,0.8,0,0.0
XIAP,1,125,0.8,36,29.03225806451613
TYK2,1,125,0.8,71,57.25806451612904
SMC3,1,125,0.8,67,54.03225806451613
LTK,1,125,0.8,73,58.87096774193549
MAP3K7,1,125,0.8,34,27.419354838709676
H1-5,1,125,0.8,0,0.0
FRS2,1,125,0.8,83,66.93548387096774
CBL,1,125,0.8,103,83.06451612903226
ETAA1,1,125,0.8,47,37.903225806451616
CASP8,1,125,0.8,45,36.29032258064516
PIK3C2B,1,125,0.8,64,51.61290322580645
H3C8,1,125,0.8,0,0.0
ICOSLG,1,125,0.8,106,85.48387096774194
JARID2,1,125,0.8,41,33.064516129032256
NCOA3,1,125,0.8,47,37.903225806451616
PDPK1,1,125,0.8,55,44.354838709677416
ASPM,1,125,0.8,62,50.0
ATM,1,125,0.8,104,83.87096774193549
ATP1A1,1,125,0.8,53,42.74193548387097
ARID1A,1,125,0.8,43,34.67741935483871
INPP5D,1,125,0.8,40,32.25806451612903
HOXA3,1,125,0.8,109,87.90322580645162
IFNAR1,1,125,0.8,106,85.48387096774194
H3C15,1,125,0.8,0,0.0
BAP1,1,125,0.8,50,40.32258064516129
ARNT,1,125,0.8,61,49.193548387096776
