gene,mutation_count,sample_count,mutation_percentage
KIT,19,125,15.2
KRAS,14,125,11.200000000000001
NRAS,5,125,4.0
TET1,4,125,3.2
PCLO,4,125,3.2
BIRC6,4,125,3.2
ZNF217,3,125,2.4
PIK3CA,3,125,2.4
FAT4,3,125,2.4
NF1,3,125,2.4
H3C3,3,125,2.4
CCNB3,2,125,1.6
KDM3B,2,125,1.6
ANKRD11,2,125,1.6
PRKDC,2,125,1.6
NOTCH3,2,125,1.6
DNMT1,2,125,1.6
LPA,2,125,1.6
FLG,2,125,1.6
CNOT3,2,125,1.6
LRRK2,2,125,1.6
REV3L,2,125,1.6
NIPBL,2,125,1.6
TCF3,2,125,1.6
CTNND1,2,125,1.6
TP63,2,125,1.6
PLXNC1,2,125,1.6
RPL5,2,125,1.6
SPEN,2,125,1.6
SALL4,2,125,1.6
KNL1,2,125,1.6
KMT2C,2,125,1.6
FOXA1,2,125,1.6
FAT3,2,125,1.6
NSD1,2,125,1.6
DNM2,2,125,1.6
LRP1B,2,125,1.6
MUC16,2,125,1.6
KMT2B,2,125,1.6
TAF1,2,125,1.6
FANCM,2,125,1.6
CUL4A,2,125,1.6
EPHB4,2,125,1.6
CREBBP,2,125,1.6
RAC1,2,125,1.6
RNF213,2,125,1.6
ATIC,2,125,1.6
ATR,1,125,0.8
MAGED1,1,125,0.8
MAGI2,1,125,0.8
ASXL1,1,125,0.8
KLF3,1,125,0.8
ARHGAP35,1,125,0.8
ANK1,1,125,0.8
BRIP1,1,125,0.8
SETD1A,1,125,0.8
SETD3,1,125,0.8
SETD5,1,125,0.8
SMARCA1,1,125,0.8
SOCS3,1,125,0.8
APEX1,1,125,0.8
APH1A,1,125,0.8
DPYD,1,125,0.8
ATRIP,1,125,0.8
CSF1,1,125,0.8
CYP17A1,1,125,0.8
ERCC1,1,125,0.8
MKI67,1,125,0.8
PTPRO,1,125,0.8
MERTK,1,125,0.8
CAD,1,125,0.8
ARID5A,1,125,0.8
ARID4A,1,125,0.8
ARID4B,1,125,0.8
ADGRA2,1,125,0.8
XIAP,1,125,0.8
TYK2,1,125,0.8
SMC3,1,125,0.8
LTK,1,125,0.8
MAP3K7,1,125,0.8
H1-5,1,125,0.8
FRS2,1,125,0.8
CBL,1,125,0.8
ETAA1,1,125,0.8
CASP8,1,125,0.8
PIK3C2B,1,125,0.8
H3C8,1,125,0.8
ICOSLG,1,125,0.8
JARID2,1,125,0.8
NCOA3,1,125,0.8
PDPK1,1,125,0.8
ASPM,1,125,0.8
ATM,1,125,0.8
ATP1A1,1,125,0.8
ARID1A,1,125,0.8
INPP5D,1,125,0.8
HOXA3,1,125,0.8
IFNAR1,1,125,0.8
H3C15,1,125,0.8
BAP1,1,125,0.8
ARNT,1,125,0.8
ASXL2,1,125,0.8
FOLR1,1,125,0.8
GRB7,1,125,0.8
DHX15,1,125,0.8
SEPTIN6,1,125,0.8
SLIT3,1,125,0.8
PRSS1,1,125,0.8
PHLPP1,1,125,0.8
SLC1A2,1,125,0.8
PAK3,1,125,0.8
MYO18A,1,125,0.8
MAP3K6,1,125,0.8
MLH3,1,125,0.8
PTK7,1,125,0.8
STAT1,1,125,0.8
TACSTD2,1,125,0.8
SZT2,1,125,0.8
CLTC,1,125,0.8
CNBD1,1,125,0.8
CNBP,1,125,0.8
TGIF1,1,125,0.8
DIS3,1,125,0.8
PER3,1,125,0.8
RBM39,1,125,0.8
CD58,1,125,0.8
ABCC4,1,125,0.8
HDAC4,1,125,0.8
IRAK1,1,125,0.8
FGD1,1,125,0.8
SMARCA2,1,125,0.8
CEBPA,1,125,0.8
CDK12,1,125,0.8
FMN2,1,125,0.8
EIF4E,1,125,0.8
EPHA5,1,125,0.8
DCUN1D1,1,125,0.8
ARID5B,1,125,0.8
CHRDL1,1,125,0.8
CCAR1,1,125,0.8
IRS2,1,125,0.8
ALOX12B,1,125,0.8
SHOC2,1,125,0.8
PIK3CD,1,125,0.8
PGR,1,125,0.8
ZMYM2,1,125,0.8
ZMYM3,1,125,0.8
ZNF429,1,125,0.8
MED23,1,125,0.8
POU2F2,1,125,0.8
CTNNA2,1,125,0.8
DCC,1,125,0.8
TFRC,1,125,0.8
TOP1,1,125,0.8
TPR,1,125,0.8
TP53,1,125,0.8
UBR5,1,125,0.8
TRAF7,1,125,0.8
SFPQ,1,125,0.8
SMARCB1,1,125,0.8
SOS1,1,125,0.8
SBDS,1,125,0.8
RRAS2,1,125,0.8
RSPO2,1,125,0.8
STAT3,1,125,0.8
CSMD3,1,125,0.8
DICER1,1,125,0.8
DNMT3A,1,125,0.8
DDX3X,1,125,0.8
ZFHX3,1,125,0.8
WNK2,1,125,0.8
USP6,1,125,0.8
XPO1,1,125,0.8
WRN,1,125,0.8
SP140,1,125,0.8
TAF1L,1,125,0.8
MGA,1,125,0.8
CADM2,1,125,0.8
CRNKL1,1,125,0.8
COL3A1,1,125,0.8
CIC,1,125,0.8
CLP1,1,125,0.8
PPM1D,1,125,0.8
EGFR,1,125,0.8
ELN,1,125,0.8
EP300,1,125,0.8
EPHA3,1,125,0.8
PSIP1,1,125,0.8
PTCH1,1,125,0.8
RABEP1,1,125,0.8
RAD21,1,125,0.8
RANBP2,1,125,0.8
RAP1B,1,125,0.8
DCTN1,1,125,0.8
DDX6,1,125,0.8
NUTM2B,1,125,0.8
NUMA1,1,125,0.8
PMS2,1,125,0.8
NFKB2,1,125,0.8
ERBB2,1,125,0.8
ERC1,1,125,0.8
NOTCH1,1,125,0.8
MYO5A,1,125,0.8
NFATC2,1,125,0.8
NCOR1,1,125,0.8
NCOA4,1,125,0.8
MUC6,1,125,0.8
MYCN,1,125,0.8
NTHL1,1,125,0.8
NOTCH2,1,125,0.8
PBRM1,1,125,0.8
PALB2,1,125,0.8
PLEC,1,125,0.8
PIK3CB,1,125,0.8
LARP4B,1,125,0.8
FANCD2,1,125,0.8
MSH6,1,125,0.8
MLLT3,1,125,0.8
MUC4,1,125,0.8
MYH9,1,125,0.8
KDM5A,1,125,0.8
JAK3,1,125,0.8
IRF4,1,125,0.8
JAK2,1,125,0.8
HSP90AB1,1,125,0.8
IGF2BP2,1,125,0.8
HSP90AA1,1,125,0.8
FAT1,1,125,0.8
HOXC11,1,125,0.8
KIF5B,1,125,0.8
HOOK3,1,125,0.8
GTF2I,1,125,0.8
GNAS,1,125,0.8
GPC5,1,125,0.8
GNAQ,1,125,0.8
GATA3,1,125,0.8
FUS,1,125,0.8
FLNA,1,125,0.8
USP1,1,125,0.8
TYRO3,1,125,0.8
TUSC3,1,125,0.8
AKAP9,1,125,0.8
AFF4,1,125,0.8
AFDN,1,125,0.8
ACVR2A,1,125,0.8
ACSL6,1,125,0.8
STAT2,0,125,0.0
SRP72,0,125,0.0
SQSTM1,0,125,0.0
ARHGEF12,0,125,0.0
ARHGEF10L,0,125,0.0
ARHGEF10,0,125,0.0
ARHGAP5,0,125,0.0
ARHGAP26,0,125,0.0
ARAF,0,125,0.0
AR,0,125,0.0
APOBEC3B,0,125,0.0
APC,0,125,0.0
AMER1,0,125,0.0
ALK,0,125,0.0
ALDH2,0,125,0.0
AKT3,0,125,0.0
FLT4,0,125,0.0
FLT3,0,125,0.0
FLI1,0,125,0.0
FLCN,0,125,0.0
FKBP9,0,125,0.0
FIP1L1,0,125,0.0
FHIT,0,125,0.0
FH,0,125,0.0
XRCC1,0,125,0.0
WWP1,0,125,0.0
WEE1,0,125,0.0
WDR90,0,125,0.0
UCHL1,0,125,0.0
UBTF,0,125,0.0
UBA1,0,125,0.0
TTL,0,125,0.0
GOLGA5,0,125,0.0
GNA11,0,125,0.0
GMPS,0,125,0.0
GLI1,0,125,0.0
GATA2,0,125,0.0
GATA1,0,125,0.0
GAS7,0,125,0.0
FUBP1,0,125,0.0
FSTL3,0,125,0.0
FOXR1,0,125,0.0
FOXP1,0,125,0.0
FOXO4,0,125,0.0
FOXO3,0,125,0.0
FOXO1,0,125,0.0
FOXL2,0,125,0.0
FNBP1,0,125,0.0
HIST1H4I,0,125,0.0
HIST1H3B,0,125,0.0
HIP1,0,125,0.0
HIF1A,0,125,0.0
HGF,0,125,0.0
HEY1,0,125,0.0
HERPUD1,0,125,0.0
H3F3B,0,125,0.0
H3F3A,0,125,0.0
GSK3B,0,125,0.0
GRM3,0,125,0.0
GRIN2A,0,125,0.0
GPHN,0,125,0.0
GPC3,0,125,0.0
GOPC,0,125,0.0
GOLPH3,0,125,0.0
FBXO11,0,125,0.0
FBLN2,0,125,0.0
HRAS,0,125,0.0
HOXD13,0,125,0.0
HOXD11,0,125,0.0
HOXC13,0,125,0.0
HOXA9,0,125,0.0
HOXA13,0,125,0.0
HOXA11,0,125,0.0
HNRNPA2B1,0,125,0.0
HNF1A,0,125,0.0
HMGN2P46,0,125,0.0
HMGA2,0,125,0.0
HMGA1,0,125,0.0
HLF,0,125,0.0
HLA-A,0,125,0.0
IGK,0,125,0.0
IGH,0,125,0.0
IDH2,0,125,0.0
IDH1,0,125,0.0
ID3,0,125,0.0
FGFR4,0,125,0.0
FGFR3,0,125,0.0
FGFR2,0,125,0.0
FGFR1OP,0,125,0.0
FGFR1,0,125,0.0
FEV,0,125,0.0
FES,0,125,0.0
FEN1,0,125,0.0
FCRL4,0,125,0.0
FCGR2B,0,125,0.0
FBXW7,0,125,0.0
KAT6A,0,125,0.0
JUN,0,125,0.0
JAZF1,0,125,0.0
JAK1,0,125,0.0
ITK,0,125,0.0
ITGAV,0,125,0.0
ISX,0,125,0.0
IRS4,0,125,0.0
IL7R,0,125,0.0
IL6ST,0,125,0.0
IL21R,0,125,0.0
IL2,0,125,0.0
IKZF3,0,125,0.0
IKZF1,0,125,0.0
IKBKB,0,125,0.0
IGL,0,125,0.0
KTN1,0,125,0.0
KNSTRN,0,125,0.0
KMT2D,0,125,0.0
KMT2A,0,125,0.0
KLK2,0,125,0.0
KLF6,0,125,0.0
KLF4,0,125,0.0
KIAA1549,0,125,0.0
KEAP1,0,125,0.0
KDSR,0,125,0.0
KDR,0,125,0.0
KDM6A,0,125,0.0
KDM5C,0,125,0.0
KCNJ5,0,125,0.0
KAT7,0,125,0.0
KAT6B,0,125,0.0
LYL1,0,125,0.0
LSM14A,0,125,0.0
LRIG3,0,125,0.0
LPP,0,125,0.0
LMO2,0,125,0.0
LMO1,0,125,0.0
LMNA,0,125,0.0
LIFR,0,125,0.0
LHFPL6,0,125,0.0
LEPROTL1,0,125,0.0
LEF1,0,125,0.0
LCP1,0,125,0.0
LCK,0,125,0.0
LATS2,0,125,0.0
LATS1,0,125,0.0
LASP1,0,125,0.0
MB21D2,0,125,0.0
MAX,0,125,0.0
MAPK1,0,125,0.0
MAP3K13,0,125,0.0
MAP3K1,0,125,0.0
MAP2K4,0,125,0.0
MAP2K2,0,125,0.0
MAP2K1,0,125,0.0
MAML2,0,125,0.0
MALT1,0,125,0.0
MALAT1,0,125,0.0
MAFB,0,125,0.0
MAF,0,125,0.0
MACC1,0,125,0.0
LZTR1,0,125,0.0
LYN,0,125,0.0
EXT2,0,125,0.0
EXT1,0,125,0.0
EWSR1,0,125,0.0
MLLT10,0,125,0.0
MLLT1,0,125,0.0
MLH1,0,125,0.0
MLF1,0,125,0.0
MITF,0,125,0.0
MGMT,0,125,0.0
MET,0,125,0.0
MEN1,0,125,0.0
MED12,0,125,0.0
MECOM,0,125,0.0
MDS2,0,125,0.0
MDM4,0,125,0.0
MDM2,0,125,0.0
MNX1,0,125,0.0
MN1,0,125,0.0
MLLT6,0,125,0.0
MLLT11,0,125,0.0
FAS,0,125,0.0
FANCG,0,125,0.0
FANCF,0,125,0.0
FANCE,0,125,0.0
FANCC,0,125,0.0
FANCA,0,125,0.0
FAM47C,0,125,0.0
FAM135B,0,125,0.0
FAM131B,0,125,0.0
FADD,0,125,0.0
EZR,0,125,0.0
EZH2,0,125,0.0
N4BP2,0,125,0.0
MYOD1,0,125,0.0
MYH11,0,125,0.0
MYD88,0,125,0.0
MYCL,0,125,0.0
MYC,0,125,0.0
MYB,0,125,0.0
MUTYH,0,125,0.0
MUC1,0,125,0.0
MTOR,0,125,0.0
MTCP1,0,125,0.0
MSN,0,125,0.0
MSI2,0,125,0.0
MSH2,0,125,0.0
MRTFA,0,125,0.0
MPL,0,125,0.0
EPS15,0,125,0.0
NKX2-1,0,125,0.0
NIN,0,125,0.0
NFKBIE,0,125,0.0
NFIB,0,125,0.0
NFE2L2,0,125,0.0
NF2,0,125,0.0
NDRG1,0,125,0.0
NCOR2,0,125,0.0
NCOA2,0,125,0.0
NCOA1,0,125,0.0
NCKIPSD,0,125,0.0
NBN,0,125,0.0
NBEA,0,125,0.0
NACA,0,125,0.0
NAB2,0,125,0.0
NR2F2,0,125,0.0
NPM1,0,125,0.0
NONO,0,125,0.0
ETV6,0,125,0.0
ETV5,0,125,0.0
ETV4,0,125,0.0
ETV1,0,125,0.0
ETNK1,0,125,0.0
ESR1,0,125,0.0
ERG,0,125,0.0
ERCC5,0,125,0.0
ERCC4,0,125,0.0
ERCC3,0,125,0.0
ERCC2,0,125,0.0
ERBB4,0,125,0.0
