gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
BRAF,287,490,58.57142857142858,24,5.0
NRAS,39,490,7.959183673469387,7,1.4583333333333333
HRAS,17,490,3.4693877551020407,13,2.7083333333333335
MUC16,12,490,2.4489795918367347,12,2.5
ZFHX3,9,490,1.8367346938775513,17,3.5416666666666665
KMT2A,7,490,1.4285714285714286,12,2.5
USP9X,7,490,1.4285714285714286,11,2.2916666666666665
EIF1AX,7,490,1.4285714285714286,11,2.2916666666666665
CASZ1,5,490,1.0204081632653061,6,1.25
PDZD2,5,490,1.0204081632653061,20,4.166666666666666
ATM,5,490,1.0204081632653061,12,2.5
AKT1,5,490,1.0204081632653061,13,2.7083333333333335
KMT2C,4,490,0.8163265306122449,19,3.958333333333333
KRAS,4,490,0.8163265306122449,13,2.7083333333333335
CSMD3,4,490,0.8163265306122449,11,2.2916666666666665
ARID2,4,490,0.8163265306122449,13,2.7083333333333335
CHEK2,4,490,0.8163265306122449,87,18.125
PPM1D,4,490,0.8163265306122449,20,4.166666666666666
CUX1,4,490,0.8163265306122449,19,3.958333333333333
IRS1,4,490,0.8163265306122449,12,2.5
PLEC,4,490,0.8163265306122449,12,2.5
WNK2,4,490,0.8163265306122449,29,6.041666666666667
PC,3,490,0.6122448979591837,11,2.2916666666666665
DICER1,3,490,0.6122448979591837,12,2.5
ABL2,3,490,0.6122448979591837,28,5.833333333333333
NIPBL,3,490,0.6122448979591837,19,3.958333333333333
NSD1,3,490,0.6122448979591837,16,3.3333333333333335
MSI1,3,490,0.6122448979591837,14,2.9166666666666665
LRRK2,3,490,0.6122448979591837,13,2.7083333333333335
KMT2D,3,490,0.6122448979591837,14,2.9166666666666665
TP53BP1,3,490,0.6122448979591837,8,1.6666666666666667
DNMT3A,3,490,0.6122448979591837,11,2.2916666666666665
ATR,3,490,0.6122448979591837,7,1.4583333333333333
PRKDC,3,490,0.6122448979591837,9,1.875
NUP93,3,490,0.6122448979591837,15,3.125
PRKD1,3,490,0.6122448979591837,12,2.5
MEN1,3,490,0.6122448979591837,11,2.2916666666666665
FAT3,3,490,0.6122448979591837,12,2.5
RET,3,490,0.6122448979591837,10,2.083333333333333
TNC,3,490,0.6122448979591837,30,6.25
IL7R,3,490,0.6122448979591837,19,3.958333333333333
TP53,3,490,0.6122448979591837,20,4.166666666666666
SLC34A2,3,490,0.6122448979591837,5,1.0416666666666665
CTNND2,3,490,0.6122448979591837,21,4.375
PIK3CA,3,490,0.6122448979591837,5,1.0416666666666665
CDKN2A,2,490,0.40816326530612246,22,4.583333333333333
CDK12,2,490,0.40816326530612246,19,3.958333333333333
CDH11,2,490,0.40816326530612246,17,3.5416666666666665
MKI67,2,490,0.40816326530612246,7,1.4583333333333333
RBM10,2,490,0.40816326530612246,11,2.2916666666666665
KSR2,2,490,0.40816326530612246,14,2.9166666666666665
PTPRD,2,490,0.40816326530612246,23,4.791666666666667
EXT1,2,490,0.40816326530612246,12,2.5
USP6,2,490,0.40816326530612246,20,4.166666666666666
