gene,mutation_count,sample_count,mutation_percentage
BRAF,287,490,58.57142857142858
NRAS,39,490,7.959183673469387
HRAS,17,490,3.4693877551020407
MUC16,12,490,2.4489795918367347
ZFHX3,9,490,1.8367346938775513
KMT2A,7,490,1.4285714285714286
USP9X,7,490,1.4285714285714286
EIF1AX,7,490,1.4285714285714286
CASZ1,5,490,1.0204081632653061
PDZD2,5,490,1.0204081632653061
ATM,5,490,1.0204081632653061
AKT1,5,490,1.0204081632653061
KMT2C,4,490,0.8163265306122449
KRAS,4,490,0.8163265306122449
CSMD3,4,490,0.8163265306122449
ARID2,4,490,0.8163265306122449
CHEK2,4,490,0.8163265306122449
PPM1D,4,490,0.8163265306122449
CUX1,4,490,0.8163265306122449
IRS1,4,490,0.8163265306122449
PLEC,4,490,0.8163265306122449
WNK2,4,490,0.8163265306122449
PC,3,490,0.6122448979591837
DICER1,3,490,0.6122448979591837
ABL2,3,490,0.6122448979591837
NIPBL,3,490,0.6122448979591837
NSD1,3,490,0.6122448979591837
MSI1,3,490,0.6122448979591837
LRRK2,3,490,0.6122448979591837
KMT2D,3,490,0.6122448979591837
TP53BP1,3,490,0.6122448979591837
DNMT3A,3,490,0.6122448979591837
ATR,3,490,0.6122448979591837
PRKDC,3,490,0.6122448979591837
NUP93,3,490,0.6122448979591837
PRKD1,3,490,0.6122448979591837
MEN1,3,490,0.6122448979591837
FAT3,3,490,0.6122448979591837
RET,3,490,0.6122448979591837
TNC,3,490,0.6122448979591837
IL7R,3,490,0.6122448979591837
TP53,3,490,0.6122448979591837
SLC34A2,3,490,0.6122448979591837
CTNND2,3,490,0.6122448979591837
PIK3CA,3,490,0.6122448979591837
CDKN2A,2,490,0.40816326530612246
CDK12,2,490,0.40816326530612246
CDH11,2,490,0.40816326530612246
MKI67,2,490,0.40816326530612246
RBM10,2,490,0.40816326530612246
KSR2,2,490,0.40816326530612246
PTPRD,2,490,0.40816326530612246
EXT1,2,490,0.40816326530612246
USP6,2,490,0.40816326530612246
UBR5,2,490,0.40816326530612246
TSHR,2,490,0.40816326530612246
FAM135B,2,490,0.40816326530612246
TRIP11,2,490,0.40816326530612246
DGCR8,2,490,0.40816326530612246
EPHB1,2,490,0.40816326530612246
NOTCH4,2,490,0.40816326530612246
MST1,2,490,0.40816326530612246
SRC,2,490,0.40816326530612246
PIK3CG,2,490,0.40816326530612246
H3C13,2,490,0.40816326530612246
JAK2,2,490,0.40816326530612246
KAT6B,2,490,0.40816326530612246
DCC,2,490,0.40816326530612246
DCAF12L2,2,490,0.40816326530612246
PLK2,2,490,0.40816326530612246
ELF4,2,490,0.40816326530612246
TFE3,2,490,0.40816326530612246
KIT,2,490,0.40816326530612246
SETD5,2,490,0.40816326530612246
TET1,2,490,0.40816326530612246
YES1,2,490,0.40816326530612246
TERT,2,490,0.40816326530612246
ROS1,2,490,0.40816326530612246
KMT2B,2,490,0.40816326530612246
CHD2,2,490,0.40816326530612246
ERBB4,2,490,0.40816326530612246
ETS1,2,490,0.40816326530612246
SETBP1,2,490,0.40816326530612246
SETD2,2,490,0.40816326530612246
SUFU,2,490,0.40816326530612246
SF3B1,2,490,0.40816326530612246
LPP,2,490,0.40816326530612246
H1-4,2,490,0.40816326530612246
ECSIT,2,490,0.40816326530612246
PCSK7,2,490,0.40816326530612246
BCL9,2,490,0.40816326530612246
RASA1,2,490,0.40816326530612246
BCL2L12,2,490,0.40816326530612246
PPP2R1A,2,490,0.40816326530612246
FBN2,2,490,0.40816326530612246
KDM2B,2,490,0.40816326530612246
NCOR1,2,490,0.40816326530612246
NCOR2,2,490,0.40816326530612246
ATRX,2,490,0.40816326530612246
ATP1A1,2,490,0.40816326530612246
ASXL1,2,490,0.40816326530612246
NKX2-1,2,490,0.40816326530612246
GNAS,2,490,0.40816326530612246
FBXO11,2,490,0.40816326530612246
PRPF8,2,490,0.40816326530612246
FLNA,2,490,0.40816326530612246
ZNF292,2,490,0.40816326530612246
SEPTIN6,2,490,0.40816326530612246
ADAMTS9,2,490,0.40816326530612246
ALK,2,490,0.40816326530612246
ALPK1,2,490,0.40816326530612246
APC,2,490,0.40816326530612246
CCNT1,2,490,0.40816326530612246
FLG,2,490,0.40816326530612246
NUP214,2,490,0.40816326530612246
COL6A3,2,490,0.40816326530612246
NSD3,2,490,0.40816326530612246
SZT2,2,490,0.40816326530612246
ZNF721,2,490,0.40816326530612246
RIOK2,2,490,0.40816326530612246
BRCA2,2,490,0.40816326530612246
COL6A6,2,490,0.40816326530612246
BRCA1,2,490,0.40816326530612246
TAF1L,2,490,0.40816326530612246
ANKRD26,2,490,0.40816326530612246
PIK3R1,2,490,0.40816326530612246
PTEN,2,490,0.40816326530612246
GRIN2A,2,490,0.40816326530612246
MLLT1,2,490,0.40816326530612246
IRS2,2,490,0.40816326530612246
BCOR,2,490,0.40816326530612246
IGF1R,2,490,0.40816326530612246
ZNRF3,2,490,0.40816326530612246
PRDM16,2,490,0.40816326530612246
FOLH1,2,490,0.40816326530612246
RELN,2,490,0.40816326530612246
ADGRG4,2,490,0.40816326530612246
SP140,2,490,0.40816326530612246
GPC5,2,490,0.40816326530612246
TPM4,1,490,0.20408163265306123
VTI1A,1,490,0.20408163265306123
TPM3,1,490,0.20408163265306123
BMP6,1,490,0.20408163265306123
TRIM24,1,490,0.20408163265306123
EFTUD2,1,490,0.20408163265306123
SOX2,1,490,0.20408163265306123
PLXNC1,1,490,0.20408163265306123
SPEN,1,490,0.20408163265306123
POU2F2,1,490,0.20408163265306123
HCAR3,1,490,0.20408163265306123
TRIM33,1,490,0.20408163265306123
SPECC1,1,490,0.20408163265306123
BRD7,1,490,0.20408163265306123
PARP4,1,490,0.20408163265306123
STAT5B,1,490,0.20408163265306123
TBX3,1,490,0.20408163265306123
YWHAE,1,490,0.20408163265306123
HSP90AA1,1,490,0.20408163265306123
TCF3,1,490,0.20408163265306123
TCF7L2,1,490,0.20408163265306123
HLA-B,1,490,0.20408163265306123
ZNF521,1,490,0.20408163265306123
DIS3,1,490,0.20408163265306123
HOXC11,1,490,0.20408163265306123
HSPG2,1,490,0.20408163265306123
HOOK3,1,490,0.20408163265306123
WT1,1,490,0.20408163265306123
DTX1,1,490,0.20408163265306123
HIF1A,1,490,0.20408163265306123
GOPC,1,490,0.20408163265306123
PRKD2,1,490,0.20408163265306123
TGFBR2,1,490,0.20408163265306123
WRN,1,490,0.20408163265306123
TNRC18,1,490,0.20408163265306123
ZNF384,1,490,0.20408163265306123
POLR2A,1,490,0.20408163265306123
POLQ,1,490,0.20408163265306123
POLE,1,490,0.20408163265306123
PMS1,1,490,0.20408163265306123
PML,1,490,0.20408163265306123
PLCG1,1,490,0.20408163265306123
PLAG1,1,490,0.20408163265306123
MUC6,1,490,0.20408163265306123
MSH6,1,490,0.20408163265306123
RPL22,1,490,0.20408163265306123
MRTFA,1,490,0.20408163265306123
PIK3CB,1,490,0.20408163265306123
PTPRB,1,490,0.20408163265306123
PTPN13,1,490,0.20408163265306123
PTCH1,1,490,0.20408163265306123
MITF,1,490,0.20408163265306123
MGMT,1,490,0.20408163265306123
PRDM1,1,490,0.20408163265306123
PPP6C,1,490,0.20408163265306123
POU5F1,1,490,0.20408163265306123
MSH2,1,490,0.20408163265306123
TLE3,1,490,0.20408163265306123
TIPARP,1,490,0.20408163265306123
STAT2,1,490,0.20408163265306123
ARHGEF12,1,490,0.20408163265306123
ARHGEF10L,1,490,0.20408163265306123
ARHGAP26,1,490,0.20408163265306123
ANK1,1,490,0.20408163265306123
ALDH2,1,490,0.20408163265306123
SLIT3,1,490,0.20408163265306123
SLIT2,1,490,0.20408163265306123
ABL1,1,490,0.20408163265306123
PHF6,1,490,0.20408163265306123
NONO,1,490,0.20408163265306123
NIN,1,490,0.20408163265306123
NF1,1,490,0.20408163265306123
TYRO3,1,490,0.20408163265306123
TONSL,1,490,0.20408163265306123
AKT2,1,490,0.20408163265306123
AFF3,1,490,0.20408163265306123
AFDN,1,490,0.20408163265306123
ACVR2A,1,490,0.20408163265306123
TLL2,1,490,0.20408163265306123
RUNX1T1,1,490,0.20408163265306123
KTN1,1,490,0.20408163265306123
KLF6,1,490,0.20408163265306123
KLF4,1,490,0.20408163265306123
KIAA1549,1,490,0.20408163265306123
KEAP1,1,490,0.20408163265306123
KDSR,1,490,0.20408163265306123
KDR,1,490,0.20408163265306123
SNX29,1,490,0.20408163265306123
SMC1A,1,490,0.20408163265306123
POU2AF1,1,490,0.20408163265306123
STAG2,1,490,0.20408163265306123
STAG1,1,490,0.20408163265306123
KDM6A,1,490,0.20408163265306123
KDM5A,1,490,0.20408163265306123
KAT6A,1,490,0.20408163265306123
JUN,1,490,0.20408163265306123
JAK1,1,490,0.20408163265306123
ITGAV,1,490,0.20408163265306123
SSX1,1,490,0.20408163265306123
SPOP,1,490,0.20408163265306123
SMARCA4,1,490,0.20408163265306123
RNF213,1,490,0.20408163265306123
MAP3K1,1,490,0.20408163265306123
MAP2K1,1,490,0.20408163265306123
MACC1,1,490,0.20408163265306123
LZTR1,1,490,0.20408163265306123
LYN,1,490,0.20408163265306123
RBM15,1,490,0.20408163265306123
RB1,1,490,0.20408163265306123
RARA,1,490,0.20408163265306123
RANBP2,1,490,0.20408163265306123
RXRA,1,490,0.20408163265306123
PTPRT,1,490,0.20408163265306123
PTPRK,1,490,0.20408163265306123
LRP1B,1,490,0.20408163265306123
LIFR,1,490,0.20408163265306123
LATS1,1,490,0.20408163265306123
LARP4B,1,490,0.20408163265306123
SGK1,1,490,0.20408163265306123
SETDB1,1,490,0.20408163265306123
SDC4,1,490,0.20408163265306123
S100A7,1,490,0.20408163265306123
RAF1,1,490,0.20408163265306123
ACTB,1,490,0.20408163265306123
VAV2,1,490,0.20408163265306123
TRIP13,1,490,0.20408163265306123
CD209,1,490,0.20408163265306123
CCDC6,1,490,0.20408163265306123
TAF1,1,490,0.20408163265306123
STAT4,1,490,0.20408163265306123
SMG1,1,490,0.20408163265306123
SMARCA1,1,490,0.20408163265306123
SETD1A,1,490,0.20408163265306123
PDCD1,1,490,0.20408163265306123
SERPINB3,1,490,0.20408163265306123
PTPRO,1,490,0.20408163265306123
DPYD,1,490,0.20408163265306123
CBLB,1,490,0.20408163265306123
CASP3,1,490,0.20408163265306123
CACNA1D,1,490,0.20408163265306123
BTK,1,490,0.20408163265306123
DDX4,1,490,0.20408163265306123
CYP17A1,1,490,0.20408163265306123
CPS1,1,490,0.20408163265306123
CHN1,1,490,0.20408163265306123
SERPINB4,1,490,0.20408163265306123
CNTRL,1,490,0.20408163265306123
CHD4,1,490,0.20408163265306123
GABRA6,1,490,0.20408163265306123
ETAA1,1,490,0.20408163265306123
ESCO2,1,490,0.20408163265306123
CYP19A1,1,490,0.20408163265306123
CTR9,1,490,0.20408163265306123
CARS1,1,490,0.20408163265306123
CAD,1,490,0.20408163265306123
ATXN2,1,490,0.20408163265306123
ATP6V1B2,1,490,0.20408163265306123
KEL,1,490,0.20408163265306123
ALB,1,490,0.20408163265306123
PGBD5,1,490,0.20408163265306123
PDS5B,1,490,0.20408163265306123
CEP89,1,490,0.20408163265306123
CDKN2C,1,490,0.20408163265306123
CDKN1B,1,490,0.20408163265306123
CDKN1A,1,490,0.20408163265306123
CDH10,1,490,0.20408163265306123
MOB3B,1,490,0.20408163265306123
MGAM,1,490,0.20408163265306123
MEF2C,1,490,0.20408163265306123
ARID3B,1,490,0.20408163265306123
SAMD9L,1,490,0.20408163265306123
AXIN1,1,490,0.20408163265306123
ATP2B3,1,490,0.20408163265306123
ASPSCR1,1,490,0.20408163265306123
ASPM,1,490,0.20408163265306123
ARID1B,1,490,0.20408163265306123
RNF217-AS1,1,490,0.20408163265306123
PHLPP1,1,490,0.20408163265306123
PDGFRB,1,490,0.20408163265306123
PDE4DIP,1,490,0.20408163265306123
CDH4,1,490,0.20408163265306123
PCM1,1,490,0.20408163265306123
PCBP1,1,490,0.20408163265306123
NCKIPSD,1,490,0.20408163265306123
NBEA,1,490,0.20408163265306123
N4BP2,1,490,0.20408163265306123
PAX5,1,490,0.20408163265306123
NUTM1,1,490,0.20408163265306123
NTRK3,1,490,0.20408163265306123
SEPTIN5,1,490,0.20408163265306123
TLE4,1,490,0.20408163265306123
NRG1,1,490,0.20408163265306123
PDCD1LG2,1,490,0.20408163265306123
CCT6B,1,490,0.20408163265306123
ALOX5,1,490,0.20408163265306123
AGGF1,1,490,0.20408163265306123
ADARB2,1,490,0.20408163265306123
INPP5D,1,490,0.20408163265306123
HTATIP2,1,490,0.20408163265306123
BRD3,1,490,0.20408163265306123
BIRC6,1,490,0.20408163265306123
BCORL1,1,490,0.20408163265306123
GRB7,1,490,0.20408163265306123
FZR1,1,490,0.20408163265306123
ITPKB,1,490,0.20408163265306123
FANCI,1,490,0.20408163265306123
ELL2,1,490,0.20408163265306123
PCLO,1,490,0.20408163265306123
BCL6,1,490,0.20408163265306123
BCL11A,1,490,0.20408163265306123
MIB1,1,490,0.20408163265306123
MAP4K4,1,490,0.20408163265306123
MAP3K6,1,490,0.20408163265306123
MAGI2,1,490,0.20408163265306123
MAGED1,1,490,0.20408163265306123
LGR5,1,490,0.20408163265306123
FANCM,1,490,0.20408163265306123
PTPN3,1,490,0.20408163265306123
PEG3,1,490,0.20408163265306123
RICTOR,1,490,0.20408163265306123
FANCG,1,490,0.20408163265306123
FANCD2,1,490,0.20408163265306123
FANCC,1,490,0.20408163265306123
FAM131B,1,490,0.20408163265306123
EZR,1,490,0.20408163265306123
EXT2,1,490,0.20408163265306123
CHD7,1,490,0.20408163265306123
SESN1,1,490,0.20408163265306123
MIB2,1,490,0.20408163265306123
PIK3C2G,1,490,0.20408163265306123
NOTCH3,1,490,0.20408163265306123
MST1R,1,490,0.20408163265306123
H1-2,1,490,0.20408163265306123
DNMT1,1,490,0.20408163265306123
ETV5,1,490,0.20408163265306123
ETV1,1,490,0.20408163265306123
ESR1,1,490,0.20408163265306123
ERG,1,490,0.20408163265306123
ERCC3,1,490,0.20408163265306123
UBE2A,1,490,0.20408163265306123
ING1,1,490,0.20408163265306123
RHPN2,1,490,0.20408163265306123
INPPL1,1,490,0.20408163265306123
FMN2,1,490,0.20408163265306123
NPRL2,1,490,0.20408163265306123
ABCC4,1,490,0.20408163265306123
FLT4,1,490,0.20408163265306123
FKBP9,1,490,0.20408163265306123
CSPG4,1,490,0.20408163265306123
FAT2,1,490,0.20408163265306123
DSP,1,490,0.20408163265306123
HLA-C,1,490,0.20408163265306123
RRN3,1,490,0.20408163265306123
FGD1,1,490,0.20408163265306123
FH,1,490,0.20408163265306123
FGFR2,1,490,0.20408163265306123
FGFR1,1,490,0.20408163265306123
FCGR2B,1,490,0.20408163265306123
FBXW7,1,490,0.20408163265306123
FAT4,1,490,0.20408163265306123
REST,1,490,0.20408163265306123
FGD5,1,490,0.20408163265306123
MDGA2,1,490,0.20408163265306123
ANKRD11,1,490,0.20408163265306123
DCTN1,1,490,0.20408163265306123
CYSLTR2,1,490,0.20408163265306123
CYLD,1,490,0.20408163265306123
CUL3,1,490,0.20408163265306123
CTNNB1,1,490,0.20408163265306123
CTCF,1,490,0.20408163265306123
PTPRS,1,490,0.20408163265306123
PIK3CD,1,490,0.20408163265306123
PGR,1,490,0.20408163265306123
PAK5,1,490,0.20408163265306123
ERC1,1,490,0.20408163265306123
ADGRA2,1,490,0.20408163265306123
CSF3R,1,490,0.20408163265306123
CREBBP,1,490,0.20408163265306123
COL3A1,1,490,0.20408163265306123
COL2A1,1,490,0.20408163265306123
COL1A1,1,490,0.20408163265306123
TYK2,1,490,0.20408163265306123
SMC3,1,490,0.20408163265306123
SLX4,1,490,0.20408163265306123
SHQ1,1,490,0.20408163265306123
SESN3,1,490,0.20408163265306123
AGO1,1,490,0.20408163265306123
ERBB3,1,490,0.20408163265306123
ALOX12B,1,490,0.20408163265306123
RPTOR,1,490,0.20408163265306123
H2BC4,1,490,0.20408163265306123
ELL,1,490,0.20408163265306123
EIF3E,1,490,0.20408163265306123
EED,1,490,0.20408163265306123
EZH1,1,490,0.20408163265306123
ERF,1,490,0.20408163265306123
E2F3,1,490,0.20408163265306123
CSDE1,1,490,0.20408163265306123
RPS6KA4,1,490,0.20408163265306123
AGO2,1,490,0.20408163265306123
TEK,1,490,0.20408163265306123
STAT5A,1,490,0.20408163265306123
DNM2,1,490,0.20408163265306123
NCOA3,1,490,0.20408163265306123
MDC1,1,490,0.20408163265306123
JARID2,1,490,0.20408163265306123
IFNGR1,1,490,0.20408163265306123
H3C6,1,490,0.20408163265306123
H3C10,1,490,0.20408163265306123
H2BC5,1,490,0.20408163265306123
CDC42,1,490,0.20408163265306123
A1CF,0,490,0.0
ABI1,0,490,0.0
ACKR3,0,490,0.0
ACSL3,0,490,0.0
ARHGEF10,0,490,0.0
ARHGAP5,0,490,0.0
ARHGAP35,0,490,0.0
ARAF,0,490,0.0
AR,0,490,0.0
APOBEC3B,0,490,0.0
AMER1,0,490,0.0
AKT3,0,490,0.0
SQSTM1,0,490,0.0
SOCS2,0,490,0.0
SNCAIP,0,490,0.0
SLC1A2,0,490,0.0
SFRP2,0,490,0.0
SFRP1,0,490,0.0
SF3B2,0,490,0.0
SERP2,0,490,0.0
NPM1,0,490,0.0
NOTCH2,0,490,0.0
NOTCH1,0,490,0.0
NFKBIE,0,490,0.0
NFKB2,0,490,0.0
NFIB,0,490,0.0
NFE2L2,0,490,0.0
NFATC2,0,490,0.0
NF2,0,490,0.0
NDRG1,0,490,0.0
NCOA4,0,490,0.0
NCOA2,0,490,0.0
