gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
GTF2I,62,123,50.40650406504065,18,14.634146341463413
HRAS,10,123,8.130081300813007,11,8.94308943089431
MUC16,6,123,4.878048780487805,8,6.504065040650407
TP53,4,123,3.2520325203252036,17,13.821138211382115
PCLO,4,123,3.2520325203252036,18,14.634146341463413
RNF213,4,123,3.2520325203252036,15,12.195121951219512
EP300,3,123,2.4390243902439024,19,15.447154471544716
CLTC,3,123,2.4390243902439024,14,11.38211382113821
CYLD,3,123,2.4390243902439024,15,12.195121951219512
BCOR,3,123,2.4390243902439024,11,8.94308943089431
NRAS,3,123,2.4390243902439024,11,8.94308943089431
FZR1,2,123,1.6260162601626018,7,5.691056910569105
ADGRG4,2,123,1.6260162601626018,0,0.0
BAZ1A,2,123,1.6260162601626018,17,13.821138211382115
ASXL1,2,123,1.6260162601626018,11,8.94308943089431
REV3L,2,123,1.6260162601626018,19,15.447154471544716
TAP1,2,123,1.6260162601626018,20,16.260162601626014
FMN2,2,123,1.6260162601626018,29,23.577235772357724
ARHGAP5,2,123,1.6260162601626018,16,13.008130081300814
NIPBL,2,123,1.6260162601626018,13,10.569105691056912
EIF1AX,2,123,1.6260162601626018,10,8.130081300813007
SMARCA4,2,123,1.6260162601626018,7,5.691056910569105
USP9X,2,123,1.6260162601626018,10,8.130081300813007
SF3B1,2,123,1.6260162601626018,2,1.6260162601626018
PAX7,2,123,1.6260162601626018,9,7.317073170731707
PDE4DIP,2,123,1.6260162601626018,20,16.260162601626014
DCAF12L2,2,123,1.6260162601626018,11,8.94308943089431
NF1,2,123,1.6260162601626018,15,12.195121951219512
PBRM1,2,123,1.6260162601626018,14,11.38211382113821
FAT4,2,123,1.6260162601626018,6,4.878048780487805
MTOR,2,123,1.6260162601626018,9,7.317073170731707
NBEA,2,123,1.6260162601626018,16,13.008130081300814
NRG1,2,123,1.6260162601626018,12,9.75609756097561
EXT1,2,123,1.6260162601626018,13,10.569105691056912
ERBB2,2,123,1.6260162601626018,15,12.195121951219512
RAD54L,2,123,1.6260162601626018,8,6.504065040650407
WNK2,2,123,1.6260162601626018,14,11.38211382113821
CLIP1,2,123,1.6260162601626018,11,8.94308943089431
TPR,2,123,1.6260162601626018,25,20.32520325203252
CTNND2,2,123,1.6260162601626018,14,11.38211382113821
PTPRD,2,123,1.6260162601626018,20,16.260162601626014
STAG1,2,123,1.6260162601626018,13,10.569105691056912
COL6A6,2,123,1.6260162601626018,13,10.569105691056912
MTAP,2,123,1.6260162601626018,20,16.260162601626014
CHEK1,2,123,1.6260162601626018,9,7.317073170731707
AXL,2,123,1.6260162601626018,6,4.878048780487805
HDAC4,2,123,1.6260162601626018,3,2.4390243902439024
ARHGEF28,2,123,1.6260162601626018,12,9.75609756097561
BRCA2,2,123,1.6260162601626018,16,13.008130081300814
LRP5,1,123,0.8130081300813009,8,6.504065040650407
SEPTIN9,1,123,0.8130081300813009,0,0.0
CTR9,1,123,0.8130081300813009,11,8.94308943089431
MKI67,1,123,0.8130081300813009,6,4.878048780487805
MERTK,1,123,0.8130081300813009,2,1.6260162601626018
SETD1A,1,123,0.8130081300813009,7,5.691056910569105
ROBO1,1,123,0.8130081300813009,12,9.75609756097561
RELN,1,123,0.8130081300813009,18,14.634146341463413
