gene,mutation_count,sample_count,mutation_percentage
GTF2I,62,123,50.40650406504065
HRAS,10,123,8.130081300813007
MUC16,6,123,4.878048780487805
TP53,4,123,3.2520325203252036
PCLO,4,123,3.2520325203252036
RNF213,4,123,3.2520325203252036
EP300,3,123,2.4390243902439024
CLTC,3,123,2.4390243902439024
CYLD,3,123,2.4390243902439024
BCOR,3,123,2.4390243902439024
NRAS,3,123,2.4390243902439024
FZR1,2,123,1.6260162601626018
ADGRG4,2,123,1.6260162601626018
BAZ1A,2,123,1.6260162601626018
ASXL1,2,123,1.6260162601626018
REV3L,2,123,1.6260162601626018
TAP1,2,123,1.6260162601626018
FMN2,2,123,1.6260162601626018
ARHGAP5,2,123,1.6260162601626018
NIPBL,2,123,1.6260162601626018
EIF1AX,2,123,1.6260162601626018
SMARCA4,2,123,1.6260162601626018
USP9X,2,123,1.6260162601626018
SF3B1,2,123,1.6260162601626018
PAX7,2,123,1.6260162601626018
PDE4DIP,2,123,1.6260162601626018
DCAF12L2,2,123,1.6260162601626018
NF1,2,123,1.6260162601626018
PBRM1,2,123,1.6260162601626018
FAT4,2,123,1.6260162601626018
MTOR,2,123,1.6260162601626018
NBEA,2,123,1.6260162601626018
NRG1,2,123,1.6260162601626018
EXT1,2,123,1.6260162601626018
ERBB2,2,123,1.6260162601626018
RAD54L,2,123,1.6260162601626018
WNK2,2,123,1.6260162601626018
CLIP1,2,123,1.6260162601626018
TPR,2,123,1.6260162601626018
CTNND2,2,123,1.6260162601626018
PTPRD,2,123,1.6260162601626018
STAG1,2,123,1.6260162601626018
COL6A6,2,123,1.6260162601626018
MTAP,2,123,1.6260162601626018
CHEK1,2,123,1.6260162601626018
AXL,2,123,1.6260162601626018
HDAC4,2,123,1.6260162601626018
ARHGEF28,2,123,1.6260162601626018
BRCA2,2,123,1.6260162601626018
LRP5,1,123,0.8130081300813009
SEPTIN9,1,123,0.8130081300813009
CTR9,1,123,0.8130081300813009
MKI67,1,123,0.8130081300813009
MERTK,1,123,0.8130081300813009
SETD1A,1,123,0.8130081300813009
ROBO1,1,123,0.8130081300813009
RELN,1,123,0.8130081300813009
PRKDC,1,123,0.8130081300813009
PPP2R2A,1,123,0.8130081300813009
PIK3C2B,1,123,0.8130081300813009
TET3,1,123,0.8130081300813009
ARID3C,1,123,0.8130081300813009
ARID4A,1,123,0.8130081300813009
FOXF1,1,123,0.8130081300813009
ESCO2,1,123,0.8130081300813009
ARID3B,1,123,0.8130081300813009
CUL4A,1,123,0.8130081300813009
RAB35,1,123,0.8130081300813009
RECQL,1,123,0.8130081300813009
BMP5,1,123,0.8130081300813009
CBLC,1,123,0.8130081300813009
BRAF,1,123,0.8130081300813009
NOTCH4,1,123,0.8130081300813009
NUF2,1,123,0.8130081300813009
H3C7,1,123,0.8130081300813009
IGF2,1,123,0.8130081300813009
H2AC6,1,123,0.8130081300813009
ARID4B,1,123,0.8130081300813009
TP53BP1,1,123,0.8130081300813009
PIK3C3,1,123,0.8130081300813009
PLK2,1,123,0.8130081300813009
PTPRS,1,123,0.8130081300813009
EP400,1,123,0.8130081300813009
AGO2,1,123,0.8130081300813009
PC,1,123,0.8130081300813009
NOD1,1,123,0.8130081300813009
PRSS1,1,123,0.8130081300813009
POLH,1,123,0.8130081300813009
INTS6,1,123,0.8130081300813009
MLH3,1,123,0.8130081300813009
ATR,1,123,0.8130081300813009
FLYWCH1,1,123,0.8130081300813009
KLF3,1,123,0.8130081300813009
DDX4,1,123,0.8130081300813009
FANCI,1,123,0.8130081300813009
CCNB3,1,123,0.8130081300813009
CILK1,1,123,0.8130081300813009
MAP3K21,1,123,0.8130081300813009
MIB1,1,123,0.8130081300813009
SETDB2,1,123,0.8130081300813009
ALOX5,1,123,0.8130081300813009
BIRC3,1,123,0.8130081300813009
BCL9L,1,123,0.8130081300813009
BIRC6,1,123,0.8130081300813009
SOX10,1,123,0.8130081300813009
AFDN,1,123,0.8130081300813009
ZNF292,1,123,0.8130081300813009
RIOK2,1,123,0.8130081300813009
SEC31A,1,123,0.8130081300813009
PCSK7,1,123,0.8130081300813009
ARHGEF12,1,123,0.8130081300813009
ARID2,1,123,0.8130081300813009
SLC1A2,1,123,0.8130081300813009
SLIT2,1,123,0.8130081300813009
SERP2,1,123,0.8130081300813009
RASA1,1,123,0.8130081300813009
KLHL6,1,123,0.8130081300813009
FLG,1,123,0.8130081300813009
IRF1,1,123,0.8130081300813009
SIN3A,1,123,0.8130081300813009
NXF1,1,123,0.8130081300813009
RBM39,1,123,0.8130081300813009
PRUNE2,1,123,0.8130081300813009
DOT1L,1,123,0.8130081300813009
CHEK2,1,123,0.8130081300813009
CHD4,1,123,0.8130081300813009
CHD2,1,123,0.8130081300813009
CDKN2A,1,123,0.8130081300813009
FGD1,1,123,0.8130081300813009
ADAMTS9,1,123,0.8130081300813009
RNF6,1,123,0.8130081300813009
NRK,1,123,0.8130081300813009
ABCC4,1,123,0.8130081300813009
FGF3,1,123,0.8130081300813009
ATG7,1,123,0.8130081300813009
EPHB1,1,123,0.8130081300813009
PLCG2,1,123,0.8130081300813009
H3-3B,1,123,0.8130081300813009
MSH3,1,123,0.8130081300813009
CD276,1,123,0.8130081300813009
IRS2,1,123,0.8130081300813009
H2BC11,1,123,0.8130081300813009
FGF6,1,123,0.8130081300813009
FYN,1,123,0.8130081300813009
GNA12,1,123,0.8130081300813009
DNMT3B,1,123,0.8130081300813009
TRRAP,1,123,0.8130081300813009
TGFBR2,1,123,0.8130081300813009
TET1,1,123,0.8130081300813009
TENT5C,1,123,0.8130081300813009
TPM4,1,123,0.8130081300813009
TPM3,1,123,0.8130081300813009
CSF3R,1,123,0.8130081300813009
CTCF,1,123,0.8130081300813009
CTNNB1,1,123,0.8130081300813009
CRTC1,1,123,0.8130081300813009
TCF3,1,123,0.8130081300813009
TBX3,1,123,0.8130081300813009
STAG2,1,123,0.8130081300813009
SPEN,1,123,0.8130081300813009
SYK,1,123,0.8130081300813009
STIL,1,123,0.8130081300813009
DDX10,1,123,0.8130081300813009
SETD2,1,123,0.8130081300813009
XPO1,1,123,0.8130081300813009
WIF1,1,123,0.8130081300813009
VHL,1,123,0.8130081300813009
CSF1R,1,123,0.8130081300813009
USP6,1,123,0.8130081300813009
TNFAIP3,1,123,0.8130081300813009
CNTNAP2,1,123,0.8130081300813009
ZFHX3,1,123,0.8130081300813009
ZMYM3,1,123,0.8130081300813009
MGA,1,123,0.8130081300813009
ZNF479,1,123,0.8130081300813009
PARP4,1,123,0.8130081300813009
BRD7,1,123,0.8130081300813009
TAF1L,1,123,0.8130081300813009
CNTRL,1,123,0.8130081300813009
PLEC,1,123,0.8130081300813009
PTCH1,1,123,0.8130081300813009
PRDM1,1,123,0.8130081300813009
RAD51C,1,123,0.8130081300813009
RHOA,1,123,0.8130081300813009
RPN1,1,123,0.8130081300813009
SLC34A2,1,123,0.8130081300813009
SDHB,1,123,0.8130081300813009
EBF1,1,123,0.8130081300813009
EED,1,123,0.8130081300813009
SGK1,1,123,0.8130081300813009
SFPQ,1,123,0.8130081300813009
STAT6,1,123,0.8130081300813009
STAT5B,1,123,0.8130081300813009
SND1,1,123,0.8130081300813009
PPFIBP1,1,123,0.8130081300813009
PLCG1,1,123,0.8130081300813009
PLAG1,1,123,0.8130081300813009
PIK3R1,1,123,0.8130081300813009
PHOX2B,1,123,0.8130081300813009
PDGFB,1,123,0.8130081300813009
PPP2R1A,1,123,0.8130081300813009
NSD1,1,123,0.8130081300813009
PAX5,1,123,0.8130081300813009
NTRK2,1,123,0.8130081300813009
NF2,1,123,0.8130081300813009
POLQ,1,123,0.8130081300813009
EPAS1,1,123,0.8130081300813009
EPS15,1,123,0.8130081300813009
ERC1,1,123,0.8130081300813009
DDX5,1,123,0.8130081300813009
EML4,1,123,0.8130081300813009
NACA,1,123,0.8130081300813009
N4BP2,1,123,0.8130081300813009
MYOD1,1,123,0.8130081300813009
