gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
PTEN,333,512,65.0390625,170,34.552845528455286
PIK3CA,253,512,49.4140625,141,28.65853658536585
ARID1A,236,512,46.09375,105,21.341463414634145
TP53,194,512,37.890625,127,25.8130081300813
PIK3R1,167,512,32.6171875,109,22.15447154471545
KMT2D,152,512,29.6875,93,18.902439024390244
MUC16,149,512,29.1015625,129,26.21951219512195
CTNNB1,136,512,26.5625,98,19.91869918699187
CSMD3,134,512,26.171875,186,37.80487804878049
CTCF,128,512,25.0,148,30.081300813008134
ZFHX3,126,512,24.609375,157,31.910569105691057
KMT2B,120,512,23.4375,112,22.76422764227642
FAT4,115,512,22.4609375,96,19.51219512195122
FAT1,114,512,22.265625,113,22.96747967479675
FAT3,110,512,21.484375,95,19.308943089430894
CHD4,108,512,21.09375,115,23.3739837398374
PCLO,108,512,21.09375,103,20.934959349593495
ARHGAP35,107,512,20.8984375,98,19.91869918699187
TAF1,105,512,20.5078125,132,26.82926829268293
LRP1B,104,512,20.3125,121,24.59349593495935
KMT2C,103,512,20.1171875,126,25.609756097560975
FLG,103,512,20.1171875,215,43.69918699186992
MED12,102,512,19.921875,131,26.6260162601626
ATM,101,512,19.7265625,98,19.91869918699187
RNF43,99,512,19.3359375,116,23.577235772357724
MKI67,99,512,19.3359375,160,32.52032520325203
KRAS,99,512,19.3359375,112,22.76422764227642
FBXW7,99,512,19.3359375,99,20.121951219512198
NBEA,98,512,19.140625,117,23.78048780487805
ZNF292,97,512,18.9453125,98,19.91869918699187
FAT2,96,512,18.75,92,18.69918699186992
JAK1,96,512,18.75,65,13.211382113821138
PRKDC,95,512,18.5546875,167,33.94308943089431
NSD1,94,512,18.359375,103,20.934959349593495
TRRAP,93,512,18.1640625,108,21.951219512195124
ADGRG4,92,512,17.96875,0,0.0
USP9X,91,512,17.7734375,138,28.04878048780488
BCOR,91,512,17.7734375,139,28.252032520325205
LRRK2,90,512,17.578125,88,17.88617886178862
RPL22,89,512,17.3828125,103,20.934959349593495
RNF213,88,512,17.1875,119,24.1869918699187
NIPBL,88,512,17.1875,96,19.51219512195122
FLNA,88,512,17.1875,138,28.04878048780488
POLE,87,512,16.9921875,107,21.747967479674795
SZT2,87,512,16.9921875,78,15.853658536585366
ASPM,87,512,16.9921875,214,43.49593495934959
BCORL1,86,512,16.796875,129,26.21951219512195
AKAP9,85,512,16.6015625,107,21.747967479674795
ARID5B,85,512,16.6015625,154,31.300813008130078
ATRX,85,512,16.6015625,129,26.21951219512195
SMG1,84,512,16.40625,105,21.341463414634145
EP400,84,512,16.40625,106,21.544715447154474
MGA,83,512,16.2109375,124,25.203252032520325
BIRC6,83,512,16.2109375,112,22.76422764227642
FAM135B,82,512,16.015625,185,37.60162601626016
INPPL1,81,512,15.8203125,90,18.29268292682927
FGFR2,81,512,15.8203125,165,33.53658536585366
PPP2R1A,80,512,15.625,106,21.544715447154474
ANK1,80,512,15.625,175,35.56910569105691
CACNA1D,80,512,15.625,104,21.138211382113823
NF1,79,512,15.4296875,123,25.0
COL6A3,79,512,15.4296875,101,20.528455284552845
FBN2,79,512,15.4296875,92,18.69918699186992
PLEC,79,512,15.4296875,190,38.61788617886179
IRS4,78,512,15.234375,127,25.8130081300813
RANBP2,78,512,15.234375,93,18.902439024390244
RELN,78,512,15.234375,114,23.170731707317074
REV3L,78,512,15.234375,106,21.544715447154474
PTPRD,77,512,15.0390625,122,24.796747967479675
BRCA2,77,512,15.0390625,116,23.577235772357724
MYH11,77,512,15.0390625,106,21.544715447154474
ANKRD11,77,512,15.0390625,150,30.48780487804878
CREBBP,77,512,15.0390625,116,23.577235772357724
HSPG2,77,512,15.0390625,105,21.341463414634145
NCOR2,77,512,15.0390625,110,22.35772357723577
CUX1,76,512,14.84375,118,23.983739837398375
MGAM,76,512,14.84375,116,23.577235772357724
DSP,76,512,14.84375,104,21.138211382113823
DCC,76,512,14.84375,117,23.78048780487805
APC,76,512,14.84375,91,18.495934959349594
MUC4,75,512,14.6484375,139,28.252032520325205
MSH6,75,512,14.6484375,102,20.73170731707317
KMT2A,75,512,14.6484375,99,20.121951219512198
PDZD2,75,512,14.6484375,97,19.715447154471544
CHD7,74,512,14.453125,168,34.146341463414636
NCOR1,74,512,14.453125,129,26.21951219512195
ACVR2A,74,512,14.453125,87,17.682926829268293
EP300,74,512,14.453125,138,28.04878048780488
ATR,73,512,14.2578125,118,23.983739837398375
SAMD9L,73,512,14.2578125,106,21.544715447154474
DICER1,73,512,14.2578125,101,20.528455284552845
SEC31A,72,512,14.0625,90,18.29268292682927
TAF1L,72,512,14.0625,95,19.308943089430894
MAP3K1,71,512,13.8671875,114,23.170731707317074
ZMYM3,71,512,13.8671875,131,26.6260162601626
NRK,71,512,13.8671875,127,25.8130081300813
CNTNAP2,71,512,13.8671875,119,24.1869918699187
UBR5,71,512,13.8671875,184,37.39837398373984
FAM47C,70,512,13.671875,138,28.04878048780488
PRPF8,70,512,13.671875,129,26.21951219512195
PTPRB,70,512,13.671875,86,17.479674796747968
POLQ,70,512,13.671875,111,22.5609756097561
ROS1,70,512,13.671875,101,20.528455284552845
