gene,mutation_count,sample_count,mutation_percentage
PTEN,333,512,65.0390625
PIK3CA,253,512,49.4140625
ARID1A,236,512,46.09375
TP53,194,512,37.890625
PIK3R1,167,512,32.6171875
KMT2D,152,512,29.6875
MUC16,149,512,29.1015625
CTNNB1,136,512,26.5625
CSMD3,134,512,26.171875
CTCF,128,512,25.0
ZFHX3,126,512,24.609375
KMT2B,120,512,23.4375
FAT4,115,512,22.4609375
FAT1,114,512,22.265625
FAT3,110,512,21.484375
CHD4,108,512,21.09375
PCLO,108,512,21.09375
ARHGAP35,107,512,20.8984375
TAF1,105,512,20.5078125
LRP1B,104,512,20.3125
KMT2C,103,512,20.1171875
FLG,103,512,20.1171875
MED12,102,512,19.921875
ATM,101,512,19.7265625
RNF43,99,512,19.3359375
MKI67,99,512,19.3359375
KRAS,99,512,19.3359375
FBXW7,99,512,19.3359375
NBEA,98,512,19.140625
ZNF292,97,512,18.9453125
FAT2,96,512,18.75
JAK1,96,512,18.75
PRKDC,95,512,18.5546875
NSD1,94,512,18.359375
TRRAP,93,512,18.1640625
ADGRG4,92,512,17.96875
USP9X,91,512,17.7734375
BCOR,91,512,17.7734375
LRRK2,90,512,17.578125
RPL22,89,512,17.3828125
RNF213,88,512,17.1875
NIPBL,88,512,17.1875
FLNA,88,512,17.1875
POLE,87,512,16.9921875
SZT2,87,512,16.9921875
ASPM,87,512,16.9921875
BCORL1,86,512,16.796875
AKAP9,85,512,16.6015625
ARID5B,85,512,16.6015625
ATRX,85,512,16.6015625
SMG1,84,512,16.40625
EP400,84,512,16.40625
MGA,83,512,16.2109375
BIRC6,83,512,16.2109375
FAM135B,82,512,16.015625
INPPL1,81,512,15.8203125
FGFR2,81,512,15.8203125
PPP2R1A,80,512,15.625
ANK1,80,512,15.625
CACNA1D,80,512,15.625
NF1,79,512,15.4296875
COL6A3,79,512,15.4296875
FBN2,79,512,15.4296875
PLEC,79,512,15.4296875
IRS4,78,512,15.234375
RANBP2,78,512,15.234375
RELN,78,512,15.234375
REV3L,78,512,15.234375
PTPRD,77,512,15.0390625
BRCA2,77,512,15.0390625
MYH11,77,512,15.0390625
ANKRD11,77,512,15.0390625
CREBBP,77,512,15.0390625
HSPG2,77,512,15.0390625
NCOR2,77,512,15.0390625
CUX1,76,512,14.84375
MGAM,76,512,14.84375
DSP,76,512,14.84375
DCC,76,512,14.84375
APC,76,512,14.84375
MUC4,75,512,14.6484375
MSH6,75,512,14.6484375
KMT2A,75,512,14.6484375
PDZD2,75,512,14.6484375
CHD7,74,512,14.453125
NCOR1,74,512,14.453125
ACVR2A,74,512,14.453125
EP300,74,512,14.453125
ATR,73,512,14.2578125
SAMD9L,73,512,14.2578125
DICER1,73,512,14.2578125
SEC31A,72,512,14.0625
TAF1L,72,512,14.0625
MAP3K1,71,512,13.8671875
ZMYM3,71,512,13.8671875
NRK,71,512,13.8671875
CNTNAP2,71,512,13.8671875
UBR5,71,512,13.8671875
FAM47C,70,512,13.671875
PRPF8,70,512,13.671875
PTPRB,70,512,13.671875
POLQ,70,512,13.671875
ROS1,70,512,13.671875
ARID4B,69,512,13.4765625
TNRC18,69,512,13.4765625
ROBO1,69,512,13.4765625
PDS5B,69,512,13.4765625
PRUNE2,69,512,13.4765625
CDH10,69,512,13.4765625
ATP2B3,68,512,13.28125
RB1,68,512,13.28125
SETD2,68,512,13.28125
SPEN,68,512,13.28125
SMARCA4,68,512,13.28125
ZMYM2,68,512,13.28125
SALL4,68,512,13.28125
MTOR,67,512,13.0859375
GRIN2A,67,512,13.0859375
PDE4DIP,67,512,13.0859375
NUP214,67,512,13.0859375
CAD,67,512,13.0859375
PTPRT,66,512,12.890625
EPHB1,65,512,12.6953125
PIK3CG,65,512,12.6953125
TNC,65,512,12.6953125
CAMTA1,65,512,12.6953125
