gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
TP53,49,57,85.96491228070175,47,83.92857142857143
FBXW7,22,57,38.59649122807017,40,71.42857142857143
PIK3CA,20,57,35.08771929824561,40,71.42857142857143
PPP2R1A,16,57,28.07017543859649,39,69.64285714285714
PTEN,11,57,19.298245614035086,38,67.85714285714286
CHD4,10,57,17.543859649122805,35,62.5
PIK3R1,9,57,15.789473684210526,36,64.28571428571429
FLNA,8,57,14.035087719298245,34,60.71428571428571
KRAS,7,57,12.280701754385964,38,67.85714285714286
MGAM,7,57,12.280701754385964,34,60.71428571428571
ARID1A,7,57,12.280701754385964,30,53.57142857142857
KMT2D,6,57,10.526315789473683,33,58.92857142857143
DSP,6,57,10.526315789473683,40,71.42857142857143
ZBTB7B,6,57,10.526315789473683,44,78.57142857142857
ARHGAP35,6,57,10.526315789473683,42,75.0
PCLO,5,57,8.771929824561402,35,62.5
CSMD3,5,57,8.771929824561402,46,82.14285714285714
PDGFRB,5,57,8.771929824561402,28,50.0
RB1,5,57,8.771929824561402,45,80.35714285714286
MUC16,5,57,8.771929824561402,44,78.57142857142857
FLG,5,57,8.771929824561402,43,76.78571428571429
ZFHX3,4,57,7.017543859649122,44,78.57142857142857
FMN2,4,57,7.017543859649122,42,75.0
SPOP,4,57,7.017543859649122,41,73.21428571428571
FANCM,4,57,7.017543859649122,35,62.5
MED12,4,57,7.017543859649122,35,62.5
PRPF8,4,57,7.017543859649122,47,83.92857142857143
LRP1B,4,57,7.017543859649122,32,57.14285714285714
KMT2C,4,57,7.017543859649122,38,67.85714285714286
GRM3,4,57,7.017543859649122,35,62.5
PLEC,4,57,7.017543859649122,45,80.35714285714286
EPHA5,4,57,7.017543859649122,36,64.28571428571429
RNF43,4,57,7.017543859649122,39,69.64285714285714
ERBB3,4,57,7.017543859649122,36,64.28571428571429
NACA,4,57,7.017543859649122,31,55.35714285714286
CASZ1,4,57,7.017543859649122,37,66.07142857142857
FAM135B,4,57,7.017543859649122,45,80.35714285714286
BCOR,3,57,5.263157894736842,37,66.07142857142857
BCL2L11,3,57,5.263157894736842,25,44.642857142857146
POLQ,3,57,5.263157894736842,39,69.64285714285714
LGR5,3,57,5.263157894736842,30,53.57142857142857
