gene,mutation_count,sample_count,mutation_percentage
TP53,49,57,85.96491228070175
FBXW7,22,57,38.59649122807017
PIK3CA,20,57,35.08771929824561
PPP2R1A,16,57,28.07017543859649
PTEN,11,57,19.298245614035086
CHD4,10,57,17.543859649122805
PIK3R1,9,57,15.789473684210526
FLNA,8,57,14.035087719298245
KRAS,7,57,12.280701754385964
MGAM,7,57,12.280701754385964
ARID1A,7,57,12.280701754385964
KMT2D,6,57,10.526315789473683
DSP,6,57,10.526315789473683
ZBTB7B,6,57,10.526315789473683
ARHGAP35,6,57,10.526315789473683
PCLO,5,57,8.771929824561402
CSMD3,5,57,8.771929824561402
PDGFRB,5,57,8.771929824561402
RB1,5,57,8.771929824561402
MUC16,5,57,8.771929824561402
FLG,5,57,8.771929824561402
ZFHX3,4,57,7.017543859649122
FMN2,4,57,7.017543859649122
SPOP,4,57,7.017543859649122
FANCM,4,57,7.017543859649122
MED12,4,57,7.017543859649122
PRPF8,4,57,7.017543859649122
LRP1B,4,57,7.017543859649122
KMT2C,4,57,7.017543859649122
GRM3,4,57,7.017543859649122
PLEC,4,57,7.017543859649122
EPHA5,4,57,7.017543859649122
RNF43,4,57,7.017543859649122
ERBB3,4,57,7.017543859649122
NACA,4,57,7.017543859649122
CASZ1,4,57,7.017543859649122
FAM135B,4,57,7.017543859649122
BCOR,3,57,5.263157894736842
BCL2L11,3,57,5.263157894736842
POLQ,3,57,5.263157894736842
LGR5,3,57,5.263157894736842
BRCA2,3,57,5.263157894736842
POLR2A,3,57,5.263157894736842
ITPKB,3,57,5.263157894736842
IRS1,3,57,5.263157894736842
PIK3C3,3,57,5.263157894736842
PTPN13,3,57,5.263157894736842
CTCF,3,57,5.263157894736842
CREBBP,3,57,5.263157894736842
SETDB1,3,57,5.263157894736842
PTPRT,3,57,5.263157894736842
ADGRG4,3,57,5.263157894736842
TAF1,3,57,5.263157894736842
MERTK,3,57,5.263157894736842
RGS7,3,57,5.263157894736842
ROBO2,3,57,5.263157894736842
ROS1,3,57,5.263157894736842
PIK3CG,3,57,5.263157894736842
LARP4B,3,57,5.263157894736842
DHX9,3,57,5.263157894736842
NOTCH1,3,57,5.263157894736842
PI4KA,3,57,5.263157894736842
NSD1,3,57,5.263157894736842
NIPBL,3,57,5.263157894736842
LPA,3,57,5.263157894736842
NF1,3,57,5.263157894736842
COL6A6,3,57,5.263157894736842
ASPM,3,57,5.263157894736842
HIP1,3,57,5.263157894736842
REV3L,3,57,5.263157894736842
MSH6,3,57,5.263157894736842
FAT3,3,57,5.263157894736842
EPHB1,3,57,5.263157894736842
NCOR2,3,57,5.263157894736842
PIK3C2G,2,57,3.508771929824561
FLT1,2,57,3.508771929824561
EP400,2,57,3.508771929824561
SF3B1,2,57,3.508771929824561
GABRA6,2,57,3.508771929824561
RAD54L,2,57,3.508771929824561
ZNF680,2,57,3.508771929824561
ZNF780A,2,57,3.508771929824561
ALPK1,2,57,3.508771929824561
EPS15,2,57,3.508771929824561
NRK,2,57,3.508771929824561
CNTNAP2,2,57,3.508771929824561
HLA-DQA1,2,57,3.508771929824561
KIAA1549,2,57,3.508771929824561
CLTCL1,2,57,3.508771929824561
CLTC,2,57,3.508771929824561
GRIN2A,2,57,3.508771929824561
PCMTD1,2,57,3.508771929824561
ZFP36L1,2,57,3.508771929824561
WRN,2,57,3.508771929824561
MKI67,2,57,3.508771929824561
FOXA2,2,57,3.508771929824561
HSPG2,2,57,3.508771929824561
CHEK2,2,57,3.508771929824561
USP9X,2,57,3.508771929824561
KMT2B,2,57,3.508771929824561
KEL,2,57,3.508771929824561
IRS4,2,57,3.508771929824561
TAF15,2,57,3.508771929824561
CHD7,2,57,3.508771929824561
DICER1,2,57,3.508771929824561
MDGA2,2,57,3.508771929824561
TCF7L2,2,57,3.508771929824561
HDAC7,2,57,3.508771929824561
MGA,2,57,3.508771929824561
DROSHA,2,57,3.508771929824561
FANCE,2,57,3.508771929824561
TET2,2,57,3.508771929824561
JARID2,2,57,3.508771929824561
MST1,2,57,3.508771929824561
RASA1,2,57,3.508771929824561
DCC,2,57,3.508771929824561
PGR,2,57,3.508771929824561
PEG3,2,57,3.508771929824561
JAK3,2,57,3.508771929824561
STAG1,2,57,3.508771929824561
FAT1,2,57,3.508771929824561
CTNND2,2,57,3.508771929824561
SND1,2,57,3.508771929824561
SMARCA4,2,57,3.508771929824561
FBLN2,2,57,3.508771929824561
KDM5C,2,57,3.508771929824561
TRIM33,2,57,3.508771929824561
ATP6AP1,2,57,3.508771929824561
STAT3,2,57,3.508771929824561
BIRC6,2,57,3.508771929824561
SEPTIN9,2,57,3.508771929824561
MAGI2,2,57,3.508771929824561
ARHGAP5,2,57,3.508771929824561
LRRK2,2,57,3.508771929824561
LRP6,2,57,3.508771929824561
MET,2,57,3.508771929824561
PTCH1,2,57,3.508771929824561
PRDM1,2,57,3.508771929824561
SNCAIP,2,57,3.508771929824561
ZNF292,2,57,3.508771929824561
PREX2,2,57,3.508771929824561
CARD11,2,57,3.508771929824561
ZFP36L2,2,57,3.508771929824561
STAT1,2,57,3.508771929824561
NRG1,2,57,3.508771929824561
NTRK1,2,57,3.508771929824561
PHF19,2,57,3.508771929824561
PHLPP1,2,57,3.508771929824561
BCL11A,2,57,3.508771929824561
ATRX,2,57,3.508771929824561
PASK,2,57,3.508771929824561
PARP2,2,57,3.508771929824561
ATR,2,57,3.508771929824561
MLLT1,2,57,3.508771929824561
MAP3K21,2,57,3.508771929824561
POLE,2,57,3.508771929824561
ATM,2,57,3.508771929824561
BCLAF1,2,57,3.508771929824561
BCORL1,2,57,3.508771929824561
ASXL2,2,57,3.508771929824561
PBRM1,2,57,3.508771929824561
SEC31A,2,57,3.508771929824561
ARID1B,2,57,3.508771929824561
USP7,2,57,3.508771929824561
ALK,2,57,3.508771929824561
UBA1,2,57,3.508771929824561
LYN,2,57,3.508771929824561
APEX1,2,57,3.508771929824561
PTPRD,2,57,3.508771929824561
CASR,2,57,3.508771929824561
RANBP2,2,57,3.508771929824561
AKAP9,2,57,3.508771929824561
AFF3,2,57,3.508771929824561
LZTR1,2,57,3.508771929824561
CCNB3,2,57,3.508771929824561
RNF213,2,57,3.508771929824561
CDH10,2,57,3.508771929824561
MYH9,2,57,3.508771929824561
SETD1A,2,57,3.508771929824561
NFATC2,2,57,3.508771929824561
ABCB1,2,57,3.508771929824561
MAML2,2,57,3.508771929824561
ZBTB7A,2,57,3.508771929824561
LPP,2,57,3.508771929824561
MYC,2,57,3.508771929824561
EPHA2,1,57,1.7543859649122806
ZNF479,1,57,1.7543859649122806
NONO,1,57,1.7543859649122806
ZNF384,1,57,1.7543859649122806
ZNF331,1,57,1.7543859649122806
NKX2-1,1,57,1.7543859649122806
ZBTB20,1,57,1.7543859649122806
NIN,1,57,1.7543859649122806
NFIB,1,57,1.7543859649122806
PDE4DIP,1,57,1.7543859649122806
PHF6,1,57,1.7543859649122806
ZEB1,1,57,1.7543859649122806
XPO1,1,57,1.7543859649122806
ZNF721,1,57,1.7543859649122806
ZMYM3,1,57,1.7543859649122806
PRKD2,1,57,1.7543859649122806
BRD7,1,57,1.7543859649122806
NRAS,1,57,1.7543859649122806
TAF1L,1,57,1.7543859649122806
NR4A3,1,57,1.7543859649122806
NR2F2,1,57,1.7543859649122806
ZNF750,1,57,1.7543859649122806
KLF5,1,57,1.7543859649122806
WT1,1,57,1.7543859649122806
ZNF626,1,57,1.7543859649122806
NSD3,1,57,1.7543859649122806
NTRK2,1,57,1.7543859649122806
PLXNC1,1,57,1.7543859649122806
INPPL1,1,57,1.7543859649122806
NUP98,1,57,1.7543859649122806
SOX17,1,57,1.7543859649122806
HLA-B,1,57,1.7543859649122806
PABPC1,1,57,1.7543859649122806
PAX7,1,57,1.7543859649122806
PBX1,1,57,1.7543859649122806
NPM1,1,57,1.7543859649122806
PRKCB,1,57,1.7543859649122806
PRPF40B,1,57,1.7543859649122806
SS18L1,1,57,1.7543859649122806
PRRX1,1,57,1.7543859649122806
SPEN,1,57,1.7543859649122806
PTPN11,1,57,1.7543859649122806
SMC1A,1,57,1.7543859649122806
PTPN6,1,57,1.7543859649122806
PTPRB,1,57,1.7543859649122806
PTPRC,1,57,1.7543859649122806
SMAD4,1,57,1.7543859649122806
SLC45A3,1,57,1.7543859649122806
SLC34A2,1,57,1.7543859649122806
TSC1,1,57,1.7543859649122806
SH3GL1,1,57,1.7543859649122806
SGK1,1,57,1.7543859649122806
SFRP4,1,57,1.7543859649122806
SFPQ,1,57,1.7543859649122806
PTPRK,1,57,1.7543859649122806
RAC1,1,57,1.7543859649122806
SETD2,1,57,1.7543859649122806
RAD51B,1,57,1.7543859649122806
SDHA,1,57,1.7543859649122806
RALGDS,1,57,1.7543859649122806
REL,1,57,1.7543859649122806
SALL4,1,57,1.7543859649122806
RRAS2,1,57,1.7543859649122806
RUNX1,1,57,1.7543859649122806
SIX1,1,57,1.7543859649122806
WNK2,1,57,1.7543859649122806
PLAG1,1,57,1.7543859649122806
WDCP,1,57,1.7543859649122806
WAS,1,57,1.7543859649122806
USP8,1,57,1.7543859649122806
PLCG1,1,57,1.7543859649122806
USP6,1,57,1.7543859649122806
PML,1,57,1.7543859649122806
UBR5,1,57,1.7543859649122806
TSHR,1,57,1.7543859649122806
TRRAP,1,57,1.7543859649122806
TRIP11,1,57,1.7543859649122806
TPR,1,57,1.7543859649122806
TNRC18,1,57,1.7543859649122806
PRKAR1A,1,57,1.7543859649122806
TNFAIP3,1,57,1.7543859649122806
TNC,1,57,1.7543859649122806
TFE3,1,57,1.7543859649122806
POLG,1,57,1.7543859649122806
TET1,1,57,1.7543859649122806
TEC,1,57,1.7543859649122806
TCF12,1,57,1.7543859649122806
TBL1XR1,1,57,1.7543859649122806
STRN,1,57,1.7543859649122806
PPFIBP1,1,57,1.7543859649122806
PRCC,1,57,1.7543859649122806
STIL,1,57,1.7543859649122806
PRDM2,1,57,1.7543859649122806
STAG2,1,57,1.7543859649122806
TNFRSF14,1,57,1.7543859649122806
ALOX15B,1,57,1.7543859649122806
ALOX5,1,57,1.7543859649122806
ATRIP,1,57,1.7543859649122806
CCT6B,1,57,1.7543859649122806
CD36,1,57,1.7543859649122806
CDH2,1,57,1.7543859649122806
CDH4,1,57,1.7543859649122806
CILK1,1,57,1.7543859649122806
CPS1,1,57,1.7543859649122806
CDKN2B,1,57,1.7543859649122806
DDR1,1,57,1.7543859649122806
DDX4,1,57,1.7543859649122806
