gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
GNAQ,39,80,48.75,10,12.5
GNA11,35,80,43.75,7,8.75
SF3B1,18,80,22.5,9,11.25
BAP1,16,80,20.0,44,55.00000000000001
EIF1AX,10,80,12.5,22,27.500000000000004
CYSLTR2,3,80,3.75,9,11.25
MUC16,3,80,3.75,7,8.75
SRSF2,3,80,3.75,14,17.5
CSMD3,3,80,3.75,60,75.0
MUC4,2,80,2.5,44,55.00000000000001
APC,2,80,2.5,6,7.5
RNF43,2,80,2.5,13,16.25
PRKCB,2,80,2.5,7,8.75
PDGFRA,2,80,2.5,6,7.5
FANCA,2,80,2.5,19,23.75
PREX2,2,80,2.5,54,67.5
LRP1B,2,80,2.5,8,10.0
PTPRD,2,80,2.5,14,17.5
NACA,2,80,2.5,5,6.25
GNB1,2,80,2.5,24,30.0
CDH4,2,80,2.5,9,11.25
CACNA1D,2,80,2.5,45,56.25
SETD2,1,80,1.25,45,56.25
RASA2,1,80,1.25,44,55.00000000000001
FAT2,1,80,1.25,7,8.75
HIRA,1,80,1.25,6,7.5
GAB1,1,80,1.25,8,10.0
FANCM,1,80,1.25,4,5.0
PLEC,1,80,1.25,61,76.25
CYLD,1,80,1.25,17,21.25
POLD1,1,80,1.25,5,6.25
DDR2,1,80,1.25,8,10.0
TRAF2,1,80,1.25,10,12.5
ADGRA2,1,80,1.25,0,0.0
KAT6A,1,80,1.25,40,50.0
HSPG2,1,80,1.25,25,31.25
KDM3B,1,80,1.25,7,8.75
FANCL,1,80,1.25,10,12.5
JAK1,1,80,1.25,23,28.749999999999996
STAG1,1,80,1.25,44,55.00000000000001
MAGED1,1,80,1.25,23,28.749999999999996
SPECC1,1,80,1.25,10,12.5
ITPKB,1,80,1.25,13,16.25
DCTN1,1,80,1.25,10,12.5
SMC1A,1,80,1.25,23,28.749999999999996
CIITA,1,80,1.25,7,8.75
CLP1,1,80,1.25,10,12.5
SMARCA4,1,80,1.25,7,8.75
PDE4DIP,1,80,1.25,13,16.25
ETS1,1,80,1.25,15,18.75
ZBTB7B,1,80,1.25,7,8.75
COL2A1,1,80,1.25,5,6.25
GTSE1,1,80,1.25,6,7.5
PER1,1,80,1.25,10,12.5
CPEB3,1,80,1.25,1,1.25
PAX7,1,80,1.25,25,31.25
SERPINB4,1,80,1.25,3,3.75
EWSR1,1,80,1.25,6,7.5
PRKD1,1,80,1.25,4,5.0
FKBP9,1,80,1.25,9,11.25
QKI,1,80,1.25,30,37.5
SLFN11,1,80,1.25,10,12.5
ADGRG4,1,80,1.25,0,0.0
ACTB,1,80,1.25,8,10.0
FANCD2,1,80,1.25,44,55.00000000000001
NSD1,1,80,1.25,8,10.0
ZBTB7A,1,80,1.25,7,8.75
FAT1,1,80,1.25,8,10.0
FAT3,1,80,1.25,11,13.750000000000002
FAT4,1,80,1.25,8,10.0
PTPRB,1,80,1.25,5,6.25
FGFR2,1,80,1.25,1,1.25
FBXW7,1,80,1.25,8,10.0
TET3,1,80,1.25,10,12.5
FES,1,80,1.25,6,7.5
FGFR4,1,80,1.25,8,10.0
GRIN2A,1,80,1.25,7,8.75
MERTK,1,80,1.25,8,10.0
GPC5,1,80,1.25,11,13.750000000000002
RUNX1,1,80,1.25,17,21.25
DROSHA,1,80,1.25,4,5.0
ROS1,1,80,1.25,29,36.25
PDZD2,1,80,1.25,4,5.0
CYP17A1,1,80,1.25,1,1.25
RNF213,1,80,1.25,14,17.5
ESR1,1,80,1.25,30,37.5
PPP2R1A,1,80,1.25,5,6.25
PPP2R2A,1,80,1.25,40,50.0
EP300,1,80,1.25,6,7.5
RET,1,80,1.25,1,1.25
FUS,1,80,1.25,7,8.75
PRKDC,1,80,1.25,47,58.75
ERBB4,1,80,1.25,10,12.5
ERC1,1,80,1.25,7,8.75
ROBO1,1,80,1.25,43,53.75
FOXO3,1,80,1.25,29,36.25
PDS5B,1,80,1.25,9,11.25
ALDH2,1,80,1.25,5,6.25
NOTCH2,1,80,1.25,20,25.0
AKAP9,1,80,1.25,7,8.75
NIN,1,80,1.25,4,5.0
UBR5,1,80,1.25,60,75.0
ZNF680,1,80,1.25,7,8.75
BRCA2,1,80,1.25,9,11.25
PRPF8,1,80,1.25,11,13.750000000000002
KMT2D,1,80,1.25,5,6.25
ATF7IP,1,80,1.25,6,7.5
ARHGEF10L,1,80,1.25,24,30.0
PTK7,1,80,1.25,40,50.0
PUM1,1,80,1.25,24,30.0
NFE2L2,1,80,1.25,8,10.0
MTOR,1,80,1.25,24,30.0
ARID1B,1,80,1.25,31,38.75
BCOR,1,80,1.25,22,27.500000000000004
RNASEH2A,1,80,1.25,6,7.5
ASPM,1,80,1.25,11,13.750000000000002
SZT2,1,80,1.25,23,28.749999999999996
MYH11,1,80,1.25,8,10.0
RAC2,1,80,1.25,6,7.5
SQSTM1,1,80,1.25,9,11.25
N4BP2,1,80,1.25,11,13.750000000000002
SLIT2,1,80,1.25,11,13.750000000000002
NCOA2,1,80,1.25,54,67.5
LIFR,1,80,1.25,4,5.0
SEPTIN6,1,80,1.25,0,0.0
NBN,1,80,1.25,58,72.5
RHPN2,1,80,1.25,5,6.25
KTN1,1,80,1.25,4,5.0
CAMTA1,1,80,1.25,24,30.0
PCSK7,1,80,1.25,14,17.5
WDR90,1,80,1.25,7,8.75
MED12,1,80,1.25,22,27.500000000000004
MEN1,1,80,1.25,11,13.750000000000002
KIAA1549,1,80,1.25,7,8.75
ZNF479,1,80,1.25,8,10.0
YAP1,1,80,1.25,11,13.750000000000002
PAG1,1,80,1.25,55,68.75
CBL,1,80,1.25,15,18.75
ZNF521,1,80,1.25,2,2.5
ZFHX3,1,80,1.25,17,21.25
KDM6A,1,80,1.25,23,28.749999999999996
PCLO,1,80,1.25,7,8.75
INHBA,0,80,0.0,9,11.25
MAP3K14,0,80,0.0,11,13.750000000000002
MST1R,0,80,0.0,45,56.25
H3C6,0,80,0.0,0,0.0
JARID2,0,80,0.0,45,56.25
