epoch,cancer_type,c_index
1,global,0.6829869394202922
1,normalized_avg,0.5838316825867385
1,0,0.6219512195121951
1,1,0.6360473208072372
1,2,0.6143364928909952
1,3,0.6111111111111112
1,4,0.47058823529411764
1,6,0.5324427480916031
1,7,0.5555555555555556
1,8,0.6609442060085837
1,10,0.47462096242584045
1,11,0.5089319650323071
1,12,
1,13,0.5643564356435643
1,14,0.6385542168674698
1,15,0.5
1,17,0.578708946772367
1,18,0.5244648318042814
1,19,0.6777777777777778
1,20,0.5342857142857143
1,21,0.7160493827160493
1,23,0.5407407407407407
1,24,0.5851528384279476
1,25,
1,26,
1,27,0.4533333333333333
1,28,0.5466666666666666
1,29,0.5645855758880517
1,30,0.5385745775165319
1,31,
1,32,0.4122137404580153
1,33,0.7
1,34,0.8533834586466166
1,35,0.7407407407407407
1,36,0.575
2,global,0.7041216221607002
2,normalized_avg,0.5661919113976486
2,0,0.5853658536585366
2,1,0.5845511482254697
2,2,0.5758293838862559
2,3,0.6691919191919192
2,4,0.5294117647058824
2,6,0.5286259541984732
2,7,0.8888888888888888
2,8,0.6866952789699571
2,10,0.46769940672379695
2,11,0.5210946408209807
2,12,
2,13,0.5756718528995757
2,14,0.6265060240963856
2,15,0.5
2,17,0.6568516421291053
2,18,0.5642201834862385
2,19,0.6192592592592593
2,20,0.5580219780219781
2,21,0.6172839506172839
2,23,0.6185185185185185
2,24,0.6331877729257642
2,25,
2,26,
2,27,0.4666666666666667
2,28,0.5866666666666667
2,29,0.5678148546824543
2,30,0.46877296105804556
2,31,
2,32,0.32061068702290074
2,33,0.25
2,34,0.7706766917293233
2,35,0.48148148148148145
2,36,0.5
3,global,0.6954890337404958
3,normalized_avg,0.5659565200814226
3,0,0.6219512195121951
3,1,0.5254001391788448
3,2,0.5639810426540285
3,3,0.6767676767676768
3,4,0.47058823529411764
3,6,0.5324427480916031
3,7,1.0
3,8,0.6566523605150214
3,10,0.491430454845089
3,11,0.5127328012162676
3,12,
3,13,0.5601131541725601
3,14,0.5963855421686747
3,15,0.5
3,17,0.7066817667044167
3,18,0.6009174311926605
3,19,0.5874074074074074
3,20,0.5127472527472527
3,21,0.5679012345679012
3,23,0.647089947089947
3,24,0.6026200873362445
3,25,
3,26,
3,27,0.5466666666666666
3,28,0.5755555555555556
3,29,0.5376749192680301
3,30,0.4695077149155033
3,31,
3,32,0.2748091603053435
3,33,0.25
3,34,0.793233082706767
3,35,0.48148148148148145
3,36,0.55
4,global,0.7087857729836683
4,normalized_avg,0.5554533395719929
4,0,0.573170731707317
